"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BYD.TO, Long, 2025-12-15 (Price: 222.94)",No Exit Yet,"-0.78%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-17 (Price: 221.19), 0.78% below",2 days,Upmove Bounce Back,50% (Price: 223.09),0.85% below,"2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2028-12-14/2026-01-21/2026-07-02,27.71%,0.9%,26.81%,1.63,0.03,238.256/247.5303/245.25/256.6133/367.2583/388.6839/No EMA 200 Target,221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/215.5,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"MSE.PA, Long, 2025-12-15 (Price: 64.11)",No Exit Yet,"-1.22%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-17 (Price: 63.33), 1.22% below",2 days,Upmove Bounce Back,23.66% (Price: 62.9255),0.64% above,"2025-08-01 (Price: 57.2), 2025-11-13 (Price: 64.7)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-03-28/2026-02-09/2026-08-10,22.9%,9.15%,13.75%,2.88,0.6,66.1679/69.5786/68.61/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/59.85,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"MSFT, Long, 2025-12-14 (Price: 478.53)",No Exit Yet,"-0.5%, 3 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2025-12-14",Already confirmed,"2025-12-17 (Price: 476.12), 0.5% below",3 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.24% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",25.02%/6.95%/15.92%,"0%, 45.68%",3.7 years/1.4 month/11.4 months,2031-03-27/2026-02-12/2027-04-23,11.58%,10.65%,0.93%,3.32,0.59,511.6443/554.712/604.93/554.585/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/473.16,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"UBER, Long, 2025-12-12 (Price: 85.11)",No Exit Yet,"-7.01%, 5 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 79.14), 7.01% below",5 days,Upmove Bounce Back,23.66% (Price: 84.7726),6.64% below,"2023-04-27 (Price: 29.22), 2025-09-22 (Price: 101.99)",15.06%/0.66%/9.9%,"-0.0%, 57.74%",2.4 years/4 days/4.7 months,2029-05-16/2025-12-17/2026-07-04,33.14%,7.1%,26.04%,1.78,0.39,87.5782/93.5359/128.77/No Horizontal Resistance/99.1711/103.8185/87.61,84.16/34.6025/84.8096/75.9736/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"BRK-B, Long, 2025-12-12 (Price: 499.52)",No Exit Yet,"0.95%, 5 days","87.5%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 504.27), 0.95% above",5 days,Upmove Bounce Back,38.2% (Price: 500.1566),0.82% above,"2025-11-03 (Price: 473.15), 2025-11-28 (Price: 516.85)",12.32%/0.4%/8.22%,"1.62%, 25.23%",1.4 year/1.1 month/4.4 months,2027-12-10/2026-01-28/2026-06-21,18.11%,11.63%,6.48%,1.04,0.83,518.252/540.5805/525.74/No Horizontal Resistance/630.85/709.9376/No EMA 200 Target,490.43/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/498.13,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"IEI, Long, 2025-12-12 (Price: 119.36)",No Exit Yet,"0.25%, 5 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 119.655), 0.25% above",5 days,Upmove Bounce Back,23.66% (Price: 119.037),0.52% above,"2025-01-13 (Price: 114.51), 2025-11-25 (Price: 120.44)",2.05%/2.05%/2.05%,"0.03%, 4.21%",5.8 months/5.8 months/5.8 months,2026-08-21/2026-08-21/2026-08-21,3.55%,-1.4%,4.95%,0.29,-1.34,119.8016/121.8069/122.92/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,119.11/113.8775/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/118.72,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"IHI, Long, 2025-12-12 (Price: 62.19)",No Exit Yet,"0.16%, 5 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 62.29), 0.16% above",5 days,Upmove Bounce Back,23.66% (Price: 63.1421),1.35% below,"2025-10-01 (Price: 58.18), 2025-11-26 (Price: 64.68)",10.36%/2.67%/6.04%,"1.92%, 23.03%",11.4 months/2.1 months/6.7 months,2027-04-21/2026-03-13/2026-09-29,8.62%,2.88%,5.74%,0.66,0.08,62.9052/65.9463/66.09/66.34/68.9264/76.3906/No EMA 200 Target,61.74/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/60.86,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"SBUX, Long, 2025-12-12 (Price: 85.35)",No Exit Yet,"-0.16%, 5 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 85.21), 0.16% below",5 days,Upmove Bounce Back,50% (Price: 83.525),2.02% above,"2025-11-04 (Price: 77.99), 2025-11-12 (Price: 89.06)",18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-07-07/2026-01-28/2027-02-15,17.25%,-2.4%,19.65%,1.15,-0.1,85.0001/94.4654/91.99/117.438/142.4098/150.3462/88.11,82.28/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"XLU, Long, 2025-12-12 (Price: 42.83)",No Exit Yet,"-0.16%, 5 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 42.76), 0.16% below",5 days,Upmove Bounce Back,23.66% (Price: 42.2713),1.16% above,"2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,2029-05-16/2026-02-02/2027-02-10,18.46%,5.33%,13.13%,2.44,0.28,45.3141/46.5562/54.53/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/41.84,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"GILD, Long, 2025-12-12 (Price: 120.4)",No Exit Yet,"0.8%, 5 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 121.36), 0.8% above",5 days,Upmove Bounce Back,38.2% (Price: 120.9683),0.32% above,"2025-10-02 (Price: 108.46), 2025-11-20 (Price: 128.7)",17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-07-07/2026-01-21/2026-08-16,29.7%,11.0%,18.7%,2.35,0.63,130.3691/132.4159/132.54/120.895/140.4376/146.167/No EMA 200 Target,119.36/57.18/104.5806/96.4152/No F-Track Level/No F-Track Level/113.28,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"LYFT, Long, 2025-12-12 (Price: 20.37)",No Exit Yet,"-5.84%, 5 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 19.18), 5.84% below",5 days,Upmove Bounce Back,50% (Price: 19.3525),0.89% below,"2025-08-11 (Price: 13.165), 2025-11-12 (Price: 25.54)",29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-02-02/2025-12-20/2026-08-07,28.24%,-11.2%,39.44%,1.13,0.03,21.6818/23.4153/27.8/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,20.32/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.6,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-12 (Price: 10.16)",No Exit Yet,"2.66%, 5 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-17 (Price: 10.43), 2.66% above",5 days,Upmove Bounce Back,23.66% (Price: 9.6935),7.6% above,"2024-11-13 (Price: 5.22), 2025-11-05 (Price: 11.08)",20.37%/5.32%/11.64%,"1.65%, 37.5%",1.1 year/21 days/6 months,2027-07-08/2026-01-11/2026-08-29,23.8%,-3.41%,27.21%,1.69,-0.03,10.923/11.3426/13.68/10.965/21.86/25.8879/No EMA 200 Target,10.1/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.43,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"-13.34%, 10 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-17 (Price: 79.14), 13.34% below",10 days,Upmove Bounce Back,23.66% (Price: 82.5663),4.15% below,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-02-14/2025-12-27/2026-01-18,23.54%,8.01%,15.53%,14.78,0.43,82.3706/106.5339/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.61,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"3.66%, 10 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-17 (Price: 565.47), 3.66% above",10 days,Upmove Bounce Back,38.2% (Price: 535.7184),5.55% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-03-20/2026-02-05/2026-09-11,14.25%,18.73%,-4.48%,1.65,0.96,592.3256/634.3307/649.27/592.9033/716.5814/751.3605/559.44,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"-4.94%, 10 days","92.31%, Past 2 years, 13","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-17 (Price: 61.35), 4.94% below",10 days,Upmove Bounce Back,38.2% (Price: 58.0258),5.73% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 years/1.2 month/10.2 months,2028-10-14/2026-01-28/2027-02-23,10.18%,8.84%,1.34%,2.08,0.46,74.4017/74.1629/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.67,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"-3.18%, 10 days","100.0%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-17 (Price: 62.45), 3.18% below",10 days,Upmove Bounce Back,38.2% (Price: 57.8675),7.92% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",29.17%/15.14%/18.21%,"0%, 40.57%",2.6 years/1.6 month/9.5 months,2029-08-23/2026-02-14/2027-01-23,15.51%,8.23%,7.28%,4.51,0.42,71.5047/76.2454/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.41,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"4.65%, 17 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-17 (Price: 261.14), 4.65% above",17 days,Upmove Bounce Back,61.8% (Price: 232.7652),12.19% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1.9 year/5.1 months/11.6 months,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/252.71,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-1.47%, 17 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-17 (Price: 1544.4), 1.47% below",17 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.75% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1.6 year/2 months/7.2 months,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1407.13,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"IWM, Long, 2025-11-11 (Price: 244.24)",2025-12-17 (Price: 247.24) (Today),"1.23%, 1.2 month","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-12-17 (Price: 247.24), 1.23% above",1.2 month,Upmove Bounce Back,23.66% (Price: 233.5959),5.84% above,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-06-06/2026-02-01/2027-03-17,14.39%,3.76%,10.63%,1.95,0.16,234.6169/266.7589/292.86/244.72/267.7701/348.4025/No EMA 200 Target,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/222.58,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-17 (Price: 80.56) (Today),"-0.11%, 5.7 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-17 (Price: 80.56), 0.11% below",5.7 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.22% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.89,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","92.86%, Past 42 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-17 (Price: 172.32), 22.63% above",5.7 months,Upmove Bounce Back,23.66% (Price: 108.7595),58.44% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/141.2,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
