"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"XLY, Long, 2026-01-06 (Price: 121.07)",No Exit Yet,"1.53%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-01-06",Already confirmed,"2026-01-08 (Price: 122.92), 1.53% above",2 days,Upmove Bounce Back,23.66% (Price: 120.5152),2.0% above,"2025-11-20 (Price: 110.465), 2025-12-18 (Price: 123.63)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-04-19/2026-02-05/2027-01-19,13.85%,5.91%,7.94%,1.09,0.3,124.0483/130.4892/128.97/121.1117/125.4815/133.9156/No EMA 200 Target,118.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/111.8,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"AMZN, Long, 2026-01-04 (Price: 226.5)",No Exit Yet,"8.74%, 4 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 246.29), 8.74% above",4 days,Upmove Bounce Back,38.2% (Price: 221.462),11.21% above,"2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-01-01/2026-02-13/2026-11-21,13.55%,17.13%,-3.58%,1.66,0.81,266.9529/264.6879/284.83/239.3/317.6152/339.3352/No EMA 200 Target,213.04/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/217.89,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"UBER, Long, 2026-01-04 (Price: 82.86)",No Exit Yet,"5.71%, 4 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 87.59), 5.71% above",4 days,Upmove Bounce Back,50% (Price: 78.415),11.7% above,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-14/2026-01-24/2026-02-15,23.54%,8.01%,15.53%,14.78,0.43,74.7397/96.6645/111.15/No Horizontal Resistance/109.2759/122.511/88.23,79.31/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"FXI, Long, 2026-01-04 (Price: 39.82)",No Exit Yet,"-1.05%, 4 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 39.4), 1.05% below",4 days,Upmove Bounce Back,23.66% (Price: 36.9983),6.49% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-24/2026-04-13/2028-07-30,8.74%,2.27%,6.47%,1.68,0.1,41.2296/45.6815/52.5/42.665/90.5742/95.3274/No EMA 200 Target,38.6/20.865/38.0047/No support/No F-Track Level/No F-Track Level/37.82,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"FRW.NZ, Long, 2026-01-04 (Price: 14.45)",No Exit Yet,"-1.11%, 4 days","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 14.29), 1.11% below",4 days,Upmove Bounce Back,23.66% (Price: 13.0889),9.18% above,"2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-04-17/2026-06-13/2027-07-31,10.07%,5.08%,4.99%,2.43,0.25,14.6032/16.4788/18.99/No Horizontal Resistance/16.2179/21.849/No EMA 200 Target,10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.12,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"BIPC.TO, Long, 2026-01-04 (Price: 62.15)",No Exit Yet,"-1.27%, 4 days","100.0%, Past 17 years, 4","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 61.36), 1.27% below",4 days,Upmove Bounce Back,38.2% (Price: 58.8572),4.25% above,"2025-04-13 (Price: 45.7), 2025-10-19 (Price: 66.99)",16.58%/15.85%/16.24%,"-0.0%, 8.87%",6.3 months/1.6 month/3.4 months,2026-10-04/2026-03-14/2026-05-31,16.31%,8.39%,7.92%,1.53,0.43,63.3557/72.2432/74.92/66.672/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,53.03/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.38,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"ORCL, Long, 2026-01-04 (Price: 195.71)",No Exit Yet,"-3.1%, 4 days","86.21%, Past 20 years, 29","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-08 (Price: 189.65), 3.1% below",4 days,Upmove Bounce Back,50% (Price: 174.3317),8.79% above,"1996-04-14 (Price: 2.9433), 2025-09-14 (Price: 345.72)",24.18%/5.64%/16.61%,"12.23%, 26.99%",2.6 years/1.4 month/10.1 months,2029-09-20/2026-03-05/2027-03-18,12.55%,10.22%,2.33%,1.29,0.53,231.7402/228.2174/401.38/No Horizontal Resistance/300.069/376.1425/216.2,189.97/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-4.72%, 8 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-08 (Price: 259.04), 4.72% below",8 days,Upmove Bounce Back,38.2% (Price: 169.2862),53.02% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/232.95,75.0%/4/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets)
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-8.62%, 8 days","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-08 (Price: 33.39), 8.62% below",8 days,Upmove Bounce Back,38.2% (Price: 34.562),3.39% below,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/40.717/47.4928/No EMA 200 Target,26.75/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.23,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"-0.07%, 8 days","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-08 (Price: 3203.8999), 0.07% below",8 days,Upmove Bounce Back,50% (Price: 2809.1),14.05% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3234.48,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",No Exit Yet,"3.05%, 8 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-08 (Price: 38.9), 3.05% above",8 days,Upmove Bounce Back,23.66% (Price: 34.9549),11.29% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-19/2026-06-22/2030-09-16,4.68%,9.29%,-4.61%,0.75,0.49,47.0516/45.7945/49.28/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.53,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"0.98%, 8 days","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-08 (Price: 12.41), 0.98% above",8 days,Upmove Bounce Back,50% (Price: 10.74),15.55% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.44,75.0%/4/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets)
"TCEHY, Long, 2025-12-28 (Price: 78.08)",No Exit Yet,"1.11%, 11 days","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-08 (Price: 78.95), 1.11% above",11 days,Upmove Bounce Back,23.66% (Price: 74.7427),5.63% above,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/72.72,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"GNE.NZ, Long, 2025-12-28 (Price: 2.4)",No Exit Yet,"2.08%, 11 days","77.78%, Past 11 years, 9","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-08 (Price: 2.45), 2.08% above",11 days,Upmove Bounce Back,38.2% (Price: 2.3652),3.59% above,"2024-06-09 (Price: 2.05), 2025-10-19 (Price: 2.56)",18.96%/17.54%/18.08%,"3.54%, 29.05%",1.2 year/3.3 months/9.6 months,2027-09-14/2026-05-20/2027-02-18,8.62%,2.18%,6.44%,0.59,0.05,2.4466/2.8339/2.71/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.35,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"ATM.NZ, Long, 2025-12-28 (Price: 10.52)",No Exit Yet,"1.24%, 11 days","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-08 (Price: 10.65), 1.24% above",11 days,Upmove Bounce Back,23.66% (Price: 9.6935),9.87% above,"2024-11-17 (Price: 5.22), 2025-11-09 (Price: 11.08)",28.57%/15.19%/20.26%,"-0.0%, 35.59%",1.4 year/7 days/4.4 months,2027-12-26/2026-01-07/2026-07-07,12.78%,17.84%,-5.06%,2.5,0.78,11.713/12.6514/14.04/10.965/21.86/25.8879/No EMA 200 Target,10.16/5.2267/9.9254/9.2893/No F-Track Level/No F-Track Level/9.52,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"TRI.TO, Long, 2025-12-28 (Price: 181.76)",No Exit Yet,"-1.36%, 11 days","91.67%, Past 20 years, 12","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-08 (Price: 179.29), 1.36% below",11 days,Upmove Bounce Back,88.6% (Price: 178.5402),0.42% above,"2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,2028-02-18/2026-03-07/2026-08-28,9.55%,6.23%,3.32%,1.2,0.33,215.6764/202.2444/263.5/240.8933/293.2329/455.2123/235.7,179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"IBKR, Long, 2025-12-19 (Price: 64.26)",2026-01-05 (Price: 71.57),"11.38%, 17 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2026-01-08 (Price: 70.16), 9.18% above",20 days,Upmove Bounce Back,23.66% (Price: 62.1287),12.93% above,"2024-08-05 (Price: 25.9225), 2025-10-10 (Price: 73.35)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-07-15/2026-01-28/2026-04-28,35.27%,24.2%,11.07%,1.68,1.19,69.4458/72.209/92.72/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,62.45/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/59.09,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"MSE.PA, Long, 2025-12-15 (Price: 64.11)",2026-01-07 (Price: 66.05),"3.03%, 23 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2026-01-08 (Price: 65.84), 2.7% above",24 days,Upmove Bounce Back,23.66% (Price: 62.9255),4.63% above,"2025-08-01 (Price: 57.2), 2025-11-13 (Price: 64.7)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-03-28/2026-02-09/2026-08-10,22.9%,9.15%,13.75%,2.88,0.6,66.1679/69.5786/68.61/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.24,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BPCL.NS, Long, 2025-11-27 (Price: 364.7)",2026-01-06 (Price: 370.8),"1.67%, 1.3 month","86.67%, Past 5 years, 15","Daily, was CONFIRMED on 2025-11-27",Already confirmed,"2026-01-08 (Price: 354.55), 2.78% below",1.4 month,Upmove Bounce Back,38.2% (Price: 352.9955),0.44% above,"2025-09-01 (Price: 306.8), 2025-11-17 (Price: 381.55)",12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-01-17/2026-01-18/2027-01-18,15.95%,8.45%,7.5%,1.08,0.45,386.2173/402.2276/409.55/No Horizontal Resistance/372.4081/393.108/No EMA 200 Target,355.85/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/331.95,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"IBKR, Long, 2025-11-25 (Price: 63.17)",2026-01-05 (Price: 71.57),"13.3%, 1.4 month","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2026-01-08 (Price: 70.16), 11.07% above",1.5 month,Upmove Bounce Back,23.66% (Price: 58.0979),20.76% above,"2024-08-05 (Price: 25.9225), 2025-08-12 (Price: 68.07)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-06-21/2026-01-04/2026-04-04,35.27%,24.2%,11.07%,1.68,1.19,68.2678/70.9841/88.46/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/59.09,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BN.TO, Long, 2025-11-20 (Price: 61.6)",2026-01-06 (Price: 67.9),"10.23%, 1.6 month","95.65%, Past 2 years, 23","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2026-01-08 (Price: 65.48), 6.3% above",1.6 month,Upmove Bounce Back,23.66% (Price: 58.5318),11.87% above,"2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",13.66%/1.8%/9.84%,"1.86%, 36.05%",2.6 years/6 days/6.3 months,2029-08-06/2025-11-28/2026-08-20,32.86%,12.33%,20.53%,1.73,0.66,62.9552/67.6614/86.61/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,60.2/26.2374/59.2857/53.7251/No F-Track Level/No F-Track Level/58.62,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
