"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IWM, Long, 2026-02-09 (Price: 266.88)",No Exit Yet,"-0.72%, 2 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 264.95), 0.72% below",2 days,Upmove Bounce Back,23.66% (Price: 261.4972),1.32% above,"2025-11-20 (Price: 228.9), 2026-01-22 (Price: 271.6)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-09-04/2026-05-02/2027-06-15,14.39%,3.76%,10.63%,1.95,0.16,256.3649/291.4863/292.5/No Horizontal Resistance/348.4025/539.5308/No EMA 200 Target,255.83/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/234.26,No Data (Across ALL Assets),No Data (Across ALL Assets),264.84
"SONY, Long, 2026-02-09 (Price: 22.33)",No Exit Yet,"2.78%, 2 days","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 22.95), 2.78% above",2 days,Upmove Bounce Back,61.8% (Price: 20.8735),9.95% above,"2024-05-10 (Price: 15.022), 2025-11-12 (Price: 30.34)",14.08%/10.04%/11.55%,"5.03%, 43.88%",3.1 years/21 days/5.7 months,2030-07-14/2026-03-11/2026-10-14,19.13%,6.23%,12.9%,1.28,0.32,23.7837/24.9091/31.52/26.85/33.2191/35.3948/26.51,21.24/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),22.13
"SPY, Long, 2026-02-09 (Price: 693.95)",No Exit Yet,"-0.29%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 691.96), 0.29% below",2 days,Upmove Bounce Back,23.66% (Price: 686.7222),0.76% above,"2025-11-21 (Price: 650.85), 2026-01-28 (Price: 697.84)",11.01%/6.98%/9.73%,"-0.0%, 22.75%",2 years/1.4 month/7 months,2028-12-17/2026-04-10/2026-12-10,25.67%,9.09%,16.58%,3.17,0.61,715.74/761.4713/722.14/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,677.62/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/647.37,No Data (Across ALL Assets),No Data (Across ALL Assets),689.42
"NU, Long, 2026-02-09 (Price: 17.55)",No Exit Yet,"-0.8%, 2 days","100.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 17.41), 0.8% below",2 days,Upmove Bounce Back,38.2% (Price: 16.2716),7.0% above,"2025-08-14 (Price: 11.89), 2026-01-29 (Price: 18.98)",14.19%/10.08%/11.27%,"0%, 32.54%",9.7 months/3 days/2 months,2027-04-06/2026-02-13/2026-05-06,42.11%,9.45%,32.66%,9.27,0.53,19.0558/19.5279/21.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,16.81/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/14.81,No Data (Across ALL Assets),No Data (Across ALL Assets),17.44
"AAPL, Long, 2026-02-08 (Price: 278.12)",No Exit Yet,"-0.8%, 3 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-11 (Price: 275.9), 0.8% below",3 days,Upmove Bounce Back,38.2% (Price: 243.0054),13.54% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-13/2026-04-09/2027-01-12,12.35%,17.83%,-5.48%,2.32,0.9,305.6261/324.7329/349.77/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,248.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/239.58,No Data (Across ALL Assets),No Data (Across ALL Assets),260.03
"META, Long, 2026-02-08 (Price: 661.46)",No Exit Yet,"1.17%, 3 days","100.0%, Past 13 years, 6","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-11 (Price: 669.2), 1.17% above",3 days,Upmove Bounce Back,23.66% (Price: 613.221),9.13% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-07/2026-03-10/2027-03-06,19.03%,15.86%,3.17%,8.93,0.74,822.4594/775.4296/1125.61/No Horizontal Resistance/842.484/1305.5879/687.93,620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),714.6
"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"2.4%, 3 days","85.71%, Past 20 years, 7","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-11 (Price: 36.29), 2.4% above",3 days,Upmove Bounce Back,38.2% (Price: 33.1947),9.32% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-30/2026-05-31/2027-10-26,6.51%,10.86%,-4.35%,1.44,0.54,40.9545/41.9113/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No support/No F-Track Level/No F-Track Level/35.31,No Data (Across ALL Assets),No Data (Across ALL Assets),34.42
"SOXX, Long, 2026-02-06 (Price: 348.51)",No Exit Yet,"3.35%, 5 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-11 (Price: 360.2), 3.35% above",5 days,Upmove Bounce Back,38.2% (Price: 324.3165),11.06% above,"2025-11-21 (Price: 260.44), 2026-01-29 (Price: 363.8)",14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-02-04/2026-02-24/2026-08-07,24.17%,12.97%,11.2%,1.2,0.63,376.8439/385.94/410.53/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,330.38/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/268.41,No Data (Across ALL Assets),No Data (Across ALL Assets),337.4
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-3.8%, 11 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-11 (Price: 108.51), 3.8% below",11 days,Upmove Bounce Back,50% (Price: 102.395),5.97% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/112.82,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-0.89%, 11 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-11 (Price: 1.3683), 0.89% below",11 days,Upmove Bounce Back,23.66% (Price: 1.271),7.66% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,No Data (Across ALL Assets),No Data (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.13%, 11 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-11 (Price: 0.8206), 0.13% above",11 days,Upmove Bounce Back,78.6% (Price: 0.8038),2.09% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,No Data (Across ALL Assets),No Data (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-17.99%, 11 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-11 (Price: 48.74), 17.99% below",11 days,Upmove Bounce Back,78.6% (Price: 43.8439),11.17% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.39,No Data (Across ALL Assets),No Data (Across ALL Assets),51.61
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"1.49%, 1.4 month","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-11 (Price: 275.9), 1.49% above",1.4 month,Upmove Bounce Back,38.2% (Price: 169.2862),62.98% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/239.58,No Data (Across ALL Assets),No Data (Across ALL Assets),255.04
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-8.95%, 1.4 month","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-11 (Price: 11.19), 8.95% below",1.4 month,Upmove Bounce Back,50% (Price: 10.74),4.19% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.52,No Data (Across ALL Assets),No Data (Across ALL Assets),10.7
"TCEHY, Long, 2025-12-28 (Price: 78.08)",2026-02-08 (Price: 71.49),"-8.44%, 1.4 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-11 (Price: 69.5), 10.99% below",1.5 month,Upmove Bounce Back,23.66% (Price: 74.7427),7.01% below,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/74.51,No Data (Across ALL Assets),No Data (Across ALL Assets),78.76
"BTI, Long, 2025-12-23 (Price: 57.04)",2026-02-06 (Price: 62.8),"10.1%, 1.5 month","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-23",Already confirmed,"2026-02-11 (Price: 60.33), 5.77% above",1.7 month,Upmove Bounce Back,23.66% (Price: 56.8269),6.16% above,"2025-10-21 (Price: 49.88), 2025-12-11 (Price: 58.98)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-09-08/2026-02-21/2027-09-09,11.0%,5.81%,5.19%,1.67,0.3,61.6545/62.0937/62.5/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,56.45/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.02,No Data (Across ALL Assets),No Data (Across ALL Assets),56.89
"BYD.TO, Long, 2025-12-15 (Price: 222.94)",2026-02-10 (Price: 245.52),"10.13%, 1.9 month","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2026-02-11 (Price: 245.84), 10.27% above",1.9 month,Upmove Bounce Back,50% (Price: 223.09),10.2% above,"2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2028-12-14/2026-01-21/2026-07-02,27.71%,0.9%,26.81%,1.63,0.03,238.256/247.5303/245.25/256.6133/367.2583/388.6839/No EMA 200 Target,221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/217.55,No Data (Across ALL Assets),No Data (Across ALL Assets),222.88
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-31 (Price: 1423.0),"34.34%, 3.1 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-11 (Price: 1435.63), 35.54% above",3.4 months,Upmove Bounce Back,38.2% (Price: 692.3064),107.37% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/937.86,No Data (Across ALL Assets),No Data (Across ALL Assets),965.61
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",2026-02-11 (Price: 99.88),"25.46%, 3.4 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-11 (Price: 99.88), 25.46% above",3.4 months,Upmove Bounce Back,23.66% (Price: 74.8871),33.37% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-09-06/2026-01-30/2028-04-04,8.5%,12.52%,-4.02%,1.5,0.63,101.1286/101.8371/138.22/84.3925/95.0177/123.2166/81.01,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),79.32
"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-02-01 (Price: 91.3),"16.86%, 5.4 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-02-11 (Price: 99.88), 27.84% above",5.7 months,Upmove Bounce Back,23.66% (Price: 74.9167),33.32% above,"2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.67/84.3925/95.0177/123.2166/81.01,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),76.84
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-31 (Price: 430.29),"-13.49%, 7.2 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-11 (Price: 403.9), 18.8% below",7.5 months,Upmove Bounce Back,50% (Price: 340.89),18.48% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/487.29,No Data (Across ALL Assets),No Data (Across ALL Assets),457.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-11 (Price: 73.76),"21.04%, 7.5 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-11 (Price: 73.76), 21.04% above",7.5 months,Upmove Bounce Back,50% (Price: 48.385),52.44% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,59.9893/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/64.13,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),59.72
