Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-05 (Price: 9.39)",Daily,No Exit Yet,No Price Target,2026-01-30 (Min),2.18%/8.05%,"-1.06%, 1.8 month","2026-01-28 (Price: 9.29), 1.06% below",10.0379 (Avg % Gain of Historic Winning trades)/10.1 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.5196 (Backtested Max)/9.4924 (Backtested Min),2030-01-25 (Max)/2026-01-30 (Min)/2027-03-27 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",9.5,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.65% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-04 (Price: 9.5)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),3.03%/3.37%,"-2.21%, 1.8 month","2026-01-28 (Price: 9.29), 2.21% below",9.5713 (Historic Rise or Fall to Pivot)/10.1555 (Avg % Gain of Historic Winning trades)/10.21 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6429 (Backtested Max)/9.6035 (Backtested Min),2030-01-24 (Max)/2026-01-29 (Min)/2027-03-26 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",9.45,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.65% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),2.27%/2.45%,"-0.75%, 9 days","2026-01-28 (Price: 9.29), 0.75% below",9.5172 (Historic Rise or Fall to Pivot)/9.6595 (Avg % Gain of Historic Winning trades)/9.58 (Function Specific Target)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max)/9.5013 (Backtested Min),2026-06-28 (Max)/2026-01-29 (Min)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",9.34,No Information,No Information,No Information,No Information,No Information,0.75% below/0.75% below/0.75% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2026-01-23 (Price: 177.16)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),7.89%/12.82%,"-2.46%, 5 days","2026-01-28 (Price: 172.8), 2.46% below",186.4255 (Historic Rise or Fall to Pivot)/205.169 (Avg % Gain of Historic Winning trades)/313.28 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/219.27 (EMA 200)/260.8327 (Backtested Max)/194.9469 (Backtested Min),2028-05-06 (Max)/2026-08-02 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 23",172.62,No Information,No Information,No Information,"78.6% (Price: 167.408), 3.22% above, Upmove Bounce Back","2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",No Information,47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,57.24%,18.71%,38.53%,1.43,0.86,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",Daily,No Exit Yet,No Price Target,2026-01-27 (Max),91.39%/100.91%,"-47.37%, 4.7 months","2026-01-28 (Price: 172.8), 47.37% below",363.5926 (Historic Rise or Fall to Pivot)/347.1761 (Avg % Gain of Historic Winning trades)/379.2 (Function Specific Target)/376.1425 (F-Stack 2)/373.0485 (Backtested Max)/330.7268 (Backtested Min),No Next Date Target,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/184.4,"100.0%, Past 4 years, 17",319.19,No Information,No Information,No Information,No Information,No Information,28.45% below/47.37% below/47.37% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-28 (Price: 633.22) (Today),640.3881 (Avg % Gain of Historic Winning trades),No Date Target,2.52%/4.9%,"11.01%, 5 months","2026-01-28 (Price: 633.22), 11.01% above",649.1722 (Historic Rise or Fall to Pivot)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",558.83,No Information,No Information,No Information,No Information,No Information,11.01% above/11.01% above/11.01% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
BAND MATRIX,"QQQ, Long, 2025-11-20 (Price: 585.67)",Daily,No Exit Yet,637.94 (Function Specific Target),No Date Target,2.89%/7.85%,"8.12%, 2.3 months","2026-01-28 (Price: 633.22), 8.12% above",651.4993 (Avg % Gain of Historic Winning trades)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/682.9498 (Backtested Max),2028-08-06 (Max)/2026-02-10 (Min)/2026-10-11 (Avg),563.28/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/571.91,"100.0%, Past 5 years, 7",611.62,No Information,No Information,No Information,No Information,No Information,No Information,16.61%/1.3%/11.24%,"-0.0%, 35.62%",1.9 year/1.9 month/7.5 months,15.51%,10.52%,4.99%,1.44,0.62,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",Weekly,No Exit Yet,50.4454 (Avg % Gain of Historic Winning trades),No Date Target,2.55%/11.71%,"6.62%, 2.2 months","2026-01-28 (Price: 50.23), 6.62% above",63.28 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/56.1127 (Backtested Max),2026-04-24 (Max)/2026-02-09 (Avg),41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,"95.45%, Past 10 years, 22",47.0,No Information,No Information,No Information,No Information,No Information,13.13% above/6.62% above/6.62% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,50.5707 (Historic Rise or Fall to Pivot),No Date Target,2.55%/31.07%,"20.54%, 8.1 months","2026-01-28 (Price: 50.23), 20.54% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/0 days (Across ALL Assets)
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),4.33%/4.95%,"-2.25%, 6 days","2026-01-28 (Price: 162.2), 2.25% below",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/148.52,"91.67%, Past 4 years, 12",167.19,No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-01-28 (Price: 162.2) (Today),No Price Target,No Date Target,16.31%/24.0%,"30.35%, 11.3 months","2026-01-28 (Price: 162.2), 30.35% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",Daily,2026-01-27 (Price: 186.36),No Price Target,No Date Target,9.87%/13.12%,"-7.81%, 16 days","2026-01-28 (Price: 186.3), 7.81% below",210.7492 (Historic Rise or Fall to Pivot)/220.3278 (Avg % Gain of Historic Winning trades)/223.5 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/225.8042 (Backtested Max)/204.6868 (Backtested Min),2027-01-07 (Max)/2026-02-09 (Min)/2026-05-22 (Avg),198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.25,"85.19%, Past 5 years, 27",199.44,No Information,No Information,No Information,"23.66% (Price: 201.5134), 7.55% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),5.7%/6.04%,"-3.08%, 5 days","2026-01-28 (Price: 186.3), 3.08% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.25,"80.0%, Past 4 years, 5",193.26,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-28 (Price: 43.33) (Today),No Price Target,No Date Target,4.21%/10.43%,"9.9%, 10.1 months","2026-01-28 (Price: 43.33), 9.9% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.18% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.33%,"16.38%, 3.9 years","2026-01-28 (Price: 43.33), 16.38% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",35.775,No Information,No Information,No Information,No Information,No Information,16.38% above/16.38% above/16.38% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2025-09-30 (Price: 1.3437)",Daily,No Exit Yet,1.38 (Function Specific Target)/1.3832 (Backtested Min),No Date Target,2.34%/3.09%,"2.74%, 4 months","2026-01-28 (Price: 1.3805), 2.74% above",1.4128 (Avg % Gain of Historic Winning trades)/1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.4515 (Backtested Max),2028-06-16 (Max)/2027-02-07 (Avg),1.33/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,"92.86%, Past 5 years, 14",1.3435,No Information,No Information,No Information,"23.66% (Price: 1.3546), 1.91% above, Upmove Bounce Back","2025-08-01 (Price: 1.3144), 2025-09-16 (Price: 1.3671)",No Information,8.02%/2.94%/5.14%,"0.27%, 9.35%",1.9 year/28 days/11.4 months,5.3%,-0.1%,5.4%,0.92,-0.51,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
BAND MATRIX,"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",Daily,No Exit Yet,1.3865 (Backtested Max),No Date Target,3.09%/76.9%,"4.62%, 3 months","2026-01-28 (Price: 1.3805), 4.62% above",1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2),2026-08-25 (Max)/2026-02-24 (Avg),No support/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"91.67%, Past 5 years, 12",1.3194,No Information,No Information,No Information,No Information,No Information,No Information,5.08%/0.79%/2.49%,"10.95%, 16.78%",6.9 months/1 month/2.7 months,3.87%,-0.1%,3.97%,0.28,-0.51,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
