"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MFT.NZ, Long, 2025-12-22 (Price: 68.55)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-22 (Price: 68.55), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-22 (Price: 68.55),2025-12-22 (Price: 68.55),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-22 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-17/2026-07-27/2026-12-26,9.96%,11.66%,-1.7%,0.82,0.67,106.2799/77.6534/69.12/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-22 (Price: 75.05)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-22 (Price: 75.05), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-22 (Price: 75.05),83/0/0 days,22.27% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-22 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-17/2027-10-30/2028-04-04,16.49%,8.5%,7.99%,0.7,0.42,154.8056/194.2519/101.08/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/54.6,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"DOL.TO, Long, 2025-12-22 (Price: 204.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 203.6331 prior to 2025-12-26,"2025-12-22 (Price: 204.3), 0.0% below",0 days,"2, 2025-06-15 (Price: 193.74)",2025-12-22 (Price: 204.3),2025-12-22 (Price: 204.3),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-06-15 (Price: 196.46)/2025-12-22 (Price: 202.62),14.72%/3.73%/8.72%,"0%, 10.74%",4.4 months/1.2 month/1.7 month,2026-07-01/2026-02-12/2026-03-05,11.66%,19.11%,-7.45%,2.37,1.22,243.5665/222.115/210.64/No Horizontal Resistance/252.753/384.8349/No EMA 200 Target,174.88/53.2967/171.1219/120.6711/167.5471/141.4827/181.64,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"ABNB, Long, 2025-12-21 (Price: 135.28)",No Exit Yet,"1.23%, 1 day","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 136.95), 1.23% above",1 day,"2, 2025-06-08 (Price: 140.64)",2025-12-14 (Price: 128.39),2025-12-19 (Price: 135.28),8/3/1 days,6.67% above/1.23% above/1.23% above,2025-06-08 (Price: 145.7791)/2025-12-21 (Price: 126.3652),21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-11/2026-02-11/2026-07-26,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.5359/232.9937/No EMA 200 Target,114.26/99.795/124.5998/No support/No F-Track Level/No F-Track Level/126.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"WPM.TO, Long, 2025-12-21 (Price: 164.88)",No Exit Yet,"1.92%, 1 day","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 168.04), 1.92% above",1 day,"6, 2024-08-04 (Price: 79.97)",2025-12-21 (Price: 164.88),2025-12-19 (Price: 164.88),1/3/1 days,1.92% above/1.92% above/1.92% above,2024-08-04 (Price: 79.878)/2025-12-21 (Price: 162.5546),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"RHHBY, Long, 2025-12-21 (Price: 51.2)",No Exit Yet,"0.39%, 1 day","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 51.4), 0.39% above",1 day,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-18 (Price: 50.27),8/4/1 days,2.72% above/2.25% above/0.39% above,2025-07-06 (Price: 40.6429)/2025-12-21 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"UPS, Long, 2025-12-21 (Price: 101.92)",No Exit Yet,"-1.17%, 1 day","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 100.73), 1.17% below",1 day,"2, 2025-07-06 (Price: 104.13)",2025-12-14 (Price: 100.92),2025-12-19 (Price: 101.92),8/3/1 days,0.19% below/1.17% below/1.17% below,2025-07-06 (Price: 106.46)/2025-12-21 (Price: 98.1447),11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"CSCO, Long, 2025-12-19 (Price: 78.42)",No Exit Yet,"-0.4%, 3 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 78.11), 0.4% below",3 days,"0, 2024-03-06 (Price: 49.17)",2025-12-17 (Price: 76.0),2025-12-19 (Price: 78.42),5/3/3 days,2.78% above/0.4% below/0.4% below,2024-03-06 (Price: 58.6547)/2025-12-19 (Price: 76.1208),5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-02-04/2025-12-27/2026-01-05,6.96%,6.16%,0.8%,0.14,0.32,81.0235/80.4981/95.97/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,76.0/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/67.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"INFY, Long, 2025-12-19 (Price: 20.22)",No Exit Yet,"-5.24%, 3 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 19.16), 5.24% below",3 days,"2, 2025-10-29 (Price: 16.88)",2025-12-19 (Price: 20.22),2025-12-19 (Price: 20.22),3/3/3 days,5.24% below/5.24% below/5.24% below,2025-10-29 (Price: 16.5846)/2025-12-19 (Price: 19.0812),6.66%/1.9%/4.18%,"-0.0%, 10.02%",3.3 months/7 days/1 month,2026-05-11/2025-12-29/2026-01-31,13.05%,6.68%,6.37%,1.41,0.34,21.1259/21.0652/22.22/23.796/31.8515/41.1179/No EMA 200 Target,16.18/16.0317/13.0115/No support/No F-Track Level/No F-Track Level/17.52,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"WPM, Long, 2025-12-19 (Price: 119.7)",No Exit Yet,"2.1%, 3 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-22 (Price: 122.21), 2.1% above",3 days,"2, 2025-10-29 (Price: 95.18)",2025-12-18 (Price: 115.45),2025-12-19 (Price: 119.7),4/3/3 days,5.86% above/2.1% above/2.1% above,2025-10-29 (Price: 105.76)/2025-12-19 (Price: 115.3164),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-02/2025-12-24/2026-02-13,22.59%,17.13%,5.46%,1.09,0.81,128.9887/127.2411/134.41/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/93.73,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"WPM.TO, Long, 2025-12-18 (Price: 159.04)",No Exit Yet,"5.66%, 4 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-22 (Price: 168.04), 5.66% above",4 days,"2, 2025-10-29 (Price: 132.75)",2025-12-18 (Price: 159.04),2025-12-18 (Price: 159.04),4/4/4 days,5.66% above/5.66% above/5.66% above,2025-10-29 (Price: 151.1569)/2025-12-18 (Price: 158.08),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"-1.07%, 4 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-22 (Price: 316.22), 1.07% below",4 days,"2, 2025-10-28 (Price: 306.4)",2025-12-17 (Price: 318.69),2025-12-18 (Price: 319.65),5/4/4 days,0.78% below/1.07% below/1.07% below,2025-10-28 (Price: 307.6786)/2025-12-18 (Price: 316.4214),4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-06-05/2025-12-28/2026-02-12,12.38%,5.6%,6.78%,1.08,0.28,330.2624/327.8011/327.6/321.3575/370.0426/590.3302/No EMA 200 Target,300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"WMT, Long, 2025-12-14 (Price: 116.7)",No Exit Yet,"-3.51%, 8 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-22 (Price: 112.6), 3.51% below",8 days,"0, 2021-08-22 (Price: 50.4833)",2025-11-30 (Price: 110.51),2025-12-12 (Price: 116.7),22/10/8 days,1.89% above/3.51% below/3.51% below,2021-08-22 (Price: 54.212)/2025-12-14 (Price: 109.112),10.45%/2.48%/5.29%,"1.31%, 24.69%",1.5 year/28 days/5.7 months,2028-02-04/2026-01-23/2026-08-18,8.78%,8.74%,0.04%,1.42,0.53,124.1221/122.8734/156.43/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,101.18/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.71,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",No Exit Yet,"1.71%, 8 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-22 (Price: 68.55), 1.71% above",8 days,"4, 2024-07-28 (Price: 72.0)",2025-12-14 (Price: 67.4),2025-12-11 (Price: 67.25),8/11/8 days,1.71% above/1.93% above/1.71% above,2024-07-28 (Price: 78.0579)/2025-12-14 (Price: 66.7737),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-08-31/2026-01-23/2026-06-23,9.15%,10.41%,-1.26%,1.17,0.61,72.5831/71.3496/70.16/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"TD.TO, Long, 2025-12-14 (Price: 125.8)",No Exit Yet,"1.73%, 8 days","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-22 (Price: 127.98), 1.73% above",8 days,"2, 2025-06-29 (Price: 99.45)",2025-12-14 (Price: 125.8),2025-12-09 (Price: 123.47),8/13/8 days,1.73% above/3.65% above/1.73% above,2025-06-29 (Price: 99.8746)/2025-12-14 (Price: 122.185),12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,2028-07-09/2026-01-23/2026-07-06,7.49%,5.65%,1.84%,1.01,0.31,134.9205/134.0776/141.61/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/100.5,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"ABNB, Long, 2025-12-11 (Price: 128.0)",2025-12-17 (Price: 133.78),"4.52%, 6 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-22 (Price: 136.95), 6.99% above",11 days,"0, 2024-02-27 (Price: 152.06)",2025-12-10 (Price: 127.57),2025-12-11 (Price: 128.0),12/11/11 days,7.35% above/6.99% above/6.99% above,2024-02-27 (Price: 188.583)/2025-12-11 (Price: 125.7194),13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-29/2025-12-19/2026-01-17,10.28%,-2.98%,13.26%,0.22,0.05,127.3216/137.152/142.44/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.69,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"ABNB, Long, 2025-12-10 (Price: 127.57)",2025-12-17 (Price: 133.78),"4.87%, 7 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-22 (Price: 136.95), 7.35% above",12 days,"0, 2024-02-26 (Price: 149.27)",2025-12-09 (Price: 125.39),2025-12-10 (Price: 127.57),13/12/12 days,9.22% above/7.35% above/7.35% above,2024-02-26 (Price: 192.9862)/2025-12-10 (Price: 124.1457),13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-28/2025-12-18/2026-01-16,10.28%,-2.98%,13.26%,0.22,0.05,126.8939/136.6913/140.59/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.77,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
