Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",No Exit Yet,"3.24%, 4 days","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-02-02",No Cancellation Possible,"2026-02-06 (Price: 193.05), 3.24% above",4 days,185.16,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,2026-10-12/2026-02-04/2026-05-12,19.66%,19.52%,0.14%,0.91,1.22,201.3055/206.2797/203.83/197.56/294.0831/455.769/187.92,No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"TSM, Long, 2026-02-02 (Price: 341.36)",No Exit Yet,"1.04%, 4 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 344.9), 1.04% above",4 days,330.755,No Information,No Information,No Information,"23.66% (Price: 331.3349), 4.09% above, Upmove Bounce Back","2025-11-21 (Price: 266.82), 2026-01-15 (Price: 351.33)",No Information,13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2029-02-01/2026-02-25/2026-07-17,37.14%,15.53%,21.61%,2.66,0.73,372.4579/380.6164/392.07/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/258.49,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"CAD=X, Long, 2026-02-02 (Price: 1.3636)",No Exit Yet,"-0.05%, 4 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 1.3629), 0.05% below",4 days,1.3636,No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,2026-03-26/2026-02-04/2026-02-20,4.14%,1.03%,3.11%,0.22,-0.46,1.3846/1.3734/1.38/1.3921/No Next Fib Ext/No Next Fib Ext/1.38,1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"CNR.TO, Long, 2026-02-02 (Price: 130.79)",No Exit Yet,"5.3%, 4 days","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-02",No Cancellation Possible,"2026-02-06 (Price: 137.72), 5.3% above",4 days,137.0,No Information,No Information,No Information,No Information,No Information,No Information,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,2028-03-25/2026-03-17/2026-08-29,10.42%,-0.9%,11.32%,0.54,-0.19,136.4924/141.9595/139.23/173.435/218.156/349.4971/135.86,128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"1.45%, 5 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-06 (Price: 942.7), 1.45% above",5 days,906.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/977.33,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-4.81%, 6 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-05 (Price: 890.41), 4.81% below",6 days,884.0,No Information,No Information,No Information,No Information,No Information,1.3% above/4.81% below/4.81% below,53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-08-26/2026-07-23/2027-04-01,11.01%,6.57%,4.44%,1.51,0.33,1116.9731/1157.4763/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.94%, 6 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 104.97), 6.94% below",6 days,113.44,No Information,No Information,No Information,"50% (Price: 102.395), 2.51% above, Upmove Bounce Back","2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",No Information,30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/No EMA 200 Target,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/112.32,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-1.43%, 6 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 1.3609), 1.43% below",6 days,1.3475,No Information,No Information,No Information,"23.66% (Price: 1.271), 7.07% above, Upmove Bounce Back","2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",No Information,3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.01%, 6 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 0.8196), 0.01% above",6 days,0.7896,No Information,No Information,No Information,"78.6% (Price: 0.8038), 1.97% above, Upmove Bounce Back","2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",No Information,20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-21.81%, 6 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 46.47), 21.81% below",6 days,51.61,No Information,No Information,No Information,"78.6% (Price: 43.8439), 5.99% above, Upmove Bounce Back","2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",No Information,42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",2026-02-04 (Price: 503.83),"5.67%, 6 days","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-02-06 (Price: 508.585), 6.67% above",8 days,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/630.85/709.9376/494.39,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",2026-02-03 (Price: 25727.5508),"1.73%, 12 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 25693.6992), 1.6% above",15 days,25344.1504,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25246.03,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 59502.6992), 2.25% above",15 days,57962.6016,No Information,No Information,No Information,No Information,No Information,No Information,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58380.1,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",2026-02-06 (Price: 168.45) (Today),"1.51%, 15 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 168.45), 1.51% above",15 days,167.19,No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,2026-04-23/2026-01-27/2026-02-19,8.27%,12.05%,-3.78%,0.79,0.88,172.1793/170.2213/171.2/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/150.05,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-01-16 (Price: 52.97)",2026-02-04 (Price: 55.38),"4.55%, 19 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-05 (Price: 54.94), 3.72% above",20 days,52.69,No Information,No Information,No Information,No Information,No Information,No Information,6.86%/2.52%/4.16%,"10.59%, 11.17%",1.1 month/1 day/11 days,2026-03-04/2026-01-17/2026-01-31,13.59%,7.35%,6.24%,0.55,0.38,56.1959/55.1736/55.68/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,52.48/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.35,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"SPOT, Long, 2026-01-14 (Price: 528.92)",2026-02-04 (Price: 440.53),"-16.71%, 21 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-06 (Price: 410.38), 22.41% below",23 days,537.0,No Information,No Information,No Information,No Information,No Information,No Information,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,2026-03-11/2026-01-15/2026-02-03,11.53%,6.15%,5.38%,0.63,0.37,549.8652/564.7279/557.3/No Horizontal Resistance/854.3544/896.959/645.99,503.3/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"CSCO, Long, 2026-01-14 (Price: 74.41)",2026-02-05 (Price: 82.36) (Today),"10.68%, 22 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-05 (Price: 82.36), 10.68% above",22 days,74.93,No Information,No Information,No Information,"50% (Price: 73.285), 12.38% above, Upmove Bounce Back","2025-08-18 (Price: 65.75), 2025-12-10 (Price: 80.82)",No Information,13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-08-09/2026-02-26/2026-11-18,22.72%,7.9%,14.82%,3.15,0.44,75.3104/81.8584/83.45/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.88/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/69.68,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-01-09 (Price: 33.1)",2026-02-05 (Price: 33.99),"2.69%, 27 days","100.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-01-09",Already confirmed,"2026-02-06 (Price: 34.085), 2.98% above",28 days,33.1,No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,2026-04-23/2026-01-10/2026-02-11,15.13%,-1.6%,16.73%,2.09,-0.12,35.6752/34.2949/34.99/39.3812/40.717/47.4928/36.17,31.89/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-06 (Price: 192.5),"9.18%, 6.3 months","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-05 (Price: 192.5), 9.18% above",6.3 months,138.77,No Information,No Information,No Information,No Information,No Information,73.85% above/9.18% above/9.18% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2029-02-23/2026-03-09/2026-11-12,20.97%,6.33%,14.64%,1.38,0.43,338.0392/355.6878/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",2026-02-06 (Price: 9.65) (Today),"5.35%, 8.4 months","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-02-06 (Price: 9.65), 5.35% above",8.4 months,8.9,No Information,No Information,No Information,"50% (Price: 8.31), 16.13% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,2040-05-27/2025-07-13/2028-12-24,6.07%,3.39%,2.68%,1.19,0.12,8.7386/11.2979/10.95/No Horizontal Resistance/11.2606/15.4512/9.21,7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",2026-02-06 (Price: 39.9) (Today),"15.38%, 10.2 months","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-04-06",Already confirmed,"2026-02-06 (Price: 39.9), 15.38% above",10.2 months,33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 24.06% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,2029-05-27/2025-08-27/2026-10-31,9.13%,8.49%,0.64%,1.13,0.45,37.9688/40.469/46.11/39.1917/40.9296/48.5677/37.04,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
