Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),1.15%/1.15%,"4.44%, 2 days","2026-02-04 (Price: 195.31), 4.44% above",201.3055 (Historic Rise or Fall to Pivot)/206.2797 (Avg % Gain of Historic Winning trades)/203.83 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/226.6814 (Backtested Max)/197.5468 (Backtested Min),2026-10-12 (Max)/2026-05-12 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 6 years, 17",185.16,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),4.55%/7.63%,"2.24%, 1.8 month","2026-02-04 (Price: 9.57), 2.24% above",10.0058 (Avg % Gain of Historic Winning trades)/10.3 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.486 (Backtested Max),2030-01-31 (Max)/2026-02-05 (Min)/2027-04-02 (Avg),9.28/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",9.3,No Information,No Information,No Information,"38.2% (Price: 9.3041), 2.86% above, Upmove Bounce Back","2025-03-20 (Price: 8.34), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",Monthly,2026-02-04 (Price: 9.57) (Today),No Price Target,No Date Target,14.42%/15.33%,"4.48%, 8.3 months","2026-02-04 (Price: 9.57), 4.48% above",11.2979 (Avg % Gain of Historic Winning trades)/10.95 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/12.1049 (Backtested Max)/11.0369 (Backtested Min),2040-05-27 (Max)/2028-12-24 (Avg),7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 26 years, 9",8.9,No Information,No Information,No Information,"50% (Price: 8.31), 15.16% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,6.07%,3.39%,2.68%,1.19,0.12,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,9.58 (Function Specific Target),No Date Target,0.94%/2.93%,"2.24%, 16 days","2026-02-04 (Price: 9.57), 2.24% above",9.6595 (Avg % Gain of Historic Winning trades)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max),2026-06-28 (Max)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",9.34,No Information,No Information,No Information,No Information,No Information,2.24% above/2.24% above/2.24% above,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",Daily,2026-02-04 (Price: 503.83) (Today),No Price Target,No Date Target,1.67%/25.21%,"4.21%, 9 days","2026-02-04 (Price: 503.83), 4.21% above",512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2),2026-03-27 (Max)/2026-02-10 (Avg),478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 4 years, 12",478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,4.18%,10.92%,-6.74%,0.08,0.77,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",Daily,2026-02-04 (Price: 503.83) (Today),505.2544 (Historic Rise or Fall to Pivot),No Date Target,1.67%/3.92%,"5.67%, 6 days","2026-02-04 (Price: 503.83), 5.67% above",523.5631 (Avg % Gain of Historic Winning trades)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/626.5497 (Backtested Max),2029-03-21 (Max)/2026-02-09 (Min)/2026-07-08 (Avg),No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"89.47%, Past 6 years, 19",473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,16.46%,9.82%,6.64%,0.56,0.59,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-12-07 (Price: 545.52)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),6.3%/7.01%,"1.47%, 2 months","2026-02-04 (Price: 553.52), 1.47% above",592.3256 (Historic Rise or Fall to Pivot)/634.3307 (Avg % Gain of Historic Winning trades)/649.27 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/658.9882 (Backtested Max)/588.3979 (Backtested Min),2028-03-20 (Max)/2026-02-05 (Min)/2026-09-11 (Avg),540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 19 years, 18",547.64,No Information,No Information,No Information,"38.2% (Price: 535.7184), 3.32% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,14.25%,18.73%,-4.48%,1.65,0.96,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",Daily,2026-02-02 (Price: 555.37),No Price Target,2026-02-03 (Avg),1.33%/1.83%,"4.1%, 15 days","2026-02-04 (Price: 553.52), 4.1% above",578.5331 (Historic Rise or Fall to Pivot)/564.71 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/563.67 (EMA 200)/560.8794 (Backtested Max),2026-03-17 (Max),527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.33%, Past 4 years, 15",530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,12.96%,7.15%,5.81%,1.12,0.38,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-28 (Price: 632.92)",Daily,2026-02-04 (Price: 605.75) (Today),No Price Target,No Date Target,5.11%/8.28%,"-4.29%, 3.3 months","2026-02-04 (Price: 605.75), 4.29% below",669.2496 (Historic Rise or Fall to Pivot)/655.895 (Avg % Gain of Historic Winning trades)/707.13 (Function Specific Target)/836.2536 (F-Stack 2)/674.3763 (Backtested Max)/636.7175 (Backtested Min),No Next Date Target,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/535.18,"95.24%, Past 4 years, 21",630.36,No Information,No Information,No Information,No Information,No Information,3.56% below/4.29% below/4.29% below,6.55%/0.6%/3.63%,"1.69%, 22.88%",27 days/6 days/14 days,13.5%,13.63%,-0.13%,1.17,0.77,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2026-02-02 (Avg),8.6%/11.62%,"-1.84%, 3.4 months","2026-02-04 (Price: 605.75), 1.84% below",700.9022 (Historic Rise or Fall to Pivot)/657.8286 (Avg % Gain of Historic Winning trades)/676.16 (Function Specific Target)/836.2536 (F-Stack 2)/691.584 (Backtested Max),2026-04-26 (Max),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.24%, Past 10 years, 17",607.14,No Information,No Information,No Information,No Information,No Information,0.3% above/1.84% below/1.84% below,12.07%/1.74%/6.6%,"10.15%, 35.46%",4.2 months/1.2 month/2.3 months,8.62%,11.98%,-3.36%,0.65,0.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",Daily,No Exit Yet,324.5591 (Historic Rise or Fall to Pivot),2026-02-06 (Min),1.85%/5.47%,"3.04%, 8 days","2026-02-04 (Price: 323.69), 3.04% above",341.41 (Function Specific Target)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/329.6794 (Backtested Max),2026-07-15 (Max)/2026-02-06 (Min)/2026-03-24 (Avg),302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"83.33%, Past 4 years, 18",312.32,No Information,No Information,No Information,No Information,No Information,3.43% above/3.04% above/3.04% above,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,12.38%,5.6%,6.78%,1.08,0.28,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"MCD, Long, 2025-06-11 (Price: 301.72)",Daily,No Exit Yet,323.16 (Function Specific Target)/322.0 (Horizontal),No Date Target,1.77%/5.63%,"7.28%, 7.9 months","2026-02-04 (Price: 323.69), 7.28% above",329.4179 (Avg % Gain of Historic Winning trades)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/341.9091 (Backtested Max),2028-02-26 (Max)/2026-07-02 (Avg),300.43/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 6",300.2,No Information,No Information,No Information,No Information,No Information,No Information,13.32%/5.48%/9.18%,"-0.0%, 18.2%",1.9 year/2.5 months/8.9 months,11.3%,5.91%,5.39%,1.7,0.33,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2025-12-23 (Price: 57.04)",Daily,No Exit Yet,61.6545 (Historic Rise or Fall to Pivot)/62.0937 (Avg % Gain of Historic Winning trades),No Date Target,1.41%/3.04%,"8.05%, 1.4 month","2026-02-04 (Price: 61.63), 8.05% above",62.5 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/63.5026 (Backtested Max),2030-09-08 (Max)/2026-02-21 (Min)/2027-09-09 (Avg),56.45/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.45,"100.0%, Past 5 years, 12",56.89,No Information,No Information,No Information,"23.66% (Price: 56.8269), 8.45% above, Upmove Bounce Back","2025-10-21 (Price: 49.88), 2025-12-11 (Price: 58.98)",No Information,11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,11.0%,5.81%,5.19%,1.67,0.3,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),1.46%/7.34%,"1.57%, 5 days","2026-02-04 (Price: 61.63), 1.57% above",66.2929 (Historic Rise or Fall to Pivot)/62.5307 (Avg % Gain of Historic Winning trades)/79.98 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.1533 (Backtested Max),2026-06-18 (Max)/2026-03-10 (Avg),53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,"100.0%, Past 4 years, 11",60.11,No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,13.01%,4.6%,8.41%,1.21,0.22,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,2026-02-02 (Price: 49.91),No Price Target,No Date Target,2.73%/2.75%,"18.0%, 26 days","2026-02-04 (Price: 52.65), 18.0% above",54.0973 (Historic Rise or Fall to Pivot)/54.44 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/54.0884 (Backtested Max),2026-08-31 (Max)/2026-03-02 (Avg),No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.2,"83.33%, Past 6 years, 18",44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.2%,10.61%,0.68,0.51,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,51.51 (Horizontal),No Date Target,25.04%/30.39%,"26.35%, 8.3 months","2026-02-04 (Price: 52.65), 26.35% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/7.3 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,2026-02-04 (Price: 40.02) (Today),40.469 (Avg % Gain of Historic Winning trades)/39.8673 (Backtested Min),No Date Target,2.27%/3.59%,"15.73%, 10.1 months","2026-02-04 (Price: 40.02), 15.73% above",46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 24.43% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",Daily,2026-02-04 (Price: 40.02) (Today),No Price Target,No Date Target,1.08%/1.4%,"4.44%, 4.6 months","2026-02-04 (Price: 40.02), 4.44% above",40.4506 (Historic Rise or Fall to Pivot)/40.58 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.5352 (Backtested Max),2026-02-18 (Max),37.45/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,"84.09%, Past 4 years, 44",37.33,No Information,No Information,No Information,No Information,No Information,6.78% above/4.44% above/4.44% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
