"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GS, Long, 2026-03-04 (Price: 867.25)",No Exit Yet,"-5.28%, 2 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-04",Already confirmed,"2026-03-06 (Price: 821.42), 5.28% below",2 days,5.86%/2.47%/4.1%,"12.56%, 14.56%",20 days/5 days/10 days,2026-04-01/2026-03-11/2026-03-18,6.69%,16.43%,-9.74%,0.27,0.9,915.3824/902.8072/909.09/No Horizontal Resistance/1261.1009/1964.4733/No EMA 200 Target,859.57/288.555/858.2074/794.5775/No F-Track Level/No F-Track Level/788.6,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),869.84
"BAC, Long, 2026-03-03 (Price: 49.97)",No Exit Yet,"-2.66%, 3 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-03-06 (Price: 48.64), 2.66% below",3 days,6.86%/2.52%/4.16%,"10.59%, 11.17%",1.1 month/1 day/11 days,2026-04-19/2026-03-04/2026-03-18,13.59%,7.35%,6.24%,0.55,0.38,53.0132/52.0488/52.53/No Horizontal Resistance/72.41/85.2389/50.51,49.81/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),48.76
"GNE.NZ, Long, 2026-03-03 (Price: 2.26)",No Exit Yet,"-1.77%, 3 days","93.75%, Past 4 years, 16","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-03-06 (Price: 2.22), 1.77% below",3 days,5.47%/1.26%/3.36%,"7.36%, 7.72%",1.7 month/1 day/15 days,2026-05-15/2026-03-04/2026-03-24,12.51%,-6.12%,18.63%,0.91,-0.53,2.331/2.3359/2.33/3.575/No Next Fib Ext/No Next Fib Ext/2.39,2.23/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),2.24
"NU, Long, 2026-03-03 (Price: 14.76)",No Exit Yet,"-1.22%, 3 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-03-06 (Price: 14.58), 1.22% below",3 days,23.68%/2.44%/9.29%,"24.09%, 24.09%",2.1 months/1 day/20 days,2026-06-02/2026-03-04/2026-03-31,23.55%,9.78%,13.77%,0.51,0.54,15.5231/16.1312/15.83/16.285/No Next Fib Ext/No Next Fib Ext/15.07,14.73/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),14.68
"UBER, Long, 2026-03-01 (Price: 75.42)",No Exit Yet,"-0.38%, 7 days","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-08 (Price: 75.13), 0.38% below",7 days,32.55%/10.16%/16.89%,"0%, 19.43%",4.4 months/21 days/2 months,2026-09-08/2026-03-31/2026-05-26,15.68%,6.33%,9.35%,1.66,0.38,88.2414/88.1584/88.2/82.12/110.4084/120.7433/88.15,69.99/34.6025/63.3753/49.8327/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),72.99
"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",No Exit Yet,"-3.1%, 7 days","71.43%, Past 14 years, 7","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-08 (Price: 10.33), 3.1% below",7 days,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2026-07-31/2026-03-11/2026-06-04,2.34%,11.18%,-8.84%,0.05,0.61,13.0628/11.5927/12.33/12.55/19.8479/26.5969/11.46,10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),10.5
"TRI.TO, Long, 2026-03-01 (Price: 131.33)",2026-03-08 (Price: 151.44),"15.31%, 7 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-08 (Price: 151.44), 15.31% above",7 days,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-27/2026-03-21/2026-10-30,5.14%,6.08%,-0.94%,1.52,0.34,137.3712/139.4331/138.4/240.8933/293.2329/455.2123/214.26,113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),113.04
"MA, Long, 2026-02-25 (Price: 509.39)",2026-03-05 (Price: 524.66),"3.0%, 8 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-03-06 (Price: 522.34), 2.54% above",9 days,5.48%/1.68%/3.66%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-04-22/2026-02-27/2026-03-11,13.9%,7.14%,6.76%,1.39,0.38,555.4898/528.0337/541.76/592.095/716.5814/751.3605/560.55,496.03/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),502.82
"NFLX, Long, 2026-02-22 (Price: 78.67)",2026-03-01 (Price: 96.24),"22.33%, 7 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-08 (Price: 99.02), 25.87% above",14 days,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-08-01/2026-03-24/2026-05-28,0.19%,16.07%,-15.88%,-0.03,0.7,90.738/91.3595/91.05/82.231/139.352/152.4292/109.68,76.87/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),76.92
"KXS.TO, Long, 2026-02-22 (Price: 124.2)",2026-03-08 (Price: 135.23),"8.88%, 14 days","100.0%, Past 11 years, 4","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-08 (Price: 135.23), 8.88% above",14 days,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-24/2026-05-15/2026-06-19,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/245.9157/289.1348/177.55,123.77/No Horizontal Support/118.5983/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,76.92%/13/2.8 months (Across ALL Assets),85.22%/115/2.2 months (Across ALL Assets),122.9
"AMZN, Long, 2026-02-11 (Price: 203.88)",2026-03-04 (Price: 216.82),"6.35%, 21 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-03-06 (Price: 213.21), 4.58% above",23 days,10.78%/1.99%/5.15%,"17.68%, 17.68%",26 days/1 day/8 days,2026-03-20/2026-02-12/2026-02-22,7.43%,4.18%,3.25%,0.18,0.24,216.9691/214.3798/215.67/239.3/317.6152/339.3352/224.48,200.99/86.995/193.0625/132.2674/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),208.07
"PLTR, Long, 2026-02-06 (Price: 135.9)",2026-03-03 (Price: 147.22),"8.33%, 25 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-03-06 (Price: 157.16), 15.64% above",28 days,19.0%/3.53%/9.58%,"14.06%, 15.26%",25 days/1 day/10 days,2026-03-14/2026-02-07/2026-02-20,16.65%,19.65%,-3.0%,0.71,0.85,171.7504/148.9192/160.33/No Horizontal Resistance/236.8667/248.6965/162.07,130.01/7.205/125.5072/97.1748/No F-Track Level/No F-Track Level/No EMA 200 Support,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets),135.33
"TSM, Short, 2026-03-08 (Price: 338.89)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 28 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price below 327.2387 or above 370.6087 prior to 2026-03-31,"2026-03-08 (Price: 338.89), 0.0% below",0 days,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-07-03/2026-06-02/2026-10-15,4.9%,4.88%,0.02%,0.28,0.54,312.4566/291.9876/302.22/83.575/291.0528/242.5186/277.35,No support/83.575/291.0528/242.5186/311.9436/263.849/No EMA 200 Support,25.0%/4/2.8 months (Across ALL Assets),33.33%/3/4.8 months (Across ALL Assets),365.36
"TD, Short, 2026-02-28 (Price: 97.36)",No Exit Yet,"1.82%, 8 days","80.0%, Past 30 years, 5","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-08 (Price: 95.59), 1.82% below",8 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-07-08/2026-04-12/2026-05-25,4.69%,4.88%,-0.19%,0.28,0.39,93.3293/90.6908/92.01/54.526/75.6865/62.3451/81.86,No Recent Maxima/54.526/75.6865/62.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,25.0%/4/2.8 months (Across ALL Assets),33.33%/3/4.8 months (Across ALL Assets),93.11
"GS, Short, 2026-01-04 (Price: 914.34)",2026-03-01 (Price: 859.57),"5.99%, 1.9 month","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-03-08 (Price: 821.42), 10.16% below",2.1 months,6.3%/2.62%/4.56%,"0%, 10.89%",3.3 months/7 days/26 days,2026-05-27/2026-01-14/2026-02-10,7.61%,4.79%,2.82%,3.08,0.42,963.7144/872.6461/918.18/288.555/794.5775/634.5288/788.6,No Recent Maxima/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/8/1.2 month (Across ALL Assets),76.67%/30/1.1 month (Across ALL Assets),906.45
"TSM, Short, 2025-12-31 (Price: 303.89)",2026-02-28 (Price: 374.58),"-23.26%, 2 months","80.0%, Past 28 years, 5","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-08 (Price: 338.89), 11.52% above",2.2 months,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-04-27/2026-03-27/2026-08-09,4.9%,4.88%,0.02%,0.28,0.54,280.1866/261.8316/271.01/83.575/274.027/233.1074/277.35,No Recent Maxima/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/No EMA 200 Support,25.0%/4/2.8 months (Across ALL Assets),33.33%/3/4.8 months (Across ALL Assets),286.92
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-28 (Price: 132.88),"-12.95%, 3 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-03-08 (Price: 130.06), 10.55% above",3.3 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/113.05,No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,25.0%/4/2.8 months (Across ALL Assets),33.33%/3/4.8 months (Across ALL Assets),115.02
"JPM, Short, 2025-10-31 (Price: 311.12)",2026-03-08 (Price: 289.48),"6.96%, 4.3 months","80.0%, Past 45 years, 5","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-03-08 (Price: 289.48), 6.96% below",4.3 months,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2026-03-10/2026-01-25/2026-02-12,2.69%,4.88%,-2.19%,-0.03,0.32,325.4937/291.0839/308.29/125.7575/300.9735/287.5071/300.14,No support/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/No EMA 200 Support,25.0%/4/2.8 months (Across ALL Assets),33.33%/3/4.8 months (Across ALL Assets),313.97
