Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
USCI,77.0513 (Avg % Gain of Historic Winning trades),2025-10-20 (Price: 76.8508),2025-01-31 (Price: 69.03),6/83.33%,7.68%/17.89%,"11.33%, 186 days",21.23%/4.09%/11.62%,90.6 (Exit Rule)/82.7534 (F-Stack 2),Monthly,TRENDPULSE,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
SOXX,301.3628 (F-Stack 2),2025-10-20 (Price: 292.97),2024-12-16 (Price: 227.44),18/83.33%,No Next Target,"28.81%, 220 days",8.34%/0.76%/3.42%,No Next Target,Daily,TRENDPULSE,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
SPY,665.528 (F-Stack 2),2025-10-20 (Price: 671.3),2024-09-08 (Price: 540.36),20/95.0%,No Next Target,"24.23%, 290 days",10.23%/0.7%/4.71%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
SOXX,301.3628 (F-Stack 2),2025-10-20 (Price: 292.97),2024-08-01 (Price: 218.42),9/77.78%,No Next Target,"34.13%, 317 days",35.87%/2.72%/15.79%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
TSLA,478.6828 (F-Stack 2),2025-10-20 (Price: 447.43),2024-07-14 (Price: 248.23),17/94.12%,No Next Target,"80.25%, 330 days",91.2%/4.56%/33.38%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
JPM,301.65 (Exit Rule),2025-10-20 (Price: 302.36),2024-06-30 (Price: 202.26),4/100.0%,No Next Target,"49.49%, 340 days",50.77%/9.1%/25.68%,No Next Target,Quarterly,TRENDPULSE,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
DOL.TO,194.1559 (F-Stack 2),2025-10-20 (Price: 183.0),2024-04-28 (Price: 115.62),9/100.0%,No Next Target,"58.28%, 385 days",12.93%/1.23%/9.34%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
DOL.TO,194.1559 (F-Stack 2),2025-10-20 (Price: 183.0),2024-04-07 (Price: 114.5),9/100.0%,No Next Target,"59.83%, 400 days",12.93%/1.23%/9.34%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
NIFTY_MIDCAP_100.NS,60272.5678 (Historic Rise or Fall to Pivot),2025-10-20 (Price: 59344.5),2024-03-31 (Price: 48075.75),7/100.0%,2.88%/14.03%,"23.44%, 405 days",71.71%/4.14%/27.0%,61056.2025 (Avg % Gain of Historic Winning trades)/67673.34 (Exit Rule)/69983.5191 (F-Stack 2),Quarterly,TRENDPULSE,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
DOL.TO,194.1559 (F-Stack 2),2025-10-20 (Price: 183.0),2024-02-18 (Price: 103.34),9/100.0%,No Next Target,"77.09%, 435 days",12.93%/1.23%/9.34%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
DIA,460.12 (Exit Rule),2025-10-20 (Price: 467.02),2024-01-31 (Price: 381.37),10/90.0%,15.23%/77.08%,"22.46%, 448 days",11.77%/4.81%/8.01%,538.1343 (F-Stack 1)/826.9871 (F-Stack 2),Monthly,TRENDPULSE,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
ASML,1034.6774 (F-Stack 1),2025-10-20 (Price: 1042.15),2024-01-31 (Price: 869.82),11/81.82%,3.74%/4.7%,"19.81%, 448 days",87.33%/9.04%/30.99%,1081.0993 (Historic Rise or Fall to Pivot)/1139.3772 (Avg % Gain of Historic Winning trades)/1286.69 (Exit Rule)/1091.1724 (F-Stack 2),Monthly,TRENDPULSE,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TSLA,408.5817 (Horizontal)/417.4684 (F-Stack 1),2025-10-20 (Price: 447.43),2023-05-28 (Price: 193.17),17/94.12%,23.62%,"131.62%, 625 days",91.2%/4.56%/33.38%,553.1211 (F-Stack 2),Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
SLV,47.5817 (F-Stack 1)/52.1458 (F-Stack 2),2025-10-20 (Price: 47.72),2023-03-31 (Price: 22.12),4/75.0%,No Next Target,"115.73%, 666 days",48.48%/48.48%/48.48%,No Next Target,Quarterly,FRACTAL TRACK,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
QQQ,563.3658 (F-Stack 2),2025-10-20 (Price: 611.54),2023-01-03 (Price: 264.48),10/80.0%,No Next Target,"131.22%, 729 days",13.92%/7.25%/11.47%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
GILD,123.4541 (F-Stack 1),2025-10-20 (Price: 123.11),2022-12-31 (Price: 85.85),5/100.0%,14.07%,"43.4%, 730 days",74.14%/4.33%/34.77%,140.4376 (F-Stack 2),Quarterly,TRENDPULSE,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
QQQ,563.3658 (F-Stack 2),2025-10-20 (Price: 611.54),2022-11-02 (Price: 265.68),10/80.0%,No Next Target,"130.18%, 773 days",13.92%/7.25%/11.47%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2022-10-10 (Price: 360.02),10/90.0%,No Next Target,"86.46%, 790 days",14.68%/0.17%/8.16%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
QQQ,563.3658 (F-Stack 2),2025-10-20 (Price: 611.54),2022-09-25 (Price: 275.51),74/86.49%,No Next Target,"121.97%, 800 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,563.3658 (F-Stack 2),2025-10-20 (Price: 611.54),2022-06-10 (Price: 288.84),10/80.0%,No Next Target,"111.72%, 876 days",13.92%/7.25%/11.47%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-11-28 (Price: 391.2),74/86.49%,No Next Target,"56.32%, 1015 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-07-25 (Price: 368.2),74/86.49%,No Next Target,"66.09%, 1105 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-06-20 (Price: 342.63),74/86.49%,No Next Target,"78.48%, 1130 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-03-28 (Price: 316.0),74/86.49%,No Next Target,"93.53%, 1190 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-02-07 (Price: 331.36),74/86.49%,No Next Target,"84.55%, 1225 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-01-31 (Price: 314.56),74/86.49%,No Next Target,"94.41%, 1230 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2021-01-24 (Price: 325.42),8/75.0%,No Next Target,"87.92%, 1235 days",22.49%/20.3%/21.22%,No Next Target,Weekly,PULSEGAUGE,68.75%/16/139 days (Across ALL Assets),70.63%/126/138 days (Across ALL Assets)
QQQ,629.2181 (F-Stack 2),2025-10-20 (Price: 611.54),2020-12-27 (Price: 309.56),74/86.49%,No Next Target,"97.55%, 1255 days",44.95%/1.39%/10.44%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2020-06-21 (Price: 308.64),20/95.0%,No Next Target,"117.5%, 1390 days",10.23%/0.7%/4.71%,No Next Target,Weekly,BASELINEDIVERGENCE,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2020-04-02 (Price: 251.83),10/90.0%,No Next Target,"166.57%, 1447 days",14.68%/0.17%/8.16%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2020-03-02 (Price: 309.09),10/90.0%,No Next Target,"117.19%, 1470 days",14.68%/0.17%/8.16%,No Next Target,Daily,SIGMASHELL,81.94%/144/78 days (Across ALL Assets),76.23%/324/84 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2020-01-19 (Price: 331.95),8/75.0%,No Next Target,"102.23%, 1500 days",22.37%/20.42%/21.26%,No Next Target,Weekly,PULSEGAUGE,68.75%/16/139 days (Across ALL Assets),70.63%/126/138 days (Across ALL Assets)
SPY,627.1849 (F-Stack 2),2025-10-20 (Price: 671.3),2019-12-22 (Price: 320.73),13/100.0%,No Next Target,"109.3%, 1520 days",9.31%/1.77%/4.16%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
