"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"-2.03%, 1 day","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 23.64), 2.03% below",1 day,29.2%/7.1%/12.46%,"0%, 22.83%",2.3 months/7 days/26 days,2026-07-06/2026-04-08/2026-05-05,11.65%,0.99%,10.66%,1.51,0.09,26.3693/27.1366/26.75/27.1773/No Next Fib Ext/No Next Fib Ext/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),25.2
"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",No Exit Yet,"0.0%, 1 day","80.0%, Past 11 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 2.16), 0.0% below",1 day,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.64%,2.2%,3.44%,0.38,0.05,2.2693/2.3226/2.3/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),2.2
"EFN.TO, Long, 2026-03-29 (Price: 30.11)",No Exit Yet,"-0.53%, 1 day","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 29.95), 0.53% below",1 day,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-19/2026-04-08/2026-05-15,-4.17%,10.41%,-14.58%,0.02,0.52,34.9125/34.7048/34.81/34.925/45.1741/70.5281/35.34,27.54/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),30.73
"DOL.TO, Long, 2026-03-27 (Price: 166.76)",No Exit Yet,"0.76%, 3 days","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 168.02), 0.76% above",3 days,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,2026-04-27/2026-03-31/2026-04-07,6.16%,20.38%,-14.22%,0.47,1.39,184.003/171.9963/178.0/197.56/294.0831/455.769/191.06,163.59/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),168.42
"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",No Exit Yet,"-2.23%, 4 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-26",Already confirmed,"2026-03-30 (Price: 12.3), 2.23% below",4 days,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,2026-05-17/2026-03-27/2026-04-08,0.71%,4.01%,-3.3%,-0.04,0.19,13.2342/13.0845/13.16/14.94/16.2179/21.849/13.08,12.35/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),12.41
"HDFCBANK.NS, Long, 2026-03-25 (Price: 782.3)",No Exit Yet,"-6.49%, 5 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-30 (Price: 731.55), 6.49% below",5 days,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-07-20/2026-03-27/2026-05-01,5.13%,4.11%,1.02%,0.21,0.19,813.6702/805.3778/809.52/1009.6/1098.0619/1305.7899/959.59,744.15/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),768.2
"AIA.NZ, Long, 2026-03-25 (Price: 8.08)",No Exit Yet,"-1.36%, 5 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-30 (Price: 7.97), 1.36% below",5 days,8.29%/1.35%/4.14%,"5.72%, 9.11%",1.7 month/1 day/15 days,2026-06-06/2026-03-26/2026-04-15,10.4%,2.17%,8.23%,0.79,0.05,8.4945/8.4145/8.45/8.8962/11.1706/12.8535/No EMA 200 Target,7.93/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/8.03,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),7.96
"META, Long, 2026-03-23 (Price: 604.06)",2026-03-27 (Price: 525.72),"-12.97%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-03-30 (Price: 536.38), 11.2% below",7 days,14.76%/3.27%/7.84%,"19.19%, 19.41%",29 days/1 day/11 days,2026-05-04/2026-03-24/2026-04-07,4.74%,13.76%,-9.02%,0.09,0.64,647.1899/651.4183/649.3/742.455/842.484/1305.5879/686.82,593.66/276.89/556.264/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),605.787
"^GSPC, Long, 2026-03-16 (Price: 6699.3799)",2026-03-27 (Price: 6368.8501),"-4.93%, 11 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-30 (Price: 6343.7202), 5.31% below",14 days,3.94%/1.7%/2.66%,"5.5%, 5.5%",21 days/2 days/9 days,2026-04-15/2026-03-18/2026-03-29,6.85%,8.78%,-1.93%,0.31,0.59,7093.9734/6877.5834/6985.78/6961.3098/8586.4727/11677.179/No EMA 200 Target,6632.19/4128.7074/6676.3264/5495.7663/No F-Track Level/No F-Track Level/6636.44,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),6674.3701
"SPY, Long, 2026-03-16 (Price: 669.03)",2026-03-27 (Price: 634.09),"-5.22%, 11 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-30 (Price: 631.97), 5.54% below",14 days,4.02%/1.22%/2.49%,"5.43%, 5.45%",1.1 month/1 day/11 days,2026-05-02/2026-03-17/2026-03-31,6.87%,8.78%,-1.91%,0.35,0.59,708.369/685.6888/697.03/693.77/969.1148/1522.3697/No EMA 200 Target,662.29/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/661.79,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),668.38
"IHI, Long, 2026-03-11 (Price: 56.28)",2026-03-27 (Price: 53.18),"-5.51%, 16 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-30 (Price: 52.6), 6.54% below",19 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-04-07/2026-03-12/2026-03-21,10.24%,1.25%,8.99%,0.38,-0.05,59.9495/57.8108/58.88/65.682/68.9264/76.3906/60.65,54.27/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),56.42
"INDY, Long, 2026-01-18 (Price: 47.98)",2026-03-22 (Price: 41.96),"-12.55%, 2.1 months","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-03-30 (Price: 40.97), 14.61% below",2.4 months,15.72%/4.17%/7.44%,"18.57%, 22.76%",2.8 months/21 days/1.8 month,2026-05-19/2026-02-17/2026-04-06,4.45%,2.66%,1.79%,0.24,0.07,51.2426/51.5497/51.4/54.474/60.9145/68.1277/50.59,47.57/40.73/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),48.41
"TD, Short, 2026-02-28 (Price: 97.36)",2026-03-30 (Price: 91.55),"5.97%, 1 month","80.0%, Past 30 years, 5","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-30 (Price: 91.55), 5.97% below",1 month,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-07-08/2026-04-12/2026-05-25,4.69%,4.88%,-0.19%,0.28,0.39,93.3293/90.6908/92.01/54.526/75.6865/62.3451/83.88,No Recent Maxima/No Horizontal Resistance/No stop loss/115.2091/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,40.0%/5/2.6 months (Across ALL Assets),33.33%/3/5 months (Across ALL Assets),93.11
"TSM, Short, 2025-12-31 (Price: 303.89)",2026-02-28 (Price: 374.58),"-23.26%, 2 months","80.0%, Past 28 years, 5","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-30 (Price: 316.5), 4.15% above",3 months,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-04-27/2026-03-27/2026-08-09,4.9%,4.88%,0.02%,0.28,0.54,280.1866/261.8316/271.01/83.575/274.027/233.1074/288.47,No Recent Maxima/No Horizontal Resistance/334.306/349.9895/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,40.0%/5/2.6 months (Across ALL Assets),33.33%/3/5 months (Across ALL Assets),286.92
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-28 (Price: 132.88),"-12.95%, 3 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-03-30 (Price: 127.52), 8.39% above",4 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/115.79,No Recent Maxima/No Horizontal Resistance/128.6672/152.0396/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,40.0%/5/2.6 months (Across ALL Assets),33.33%/3/5 months (Across ALL Assets),115.02
"JPM, Short, 2025-10-31 (Price: 311.12)",2026-03-30 (Price: 283.77),"8.79%, 5 months","80.0%, Past 45 years, 5","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-03-30 (Price: 283.77), 8.79% below",5 months,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2026-03-10/2026-01-25/2026-02-12,2.69%,4.88%,-2.19%,-0.03,0.32,No Target/291.0839/308.29/125.7575/300.9735/287.5071/302.0,315.43/No Horizontal Resistance/328.9175/381.492/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,40.0%/5/2.6 months (Across ALL Assets),33.33%/3/5 months (Across ALL Assets),313.97
