"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BDGI.TO, Long, 2025-11-25 (Price: 71.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-25 (Price: 71.14), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),111.71% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-17/2030-04-17/2030-04-17,7.18%,12.22%,-5.04%,0.42,0.42,74.6401/96.1457/88.52/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/51.05,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"CNQ.TO, Long, 2025-11-25 (Price: 46.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-25 (Price: 46.48), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 35.7534),30.0% above,"2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years/4.5 years/5.3 years,2034-03-05/2032-05-14/2033-05-25,12.07%,13.02%,-0.95%,0.46,0.46,48.7994/226.5854/79.06/51.51/57.5622/59.9244/No Moving Avg Target,42.8/34.9317/44.0597/41.1349/61.5996/64.7366/42.97,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"MX.TO, Long, 2025-11-25 (Price: 48.71)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-25 (Price: 48.71), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),32.69% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",5.4 years/2.0 year/3.7 years,2033-08-26/2028-09-28/2031-03-14,4.14%,4.51%,-0.37%,0.3,0.25,50.561/76.3091/85.57/73.435/118.0011/153.5474/49.87,45.09/38.425/47.9234/44.2912/88.1361/94.2546/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"^DJI, Long, 2025-11-24 (Price: 46448.2695)",No Exit Yet,"0.0%, 0 days","94.12%, Past 5 years, 34","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 46448.2695), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 45635.0082),1.78% above,"2025-04-07 (Price: 36611.7812), 2025-11-12 (Price: 48431.5703)",26.02%/4.63%/16.06%,"4.65%, 21.94%",2.5 years/1.2 month/1.0 year,2029-06-10/2026-01-15/2027-05-05,6.0%,11.05%,-5.05%,0.67,0.55,47098.5453/53907.8616/53540.14/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,45752.26/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43905.62,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"XLY, Long, 2025-11-24 (Price: 228.51)",No Exit Yet,"0.0%, 0 days","96.55%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 228.51), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 220.7881),3.5% above,"2023-10-26 (Price: 147.83), 2025-09-17 (Price: 243.4)",27.09%/0.83%/9.52%,"5.33%, 40.28%",2.7 years/15 days/10.1 months,2029-10-09/2025-12-15/2027-02-04,5.42%,9.59%,-4.18%,0.46,0.36,231.1836/250.2642/285.85/241.84/250.963/267.8313/No Moving Avg Target,221.16/133.55/172.2248/113.1365/No F-Track Level/No F-Track Level/219.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"DIA, Long, 2025-11-24 (Price: 464.44)",No Exit Yet,"0.0%, 0 days","94.44%, Past 5 years, 36","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 464.44), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 456.4623),1.75% above,"2025-04-07 (Price: 366.32), 2025-11-12 (Price: 484.4)",23.9%/4.34%/12.06%,"4.72%, 21.9%",2.5 years/1.2 month/10.3 months,2029-06-10/2026-01-15/2027-02-13,5.68%,11.05%,-5.37%,0.57,0.55,469.3631/520.4515/535.29/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,458.1/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/439.23,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"0.0%, 0 days","89.47%, Past 5 years, 19","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 29.01), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 27.8341),4.22% above,"2025-07-16 (Price: 23.78), 2025-11-12 (Price: 30.34)",24.5%/7.06%/17.24%,"5.03%, 23.78%",6.1 months/2.1 months/3.2 months,2026-08-16/2026-02-23/2026-04-10,23.93%,9.83%,14.1%,0.54,0.36,29.7353/34.0113/32.95/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,27.75/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.24,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"EFA, Long, 2025-11-24 (Price: 92.73)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 41","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 92.73), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 90.8838),2.03% above,"2025-04-07 (Price: 72.15), 2025-11-12 (Price: 96.69)",23.87%/1.34%/7.55%,"-0.0%, 32.38%",3.3 years/17 days/10.4 months,2030-08-12/2025-12-18/2027-02-18,4.05%,7.76%,-3.71%,0.56,0.3,92.3591/99.7311/107.45/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,91.24/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/88.41,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"EWJ, Long, 2025-11-24 (Price: 81.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 24","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 81.74), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 78.696),3.87% above,"2025-04-07 (Price: 59.84), 2025-11-12 (Price: 84.54)",17.17%/1.99%/7.31%,"-0.0%, 15.99%",11 months/16 days/5.9 months,2027-03-16/2025-12-17/2026-08-07,7.99%,6.68%,1.32%,0.72,0.23,82.3857/87.7152/96.56/No Horizontal Resistance/83.4752/89.1379/No Moving Avg Target,79.49/53.915/68.8472/52.3436/No F-Track Level/No F-Track Level/75.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"FBU.NZ, Long, 2025-11-24 (Price: 3.35)",No Exit Yet,"-2.39%, 1 day","90.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 3.27), 2.39% below",1 day,Upmove Bounce Back,38.2% (Price: 3.312),1.27% below,"2025-06-26 (Price: 2.83), 2025-11-13 (Price: 3.61)",6.62%/4.44%/5.53%,"6.26%, 17.05%",8.1 months/3.1 months/5.6 months,2026-11-12/2026-04-07/2026-07-25,2.01%,-5.66%,7.67%,0.04,-0.17,3.3487/3.5353/3.82/7.985/12.7156/14.3053/No Moving Avg Target,3.13/2.82/3.1474/16.1988/No F-Track Level/No F-Track Level/3.19,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",No Exit Yet,"0.2%, 1 day","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-25 (Price: 1.3111), 0.2% above",1 day,Upmove Bounce Back,38.2% (Price: 1.3144),0.25% below,"2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.1 years/5.6 months/1.3 year,2028-10-28/2026-07-25/2027-09-13,2.57%,-1.36%,3.93%,0.24,-0.57,1.3001/1.3721/1.41/1.4232/2.4421/3.2078/1.33,1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"GBPSGD=X, Long, 2025-11-23 (Price: 1.7105)",No Exit Yet,"-0.19%, 1 day","100.0%, Past 20 years, 20","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-25 (Price: 1.7073), 0.19% below",1 day,Upmove Bounce Back,23.66% (Price: 1.7383),1.78% below,"2025-01-26 (Price: 1.6606), 2025-04-06 (Price: 1.7624)",5.2%/3.01%/3.87%,"-0.0%, 8.33%",2.2 years/9.1 months/1.5 year,2028-12-25/2026-12-24/2028-01-28,1.71%,-2.66%,4.37%,0.4,-0.87,1.7052/1.7767/1.77/1.8874/4.0285/5.5304/1.73,1.71/1.6718/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"KXS.TO, Long, 2025-11-23 (Price: 176.3)",No Exit Yet,"-0.27%, 1 day","82.35%, Past 11 years, 17","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-25 (Price: 175.83), 0.27% below",1 day,Upmove Bounce Back,50% (Price: 165.965),5.94% above,"2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",156.2%/6.23%/51.99%,"14.59%, 37.82%",1.0 year/3.0 months/9.8 months,2027-05-18/2026-03-31/2027-01-24,15.07%,24.7%,-9.62%,0.27,0.8,180.2139/267.9584/232.08/209.885/227.7644/245.4058/182.84,169.84/126.33/176.1333/151.1683/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"BIPC.TO, Long, 2025-11-21 (Price: 62.44)",No Exit Yet,"-0.9%, 1 day","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-21",Already confirmed,"2025-11-24 (Price: 61.88), 0.9% below",1 day,Upmove Bounce Back,23.66% (Price: 61.9528),0.12% below,"2025-04-09 (Price: 45.7), 2025-10-16 (Price: 66.99)",18.49%/5.22%/10.88%,"2.3%, 12.67%",3.7 months/13 days/1.7 month,2026-04-29/2025-12-09/2026-02-02,47.75%,4.17%,43.58%,0.53,0.14,62.6086/69.2335/75.21/66.672/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,61.84/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/56.25,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSM, Long, 2025-11-20 (Price: 277.5)",No Exit Yet,"2.57%, 2 days","100.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-24 (Price: 284.64), 2.57% above",2 days,Upmove Bounce Back,23.66% (Price: 269.4634),5.63% above,"2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",80.74%/3.58%/25.44%,"-0.0%, 57.14%",2.2 years/1 month/7.1 months,2029-01-08/2026-01-02/2026-09-23,11.13%,26.78%,-15.65%,0.69,0.86,280.608/348.096/383.77/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,227.33/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/224.94,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"JPM, Long, 2025-11-20 (Price: 298.38)",No Exit Yet,"-0.13%, 2 days","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-24 (Price: 298.0), 0.13% below",2 days,Upmove Bounce Back,23.66% (Price: 293.8367),1.42% above,"2025-04-07 (Price: 202.16), 2025-11-12 (Price: 322.25)",47.19%/1.16%/15.15%,"-0.0%, 40.65%",2.1 years/19 days/7.0 months,2028-11-30/2025-12-17/2026-09-21,9.23%,24.83%,-15.6%,0.67,1.0,306.7943/343.5846/370.43/No Horizontal Resistance/328.9175/381.492/No Moving Avg Target,294.11/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level/278.04,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",No Exit Yet,"1.01%, 3 days","91.67%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-25 (Price: 13.98), 1.01% above",3 days,Upmove Bounce Back,23.66% (Price: 13.6615),2.33% above,"2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",26.84%/1.54%/11.53%,"4.41%, 43.52%",3.1 years/1.2 month/8.4 months,2030-04-02/2026-01-09/2026-11-21,8.14%,11.02%,-2.89%,0.53,0.42,14.2137/15.4358/16.93/No Horizontal Resistance/16.2179/21.849/No Moving Avg Target,13.67/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.69,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BN.TO, Long, 2025-11-20 (Price: 61.6)",No Exit Yet,"3.33%, 2 days","93.18%, Past 1 years, 44","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-24 (Price: 63.65), 3.33% above",2 days,Upmove Bounce Back,23.66% (Price: 58.5318),8.74% above,"2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",40.79%/1.8%/13.46%,"3.46%, 37.68%",2.0 year/15 days/6.1 months,2028-09-16/2025-12-11/2026-08-12,8.09%,22.75%,-14.66%,0.5,0.84,63.1893/69.8914/86.61/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,60.2/26.2374/59.2857/53.7251/No F-Track Level/No F-Track Level/56.96,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"ATM.NZ, Long, 2025-11-19 (Price: 10.75)",No Exit Yet,"0.93%, 4 days","95.83%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2025-11-25 (Price: 10.85), 0.93% above",4 days,Upmove Bounce Back,23.66% (Price: 10.304),5.3% above,"2025-07-10 (Price: 7.8), 2025-11-05 (Price: 11.08)",56.05%/17.49%/32.17%,"1.65%, 47.74%",2.4 years/2.6 months/9.6 months,2029-05-07/2026-03-13/2027-01-08,16.39%,-5.22%,21.61%,0.49,-0.04,10.8027/14.2083/12.72/No Horizontal Resistance/21.86/25.8879/No Moving Avg Target,10.67/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.23,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-18 (Price: 401.25)",No Exit Yet,"4.12%, 4 days","100.0%, Past 5 years, 34","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 417.78), 4.12% above",4 days,Upmove Bounce Back,38.2% (Price: 374.8188),11.46% above,"2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year/25 days/6.6 months,2028-02-21/2025-12-24/2026-09-02,21.17%,25.99%,-4.83%,0.4,0.79,411.6424/507.9023/557.14/408.5817/490.132/554.3681/No Moving Avg Target,320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/339.11,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BABA, Long, 2025-11-18 (Price: 159.72)",No Exit Yet,"0.63%, 4 days","100.0%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 160.73), 0.63% above",4 days,Upmove Bounce Back,38.2% (Price: 155.6389),3.27% above,"2025-04-09 (Price: 95.73), 2025-10-02 (Price: 192.67)",74.52%/8.42%/42.02%,"-0.0%, 62.51%",2.8 years/1.5 month/1.1 year,2029-12-07/2026-01-22/2027-05-26,14.96%,-10.23%,25.19%,0.53,-0.05,157.2284/226.8343/217.88/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,153.8/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/134.84,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
