"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NIFTY_MIDCAP_100.NS, Long, 2026-01-23 (Price: 57145.6484)",No Exit Yet,"2.26%, 5 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-28 (Price: 58438.6016), 2.26% above",5 days,Upmove Bounce Back,23.66% (Price: 58074.8177),0.63% above,"2025-03-03 (Price: 46865.6992), 2026-01-07 (Price: 61548.8516)",11.12%/5.89%/9.55%,"0.28%, 21.42%",1.6 year/1 month/6.4 months,2028-05-06/2026-03-07/2026-10-28,20.49%,16.66%,3.83%,1.2,1.27,61751.5877/62603.0578/65955.54/59773.5488/69983.5191/76335.2565/58120.43,56378.55/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),58410.3516
"MSE.PA, Long, 2026-01-23 (Price: 66.36)",No Exit Yet,"-0.26%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-28 (Price: 66.19), 0.26% below",5 days,Upmove Bounce Back,23.66% (Price: 65.979),0.32% above,"2025-11-21 (Price: 60.91), 2026-01-15 (Price: 67.55)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-05-06/2026-03-20/2026-09-18,22.9%,9.15%,13.75%,2.88,0.6,68.4902/72.0205/70.34/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,65.6/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/61.09,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),66.21
"^NZ50, Long, 2026-01-23 (Price: 13448.2402)",No Exit Yet,"0.38%, 4 days","100.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 13499.0996), 0.38% above",4 days,Upmove Bounce Back,23.66% (Price: 13279.875),1.65% above,"2025-04-08 (Price: 11738.1201), 2026-01-14 (Price: 13757.71)",10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-11-29/2026-11-27/2028-05-06,1.64%,0.55%,1.09%,0.94,-0.28,13694.343/14178.4796/14659.99/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13290.06/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13029.2,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),13556.8701
"ORCL, Long, 2026-01-23 (Price: 177.16)",No Exit Yet,"-2.46%, 5 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-28 (Price: 172.8), 2.46% below",5 days,Upmove Bounce Back,78.6% (Price: 167.408),3.22% above,"2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,2028-05-06/2026-01-27/2026-08-02,57.24%,18.71%,38.53%,1.43,0.86,186.4255/205.169/313.28/No Horizontal Resistance/300.069/376.1425/219.27,173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),172.62
"KWEB, Long, 2026-01-18 (Price: 35.71)",No Exit Yet,"1.06%, 10 days","100.0%, Past 12 years, 10","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-01-28 (Price: 36.09), 1.06% above",10 days,Upmove Bounce Back,38.2% (Price: 33.3776),8.13% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-29/2026-03-28/2027-01-26,15.72%,2.03%,13.69%,1.19,0.14,33.7102/42.2556/51.4/54.865/112.1402/127.8094/36.56,34.83/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),36.765
"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 186.36),"-7.78%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-28 (Price: 186.3), 7.81% below",16 days,Upmove Bounce Back,23.66% (Price: 201.5134),7.55% below,"2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.25,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),199.44
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-5.67%, 28 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 256.44), 5.67% below",28 days,Upmove Bounce Back,38.2% (Price: 169.2862),51.48% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.07,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),255.04
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-11.58%, 28 days","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 32.31), 11.58% below",28 days,Upmove Bounce Back,38.2% (Price: 34.562),6.52% below,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/40.717/47.4928/No EMA 200 Target,26.75/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.21,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),36.7
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"-0.19%, 28 days","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 3200.1001), 0.19% below",28 days,Upmove Bounce Back,50% (Price: 2809.1),13.92% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3217.05,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),3137.8999
"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",No Exit Yet,"2.46%, 28 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 38.68), 2.46% above",28 days,Upmove Bounce Back,23.66% (Price: 34.9549),10.66% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-19/2026-06-22/2030-09-16,4.68%,9.29%,-4.61%,0.75,0.49,47.0516/45.7945/49.28/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.87,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),37.5
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-6.51%, 28 days","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 11.49), 6.51% below",28 days,Upmove Bounce Back,50% (Price: 10.74),6.98% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),10.7
"DBC, Long, 2025-12-24 (Price: 22.63)",2026-01-28 (Price: 24.94) (Today),"10.21%, 1.2 month","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2026-01-28 (Price: 24.94), 10.21% above",1.2 month,Upmove Bounce Back,38.2% (Price: 22.7333),9.71% above,"2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/60.6441/65.878/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.29,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),22.67
"TSLA, Long, 2025-11-30 (Price: 430.17)",2026-01-18 (Price: 437.5),"1.7%, 1.6 month","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-28 (Price: 431.46), 0.3% above",2 months,Upmove Bounce Back,23.66% (Price: 375.7432),14.83% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-01-21/2026-01-21/2026-06-22,12.11%,30.11%,-18.0%,0.69,1.16,622.2409/508.8481/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/375.51,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),402.17
"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-28 (Price: 312.07) (Today),"9.22%, 2.4 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-28 (Price: 312.07), 9.22% above",2.4 months,Upmove Bounce Back,50% (Price: 256.035),21.89% above,"2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/274.86,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),292.12
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-28 (Price: 1422.92) (Today),"34.34%, 3 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-28 (Price: 1422.92), 34.34% above",3 months,Upmove Bounce Back,38.2% (Price: 692.3064),105.53% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/900.24,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),965.61
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-28 (Price: 481.63) (Today),"-3.17%, 7.1 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-28 (Price: 481.63), 3.17% below",7.1 months,Upmove Bounce Back,50% (Price: 340.89),41.29% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/485.5,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),457.14
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-31 (Price: 80.63),"-0.02%, 6.1 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-28 (Price: 81.04), 0.48% above",7.1 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.85% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03 (Max),3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/80.2,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),79.13
"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-28 (Price: 263.3) (Today),"22.02%, 7.1 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-28 (Price: 263.3), 22.02% above",7.1 months,Upmove Bounce Back,88.6% (Price: 171.1673),53.83% above,"2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/230.52,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),205.32
"BPCL.NS, Long, 2025-05-31 (Price: 318.4)",2025-12-31 (Price: 384.0),"20.6%, 7.1 months","100.0%, Past 30 years, 4","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-01-28 (Price: 362.35), 13.8% above",8.1 months,Upmove Bounce Back,61.8% (Price: 232.6394),55.76% above,"2022-10-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",30.51%/20.62%/27.17%,"-0.0%, 29.42%",1.8 year/3 months/1.1 year,2027-12-25/2025-10-08/2026-12-25,9.39%,8.87%,0.52%,1.53,0.44,327.2834/404.9093/457.58/343.7375/372.4081/393.108/336.02,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),310.55
"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-28 (Price: 43.33) (Today),"9.9%, 10.1 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-01-28 (Price: 43.33), 9.9% above",10.1 months,Upmove Bounce Back,23.66% (Price: 36.9765),17.18% above,"2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.39,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),39.57
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-01-28 (Price: 13.33) (Today),"5.96%, 28 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-28 (Price: 13.33), 5.96% below",28 days,Upmove Break Below,50.0% (Price: 13.3475),0.13% below,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/12.2,No support/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets),15.6175
