Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-11-24 (Price: 9.72)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),3.78%/4.52%,"-2.88%, 9 days","2025-12-03 (Price: 9.44), 2.88% below",9.7968 (Historic Rise or Fall to Pivot)/10.0233 (Avg % Gain of Historic Winning trades)/10.69 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.4548 (Backtested Best)/9.8668 (Backtested Worst),2026-03-16 (Max)/2025-12-31 (Avg),9.3/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/9.13,"70.27%, Past 4 years, 37",No Information,No Information,No Information,No Information,No Information,1.67% below/2.88% below/2.88% below,7.56%/1.51%/3.12%,"7.04%, 16.17%",2.6 months/5 days/26 days,5.05%,4.18%,0.87%,0.27,0.12,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"SONY, Long, 2025-11-24 (Price: 29.01)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),5.05%/7.09%,"-1.9%, 9 days","2025-12-03 (Price: 28.46), 1.9% below",29.8977 (Historic Rise or Fall to Pivot)/31.4584 (Avg % Gain of Historic Winning trades)/34.81 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/34.1535 (Backtested Best)/30.4779 (Backtested Worst),2026-02-18 (Max)/2025-12-22 (Avg),No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.41,"85.71%, Past 6 years, 35",No Information,No Information,No Information,No Information,No Information,No Information,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,38.36%,14.31%,24.05%,0.28,0.52,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-24 (Price: 200.28)",Daily,No Exit Yet,208.5115 (Backtested Best),2025-12-04 (Avg),1.81%/4.09%,"3.72%, 9 days","2025-12-03 (Price: 207.73), 3.72% above",225.9759 (Historic Rise or Fall to Pivot)/216.22 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/211.5 (Moving Avg),2025-12-22 (Max)/2025-12-04 (Avg),198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,-5.14%,28.08%,-33.22%,-0.21,0.86,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",Daily,2025-11-27 (Price: 91285.375),93870.9354 (Avg % Gain of Historic Winning trades),2025-12-04 (Avg),10.38%/17.0%,"7.85%, 10 days","2025-12-03 (Price: 93619.9922), 7.85% above",124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109535.06 (Moving Avg)/103341.3618 (Backtested Best),2026-01-05 (Max)/2025-12-04 (Avg),No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,"84.21%, Past 6 years, 57",No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,54.01%,49.41%,4.61%,0.19,0.92,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",Daily,No Exit Yet,14.2137 (Historic Rise or Fall to Pivot),No Date Target,8.55%/14.05%,"2.75%, 13 days","2025-12-03 (Price: 14.22), 2.75% above",15.4358 (Avg % Gain of Historic Winning trades)/16.93 (Exit Rule)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/17.5547 (Backtested Best),2030-04-02 (Max)/2026-01-09 (Min)/2026-11-21 (Avg),13.67/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.78,"91.67%, Past 5 years, 24",No Information,No Information,No Information,"23.66% (Price: 13.6615), 4.09% above, Upmove Bounce Back","2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",No Information,26.84%/1.54%/11.53%,"4.41%, 43.52%",3.1 years/1.2 month/8.4 months,8.14%,11.02%,-2.89%,0.53,0.42,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"PG, Long, 2025-11-19 (Price: 146.99)",Daily,No Exit Yet,No Price Target,2025-12-06 (Min),3.05%/5.2%,"-0.19%, 14 days","2025-12-03 (Price: 146.71), 0.19% below",151.1792 (Historic Rise or Fall to Pivot)/157.8085 (Avg % Gain of Historic Winning trades)/154.34 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/158.81 (Moving Avg)/168.0096 (Backtested Best)/154.413 (Backtested Worst),2026-05-10 (Max)/2025-12-06 (Min)/2026-01-26 (Avg),No Recent Minima/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No Moving Avg Support,"79.31%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,14.3%/5.05%/7.36%,"13.37%, 15.58%",4.0 months/12 days/1.6 month,-2.55%,3.91%,-6.45%,-0.05,0.08,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-18 (Price: 401.25)",Daily,2025-12-03 (Price: 446.74) (Today),No Price Target,No Date Target,9.71%/13.69%,"11.34%, 15 days","2025-12-03 (Price: 446.74), 11.34% above",507.9023 (Avg % Gain of Historic Winning trades)/557.14 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/681.5632 (Backtested Best),2028-02-21 (Max)/2025-12-24 (Min)/2026-09-02 (Avg),320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/341.62,"100.0%, Past 5 years, 34",No Information,No Information,No Information,"38.2% (Price: 374.8188), 19.19% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",No Information,69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year/25 days/6.6 months,21.17%,25.99%,-4.83%,0.4,0.79,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"BYD.TO, Long, 2025-11-13 (Price: 224.5)",Daily,No Exit Yet,235.725 (Backtested Worst),No Date Target,0.79%/5.15%,"5.44%, 20 days","2025-12-03 (Price: 236.72), 5.44% above",238.5986 (Avg % Gain of Historic Winning trades)/253.68 (Exit Rule)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/248.9032 (Backtested Best),2026-02-22 (Max)/2025-12-20 (Avg),No Recent Minima/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.16,"75.0%, Past 6 years, 28",No Information,No Information,No Information,No Information,No Information,No Information,10.87%/5.0%/6.28%,"13.39%, 19.4%",2.3 months/1 day/26 days,-15.59%,2.6%,-18.19%,-0.14,0.1,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Exit Yet,No Price Target,2025-12-02 (Max),6.14%/6.83%,"-3.24%, 21 days","2025-12-03 (Price: 187.47), 3.24% below",201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/243.68 (Moving Avg)/203.0888 (Backtested Best),No Next Date Target,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No Moving Avg Support,"80.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days/1 day/5 days,6.54%,8.52%,-1.98%,0.2,0.33,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",Daily,No Exit Yet,3173.84 (Exit Rule),No Date Target,0.72%/3.36%,"4.36%, 22 days","2025-12-03 (Price: 3180.0), 4.36% above",3544.5751 (Avg % Gain of Historic Winning trades)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6711.0756 (F-Stack 2)/3286.92 (Moving Avg)/3914.4809 (Backtested Best)/3203.0064 (Backtested Worst),2028-11-02 (Max)/2026-03-11 (Min)/2026-12-08 (Avg),2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level/No Moving Avg Support,"100.0%, Past 5 years, 33",No Information,No Information,No Information,"88.6% (Price: 3015.6997), 5.45% above, Upmove Bounce Back","2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",No Information,28.47%/5.12%/16.33%,"-0.0%, 25.8%",2.1 years/2.8 months/9.0 months,8.59%,2.55%,6.05%,0.66,0.02,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Exit Yet,No Price Target,2025-12-01 (Avg),3.33%/3.65%,"-2.43%, 22 days","2025-12-03 (Price: 53.41), 2.43% below",55.3586 (Historic Rise or Fall to Pivot)/55.7198 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Best)/55.1889 (Backtested Worst),2025-12-17 (Max),53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.74,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,0.63% below/2.43% below/2.43% below,3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,6.14%,7.37%,-1.22%,0.22,0.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Exit Yet,No Price Target,2025-12-04 (Max),2.0%/5.03%,"1.24%, 23 days","2025-12-03 (Price: 639.6), 1.24% above",698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/671.78 (Moving Avg)/725.0078 (Backtested Best)/652.4186 (Backtested Worst),2025-12-04 (Max),618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"75.0%, Past 4 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,14.76%/3.27%/8.73%,"19.19%, 19.41%",17 days/1 day/7 days,6.71%,17.48%,-10.77%,0.15,0.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-10 (Price: 316.89)",Daily,No Exit Yet,No Price Target,2025-12-07 (Avg),2.66%/5.38%,"-1.5%, 23 days","2025-12-03 (Price: 312.13), 1.5% below",330.3261 (Avg % Gain of Historic Winning trades)/403.26 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/350.6071 (Backtested Best)/320.4392 (Backtested Worst),2026-02-20 (Max)/2025-12-07 (Avg),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/276.27,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,0.66% below/1.5% below/1.5% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,No Exit Yet,No Price Target,2025-12-03 (Avg),4.67%/5.38%,"-0.41%, 27 days","2025-12-03 (Price: 312.13), 0.41% below",326.709 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/346.7679 (Backtested Best),2026-02-16 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,0.93% above/0.41% below/0.41% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-05 (Price: 82.96)",Daily,2025-11-27 (Price: 86.36),No Price Target,2025-12-05 (Avg),8.84%/9.21%,"2.92%, 28 days","2025-12-03 (Price: 85.38), 2.92% above",93.24 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/92.9235 (Backtested Best),2026-04-26 (Max)/2025-12-05 (Avg),78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.59,"80.56%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,2.92% above/2.92% above/2.92% above,12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,8.72%,13.33%,-4.61%,0.22,0.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Exit Yet,No Price Target,2025-12-06 (Max),4.03%/4.66%,"0.32%, 1.1 month","2025-12-03 (Price: 312.13), 0.32% above",324.7159 (Historic Rise or Fall to Pivot)/335.6051 (Avg % Gain of Historic Winning trades)/326.68 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/366.4371 (Backtested Best)/327.6094 (Backtested Worst),2025-12-06 (Max),No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/279.03,"83.33%, Past 6 years, 30",No Information,No Information,No Information,No Information,No Information,No Information,17.78%/5.3%/7.87%,"14.96%, 18.99%",25 days/2 days/12 days,27.42%,15.43%,11.99%,0.14,0.55,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2),No Date Target,14.05%/25.47%,"13.77%, 1.1 month","2025-12-03 (Price: 320.62), 13.77% above",365.6614 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Best),2027-06-19 (Max)/2026-03-04 (Min)/2026-08-15 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"94.12%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,31.64% above/27.38% above/13.77% above,63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,22.75%,24.26%,-1.52%,1.49,0.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 111.886)",Daily,No Exit Yet,No Price Target,2025-12-07 (Max),13.01%/13.24%,"-7.08%, 1.1 month","2025-12-03 (Price: 103.96), 7.08% below",120.2774 (Avg % Gain of Historic Winning trades)/117.48 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/126.599 (Backtested Best)/117.7264 (Backtested Worst),2025-12-07 (Max),No Recent Minima/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No Moving Avg Support,"86.21%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,13.15%/5.22%/7.5%,"35.12%, 35.12%",26 days/2 days/8 days,39.66%,24.78%,14.88%,0.1,0.78,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
