Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.83%, 5 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-04 (Price: 156.03), 0.83% above",5 days,154.12,No Information,No Information,No Information,No Information,No Information,No Information,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/No F-Track Level/No F-Track Level/142.04,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"RY.TO, Long, 2026-01-30 (Price: 226.72)",No Exit Yet,"2.49%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 232.37), 2.49% above",5 days,227.25,No Information,No Information,No Information,"23.66% (Price: 219.2613), 5.98% above, Upmove Bounce Back","2025-04-07 (Price: 151.25), 2026-01-06 (Price: 240.34)",No Information,10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-08-25/2026-03-23/2027-01-19,16.77%,10.42%,6.35%,3.94,0.82,235.6074/247.3288/280.17/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.83,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-01-30 (Price: 162.25)",No Exit Yet,"2.87%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 166.91), 2.87% above",5 days,163.43,No Information,No Information,No Information,"23.66% (Price: 160.7722), 3.82% above, Upmove Bounce Back","2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-01-29/2026-04-26/2027-01-08,24.66%,12.6%,12.06%,7.0,0.93,169.1294/180.1786/204.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/149.52,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2026-01-30 (Price: 315.3)",No Exit Yet,"2.94%, 5 days","100.0%, Past 5 years, 21","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 324.56), 2.94% above",5 days,316.72,No Information,No Information,No Information,"23.66% (Price: 313.5035), 3.53% above, Upmove Bounce Back","2025-10-31 (Price: 256.76), 2026-01-09 (Price: 331.09)",No Information,12.51%/1.42%/10.06%,"-0.0%, 25.1%",1.2 year/13 days/3.2 months,2027-10-17/2026-02-17/2026-06-18,39.1%,12.92%,26.18%,1.83,0.68,326.2724/347.0192/359.9/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,312.07/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/276.8,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",No Exit Yet,"3.36%, 5 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 156.87), 3.36% above",5 days,150.43,No Information,No Information,No Information,No Information,No Information,4.65% above/3.36% above/3.36% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-22/2026-02-07/2026-03-23,9.71%,2.06%,7.65%,0.36,0.03,153.3939/154.8054/153.98/179.4533/186.6499/209.3631/154.01,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"1.57%, 5 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",5 days,60.11,No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-06-18/2026-02-04/2026-03-10,13.01%,4.6%,8.41%,1.21,0.22,66.2929/62.5307/79.98/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",2026-02-02 (Price: 555.37),"4.44%, 13 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-02-04 (Price: 553.52), 4.1% above",15 days,530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-03-17/2026-01-22/2026-02-03,12.96%,7.15%,5.81%,1.12,0.38,578.5331/550.8826/564.71/592.9033/716.5814/751.3605/563.67,527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-01-16 (Price: 52.97)",2026-02-04 (Price: 55.38) (Today),"4.55%, 19 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-04 (Price: 55.38), 4.55% above",19 days,52.69,No Information,No Information,No Information,No Information,No Information,No Information,6.86%/2.52%/4.14%,"10.59%, 11.17%",1.1 month/1 day/10 days,2026-03-04/2026-01-17/2026-01-30,12.65%,7.95%,4.7%,0.51,0.42,56.0846/55.163/55.62/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,52.48/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",2026-02-02 (Price: 49.91),"11.86%, 24 days","83.33%, Past 6 years, 18","Daily, is Confirmed on 2026-01-09",No Cancellation Possible,"2026-02-04 (Price: 52.65), 18.0% above",26 days,44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,2026-08-31/2026-01-10/2026-03-02,20.81%,10.2%,10.61%,0.68,0.51,54.0973/48.6224/54.44/51.51/65.8353/68.6522/No EMA 200 Target,No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.2,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"1.7%, 1.2 month","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 276.49), 1.7% above",1.2 month,255.04,No Information,No Information,No Information,"38.2% (Price: 169.2862), 63.33% above, Upmove Bounce Back","2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",No Information,37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/237.4,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"9.71%, 1.2 month","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 330.38), 9.71% above",1.2 month,269.38,No Information,No Information,No Information,No Information,No Information,9.71% above/9.71% above/9.71% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 913.3), 0.69% above",1.3 month,896.52,No Information,No Information,No Information,No Information,No Information,2.85% above/0.69% above/0.69% above,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-12-07 (Price: 99.26)",2026-02-04 (Price: 102.1) (Today),"2.86%, 2 months","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-02-04 (Price: 102.1), 2.86% above",2 months,96.69,No Information,No Information,No Information,No Information,No Information,5.32% above/2.86% above/2.86% above,12.4%/0.79%/4.02%,"0%, 33.13%",1.1 year/28 days/3.2 months,2027-07-03/2026-01-16/2026-04-25,7.58%,2.54%,5.04%,1.18,0.04,103.8557/103.2503/115.51/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,63.97/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-04 (Price: 200.19) (Today),"13.54%, 6.3 months","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-04 (Price: 200.19), 13.54% above",6.3 months,138.77,No Information,No Information,No Information,No Information,No Information,80.79% above/13.54% above/13.54% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2029-02-23/2026-03-09/2026-09-21,26.16%,7.99%,18.17%,1.24,0.48,342.059/395.7983/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
DELTADRIFT,"EURUSD=X, Short, 2026-01-30 (Price: 1.1966)",2026-02-02 (Price: 1.1849),"0.98%, 3 days","100.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 1.1816), 1.25% below",5 days,1.1968,No Information,No Information,No Information,No Information,No Information,No Information,1.74%/0.53%/0.94%,"0%, 3.62%",27 days/3 days/12 days,2026-03-10/2026-02-03/2026-02-16,5.83%,3.82%,2.01%,2.08,-0.64,1.1741/1.1854/1.18/1.0208/No F-Stack Support/No F-Stack Support/1.16,No support/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,73.64%/34/7 days (Across ALL Assets),71.84%/103/7 days (Across ALL Assets)
TRENDPULSE,"ORCL, Short, 2026-01-21 (Price: 173.88)",2026-02-04 (Price: 146.67) (Today),"15.65%, 14 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-01-21",Already confirmed,"2026-02-04 (Price: 146.67), 15.65% below",14 days,179.68,No Information,No Information,No Information,No Information,No Information,23.25% below/15.65% below/15.65% below,9.31%/3.55%/5.63%,"12.19%, 12.03%",20 days/7 days/11 days,2026-02-18/2026-01-31/2026-02-05,8.19%,5.2%,2.99%,0.56,0.75,159.674/164.0906/155.23/82.7925/167.1709/152.3597/No EMA 200 Target,No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets)
OSCILLATOR DELTA,"ABNB, Short, 2026-01-20 (Price: 130.73)",2026-02-04 (Price: 124.61) (Today),"4.68%, 15 days","100.0%, Past 5 years, 5","Daily, is Confirmed on 2026-01-20",No Cancellation Possible,"2026-02-04 (Price: 124.61), 4.68% below",15 days,127.83,No Information,No Information,No Information,No Information,No Information,No Information,5.92%/0.19%/4.45%,"0.0%, 16.73%",27 days/5 days/15 days,2026-02-28/2026-01-27/2026-02-10,23.5%,5.1%,18.4%,1.94,0.05,117.0949/124.9125/121.0/99.795/No F-Stack Support/No F-Stack Support/128.39,No Recent Maxima/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
