"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ETH-USD, Long, 2026-02-19 (Price: 1947.0419)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1748.6277 prior to 2026-02-20,"2026-02-19 (Price: 1947.0419), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 1793.4297),8.57% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-11/2026-03-01/2026-06-20,44.95%,44.58%,0.37%,1.56,1.59,2015.5778/2416.6684/4087.2/4922.7188/5483.4169/7318.9774/3514.2,1576.73/1370.4997/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1965.1317
"TSLA, Long, 2026-02-19 (Price: 411.71)",No Exit Yet,"0.0%, 0 days","73.33%, Past 15 years, 15","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 387.53 prior to 2026-02-20,"2026-02-19 (Price: 411.71), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 383.5985),7.33% above,"2019-06-09 (Price: 11.7993), 2025-12-28 (Price: 498.83)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-04-11/2026-04-12/2026-09-11,12.11%,30.11%,-18.0%,0.69,1.16,595.5385/487.0118/703.93/487.1467/461.2057/510.3573/No EMA 200 Target,411.11/196.47/117.6011/73.4077/404.8951/347.1684/387.08,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),412.36
"HYG, Long, 2026-02-19 (Price: 80.94)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 80.45 prior to 2026-02-20,"2026-02-19 (Price: 80.94), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 79.8742),1.33% above,"2025-04-13 (Price: 75.08), 2025-09-28 (Price: 81.36)",1.64%/1.64%/1.64%,"-0.0%, 5.0%",5.6 months/5.6 months/5.6 months,2026-10-20 (Max),4.91%,-0.94%,5.85%,0.25,-0.45,81.199/82.2674/84.71/87.0575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.95/72.2733/No F-Stack Support/No F-Stack Support/78.7669/77.1733/80.41,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),80.82
"AMD, Long, 2026-02-19 (Price: 203.37)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 190.72 prior to 2026-02-20,"2026-02-19 (Price: 203.37), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 194.2708),4.68% above,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-09-14/2026-03-01/2027-04-07,11.53%,7.36%,4.17%,1.23,0.44,266.5571/244.4101/317.73/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,203.17/72.05/167.5998/131.2181/194.2708/171.78/183.52,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),202.145
"RELIANCE.NS, Long, 2026-02-19 (Price: 1409.5)",No Exit Yet,"0.0%, 0 days","90.48%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1335.5 prior to 2026-02-20,"2026-02-19 (Price: 1409.5), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1325.1633),6.36% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-05/2026-03-11/2026-11-24,15.84%,11.94%,3.9%,1.68,0.6,1513.3802/1636.1476/2136.39/1610.3/1617.1679/1804.6011/1451.3,1386.1/1006.0696/1324.16/1138.1652/1380.411/1308.9348/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1420.1
"C6L.SI, Long, 2026-02-19 (Price: 6.98)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-19 (Price: 6.98), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),11.88% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-05/2027-02-05/2028-04-11,7.09%,-1.77%,8.86%,0.77,-0.19,7.1866/8.6699/8.04/No Horizontal Resistance/15.377/16.6022/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"SONY, Long, 2026-02-19 (Price: 22.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 21.18 prior to 2026-02-20,"2026-02-19 (Price: 22.25), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 20.8735),6.59% above,"2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-04-08/2026-03-11/2027-12-28,9.4%,4.91%,4.49%,2.5,0.26,23.2957/25.7255/31.44/26.85/33.2191/35.3948/26.44,22.1/14.992/16.3295/14.1868/19.4813/16.127/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),22.71
"VGT, Long, 2026-02-19 (Price: 734.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 705.71 prior to 2026-02-20,"2026-02-19 (Price: 734.65), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 722.7628),1.64% above,"2025-04-13 (Price: 451.0), 2025-11-02 (Price: 806.99)",20.12%/15.11%/16.2%,"0%, 27.55%",1.8 year/1.2 month/9.2 months,2028-09-14/2026-04-12/2027-03-25,14.28%,9.95%,4.33%,12.76,0.59,781.5207/853.6633/948.24/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,730.8/311.83/671.1312/639.8848/685.0535/610.1187/710.82,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),726.23
"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-19 (Price: 11.08), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),4.95% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-02/2026-09-28/2027-09-15,8.62%,8.22%,0.4%,0.91,0.49,12.7475/13.4467/18.14/12.825/13.8771/15.9169/11.54,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"SBUX, Long, 2026-02-18 (Price: 95.76)",No Exit Yet,"0.04%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-19 (Price: 95.8), 0.04% above",1 day,Upmove Bounce Back,38.2% (Price: 94.5709),1.3% above,"2025-11-04 (Price: 77.99), 2026-01-28 (Price: 104.82)",18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-09-13/2026-04-06/2027-04-24,17.25%,-2.4%,19.65%,1.15,-0.1,95.3674/105.9872/111.86/117.438/142.4098/150.3462/No EMA 200 Target,93.79/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/88.21,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),95.04
"XLF, Long, 2026-02-18 (Price: 52.59)",No Exit Yet,"-0.84%, 1 day","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-19 (Price: 52.15), 0.84% below",1 day,Upmove Bounce Back,23.66% (Price: 50.3376),3.6% above,"2023-03-24 (Price: 30.39), 2026-01-06 (Price: 56.52)",11.32%/1.52%/7.02%,"2.46%, 26.19%",2.3 years/21 days/6.5 months,2029-05-30/2026-03-20/2026-11-27,16.24%,9.14%,7.1%,1.47,0.58,54.5621/56.2818/68.27/No Horizontal Resistance/70.6138/110.4396/52.79,51.65/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),52.345
"CNU.NZ, Long, 2026-02-17 (Price: 9.11)",No Exit Yet,"4.39%, 2 days","73.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-19 (Price: 9.51), 4.39% above",2 days,Upmove Bounce Back,61.8% (Price: 9.2314),3.02% above,"2025-10-14 (Price: 8.88), 2026-02-04 (Price: 9.8)",11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-05-31/2026-04-01/2027-06-18,10.79%,2.16%,8.63%,0.95,0.05,9.1692/9.8087/9.66/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.08,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),9.19
"MFT.NZ, Long, 2026-02-17 (Price: 62.5)",No Exit Yet,"3.38%, 2 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-19 (Price: 64.61), 3.38% above",2 days,Upmove Bounce Back,61.8% (Price: 62.0801),4.08% above,"2025-07-31 (Price: 57.37), 2026-01-14 (Price: 69.7)",13.45%/0.01%/4.6%,"-0.0%, 26.79%",1.7 year/13 days/6.6 months,2028-07-22/2026-03-07/2026-11-30,6.61%,0.8%,5.81%,0.39,0.01,61.975/65.375/69.9/85.45/105.252/119.9356/64.81,62.0/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),63.41
"BDGI.TO, Long, 2026-02-17 (Price: 68.65)",No Exit Yet,"4.75%, 2 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-19 (Price: 71.91), 4.75% above",2 days,Upmove Bounce Back,38.2% (Price: 63.8711),12.59% above,"2025-04-07 (Price: 33.62), 2026-01-19 (Price: 82.57)",14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-02-14/2026-03-16/2027-05-06,19.04%,8.7%,10.34%,2.35,0.44,74.3479/76.2702/98.02/No Horizontal Resistance/79.8787/84.3122/No EMA 200 Target,65.8/24.32/63.2847/58.5532/No F-Track Level/No F-Track Level/61.66,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),68.76
"NA.TO, Long, 2026-02-15 (Price: 174.78)",No Exit Yet,"1.0%, 4 days","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-19 (Price: 176.53), 1.0% above",4 days,Upmove Bounce Back,23.66% (Price: 160.7722),9.8% above,"2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-29/2026-06-25/2027-09-11,12.24%,6.18%,6.06%,3.57,0.32,185.6513/202.168/217.3/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,162.25/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/152.46,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),169.0
"AAPL, Long, 2026-02-08 (Price: 278.12)",No Exit Yet,"-6.31%, 11 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-19 (Price: 260.58), 6.31% below",11 days,Upmove Bounce Back,38.2% (Price: 243.0054),7.23% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-13/2026-04-09/2027-01-12,12.35%,17.83%,-5.48%,2.32,0.9,305.6261/324.7329/349.77/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,248.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/240.85,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),260.03
"META, Long, 2026-02-08 (Price: 661.46)",No Exit Yet,"-2.52%, 11 days","100.0%, Past 13 years, 6","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-19 (Price: 644.78), 2.52% below",11 days,Upmove Bounce Back,23.66% (Price: 613.221),5.15% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-07/2026-03-10/2027-03-06,19.03%,15.86%,3.17%,8.93,0.74,822.4594/775.4296/1125.61/No Horizontal Resistance/842.484/1305.5879/689.91,620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),714.6
"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"-4.74%, 11 days","85.71%, Past 20 years, 7","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-19 (Price: 33.76), 4.74% below",11 days,Upmove Bounce Back,38.2% (Price: 33.1947),1.7% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-30/2026-05-31/2027-10-26,6.51%,10.86%,-4.35%,1.44,0.54,40.9545/41.9113/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No support/No F-Track Level/No F-Track Level/35.39,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),34.42
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.03%, 19 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-19 (Price: 106.0), 6.03% below",19 days,Upmove Bounce Back,50% (Price: 102.395),3.52% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/113.18,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-2.47%, 19 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-19 (Price: 1.3465), 2.47% below",19 days,Upmove Bounce Back,23.66% (Price: 1.271),5.94% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"-0.43%, 19 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-19 (Price: 0.816), 0.43% below",19 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.52% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),0.7896
