Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",Daily,No Exit Yet,No Price Target,2025-12-11 (Avg),1.96%/2.68%,"-0.75%, 1 day","2025-12-11 (Price: 1000.3), 0.75% below",1027.0999 (Historic Rise or Fall to Pivot)/1043.8302 (Avg % Gain of Historic Winning trades)/1034.52 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1089.9898 (Backtested Max)/1019.9442 (Backtested Min),2026-03-08 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/939.21,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,0.75% below/0.75% below/0.75% below,8.15%/1.2%/3.57%,"-0.0%, 11.99%",3 days/4 days/1 day,15.51%,5.46%,10.05%,1.19,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),15387.09B
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,317.3575 (Backtested Min),No Date Target,2.91%/9.58%,"11.31%, 1 day","2025-12-11 (Price: 313.7), 11.31% above",343.764 (Historic Rise or Fall to Pivot)/412.669 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/322.8294 (F-Stack 2)/459.4793 (Backtested Max),2027-01-17 (Max)/2026-06-09 (Min)/2026-07-27 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"100.0%, Past 20 years, 11",No Information,No Information,No Information,No Information,No Information,28.8% above/24.63% above/11.31% above,63.04%/12.61%/46.43%,"-0.0%, 18.92%",10 days/5 days/6 days,13.15%,17.12%,-3.97%,1.16,0.87,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),3786.93B
TRENDPULSE,"PG, Long, 2025-07-23 (Price: 158.28)",Daily,No Exit Yet,No Price Target,2025-12-13 (Max),13.9%/14.7%,"-11.07%, 4 days","2025-12-11 (Price: 140.76), 11.07% below",161.4456 (Avg % Gain of Historic Winning trades)/165.25 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/166.21 (EMA 200)/163.2183 (Backtested Max)/160.3218 (Backtested Min),2025-12-13 (Max),152.68/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,11.09% below/11.07% below/11.07% below,3.12%/1.29%/2.0%,"6.35%, 12.85%",3 days/6 days/1 day,9.71%,2.06%,7.65%,0.36,0.03,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),329.45B
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,No Exit Yet,No Price Target,2025-12-10 (Min),0.8%/0.94%,"3.46%, 6 days","2025-12-11 (Price: 126.43), 3.46% above",127.4424 (Historic Rise or Fall to Pivot)/134.15 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/127.6135 (Backtested Max),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,5.28% above/3.46% above/3.46% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1 day/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),215.84B
FRACTAL TRACK,"CNR.TO, Long, 2025-11-26 (Price: 132.03)",Daily,2025-12-09 (Price: 135.38),No Price Target,No Date Target,3.83%/6.77%,"2.17%, 15 days","2025-12-11 (Price: 134.9), 2.17% above",144.0315 (Avg % Gain of Historic Winning trades)/140.06 (Exit Rule)/167.5729 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/146.8966 (Backtested Max),2027-10-04 (Max)/2025-12-22 (Min)/2026-09-30 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",No Information,No Information,No Information,"61.8% (Price: 131.225), 2.8% above, Upmove Bounce Back","2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",No Information,11.26%/0.33%/9.09%,"-0.0%, 14.35%",1 day/18 days/7 days,16.8%,-0.9%,17.7%,0.98,-0.19,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),84.20B
SIGMASHELL,"TRI.TO, Long, 2025-09-02 (Price: 244.88)",Daily,No Exit Yet,No Price Target,2025-12-10 (Max),36.07%/36.49%,"-25.8%, 3 days","2025-12-11 (Price: 181.69), 25.8% below",247.99 (Historic Rise or Fall to Pivot)/268.413 (Avg % Gain of Historic Winning trades)/293.2329 (Exit Rule)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/277.4001 (Backtested Max)/247.2308 (Backtested Min),No Next Date Target,231.86/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/241.59,"90.0%, Past 5 years, 10","-9.0, 100.0",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2 days/1 day/1 day,11.85%,6.18%,5.67%,0.52,0.33,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),81.89B
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",Weekly,No Exit Yet,489.5873 (Avg % Gain of Historic Winning trades),No Date Target,0.61%/2.91%,"3.32%, 1 day","2025-12-11 (Price: 487.87), 3.32% above",490.8623 (Historic Rise or Fall to Pivot)/546.77 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/502.0537 (Backtested Max),2026-12-25 (Max)/2026-01-03 (Min)/2026-06-04 (Avg),454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/435.91,"100.0%, Past 10 years, 21",No Information,No Information,No Information,No Information,No Information,5.65% above/3.32% above/3.32% above,6.32%/1.23%/3.68%,"-0.0%, 14.86%",9 days/1 day/5 days,6.77%,6.84%,-0.07%,2.38,0.43,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),39.64B
TRENDPULSE,"TFII.TO, Long, 2025-10-17 (Price: 132.51)",Daily,2025-12-10 (Price: 139.46),No Price Target,No Date Target,2.19%/55.53%,"6.75%, 1 day","2025-12-11 (Price: 141.45), 6.75% above",219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/144.5419 (Backtested Max),2026-02-24 (Max)/2025-12-16 (Avg),121.18/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No EMA 200 Support,"84.21%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,5.59% above/6.75% above/6.75% above,9.08%/2.14%/5.23%,"5.39%, 18.82%",3 days/8 days/1 day,14.66%,12.79%,1.87%,1.0,0.61,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11.74B
TRENDPULSE,"BYD.TO, Long, 2025-02-02 (Price: 238.35)",Weekly,No Exit Yet,No Price Target,2025-12-11 (Max),10.47%/15.22%,"-6.93%, 10 days","2025-12-11 (Price: 221.83), 6.93% below",257.2035 (Historic Rise or Fall to Pivot)/255.5827 (Avg % Gain of Historic Winning trades)/255.83 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/271.4091 (Backtested Max)/245.0476 (Backtested Min),No Next Date Target,208.54/187.425/229.0045/147.1212/No F-Track Level/No F-Track Level/230.01,"100.0%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,0.14% above/6.93% below/6.93% below,13.87%/2.81%/7.23%,"-0.0%, 50.63%",7 days/28 days/4 days,12.02%,17.33%,-5.31%,1.5,0.91,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),6.17B
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-11 (Price: 9.26) (Today),No Price Target,No Date Target,11.76%/19.07%,"6.19%, 1 day","2025-12-11 (Price: 9.26), 6.19% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),2026-01-25 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,8.43% above/6.19% above/6.19% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11 days/5 days/8 days,14.78%,5.28%,9.5%,1.0,0.27,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),4.05B
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,2025-11-30 (Price: 7.75),8.4718 (Backtested Min),No Date Target,3.39%/5.08%,"25.4%, 5 days","2025-12-11 (Price: 8.251), 25.4% above",8.9863 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/9.4791 (Backtested Max),2027-06-28 (Max)/2026-03-22 (Min)/2026-07-30 (Avg),3.0/2.942/6.3611/No support/No F-Track Level/No F-Track Level/5.37,"100.0%, Past 20 years, 7",No Information,No Information,No Information,No Information,No Information,34.16% above/28.92% above/25.4% above,44.06%/28.75%/36.57%,"-0.0%, 15.01%",1 day/6 days/9 days,14.41%,0.49%,13.92%,1.44,-0.1,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),892.05M
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Exit Yet,No Price Target,2025-12-09 (Avg),3.15%/3.35%,"-2.14%, 1 day","2025-12-11 (Price: 53.57), 2.14% below",55.7198 (Historic Rise or Fall to Pivot)/55.7144 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Max)/55.26 (Backtested Min),2026-01-02 (Max),53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.74,"83.33%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,0.33% below/2.14% below/2.14% below,3.11%/0.95%/1.78%,"6.22%, 16.49%",1 day/7 days/20 days,3.84%,5.36%,-1.52%,0.02,0.27,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),N/A
