"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"1.35%, 3 days","92.31%, Past 2 years, 13","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 65.41), 1.35% above",3 days,Upmove Bounce Back,38.2% (Price: 58.0258),12.73% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",18.15%/4.17%/14.91%,"0.94%, 29.1%",2 days/1 day/10 days,2028-10-14/2026-01-28/2027-02-23,10.18%,8.84%,1.34%,2.08,0.46,74.4017/74.1629/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.47,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"3.36%, 3 days","100.0%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 66.67), 3.36% above",3 days,Upmove Bounce Back,38.2% (Price: 57.8675),15.21% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",29.17%/15.14%/18.21%,"0%, 40.57%",2 days/1 day/9 days,2029-08-23/2026-02-14/2027-01-23,15.51%,8.23%,7.28%,4.51,0.42,71.5047/76.2454/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.16,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"4.95%, 10 days","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-10 (Price: 451.45), 4.95% above",10 days,Upmove Bounce Back,23.66% (Price: 375.7432),20.15% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1 day/1 day/4 days,2028-01-21/2026-01-21/2026-06-22,12.11%,30.11%,-18.0%,0.69,1.16,622.2409/508.8481/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/344.42,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"3.39%, 10 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-10 (Price: 257.98), 3.39% above",10 days,Upmove Bounce Back,61.8% (Price: 232.7652),10.83% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1 day/5 days/11 days,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/253.8,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-1.95%, 10 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-10 (Price: 1536.9), 1.95% below",10 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.18% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1 day/2 days/7 days,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1398.95,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"PG, Long, 2025-11-30 (Price: 148.16)",No Exit Yet,"-5.63%, 10 days","100.0%, Past 20 years, 25","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-10 (Price: 139.82), 5.63% below",10 days,Upmove Bounce Back,23.66% (Price: 142.4353),1.84% below,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",17.41%/1.34%/12.82%,"-0.0%, 37.68%",5 days/2 days/1 day,2033-03-10/2026-03-09/2027-11-28,8.85%,3.33%,5.52%,1.64,0.11,156.1458/167.1541/244.51/179.4533/186.6499/209.3631/158.11,146.98/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"SFTBY, Long, 2025-11-28 (Price: 53.81)",2025-12-05 (Price: 62.12),"15.44%, 7 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-10 (Price: 59.27), 10.15% above",12 days,Upmove Bounce Back,61.8% (Price: 46.6535),27.04% above,"2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",21.27%/0.61%/11.87%,"0%, 34.41%",7 days/9 days/3 days,2026-09-28/2025-12-11/2026-04-11,43.06%,4.88%,38.18%,2.42,0.31,55.2898/60.1972/95.89/No Horizontal Resistance/95.4524/115.3755/No EMA 200 Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/44.17,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"CNR.TO, Long, 2025-11-26 (Price: 132.03)",2025-12-09 (Price: 135.38),"2.54%, 13 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-10 (Price: 135.56), 2.67% above",14 days,Upmove Bounce Back,61.8% (Price: 131.225),3.3% above,"2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",11.26%/0.33%/9.09%,"-0.0%, 14.35%",1 day/18 days/7 days,2027-10-04/2025-12-22/2026-09-30,16.8%,-0.9%,17.7%,0.98,-0.19,131.9772/144.0315/140.06/167.5729/218.156/349.4971/136.62,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57),"10.61%, 13 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-10 (Price: 84.16), 0.56% above",15 days,Upmove Bounce Back,23.66% (Price: 81.5091),3.25% above,"2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",15.06%/0.66%/9.9%,"-0.0%, 57.74%",2 days/4 days/4 days,2029-04-29/2025-11-30/2026-06-17,33.14%,7.1%,26.04%,1.78,0.39,86.117/91.9753/124.79/No Horizontal Resistance/99.1711/103.8185/87.42,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"WPM, Long, 2025-11-25 (Price: 102.5)",2025-12-10 (Price: 112.83) (Today),"10.08%, 15 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-10 (Price: 112.83), 10.08% above",15 days,Upmove Bounce Back,23.66% (Price: 96.3169),17.14% above,"2022-12-19 (Price: 38.1), 2025-10-16 (Price: 114.36)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11 days/6 days/4 days,2027-04-26/2025-12-03/2026-05-20,31.01%,14.41%,16.6%,1.92,0.71,109.388/112.0837/148.26/No Horizontal Resistance/132.4733/148.0295/No EMA 200 Target,99.27/38.3375/99.8674/92.8869/No F-Track Level/No F-Track Level/92.08,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"TSM, Long, 2025-11-20 (Price: 277.5)",2025-12-10 (Price: 310.14) (Today),"11.76%, 20 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-12-10 (Price: 310.14), 11.76% above",20 days,Upmove Bounce Back,23.66% (Price: 269.4634),15.1% above,"2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2 days/16 days/3 days,2028-11-19/2025-12-13/2026-05-04,37.14%,15.53%,21.61%,2.66,0.73,302.7802/309.4125/383.77/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,227.33/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/230.1,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-10 (Price: 80.73) (Today),"0.1%, 5 days","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-10 (Price: 80.73), 0.1% above",5 days,Upmove Bounce Back,38.2% (Price: 76.5615),5.44% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1 day/1 day/1 day,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.87,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5 days","92.86%, Past 42 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-10 (Price: 173.13), 23.21% above",5 days,Upmove Bounce Back,23.66% (Price: 108.7595),59.19% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",29.1%/8.19%/21.58%,"3.99%, 52.46%",4 days/4 days/1 day,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.86,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5 days","94.44%, Past 48 years, 18","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-10 (Price: 227.75), 26.9% above",5 days,Upmove Bounce Back,38.2% (Price: 152.7435),49.11% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",25.48%/3.95%/19.36%,"8.99%, 47.82%",3 days/6 days/1 day,2030-08-20/2026-03-17/2027-12-03,8.56%,8.11%,0.45%,1.79,0.51,201.132/214.2154/222.99/No Horizontal Resistance/221.431/339.4883/185.19,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8 days","81.82%, Past 57 years, 11","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-10 (Price: 159074.9688), 22.12% above",8 days,Upmove Bounce Back,50% (Price: 116368.0),36.7% above,"2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",27.02%/4.94%/21.13%,"17.81%, 34.07%",4 days/4 days/1 day,2032-02-05/2025-09-20/2027-12-16,5.99%,20.73%,-14.74%,0.68,0.88,155608.596/157783.938/155581.2/134350.3333/173653.968/192289.6/139477.51,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RHHBY, Long, 2025-02-28 (Price: 41.74)",2025-12-10 (Price: 50.44) (Today),"20.84%, 9 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-02-28",Already confirmed,"2025-12-10 (Price: 50.44), 20.84% above",9 days,Upmove Bounce Back,61.8% (Price: 34.2539),47.25% above,"2024-05-31 (Price: 29.2), 2024-08-31 (Price: 42.43)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 days/1 day/3 days,2033-09-22/2026-08-03/2029-09-23,5.03%,5.2%,-0.17%,0.93,0.26,46.0559/50.2884/49.68/52.46/58.6089/65.2057/No EMA 200 Target,29.82/34.4/41.5794/31.0544/No F-Track Level/No F-Track Level/41.66,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"^DJI, Long, 2025-02-02 (Price: 44544.6602)",2025-12-07 (Price: 47954.9883),"7.66%, 10 days","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2025-02-02",Already confirmed,"2025-12-10 (Price: 48057.75), 7.89% above",10 days,Upmove Bounce Back,23.66% (Price: 42057.8236),14.27% above,"2023-10-29 (Price: 32327.1992), 2024-12-08 (Price: 45073.6289)",16.56%/0.85%/14.38%,"0%, 50.73%",5 days/4 days/1 day,2032-12-09/2025-07-25/2026-12-11,9.45%,5.31%,4.14%,3.66,0.28,48063.6884/50950.1823/52192.52/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,41938.45/29171.1927/36151.8794/25040.9446/No F-Track Level/No F-Track Level/44093.14,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"RHHBY, Long, 2023-05-31 (Price: 39.59)",2025-11-30 (Price: 47.83),"20.81%, 2 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2023-05-31",Already confirmed,"2025-12-10 (Price: 50.44), 27.41% above",2 days,Upmove Bounce Back,50% (Price: 34.8525),44.72% above,"2010-07-31 (Price: 15.845), 2022-04-30 (Price: 53.86)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 days/1 day/3 days,2031-12-23/2024-11-02/2027-12-24,5.03%,5.2%,-0.17%,0.93,0.26,43.6836/47.698/62.4/52.46/58.6089/61.4729/41.66,35.86/29.095/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"NFLX, Short, 2025-12-10 (Price: 92.71)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2025-12-10",No Cancellation Possible,"2025-12-10 (Price: 92.71), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),12.73% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",53.32%/10.52%/29.48%,"0.0%, 53.32%",3 days/3 days/3 days,2026-04-23/2026-04-19/2026-04-19,11.77%,5.5%,6.27%,1.3,0.88,182.0639/65.3791/22.0/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets)
"SFTBY, Short, 2025-12-10 (Price: 59.27)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-12-10 (Price: 59.27), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 53.39),11.01% above,"2022-06-30 (Price: 16.78), 2025-12-10 (Price: 90.0)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3 days/3 days/3 days,2026-04-23/2026-04-23/2026-04-23,12.53%,5.4%,7.13%,1.47,0.38,53.2541/48.9511/15.34/16.82/58.4635/48.0625/44.17,No support/16.82/58.4635/48.0625/52.5444/50.8114/No EMA 200 Support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets)
"KWEB, Short, 2025-12-10 (Price: 37.19)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-02",No Cancellation Possible,"2025-12-10 (Price: 37.19), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 38.4709),3.33% below,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3 days/1 day/1 day,2026-04-23/2026-01-22/2026-02-17,5.83%,5.4%,0.43%,0.25,0.12,34.0512/34.5384/24.78/24.5062/No F-Stack Support/No F-Stack Support/36.4,No support/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets)
"C6L.SI, Short, 2025-12-10 (Price: 6.26)",No Exit Yet,"-0.0%, 0 days","92.86%, Past 40 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 7.63 prior to 2025-12-31,"2025-12-10 (Price: 6.26), 0.0% below",0 days,Upmove Break Below,78.6% (Price: 7.5813),17.43% below,"2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",13.97%/3.18%/6.42%,"3.38%, 13.97%",3 days/1 day/1 day,2026-04-23/2026-01-22/2026-02-21,8.07%,5.5%,2.57%,1.46,-0.19,5.8393/5.8581/6.24/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets)
