"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AAPL, Long, 2025-10-24 (Price: 262.82)",No Exit Yet,"0.0%, 0 days","87.5%, Past 44 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-10-24 (Price: 262.82), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),55.25% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",3369.7%/144.18%/1288.28%,"19.87%, 60.88%",4165 days/718 days/2367 days,2042-04-30/2028-08-28/2035-03-14,15.43%,17.35%,-1.92%,0.42,0.55,269.6008/3648.6775/405.46/No Horizontal Resistance/275.1059/297.1089,23.9/136.57/248.4166/236.3611/242.5575/228.5874,244.14/222.48,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"DIS, Long, 2025-10-24 (Price: 111.68)",No Exit Yet,"0.0%, 0 days","73.68%, Past 63 years, 19","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 80.1 prior to 2025-12-31,"2025-10-24 (Price: 111.68), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 81.5512),36.94% above,"2002-09-30 (Price: 13.298), 2024-03-31 (Price: 123.74)",446.5%/12.97%/114.22%,"23.98%, 60.08%",4371 days/716 days/1500 days,2043-02-23/2028-08-26/2031-10-05,6.23%,11.61%,-5.38%,0.46,0.39,138.6619/239.2409/177.95/168.455/236.8799/278.4281,81.05/79.415/104.5318/88.4842/134.0652/140.4105,114.59/109.98,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"SOXX, Long, 2025-10-24 (Price: 295.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-10-24 (Price: 295.86), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),99.91% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",115.45%/0.45%/60.81%,"-0.0%, 41.23%",1043 days/717 days/869 days,2029-12-12/2028-08-27/2029-04-04,9.78%,11.98%,-2.2%,0.68,0.43,373.612/475.7725/393.09/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/263.589/242.3358/262.7513/240.9544,266.08/227.25,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"NKE, Long, 2025-10-24 (Price: 69.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 52.28 prior to 2025-12-31,"2025-10-24 (Price: 69.11), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 53.1996),29.91% above,"2002-12-31 (Price: 4.8162), 2015-12-31 (Price: 68.195)",134.08%/35.67%/82.89%,"-0.0%, 37.48%",2870 days/717 days/1695 days,2037-03-11/2028-08-27/2032-07-14,13.3%,14.3%,-1.0%,1.27,0.48,108.5234/126.3953/107.14/176.74/186.5439/197.5678,63.48/No Horizontal Support/63.7404/59.0845/150.0085/161.4995,72.36/69.31,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"SBUX, Long, 2025-10-24 (Price: 86.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 75.5 prior to 2025-12-31,"2025-10-24 (Price: 86.09), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 75.28),14.36% above,"2016-12-31 (Price: 50.84), 2019-09-30 (Price: 99.72)",1221.05%/15.29%/581.66%,"-0.0%, 74.95%",5283 days/717 days/2935 days,2046-10-05/2028-08-27/2037-06-14,20.74%,17.47%,3.27%,0.62,0.57,95.7321/586.8411/115.42/117.438/127.2787/140.7332,77.85/71.675/84.7283/79.7489/87.1347/78.891,85.06/92.17,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"GBPSGD=X, Long, 2025-10-24 (Price: 1.7274)",No Exit Yet,"0.0%, 0 days","100.0%, Past 55 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.7069 prior to 2025-10-31,"2025-10-24 (Price: 1.7274), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.7383),0.63% below,"2025-01-31 (Price: 1.6606), 2025-04-30 (Price: 1.7624)",5.36%/5.36%/5.36%,"-0.0%, 7.18%",782 days/782 days/782 days,2028-11-29/2028-11-29/2028-11-29,4.4%,-2.48%,6.88%,0.41,-0.97,1.6925/1.82/1.79/1.8874/4.0285/5.5304,1.68/1.6718/No Next Fib Ext Support/No Next Fib Ext Support/1.7681/1.7807,1.73/1.72,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-10-24 (Price: 242.98)",No Exit Yet,"0.0%, 0 days","83.33%, Past 80 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-10-24 (Price: 242.98), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),8.08% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",94.07%/1.52%/60.96%,"6.32%, 83.05%",5935 days/717 days/2456 days,2049-05-07/2028-08-27/2035-07-21,4.25%,22.57%,-18.32%,0.6,0.56,342.6747/391.1006/417.12/366.6625/395.3392/432.6816,182.62/187.6063/238.566/181.7695/347.4556/361.5012,247.19/263.53,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"ASML, Long, 2025-10-24 (Price: 1033.1)",No Exit Yet,"0.0%, 0 days","85.71%, Past 30 years, 21","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 683.48 prior to 2025-10-31,"2025-10-24 (Price: 1033.1), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 692.3064),49.23% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",624.81%/9.57%/195.49%,"6.56%, 59.07%",2348 days/173 days/982 days,2035-02-14/2026-07-01/2029-09-15,12.88%,19.16%,-6.28%,0.53,0.6,1135.1703/3052.7072/1689.3/No Horizontal Resistance/1152.1961/1335.0406,662.63/561.385/998.2461/956.961/1235.8618/1313.1536,892.91/768.51,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"ASML, Long, 2025-10-24 (Price: 1033.1)",No Exit Yet,"0.0%, 0 days","85.71%, Past 30 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-10-24 (Price: 1033.1), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),77.15% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/162.78%/1736.16%,"6.66%, 52.63%",5089 days/914 days/3245 days,2045-12-28/2029-06-08/2038-09-06,19.02%,19.16%,-0.14%,0.69,0.59,1569.3822/18969.369/1524.36/No Horizontal Resistance/1152.1961/1335.0406,415.35/561.385/998.2461/956.961/1235.8618/1313.1536,892.91/768.51,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"PFE, Long, 2025-10-24 (Price: 24.76)",No Exit Yet,"0.0%, 0 days","78.57%, Past 48 years, 14","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 20.92 prior to 2025-12-31,"2025-10-24 (Price: 24.76), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 20.9228),18.34% above,"2005-12-31 (Price: 19.2315), 2006-12-31 (Price: 27.1347)",1467.39%/5.85%/255.06%,"32.45%, 71.63%",8349 days/718 days/3574 days,2058-12-02/2028-08-28/2039-12-26,6.44%,6.41%,0.03%,0.46,0.21,28.4245/87.9129/29.5/55.39/66.9493/78.5247,24.24/No Horizontal Support/23.1763/20.33/71.3609/77.2918,24.88/24.72,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"BAC, Long, 2025-10-24 (Price: 52.57)",No Exit Yet,"0.0%, 0 days","92.86%, Past 39 years, 14","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-10-24 (Price: 52.57), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.1459),58.6% above,"2018-12-31 (Price: 22.66), 2022-03-31 (Price: 50.11)",590.59%/37.48%/259.03%,"7.22%, 59.29%",4305 days/587 days/2315 days,2042-11-19/2028-02-21/2034-12-29,10.28%,4.52%,5.76%,0.62,0.21,61.1915/188.7421/69.04/No Horizontal Resistance/60.5768/68.9113,27.38/29.49/52.4978/47.3026/51.6314/53.8138,50.51/45.68,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"EEM, Long, 2025-10-24 (Price: 55.1)",No Exit Yet,"0.0%, 0 days","80.0%, Past 22 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 38.19 prior to 2025-12-31,"2025-10-24 (Price: 55.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 38.9158),41.59% above,"2008-12-31 (Price: 18.22), 2013-03-31 (Price: 45.33)",14.61%/14.61%/14.61%,"5.22%, 19.1%",650 days/650 days/650 days,2028-05-22/2028-05-22/2028-05-22,3.9%,6.2%,-2.3%,0.26,0.2,54.1082/63.1501/71.37/No Horizontal Resistance/59.1317/64.1194,34.88/36.64/54.6309/47.0231/54.7105/55.6355,52.37/47.06,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"INFY, Long, 2025-10-24 (Price: 17.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-10-24 (Price: 17.48), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),12.3% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",22.51%/22.51%/22.51%,"-0.0%, 40.77%",783 days/783 days/783 days,2028-12-01/2028-12-01/2028-12-01,5.53%,12.66%,-7.13%,0.48,0.38,18.167/21.4147/30.47/23.796/25.6134/28.3998,16.27/16.074/15.7658/14.2072/16.6189/15.7269,16.84/18.33,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"IWM, Long, 2025-10-24 (Price: 249.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-10-24 (Price: 249.43), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),46.66% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",107.29%/12.13%/53.02%,"-0.0%, 32.09%",2674 days/914 days/1848 days,2036-06-01/2029-06-08/2033-02-20,6.13%,6.14%,-0.01%,0.65,0.2,280.7584/381.6778/338.69/No Horizontal Resistance/244.7401/270.9222,164.92/162.3167/193.0987/160.6663/233.5959/221.8127,239.82/218.51,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"SUM.NZ, Long, 2025-10-24 (Price: 11.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-10-24 (Price: 11.9), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),10.8% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",40.92%/21.12%/31.02%,"-0.0%, 38.76%",1109 days/718 days/913 days,2030-03-18/2028-08-28/2029-06-07,7.21%,16.0%,-8.79%,0.81,0.56,11.2431/15.5914/15.14/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.05/11.53,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"CNQ.TO, Long, 2025-10-24 (Price: 43.78)",No Exit Yet,"0.0%, 0 days","91.67%, Past 52 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 40.62 prior to 2025-10-31,"2025-10-24 (Price: 43.78), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 40.8946),7.06% above,"2010-08-31 (Price: 15.6562), 2024-04-30 (Price: 56.495)",1389.83%/6.72%/224.83%,"41.8%, 61.82%",5502 days/239 days/1465 days,2047-08-19/2026-10-05/2031-08-15,13.14%,14.1%,-0.96%,0.31,0.49,45.8946/142.2106/68.28/51.51/56.8564/60.0196,39.56/34.9317/40.3807/34.2208/61.5996/64.7366,43.49/42.92,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"CNQ.TO, Long, 2025-10-24 (Price: 43.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-10-24 (Price: 43.78), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),28.38% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/8.06%/414.73%,"-0.0%, 51.66%",2087 days/718 days/1457 days,2034-02-01/2028-08-28/2031-08-04,15.27%,12.92%,2.35%,0.42,0.46,45.9865/225.3488/66.81/51.51/56.8564/60.0196,42.8/34.9317/40.3807/34.2208/61.5996/64.7366,43.49/42.92,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"SJ.TO, Long, 2025-10-24 (Price: 78.46)",No Exit Yet,"0.0%, 0 days","91.67%, Past 31 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 73.58 prior to 2025-10-31,"2025-10-24 (Price: 78.46), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 74.9167),4.73% above,"2002-02-28 (Price: 0.4375), 2024-07-31 (Price: 98.0)",6107.74%/9.52%/971.03%,"16.7%, 70.23%",4108 days/153 days/1494 days,2042-02-07/2026-06-02/2031-09-26,17.01%,17.8%,-0.79%,0.35,0.63,83.4265/840.3301/137.0/84.3925/108.5192/128.6503,67.6/38.015/69.2261/55.1981/106.4561/111.6527,78.93/74.17,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"TFII.TO, Long, 2025-10-24 (Price: 126.9)",No Exit Yet,"0.0%, 0 days","90.0%, Past 25 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 115.02 prior to 2025-10-31,"2025-10-24 (Price: 126.9), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 116.97),8.49% above,"2005-10-31 (Price: 13.01), 2024-04-30 (Price: 220.93)",303.95%/7.43%/90.09%,"39.0%, 80.29%",1738 days/239 days/934 days,2032-09-14/2026-10-05/2029-07-07,8.14%,12.86%,-4.72%,0.55,0.45,152.3308/241.2242/251.65/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,128.6/132.28,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"^VIX, Long, 2025-10-24 (Price: 16.37)",No Exit Yet,"0.0%, 0 days","84.21%, Past 35 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 14.12 prior to 2025-10-31,"2025-10-24 (Price: 16.37), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 13.8042),18.59% above,"1995-11-30 (Price: 10.57), 2022-01-31 (Price: 38.94)",59.11%/6.01%/26.93%,"39.6%, 70.43%",935 days/153 days/396 days,2029-07-09/2026-06-02/2027-05-20,5.1%,-1.44%,6.54%,0.33,0.29,16.9413/20.7784/33.39/37.075/60.6267/65.6335,15.36/11.665/15.5549/11.7677/45.6405/49.7582,16.6/19.34,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"NVO, Long, 2025-10-24 (Price: 52.96)",No Exit Yet,"0.0%, 0 days","84.0%, Past 44 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.05 prior to 2025-10-31,"2025-10-24 (Price: 52.96), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 45.6224),16.08% above,"2018-10-31 (Price: 20.615), 2022-04-30 (Price: 61.08)",3374.71%/15.27%/425.8%,"27.04%, 47.55%",5739 days/215 days/1377 days,2048-07-27/2026-08-31/2031-04-10,15.56%,13.68%,1.88%,0.26,0.52,64.7436/278.4637/77.24/139.01/159.2295/190.9685,47.07/37.445/52.1958/49.5469/47.9075/35.154,56.47/67.99,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"MX.TO, Long, 2025-10-23 (Price: 50.3)",No Exit Yet,"-0.5%, 1 days","96.15%, Past 5 years, 26","Daily, was CONFIRMED on 2025-10-23",Already confirmed,"2025-10-24 (Price: 50.05), 0.5% below",1 days,Upmove Bounce Back,50% (Price: 46.755),7.05% above,"2025-04-09 (Price: 36.1), 2025-10-07 (Price: 57.41)",43.72%/9.58%/19.95%,"0.5%, 41.4%",715 days/25 days/229 days,2028-08-23/2025-11-28/2026-09-19,19.72%,10.64%,9.08%,0.45,0.4,51.0293/60.3348/63.09/73.435/104.8718/122.9238,47.53/38.425/48.7635/45.8359/No Fib Ret Level/No Fib Ret Level,51.53/52.16,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
