Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-10-12 (Price: 980.9)",Weekly,No Exit Yet,No Price Target,2025-12-14 (Min),4.79%/8.52%,"1.65%, 1 day (business days)","2025-12-09 (Price: 997.1), 1.65% above",1082.0308 (Historic Rise or Fall to Pivot)/1044.8547 (Avg % Gain of Historic Winning trades)/1098.0619 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1097.3328 (Backtested Max),2026-03-05 (Max)/2025-12-14 (Min)/2026-01-15 (Avg),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/961.68,"86.21%, Past 10 years, 29",No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,11.87%/0.05%/6.52%,"1.95%, 12.56%",3.3 months (calendar days)/1.5 month (calendar days)/2.2 months (calendar days),59.88%,13.58%,46.3%,1.19,0.56,88.89%/27/4 days (business days) (Across ALL Assets),85.71%/56/3 days (business days) (Across ALL Assets),15337.86B
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,2025-12-07 (Price: 3238.2),No Price Target,No Date Target,0.83%/2.02%,"5.94%, 1 day (business days)","2025-12-09 (Price: 3208.3), 5.94% above",3296.9102 (Avg % Gain of Historic Winning trades)/3234.83 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3272.98 (EMA 200)/3454.079 (Backtested Max),No Next Date Target,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days (calendar days)/14 days (calendar days)/16 days (calendar days),4.81%,11.95%,-7.14%,0.07,0.46,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets),11607.91B
BASELINEDIVERGENCE,"NVDA, Long, 2025-10-12 (Price: 183.16)",Weekly,No Exit Yet,No Price Target,2025-12-14 (Min),29.69%/29.69%,"0.99%, 1 day (business days)","2025-12-09 (Price: 184.97), 0.99% above",244.0973 (Historic Rise or Fall to Pivot)/254.8488 (Avg % Gain of Historic Winning trades)/239.8943 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/549.9379 (Backtested Max),2026-06-21 (Max)/2025-12-14 (Min)/2026-02-07 (Avg),167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/155.27,"91.01%, Past 10 years, 89",No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,200.25%/0.47%/39.14%,"45.09%, 51.99%",5.8 months (calendar days)/1.5 month (calendar days)/2.7 months (calendar days),49.18%,72.17%,-22.99%,0.82,1.91,88.89%/27/4 days (business days) (Across ALL Assets),85.71%/56/3 days (business days) (Across ALL Assets),4503.46B
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Exit Yet,No Price Target,2025-12-09 (Max),1.5%/4.43%,"1.55%, 20 days (calendar days)","2025-12-09 (Price: 92884.9844), 1.55% above",96999.6847 (Historic Rise or Fall to Pivot)/97054.5643 (Avg % Gain of Historic Winning trades)/97027.12 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109020.85 (EMA 200)/102167.5133 (Backtested Max)/94273.9982 (Backtested Min),No Next Date Target,76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.91%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.11%,"14.07%, 14.27%",14 days (calendar days)/0 days (business days)/3 days (business days),16.86%,15.19%,1.67%,0.65,0.39,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets),1838.22B
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,2025-12-05 (Price: 673.42),No Price Target,No Date Target,2.19%/3.44%,"3.99%, 29 days (calendar days)","2025-12-09 (Price: 656.96), 3.99% above",679.5842 (Avg % Gain of Historic Winning trades)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/671.33 (EMA 200)/689.9451 (Backtested Max),2025-12-13 (Max),No Recent Minima/280.19/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"72.41%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days (calendar days)/3 days (business days)/10 days (calendar days),-75.0%,21.72%,-96.72%,-0.28,0.69,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),1655.89B
OSCILLATOR DELTA,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Exit Yet,No Price Target,2025-12-06 (Max),8.05%/8.71%,"-3.41%, 1 day (business days)","2025-12-09 (Price: 300.51), 3.41% below",324.7159 (Historic Rise or Fall to Pivot)/335.6051 (Avg % Gain of Historic Winning trades)/326.68 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/366.4371 (Backtested Max)/327.6094 (Backtested Min),No Next Date Target,No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/279.91,"83.33%, Past 6 years, 30",No Information,No Information,No Information,No Information,No Information,No Information,17.78%/5.3%/7.87%,"14.96%, 18.99%",25 days (calendar days)/2 days (business days)/12 days (calendar days),27.42%,15.43%,11.99%,0.14,0.55,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),826.33B
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 111.886)",Daily,2025-12-05 (Price: 100.24),No Price Target,2025-12-07 (Max),21.48%/21.73%,"-13.56%, 1 day (business days)","2025-12-09 (Price: 96.71), 13.56% below",120.2774 (Avg % Gain of Historic Winning trades)/117.48 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/126.599 (Backtested Max)/117.7264 (Backtested Min),No Next Date Target,No Recent Minima/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.21%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,13.15%/5.22%/7.5%,"35.12%, 35.12%",26 days (calendar days)/2 days (business days)/8 days (calendar days),39.66%,24.78%,14.88%,0.1,0.78,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),409.79B
OSCILLATOR DELTA,"PG, Long, 2025-11-19 (Price: 146.99)",Daily,No Exit Yet,No Price Target,2025-12-06 (Min),8.27%/10.53%,"-5.01%, 20 days (calendar days)","2025-12-09 (Price: 139.63), 5.01% below",151.1792 (Historic Rise or Fall to Pivot)/157.8085 (Avg % Gain of Historic Winning trades)/154.34 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/158.27 (EMA 200)/168.0096 (Backtested Max)/154.413 (Backtested Min),2026-05-10 (Max)/2026-01-26 (Avg),No Recent Minima/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"79.31%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,14.3%/5.05%/7.36%,"13.37%, 15.58%",4.0 months (calendar days)/12 days (calendar days)/1.6 month (calendar days),-2.55%,3.91%,-6.45%,-0.05,0.08,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),326.80B
PULSEGAUGE,"TD.TO, Long, 2025-07-06 (Price: 101.69)",Weekly,2025-12-07 (Price: 122.2),122.8517 (Avg % Gain of Historic Winning trades)/123.8381 (Backtested Max)/122.3026 (Backtested Min),No Date Target,4.21%/4.21%,"21.42%, 5 days (business days)","2025-12-09 (Price: 123.47), 21.42% above",128.6672 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2),2027-07-27 (Max)/2026-07-07 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.89,"88.24%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,21.78%/20.27%/20.81%,"32.27%, 42.55%",1.4 year (calendar days)/19 days (calendar days)/8.4 months (calendar days),7.2%,6.93%,0.27%,0.31,0.24,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets),210.79B
FRACTAL TRACK,"DIS, Long, 2025-11-02 (Price: 112.62)",Weekly,No Exit Yet,No Price Target,2025-12-14 (Min),7.4%/7.9%,"-4.97%, 1 day (business days)","2025-12-09 (Price: 107.02), 4.97% below",115.4693 (Historic Rise or Fall to Pivot)/174.6961 (Avg % Gain of Historic Winning trades)/139.37 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/494.1203 (Backtested Max)/114.94 (Backtested Min),2035-12-04 (Max)/2025-12-14 (Min)/2027-08-14 (Avg),109.19/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/109.63,"92.86%, Past 20 years, 42",No Information,No Information,No Information,"38.2% (Price: 107.6566), 0.59% below, Upmove Bounce Back","2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",No Information,338.75%/2.06%/55.12%,"7.93%, 55.37%",7.1 years (calendar days)/29 days (calendar days)/1.2 year (calendar days),8.38%,7.54%,0.84%,0.32,0.27,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),192.41B
FRACTAL TRACK,"BN.TO, Long, 2025-11-20 (Price: 61.6)",Daily,No Exit Yet,No Price Target,2025-12-11 (Min),7.65%/8.11%,"4.95%, 19 days (calendar days)","2025-12-09 (Price: 64.65), 4.95% above",69.8914 (Avg % Gain of Historic Winning trades)/86.61 (Exit Rule)/69.5978 (F-Stack 1)/79.2394 (F-Stack 2)/86.7266 (Backtested Max),2028-09-16 (Max)/2025-12-11 (Min)/2026-08-12 (Avg),60.2/26.2374/59.2857/53.7251/No F-Track Level/No F-Track Level/57.42,"93.18%, Past 1 years, 44",No Information,No Information,No Information,"23.66% (Price: 58.5318), 10.45% above, Upmove Bounce Back","2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",No Information,40.79%/1.8%/13.46%,"3.46%, 37.68%",2.0 year (calendar days)/15 days (calendar days)/6.1 months (calendar days),8.09%,22.75%,-14.66%,0.5,0.84,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets),145.16B
FRACTAL TRACK,"CNR.TO, Long, 2025-11-26 (Price: 132.03)",Daily,2025-12-09 (Price: 135.38) (Today),No Price Target,No Date Target,3.46%/6.52%,"2.54%, 13 days (calendar days)","2025-12-09 (Price: 135.38), 2.54% above",144.2032 (Avg % Gain of Historic Winning trades)/140.06 (Exit Rule)/167.5729 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/149.6956 (Backtested Max),2027-11-08 (Max)/2025-12-16 (Min)/2026-10-03 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.65%, Past 5 years, 23",No Information,No Information,No Information,"61.8% (Price: 131.225), 3.17% above, Upmove Bounce Back","2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",No Information,13.38%/0.33%/9.22%,"1.37%, 16.7%",1.4 year (calendar days)/14 days (calendar days)/7.2 months (calendar days),8.8%,0.05%,8.74%,0.53,-0.12,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets),84.50B
PULSEGAUGE,"NA.TO, Long, 2025-07-06 (Price: 141.41)",Weekly,2025-12-07 (Price: 170.76),171.9828 (Avg % Gain of Historic Winning trades)/176.5362 (Backtested Max)/170.3283 (Backtested Min),No Date Target,9.19%/9.19%,"22.18%, 5 days (business days)","2025-12-09 (Price: 172.78), 22.18% above",188.6608 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2),2026-06-17 (Max)/2025-12-29 (Avg),112.96/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.63,"94.12%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,24.84%/20.45%/21.62%,"24.51%, 35.98%",8.0 months (calendar days)/1.3 month (calendar days)/4.1 months (calendar days),22.55%,10.54%,12.01%,0.56,0.41,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets),67.76B
PULSEGAUGE,"FPH.NZ, Long, 2025-07-06 (Price: 36.58)",Weekly,No Exit Yet,No Price Target,2025-12-07 (Avg),2.97%/7.54%,"4.05%, 5 days (business days)","2025-12-09 (Price: 38.06), 4.05% above",44.2399 (Avg % Gain of Historic Winning trades)/40.9296 (Exit Rule)/39.1917 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.7849 (Backtested Max)/43.9984 (Backtested Min),2026-06-09 (Max),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.17,"82.35%, Past 24 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,22.43%/20.28%/20.94%,"23.57%, 30.74%",7.8 months (calendar days)/24 days (calendar days)/3.6 months (calendar days),8.41%,13.69%,-5.28%,0.21,0.51,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets),22.32B
PULSEGAUGE,"FBU.NZ, Long, 2025-07-06 (Price: 3.08)",Weekly,2025-12-09 (Price: 3.7) (Today),3.753 (Backtested Min),No Date Target,18.91%/40.27%,"20.13%, 5 days (business days)","2025-12-09 (Price: 3.7), 20.13% above",4.3998 (Avg % Gain of Historic Winning trades)/12.7156 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/5.1901 (Backtested Max),2029-05-23 (Max)/2026-07-24 (Avg),2.94/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"82.35%, Past 24 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,68.51%/21.85%/42.85%,"19.52%, 23.38%",2.7 years (calendar days)/2.0 month (calendar days)/8.8 months (calendar days),17.57%,1.49%,16.08%,0.36,0.03,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets),3.91B
