"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",No Exit Yet,"0.0%, 0 days","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-05 (Price: 3238.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),15.28% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year/7.9 months/1.1 year,2028-08-04/2026-11-14/2027-06-22,21.36%,19.52%,1.84%,0.36,0.61,3155.3021/6075.8347/5377.98/4543.575/No Next Fib Ext/No Next Fib Ext/3279.96,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3282.6562/3116.0412/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"FPH.NZ, Long, 2025-12-05 (Price: 37.94)",No Exit Yet,"0.0%, 0 days","92.86%, Past 24 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-05 (Price: 37.94), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),8.54% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",338.94%/27.3%/113.16%,"1.22%, 45.89%",7.8 years/7.9 months/2.6 years,2037-02-18/2026-11-14/2029-08-18,11.44%,13.21%,-1.77%,0.39,0.49,38.8088/80.8729/49.47/39.1438/40.9296/48.5677/No Moving Avg Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.13,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IFT.NZ, Long, 2025-12-05 (Price: 11.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-12-05 (Price: 11.78), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),27.85% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-21/2028-10-08/2029-04-14,13.15%,12.57%,0.58%,0.46,0.51,13.5552/19.2756/18.26/11.925/13.8771/15.9169/No Moving Avg Target,2.72/7.3167/11.3804/9.6206/14.3361/14.9482/11.34,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"SUM.NZ, Long, 2025-12-05 (Price: 12.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-05 (Price: 12.15), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),13.13% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year/2.0 year/2.0 year,2028-10-09/2028-10-09/2028-10-09,7.04%,16.47%,-9.43%,0.34,0.57,12.0006/14.7161/15.39/13.345/16.7981/18.5763/No Moving Avg Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.42,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"BDGI.TO, Long, 2025-12-05 (Price: 76.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-12-05 (Price: 76.5), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),127.66% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-27/2030-04-27/2030-04-27,7.18%,12.22%,-5.04%,0.42,0.42,80.2638/103.3897/93.88/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/73.041/66.9303/66.5225/60.2558/52.57,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"CNQ.TO, Long, 2025-12-05 (Price: 47.96)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-12-05 (Price: 47.96), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 35.7534),34.14% above,"2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years/4.5 years/5.3 years,2034-03-15/2032-05-24/2033-06-04,12.07%,13.02%,-0.95%,0.46,0.46,50.3532/233.8002/80.54/51.51/57.5622/59.9244/No Moving Avg Target,42.8/34.9317/44.0597/41.1349/61.5996/64.7366/43.15,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"MX.TO, Long, 2025-12-05 (Price: 52.71)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-12-05 (Price: 52.71), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),43.58% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",5.4 years/2.0 year/3.7 years,2033-09-05/2028-10-08/2031-03-24,4.14%,4.51%,-0.37%,0.3,0.25,54.713/82.5755/89.57/73.435/118.0011/153.5474/No Moving Avg Target,45.09/38.425/47.9234/44.2912/88.1361/94.2546/49.12,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"-0.68%, 1 day","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-05 (Price: 37.94), 0.68% below",1 day,Upmove Bounce Back,50% (Price: 37.605),0.89% above,"2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",42.57%/0.52%/10.24%,"1.6%, 46.76%",2.4 years/20 days/8.5 months,2029-05-20/2026-01-01/2026-12-09,7.53%,0.59%,6.94%,0.41,0.02,38.7921/42.1117/41.63/39.1438/40.9296/48.5677/No Moving Avg Target,36.64/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.13,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"DOL.TO, Long, 2025-12-04 (Price: 200.08)",No Exit Yet,"0.51%, 1 day","89.74%, Past 5 years, 39","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-05 (Price: 201.11), 0.51% above",1 day,Upmove Bounce Back,23.66% (Price: 197.2307),1.97% above,"2025-10-14 (Price: 174.26), 2025-11-26 (Price: 204.35)",96.3%/1.29%/25.2%,"4.51%, 13.11%",1.4 year/24 days/5.6 months,2027-11-28/2026-01-07/2026-08-04,14.53%,30.26%,-15.73%,0.54,1.4,205.6822/250.5002/218.13/No Horizontal Resistance/194.1559/294.0831/No Moving Avg Target,196.89/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/178.83,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SJ.TO, Long, 2025-12-04 (Price: 85.5)",No Exit Yet,"-0.08%, 1 day","95.56%, Past 5 years, 45","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-05 (Price: 85.43), 0.08% below",1 day,Upmove Bounce Back,23.66% (Price: 84.5882),1.0% above,"2025-08-07 (Price: 73.58), 2025-11-20 (Price: 88.0)",55.14%/0.68%/19.67%,"0.73%, 39.08%",1.3 year/12 days/5.4 months,2027-11-02/2025-12-21/2026-07-26,16.13%,12.13%,4.0%,0.44,0.46,88.1248/102.3179/94.15/No Horizontal Resistance/95.0177/123.2166/No Moving Avg Target,83.49/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/76.12,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"ETH-USD, Long, 2025-12-03 (Price: 3191.5718)",No Exit Yet,"-5.35%, 2 days","96.08%, Past 5 years, 51","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-05 (Price: 3020.6877), 5.35% below",2 days,Upmove Bounce Back,61.8% (Price: 2744.2547),10.07% above,"2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years/2 days/11.4 months,2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3215.8277/4720.3347/5336.7/4922.7188/4887.278/5298.9816/3535.6,2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"JPY=X, Long, 2025-12-03 (Price: 155.807)",No Exit Yet,"-0.33%, 2 days","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-05 (Price: 155.299), 0.33% below",2 days,Upmove Bounce Back,23.66% (Price: 155.1259),0.11% above,"2025-09-17 (Price: 146.217), 2025-11-20 (Price: 157.887)",7.63%/0.83%/2.99%,"-0.0%, 5.8%",5.4 months/15 days/1.8 month,2026-07-27/2025-12-24/2026-02-20,12.99%,7.87%,5.12%,0.49,0.4,156.103/160.4656/162.81/160.2533/175.8568/187.2285/No Moving Avg Target,155.56/109.702/138.2059/765.2646/No F-Track Level/No F-Track Level/148.16,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"-2.64%, 3 days","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-05 (Price: 12.15), 2.64% below",3 days,Upmove Bounce Back,23.66% (Price: 12.2582),0.88% below,"2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months/12 days/1.4 month,2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/19.8479/26.5969/No Moving Avg Target,12.29/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.42,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"5.77%, 4 days","80.65%, Past 15 years, 31","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-05 (Price: 455.0), 5.77% above",4 days,Upmove Bounce Back,23.66% (Price: 375.7432),21.09% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-02-02/2026-04-15/2028-12-03,14.07%,45.46%,-31.4%,0.27,1.18,475.682/4598.1301/716.21/No Horizontal Resistance/490.132/554.3681/No Moving Avg Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/342.59,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"4.16%, 4 days","88.0%, Past 80 years, 25","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-05 (Price: 259.91), 4.16% above",4 days,Upmove Bounce Back,61.8% (Price: 232.7652),11.66% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,2031-05-04/2026-11-12/2028-07-15,9.34%,22.33%,-12.98%,0.43,0.63,243.4664/493.5703/338.69/366.6625/412.2037/473.5829/254.54,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-1.72%, 4 days","88.46%, Past 48 years, 26","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-05 (Price: 1540.6), 1.72% below",4 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.46% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,2034-09-16/2026-09-08/2029-03-20,8.96%,19.65%,-10.68%,0.38,0.63,1774.5667/4018.9132/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No Moving Avg Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1394.24,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"PG, Long, 2025-11-30 (Price: 148.16)",No Exit Yet,"-3.18%, 4 days","97.73%, Past 20 years, 44","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-05 (Price: 143.45), 3.18% below",4 days,Upmove Bounce Back,23.66% (Price: 142.4353),0.71% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-07/2026-02-16/2029-01-04,2.95%,4.92%,-1.97%,0.48,0.12,151.7158/185.9704/244.51/179.4533/186.6499/209.3631/158.58,146.98/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"NVDA, Long, 2025-11-28 (Price: 177.0)",No Exit Yet,"3.06%, 5 days","95.92%, Past 5 years, 49","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-05 (Price: 182.41), 3.06% above",5 days,Upmove Bounce Back,88.6% (Price: 169.5557),7.58% above,"2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",252.44%/5.31%/85.14%,"4.7%, 66.36%",1.8 year/12 days/4.4 months,2028-06-27/2025-12-15/2026-06-07,36.06%,69.24%,-33.18%,0.44,1.76,182.7348/327.6978/205.87/No Horizontal Resistance/239.8943/283.6698/No Moving Avg Target,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/154.74,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SFTBY, Long, 2025-11-28 (Price: 53.81)",2025-12-05 (Price: 62.05) (Today),"15.31%, 5 days","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-05 (Price: 62.05), 15.31% above",5 days,Upmove Bounce Back,61.8% (Price: 46.6535),33.0% above,"2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months/13 days/5.4 months,2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.5319/80.0478/95.89/No Horizontal Resistance/95.4524/115.3755/No Moving Avg Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/43.72,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"MSFT, Long, 2025-11-28 (Price: 492.01)",No Exit Yet,"-1.8%, 5 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-05 (Price: 483.16), 1.8% below",5 days,Upmove Bounce Back,23.66% (Price: 475.9287),1.52% above,"2023-01-06 (Price: 219.35), 2025-07-31 (Price: 555.45)",34.35%/1.23%/14.24%,"-0.0%, 37.56%",1.3 year/1.5 month/5.6 months,2027-10-19/2026-02-02/2026-07-30,14.25%,18.64%,-4.39%,0.5,0.73,498.7505/562.0722/693.67/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/469.79,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"LYFT, Long, 2025-11-25 (Price: 19.63)",2025-12-02 (Price: 22.24),"13.3%, 5 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-05 (Price: 22.97), 17.01% above",10 days,Upmove Bounce Back,38.2% (Price: 18.7824),22.3% above,"2023-05-24 (Price: 7.85), 2025-11-12 (Price: 25.54)",52.96%/0.97%/21.59%,"5.88%, 53.48%",1.1 year/27 days/6.3 months,2027-06-18/2026-01-03/2026-08-27,19.21%,-6.72%,25.93%,0.41,0.2,19.5181/23.8681/30.24/57.19/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.3,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
