"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"INFY, Long, 2026-02-06 (Price: 16.84)",2026-02-23 (Price: 13.91),"-17.4%, 17 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-27 (Price: 14.44), 14.25% below",21 days,6.12%/2.34%/3.66%,"11.63%, 13.01%",24 days/2 days/10 days,2026-03-12/2026-02-08/2026-02-20,7.26%,0.48%,6.78%,0.2,-0.0,17.1465/17.4563/17.3/23.796/31.8515/41.1179/17.36,16.74/16.0317/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),16.53
"TRI.TO, Long, 2026-02-06 (Price: 120.18)",2026-02-25 (Price: 135.92),"13.1%, 19 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-27 (Price: 131.33), 9.28% above",21 days,4.82%/1.26%/2.69%,"8.44%, 9.99%",18 days/2 days/8 days,2026-03-04/2026-02-08/2026-02-17,4.66%,6.27%,-1.61%,0.1,0.34,125.6602/123.4128/124.54/240.8933/293.2329/455.2123/217.25,No Recent Minima/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),121.94
"KXS.TO, Long, 2026-02-05 (Price: 123.31)",2026-02-26 (Price: 129.45),"4.98%, 21 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-05",Already confirmed,"2026-02-27 (Price: 129.51), 5.03% above",22 days,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-24/2026-02-07/2026-02-22,3.12%,-2.75%,5.87%,0.03,-0.07,131.3005/128.4274/129.86/209.885/245.9157/289.1348/179.22,120.08/No Horizontal Support/118.5983/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),122.48
"CVS, Long, 2026-01-30 (Price: 74.52)",2026-02-26 (Price: 78.01),"4.68%, 27 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-27 (Price: 79.9), 7.22% above",28 days,9.78%/2.02%/4.68%,"18.34%, 19.27%",25 days/1 day/14 days,2026-03-07/2026-01-31/2026-02-19,5.82%,0.63%,5.19%,0.13,0.03,79.9823/78.0075/78.99/106.045/116.3721/144.3517/No EMA 200 Target,72.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/73.03,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),74.11
"DOL.TO, Long, 2026-01-23 (Price: 192.22)",2026-02-25 (Price: 198.22),"3.12%, 1.1 month","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-27 (Price: 200.82), 4.47% above",1.2 month,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,2026-02-23/2026-01-27/2026-02-03,6.16%,20.38%,-14.22%,0.47,1.39,212.0955/198.2557/205.18/197.56/294.0831/455.769/No EMA 200 Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/189.63,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),193.26
"NFLX, Long, 2025-12-28 (Price: 94.47)",2026-02-15 (Price: 76.87),"-18.63%, 1.6 month","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-27 (Price: 96.24), 1.87% above",2 months,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-06/2026-01-27/2026-04-02,0.19%,16.07%,-15.88%,-0.03,0.7,108.9617/109.708/109.33/No Horizontal Resistance/139.352/152.4292/110.15,94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),94.71
"TD, Short, 2026-02-27 (Price: 97.36)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 30 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 56.0801 or > 67.3774 prior to 2026-02-27,"2026-02-27 (Price: 97.36), 0.0% below",0 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-07-07/2026-04-11/2026-05-24,4.69%,4.88%,-0.19%,0.28,0.39,93.3293/90.6908/92.01/54.526/92.1326/76.2219/81.03,No Recent Maxima/54.526/92.1326/76.2219/88.2978/81.2415/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),93.11
"GS, Short, 2026-01-04 (Price: 914.34)",2026-02-27 (Price: 859.57),"5.99%, 1.8 month","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-02-27 (Price: 859.57), 5.99% below",1.8 month,6.3%/2.62%/4.56%,"0%, 10.89%",3.3 months/7 days/26 days,2026-05-27/2026-01-14/2026-02-10,7.61%,4.79%,2.82%,3.08,0.42,963.7144/872.6461/918.18/288.555/794.5775/634.5288/782.68,No Recent Maxima/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/7/1.1 month (Across ALL Assets),75.86%/29/29 days (Across ALL Assets),906.45
"TSM, Short, 2025-12-31 (Price: 303.89)",2026-02-27 (Price: 374.58),"-23.26%, 1.9 month","80.0%, Past 28 years, 5","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-27 (Price: 374.58), 23.26% above",1.9 month,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-04-27/2026-03-27/2026-08-09,4.9%,4.88%,0.02%,0.28,0.54,280.1866/261.8316/271.01/83.575/274.027/233.1074/273.34,No Recent Maxima/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),286.92
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-27 (Price: 132.88),"-12.95%, 3 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-27 (Price: 132.88), 12.95% above",3 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/111.97,No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),115.02
