"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NA.TO, Long, 2026-01-05 (Price: 175.57)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-01-05 (Price: 175.57), 0.0% below",0 days,"0, 2018-09-30 (Price: 64.51)",2025-12-31 (Price: 172.61),2026-01-02 (Price: 173.25),5/3/0 days,1.71% above/1.34% above/0.0% below,2018-09-30 (Price: 65.95)/2026-01-05 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-02-25/2028-07-31/2029-07-31,7.75%,8.35%,-0.6%,3.36,0.49,222.2014/227.9601/242.21/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/160.7722/150.4677/144.1,No Data (Across ALL Assets),No Data (Across ALL Assets)
"SJ.TO, Long, 2026-01-05 (Price: 86.74)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 86.5651 prior to 2026-01-09,"2026-01-05 (Price: 86.74), 0.0% below",0 days,"4, 2024-12-15 (Price: 71.63)",2026-01-05 (Price: 86.74),2026-01-05 (Price: 86.74),0/0/0 days,0.0% below/0.0% below/0.0% below,2024-12-15 (Price: 75.637)/2026-01-05 (Price: 86.1345),23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-06-10/2026-02-26/2026-04-27,13.27%,11.85%,1.42%,0.6,0.66,96.3681/93.5664/95.81/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/No support/No support/77.66,No Data (Across ALL Assets),No Data (Across ALL Assets)
"NVO, Long, 2026-01-04 (Price: 52.39)",No Exit Yet,"5.19%, 1 day","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-05 (Price: 55.11), 5.19% above",1 day,"2, 2025-03-02 (Price: 90.65)",2025-12-28 (Price: 52.4),2026-01-02 (Price: 52.39),8/3/1 days,5.17% above/5.19% above/5.19% above,2025-03-02 (Price: 95.0201)/2026-01-04 (Price: 47.1478),20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MSE.PA, Long, 2026-01-02 (Price: 65.3)",No Exit Yet,"1.16%, 3 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-05 (Price: 66.06), 1.16% above",3 days,"2, 2025-11-10 (Price: 63.02)",2025-12-31 (Price: 64.71),2026-01-02 (Price: 65.3),5/3/3 days,2.09% above/1.16% above/1.16% above,2025-11-10 (Price: 64.7186)/2026-01-02 (Price: 64.4957),4.76%/0.41%/2.29%,"0%, 13.59%",3.5 months/6 days/1.3 month,2026-06-03/2026-01-10/2026-02-27,9.16%,6.81%,2.35%,1.46,0.37,67.5594/66.7954/66.67/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,63.33/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.1,No Data (Across ALL Assets),No Data (Across ALL Assets)
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-6.49%, 5 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 34.17), 6.49% below",5 days,"6, 2025-07-02 (Price: 38.09)",2025-12-29 (Price: 36.34),2025-12-31 (Price: 36.54),7/5/5 days,5.97% below/6.49% below/6.49% below,2025-07-02 (Price: 40.1584)/2025-12-31 (Price: 36.2859),6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,2026-02-21/2026-01-08/2026-01-31,14.01%,1.7%,12.31%,1.17,0.11,38.8968/37.8372/37.47/39.3812/40.717/47.4928/No EMA 200 Target,35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"JPY=X, Long, 2025-12-31 (Price: 156.413)",No Exit Yet,"0.2%, 5 days","73.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-02 (Price: 156.731), 0.2% above",5 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),33/11/2 days,0.29% above/0.6% below/0.2% above,2024-06-30 (Price: 162.4562)/2025-12-31 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-27/2026-08-05/2027-02-03,-1.08%,0.88%,-1.96%,0.37,-0.3,172.2576/173.5089/158.98/159.6617/175.8568/187.2285/No EMA 200 Target,142.3/110.2702/138.2059/No support/No F-Track Level/No F-Track Level/148.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"5.62%, 5 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 318.06), 5.62% above",5 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-31 (Price: 301.15),2025-11-21 (Price: 270.83),5/45/5 days,5.62% above/17.44% above/5.62% above,2015-06-30 (Price: 22.1158)/2025-12-31 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BAC, Long, 2025-12-31 (Price: 55.0)",No Exit Yet,"3.44%, 5 days","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 56.89), 3.44% above",5 days,"4, 2022-08-31 (Price: 33.61)",2025-11-30 (Price: 53.65),2025-12-30 (Price: 55.28),36/6/5 days,6.04% above/2.91% above/3.44% above,2022-08-31 (Price: 37.3153)/2025-12-31 (Price: 51.7863),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-08/2026-08-05/2027-01-26,4.68%,2.37%,2.31%,0.29,0.18,64.064/64.9825/67.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/47.69,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MAR, Long, 2025-12-31 (Price: 310.24)",No Exit Yet,"0.25%, 5 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 311.03), 0.25% above",5 days,"2, 2024-12-31 (Price: 278.94)",2025-11-30 (Price: 304.79),2025-12-31 (Price: 310.24),36/5/5 days,2.05% above/0.25% above/0.25% above,2024-12-31 (Price: 317.028)/2025-12-31 (Price: 259.98),30.2%/3.49%/16.71%,"0%, 34.42%",2.2 years/5 months/10.1 months,2029-02-20/2026-08-05/2027-03-14,9.36%,7.98%,1.38%,1.77,0.4,379.9199/362.0811/329.02/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FBU.NZ, Long, 2025-12-31 (Price: 3.68)",No Exit Yet,"1.9%, 5 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 3.75), 1.9% above",5 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-12-31 (Price: 3.68),66/5/5 days,15.03% above/1.9% above/1.9% above,2021-04-30 (Price: 8.1708)/2025-12-31 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-22/2026-08-05/2026-08-18,5.5%,0.69%,4.81%,1.23,0.0,4.2997/4.4484/5.83/7.985/12.7156/14.3053/No EMA 200 Target,2.83/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.23,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MFT.NZ, Long, 2025-12-31 (Price: 68.62)",No Exit Yet,"-0.07%, 5 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 68.57), 0.07% below",5 days,"0, 2020-12-31 (Price: 69.5)",2025-12-31 (Price: 68.62),2025-12-31 (Price: 68.62),5/5/5 days,0.07% below/0.07% below/0.07% below,2020-12-31 (Price: 105.6512)/2025-12-31 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-26/2026-08-05/2027-01-04,9.96%,11.66%,-1.7%,0.82,0.67,106.3884/77.7327/69.15/85.45/105.252/119.9356/No EMA 200 Target,55.51/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.85,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"0.38%, 5 days","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 73.41), 0.38% above",5 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-31 (Price: 73.13),97/5/5 days,19.6% above/0.38% above/0.38% above,2018-06-30 (Price: 49.0339)/2025-12-31 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,No Data (Across ALL Assets),No Data (Across ALL Assets)
"EFA, Long, 2025-12-31 (Price: 96.03)",No Exit Yet,"2.21%, 5 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 98.15), 2.21% above",5 days,"2, 2023-06-30 (Price: 72.5)",2025-12-31 (Price: 96.03),2025-12-29 (Price: 96.28),5/7/5 days,2.21% above/1.94% above/2.21% above,2023-06-30 (Price: 74.0386)/2025-12-31 (Price: 95.0814),18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-21/2026-08-05/2027-01-21,4.72%,2.4%,2.32%,0.44,0.03,108.197/105.7866/110.15/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.09,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GLD, Long, 2025-12-28 (Price: 416.74)",No Exit Yet,"-1.91%, 8 days","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-05 (Price: 408.76), 1.91% below",8 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-28 (Price: 416.74),15/8/8 days,2.44% above/1.91% below/1.91% below,2024-08-11 (Price: 229.74)/2025-12-28 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GS, Long, 2025-12-28 (Price: 907.04)",No Exit Yet,"4.56%, 8 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-05 (Price: 948.44), 4.56% above",8 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),22/8/8 days,6.81% above/4.56% above/4.56% above,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MAR, Long, 2025-12-28 (Price: 315.58)",No Exit Yet,"-1.44%, 8 days","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-05 (Price: 311.03), 1.44% below",8 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-28 (Price: 315.58),15/8/8 days,0.28% above/1.44% below/1.44% below,2025-05-18 (Price: 276.02)/2025-12-28 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-06/2026-02-06/2026-04-15,11.8%,10.04%,1.76%,0.46,0.51,362.2858/339.5641/340.99/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"WPM, Long, 2025-12-28 (Price: 124.22)",No Exit Yet,"-2.6%, 8 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-05 (Price: 120.99), 2.6% below",8 days,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-26 (Price: 124.22),15/10/8 days,1.08% above/2.6% below/2.6% below,2024-08-11 (Price: 58.517)/2025-12-28 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",No Exit Yet,"-0.64%, 8 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-05 (Price: 68.57), 0.64% below",8 days,"4, 2024-06-16 (Price: 69.0)",2025-12-21 (Price: 68.26),2025-12-24 (Price: 69.01),15/12/8 days,0.45% above/0.64% below/0.64% below,2024-06-16 (Price: 78.9982)/2025-12-28 (Price: 66.4602),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-14/2026-02-06/2026-07-07,9.15%,10.41%,-1.26%,1.17,0.61,74.3169/73.054/69.02/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.83,No Data (Across ALL Assets),No Data (Across ALL Assets)
