"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NA.TO, Long, 2025-11-25 (Price: 163.65)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 157.19 prior to 2025-11-28,"2025-11-24 (Price: 163.65), 0.0% below",0 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-24 (Price: 163.65),24/0/1 days,4.44% above/0.0% below/0.0% below,2020-11-30 (Price: 94.7324)/2025-11-25 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,2028-08-26/2026-04-30/2026-10-13,11.63%,10.7%,0.94%,1.75,0.45,173.5999/191.6996/218.68/No Horizontal Resistance/162.0277/185.717/No Moving Avg Target,118.77/82.9367/152.3147/143.1328/150.4281/142.0938/137.19,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XLV, Long, 2025-11-24 (Price: 155.26)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 155.26), 0.0% below",0 days,"4, 2025-08-13 (Price: 133.29)",2025-11-20 (Price: 151.42),2025-11-24 (Price: 155.26),2/0/0 days,2.54% above/0.0% below/0.0% below,2025-08-13 (Price: 137.2847)/2025-11-24 (Price: 151.6729),3.35%/0.29%/1.59%,"7.54%, 13.97%",3 months/4 days/26 days,2026-04-03/2025-11-29/2025-12-31,7.94%,7.25%,0.69%,0.38,0.26,158.0392/157.7286/168.44/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,143.98/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.41,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"CEN.NZ, Long, 2025-11-24 (Price: 9.72)",No Exit Yet,"-0.1%, 1 day","70.27%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 9.71), 0.1% below",1 day,"0, 2024-02-08 (Price: 8.11)",2025-11-21 (Price: 9.6),2025-11-24 (Price: 9.72),2/1/1 days,1.15% above/0.1% below/0.1% below,2024-02-08 (Price: 9.9317)/2025-11-24 (Price: 9.311),7.56%/1.51%/3.12%,"7.04%, 16.17%",2.6 months/5 days/26 days,2026-03-16/2025-12-01/2025-12-31,5.05%,4.18%,0.87%,0.27,0.12,9.7968/10.0233/10.69/No Horizontal Resistance/11.2606/15.4512/No Moving Avg Target,9.3/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/9.13,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"KXS.TO, Long, 2025-11-24 (Price: 175.83)",No Exit Yet,"0.0%, 0 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 175.83), 0.0% below",0 days,"4, 2025-07-24 (Price: 204.3)",2025-11-21 (Price: 176.3),2025-11-24 (Price: 175.83),1/0/0 days,0.27% below/0.0% below/0.0% below,2025-07-24 (Price: 213.4296)/2025-11-24 (Price: 172.2858),10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,2026-03-06/2025-11-29/2025-12-22,7.29%,9.5%,-2.21%,0.1,0.36,182.9159/184.305/192.91/209.885/227.7644/245.4058/182.84,170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"RY.TO, Long, 2025-11-24 (Price: 211.39)",No Exit Yet,"0.0%, 0 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 211.39), 0.0% below",0 days,"2, 2025-10-02 (Price: 204.44)",2025-11-21 (Price: 211.38),2025-11-24 (Price: 211.39),1/0/0 days,0.0% above/0.0% below/0.0% below,2025-10-02 (Price: 205.8585)/2025-11-24 (Price: 210.0366),4.14%/0.14%/1.98%,"3.64%, 22.27%",3.6 months/4 days/18 days,2026-04-30/2025-11-29/2025-12-20,15.71%,11.08%,4.63%,1.07,0.45,215.0893/215.5755/215.56/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,204.01/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/182.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-23 (Price: 154.61)",No Exit Yet,"0.42%, 1 day","100.0%, Past 10 years, 38","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-24 (Price: 155.26), 0.42% above",1 day,"0, 2021-08-01 (Price: 132.15)",2025-11-23 (Price: 154.61),2025-11-21 (Price: 154.61),0/1/0 days,0.42% above/0.42% above/0.42% above,2021-08-01 (Price: 143.183)/2025-11-23 (Price: 151.7246),7.4%/0.4%/4.39%,"0%, 12.97%",5.6 months/19 days/1.8 month,2026-07-25/2025-12-20/2026-02-10,17.4%,10.58%,6.81%,1.98,0.49,159.3256/161.3974/168.09/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.16/121.6312/153.114/117.2225/No F-Track Level/No F-Track Level/139.37,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",No Exit Yet,"-1.34%, 1 day","70.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-24 (Price: 46.48), 1.34% below",1 day,"0, 2021-08-01 (Price: 20.1616)",2025-11-09 (Price: 44.4),2025-11-23 (Price: 47.11),15/0/0 days,4.68% above/1.34% below/1.34% below,2021-08-01 (Price: 78.2704)/2025-11-23 (Price: 43.5224),19.11%/1.41%/7.62%,"22.31%, 71.02%",4.3 months/19 days/1.5 month,2026-05-28/2025-12-20/2026-01-27,1.12%,5.6%,-4.49%,0.03,0.24,47.7036/50.6998/63.28/51.51/65.8353/68.6522/No Moving Avg Target,41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"UPS, Long, 2025-11-23 (Price: 94.66)",No Exit Yet,"-1.16%, 1 day","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-24 (Price: 93.56), 1.16% below",1 day,"6, 2023-05-14 (Price: 168.5)",2025-11-23 (Price: 94.66),2025-11-23 (Price: 94.66),0/0/0 days,1.16% below/1.16% below/1.16% below,2023-05-14 (Price: 197.499)/2025-11-23 (Price: 93.6556),31.22%/1.77%/7.51%,"13.76%, 27.26%",8.1 months/19 days/3.6 months,2026-11-11/2025-12-20/2026-04-29,13.13%,2.3%,10.84%,0.5,0.04,93.1549/101.769/138.96/221.2667/228.7501/295.6013/97.5,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"MTY.TO, Long, 2025-11-21 (Price: 36.56)",No Exit Yet,"1.04%, 1 day","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-24 (Price: 36.94), 1.04% above",1 day,"6, 2025-06-18 (Price: 40.66)",2025-11-19 (Price: 34.96),2025-11-21 (Price: 36.56),3/1/1 days,5.66% above/1.04% above/1.04% above,2025-06-18 (Price: 48.0555)/2025-11-21 (Price: 34.7677),10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,2026-04-29/2025-11-26/2026-01-04,28.2%,-6.94%,35.14%,1.34,-0.03,37.4667/37.8213/39.02/72.5033/No Next Fib Ext/No Next Fib Ext/40.28,33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",No Exit Yet,"0.79%, 5 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-25 (Price: 12.7), 0.79% above",5 days,"4, 2025-08-07 (Price: 11.33)",2025-11-17 (Price: 12.65),2025-11-18 (Price: 12.6),8/5/5 days,0.4% above/0.79% above/0.79% above,2025-08-07 (Price: 10.8679)/2025-11-18 (Price: 12.3204),8.54%/1.38%/4.55%,"6.4%, 20.48%",4.4 months/4 days/16 days,2026-05-29/2025-11-23/2025-12-11,46.12%,9.64%,36.48%,0.79,0.35,13.0183/13.1733/13.36/13.345/19.8479/26.5969/No Moving Avg Target,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.45,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ATZ.TO, Long, 2025-11-18 (Price: 99.89)",2025-11-24 (Price: 108.23) (Today),"8.35%, 4 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 108.23), 8.35% above",4 days,"10, 2025-03-03 (Price: 67.47)",2025-11-18 (Price: 99.89),2025-11-18 (Price: 99.89),4/4/4 days,8.35% above/8.35% above/8.35% above,2025-03-03 (Price: 55.5542)/2025-11-18 (Price: 99.1681),18.96%/1.32%/6.21%,"50.85%, 58.96%",1.1 month/5 days/13 days,2026-01-04/2025-11-25/2025-12-06,16.69%,30.38%,-13.7%,0.13,0.89,105.0743/106.0932/119.34/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,94.11/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/71.14,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"-0.22%, 9 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-24 (Price: 507.81), 0.22% below",9 days,"2, 2025-04-06 (Price: 493.54)",2025-11-16 (Price: 508.94),2025-11-16 (Price: 508.94),8/8/8 days,0.22% below/0.22% below/0.22% below,2025-04-06 (Price: 542.8072)/2025-11-16 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",7.0 months/24 days/2 months,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376/No Moving Avg Target,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/496.0,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",No Exit Yet,"-1.56%, 9 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-24 (Price: 155278.0), 1.56% below",9 days,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),15/8/8 days,0.79% above/1.56% below/1.56% below,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),11.93%/0.93%/6.26%,"15.17%, 43.39%",9.6 months/19 days/2.4 months,2027-01-08/2025-12-13/2026-02-26,10.24%,5.05%,5.2%,0.76,0.14,161840.214/167613.4614/177361.4/No Horizontal Resistance/173653.968/192289.6/No Moving Avg Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BPCL.NS, Long, 2025-11-16 (Price: 371.15)",No Exit Yet,"-4.12%, 9 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-25 (Price: 355.85), 4.12% below",9 days,"0, 2021-07-25 (Price: 230.675)",2025-11-02 (Price: 356.8),2025-11-14 (Price: 371.15),23/11/9 days,0.27% below/4.12% below/4.12% below,2021-07-25 (Price: 448.4362)/2025-11-16 (Price: 350.8425),29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-07-26/2025-12-13/2026-02-12,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/310.9,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"RHHBY, Long, 2025-11-11 (Price: 45.43)",2025-11-21 (Price: 49.01),"7.88%, 10 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-24 (Price: 47.59), 4.75% above",13 days,"0, 2024-01-26 (Price: 35.64)",2025-11-07 (Price: 41.96),2025-11-11 (Price: 45.43),17/13/13 days,13.42% above/4.75% above/4.75% above,2024-01-26 (Price: 47.2455)/2025-11-11 (Price: 42.5942),10.73%/0.36%/4.2%,"8.73%, 19.35%",1.5 month/4 days/11 days,2026-01-15/2025-11-16/2025-11-26,30.23%,1.45%,28.78%,0.66,0.0,46.5703/47.3381/51.3/52.46/58.6089/65.2057/No Moving Avg Target,40.15/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/40.9,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"13.0%, 25 days","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 318.47), 13.0% above",25 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-31 (Price: 281.82),55/24/24 days,30.76% above/13.0% above/13.0% above,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-06-19/2026-03-04/2026-08-15,22.75%,24.26%,-1.52%,1.49,0.85,307.7193/365.6614/402.28/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"0.51%, 25 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 45.37), 0.51% above",25 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-31 (Price: 45.14),85/24/24 days,6.1% above/0.51% above/0.51% above,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
