Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",Daily,No Exit Yet,No Price Target,2025-12-20 (Avg),4.54%/7.78%,"-2.06%, 10 days","2025-12-22 (Price: 93.23), 2.06% below",100.4826 (Historic Rise or Fall to Pivot)/101.3393 (Avg % Gain of Historic Winning trades)/100.91 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.3 (EMA 200)/107.0507 (Backtested Max)/97.465 (Backtested Min),2026-01-07 (Max),92.71/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,8.49%,10.45%,-1.96%,0.17,0.53,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
FRACTAL TRACK,"PG, Long, 2025-06-30 (Price: 159.32)",Monthly,No Exit Yet,No Price Target,2025-12-23 (Min),14.4%/21.27%,"-10.44%, 5.8 months","2025-12-22 (Price: 142.69), 10.44% below",173.0375 (Historic Rise or Fall to Pivot)/191.3752 (Avg % Gain of Historic Winning trades)/194.27 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/205.013 (Backtested Max)/163.2393 (Backtested Min),2032-12-01 (Max)/2025-12-23 (Min)/2027-06-28 (Avg),126.25/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/156.92,"79.17%, Past 38 years, 24",No Information,No Information,No Information,"38.2% (Price: 158.1785), 9.79% below, Upmove Bounce Back","2022-10-31 (Price: 122.18), 2024-11-30 (Price: 180.43)",No Information,28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,5.59%,5.32%,0.27%,0.88,0.27,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,No Exit Yet,1567.4384 (Backtested Min),No Date Target,9.69%/26.93%,"7.85%, 1.8 year","2025-12-22 (Price: 1575.4), 7.85% above",2216.3258 (Historic Rise or Fall to Pivot)/1728.1264 (Avg % Gain of Historic Winning trades)/1999.6 (Exit Rule)/2250.6285 (F-Stack 2)/2080.9096 (Backtested Max),2026-11-15 (Max),1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,"92.86%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,10.43% above/7.85% above/7.85% above,42.45%/7.3%/18.3%,"26.02%, 36.79%",1.9 year/7.1 months/1.1 year,8.89%,12.31%,-3.42%,0.95,0.63,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-06-29 (Price: 1007.45)",Weekly,No Exit Yet,No Price Target,2025-12-19 (Avg),3.1%/7.28%,"-1.96%, 5.9 months","2025-12-22 (Price: 987.7), 1.96% below",1107.792 (Historic Rise or Fall to Pivot)/1059.6359 (Avg % Gain of Historic Winning trades)/1152.92 (Exit Rule)/1263.3223 (F-Stack 1)/2016.6114 (F-Stack 2)/1095.7026 (Backtested Max)/1018.3305 (Backtested Min),2027-05-07 (Max),818.38/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level/892.58,"100.0%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,0.54% above/0.24% below/1.96% below,8.76%/1.08%/5.18%,"-0.0%, 23.57%",1.3 year/28 days/4 months,9.17%,10.82%,-1.65%,1.55,0.65,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
SIGMASHELL,"BTI, Long, 2025-10-01 (Price: 52.28)",Daily,No Exit Yet,No Price Target,2025-12-22 (Min),16.64%/44.84%,"8.59%, 2.7 months","2025-12-22 (Price: 56.77), 8.59% above",82.226 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.2178 (Backtested Max),2026-11-22 (Max)/2026-03-15 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/50.14,"77.78%, Past 5 years, 9","-6.68, 93.18",No Information,No Information,No Information,No Information,No Information,26.66%/0.22%/7.55%,"3.83%, 21.48%",9.6 months/1.9 month/3.8 months,7.97%,7.13%,0.84%,0.5,0.36,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2024-02-11 (Price: 173.01)",Weekly,No Exit Yet,No Price Target,2025-12-19 (Max),36.04%/36.72%,"-21.91%, 1.9 year","2025-12-22 (Price: 135.1), 21.91% below",183.7885 (Historic Rise or Fall to Pivot)/184.7055 (Avg % Gain of Historic Winning trades)/207.91 (Exit Rule)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/190.9511 (Backtested Max),No Next Date Target,145.05/125.9933/136.9828/86.815/No F-Track Level/No F-Track Level/157.05,"88.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,20.79% below/21.91% below/21.91% below,10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,8.16%,6.53%,1.63%,1.11,0.37,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95),No Price Target,2025-12-20 (Min),3.24%/7.36%,"25.05%, 5.8 months","2025-12-22 (Price: 175.72), 25.05% above",222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/181.4113 (Backtested Max),2032-01-22 (Max)/2027-08-21 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.86%, Past 42 years, 14",No Information,No Information,No Information,"23.66% (Price: 108.7595), 61.57% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,8.81%,8.57%,0.24%,1.75,0.52,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,No Exit Yet,205.7637 (Avg % Gain of Historic Winning trades),No Date Target,3.25%/7.72%,"15.75%, 6.8 months","2025-12-22 (Price: 204.3), 15.75% above",210.9352 (Historic Rise or Fall to Pivot)/233.0 (Exit Rule)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-01-03 (Min)/2026-07-13 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,15.75% above/19.14% above/15.75% above,24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,9.06%,19.7%,-10.64%,1.65,1.31,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",Weekly,2025-12-22 (Price: 483.46) (Today),No Price Target,No Date Target,1.27%/1.53%,"2.38%, 1.9 month","2025-12-22 (Price: 483.46), 2.38% above",490.8623 (Historic Rise or Fall to Pivot)/489.5873 (Avg % Gain of Historic Winning trades)/546.77 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/502.0537 (Backtested Max),2026-12-25 (Max)/2026-01-03 (Min)/2026-06-04 (Avg),454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/435.91,"100.0%, Past 10 years, 21",No Information,No Information,No Information,No Information,No Information,4.69% above/2.38% above/2.38% above,6.32%/1.23%/3.68%,"-0.0%, 14.86%",9.8 months/1.6 month/5.1 months,6.77%,6.84%,-0.07%,2.38,0.43,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",Weekly,2025-12-22 (Price: 37.89) (Today),No Price Target,No Date Target,5.54%/8.02%,"1.31%, 1.3 year","2025-12-22 (Price: 37.89), 1.31% above",43.7879 (Historic Rise or Fall to Pivot)/40.953 (Avg % Gain of Historic Winning trades)/45.55 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.0161 (Backtested Max)/39.9881 (Backtested Min),No Next Date Target,23.8/22.675/30.9793/26.1935/No F-Track Level/No F-Track Level/27.55,"100.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,7.03% above/1.31% above/1.31% above,17.69%/6.92%/9.5%,"-0.0%, 27.7%",3.3 months/1.2 month/2.4 months,12.27%,12.4%,-0.13%,1.68,0.68,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2025-04-27 (Price: 8.0)",Weekly,No Exit Yet,8.2104 (Backtested Min),No Date Target,2.71%/8.09%,"2.88%, 8 months","2025-12-22 (Price: 8.23), 2.88% above",8.4528 (Historic Rise or Fall to Pivot)/9.116 (Avg % Gain of Historic Winning trades)/9.07 (Exit Rule)/8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.6424 (Backtested Max),2028-03-04 (Max)/2026-09-21 (Avg),7.79/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.84,"93.33%, Past 20 years, 15",No Information,No Information,No Information,"61.8% (Price: 7.75), 6.19% above, Upmove Bounce Back","2024-09-22 (Price: 7.07), 2025-02-09 (Price: 8.85)",No Information,20.53%/2.63%/13.95%,"4.23%, 15.35%",2 years/2.1 months/11.8 months,9.21%,4.75%,4.46%,0.88,0.23,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
DELTADRIFT,"XLU, Long, 2025-12-11 (Price: 43.04)",Daily,No Exit Yet,No Price Target,2025-12-24 (Avg),2.54%/4.15%,"-1.32%, 11 days","2025-12-22 (Price: 42.47), 1.32% below",45.4847 (Historic Rise or Fall to Pivot)/44.2322 (Avg % Gain of Historic Winning trades)/44.86 (Exit Rule)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/44.7788 (Backtested Max)/43.5479 (Backtested Min),2026-02-05 (Max)/2025-12-24 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/41.9,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,4.04%/1.18%/2.77%,"8.55%, 8.55%",1.3 month/1 day/9 days,10.54%,4.54%,6.0%,0.51,0.21,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-11-25 (Price: 11.78)",Daily,No Exit Yet,No Price Target,2025-12-23 (Min),6.95%/7.36%,"-5.35%, 27 days","2025-12-22 (Price: 11.15), 5.35% below",12.1193 (Historic Rise or Fall to Pivot)/12.7778 (Avg % Gain of Historic Winning trades)/13.48 (Exit Rule)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.5022 (Backtested Max)/11.9708 (Backtested Min),2026-12-03 (Max)/2025-12-23 (Min)/2026-04-13 (Avg),11.55/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.38,"84.21%, Past 5 years, 19",No Information,No Information,No Information,"50% (Price: 11.435), 2.49% below, Upmove Bounce Back","2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",No Information,14.62%/1.62%/8.47%,"0.96%, 12.64%",8.6 months/20 days/3.2 months,20.51%,6.63%,13.88%,1.02,0.36,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",Weekly,No Exit Yet,68.5997 (Backtested Min),No Date Target,2.35%/4.08%,"1.71%, 8 days","2025-12-22 (Price: 68.55), 1.71% above",72.5831 (Historic Rise or Fall to Pivot)/71.3496 (Avg % Gain of Historic Winning trades)/70.16 (Exit Rule)/85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/76.5192 (Backtested Max),2027-08-31 (Max)/2026-01-23 (Min)/2026-06-23 (Avg),58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,"90.91%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,1.71% above/1.93% above/1.71% above,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,9.15%,10.41%,-1.26%,1.17,0.61,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"KXS.TO, Long, 2025-10-12 (Price: 182.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Min),4.24%/9.38%,"-2.88%, 2.4 months","2025-12-22 (Price: 176.88), 2.88% below",212.9529 (Avg % Gain of Historic Winning trades)/232.11 (Exit Rule)/209.885 (Horizontal)/222.1498 (F-Stack 1)/245.5558 (F-Stack 2)/184.38 (EMA 200)/224.9 (Backtested Max)/193.4661 (Backtested Min),2027-10-10 (Max)/2026-12-03 (Avg),175.17/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 11 years, 10",No Information,No Information,No Information,"50% (Price: 170.79), 3.57% above, Upmove Bounce Back","2023-10-29 (Price: 129.13), 2025-08-03 (Price: 212.45)",No Information,23.49%/6.23%/16.93%,"14.59%, 37.82%",1.4 year/1.6 month/9.6 months,12.74%,17.23%,-4.49%,0.84,0.8,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
FRACTAL TRACK,"MX.TO, Long, 2025-08-31 (Price: 48.78)",Weekly,No Exit Yet,56.8043 (Avg % Gain of Historic Winning trades),No Date Target,6.77%/31.35%,"14.62%, 3.8 months","2025-12-22 (Price: 55.91), 14.62% above",87.74 (Exit Rule)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/59.697 (Backtested Max),2030-03-26 (Max)/2026-11-08 (Avg),45.56/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/48.7,"94.44%, Past 20 years, 18",No Information,No Information,No Information,"50% (Price: 45.71), 22.31% above, Upmove Bounce Back","2020-03-29 (Price: 13.24), 2025-02-09 (Price: 78.18)",No Information,22.38%/3.19%/16.45%,"5.57%, 73.13%",3.2 years/28 days/10 months,13.05%,2.99%,10.06%,1.75,0.22,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-22 (Price: 9.29) (Today),No Price Target,No Date Target,11.4%/18.68%,"6.54%, 1.2 year","2025-12-22 (Price: 9.29), 6.54% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),2026-01-25 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,8.78% above/6.54% above/6.54% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11.1 months/5.1 months/8.1 months,14.78%,5.28%,9.5%,1.0,0.27,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2024-06-30 (Price: 246.63)",Quarterly,No Exit Yet,301.3628 (F-Stack 2),No Date Target,7.14%/8.31%,"23.2%, 1.5 year","2025-12-22 (Price: 303.84), 23.2% above",329.1031 (Historic Rise or Fall to Pivot)/364.3958 (Avg % Gain of Historic Winning trades)/376.19 (Exit Rule)/430.394 (Backtested Max)/325.5269 (Backtested Min),2029-03-16 (Max)/2026-05-08 (Min)/2027-03-17 (Avg),106.24/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/198.64,"100.0%, Past 24 years, 7",No Information,No Information,No Information,No Information,No Information,23.2% above/30.26% above/23.2% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,16.0%,8.74%,7.26%,0.66,0.45,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
