Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-10 (Price: 240.83)",Daily,No Price Target,2025-11-20 (Avg),No Exit Yet,"2025-11-20 (Price: 210.69), 12.52% below","71.43%, Past 4 years, 7",16.41%/17.84%,"-12.52%, 8 days",4.11%/1.84%/3.09%,271.7285 (Historic Rise or Fall to Pivot)/248.2716 (Avg % Gain of Historic Winning trades)/260.0 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/250.7281 (Backtested Best)/245.2613 (Backtested Worst),2025-12-08 (Max),"-12.52%, 8 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,8 days,No Information,No Information,No Information,No Information,No Information,No Information,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-08/2025-11-14/2025-11-20,-5.14%,28.08%,-33.22%,-0.21,0.86,271.7285/248.2716/260.0/No Horizontal Resistance/300.069/376.1425/No Moving Avg Target,239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level/210.45,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-24 (Avg),No Exit Yet,"2025-11-20 (Price: 589.15), 6.74% below","72.41%, Past 6 years, 29",12.59%/12.69%,"-6.74%, 8 days",9.21%/5.09%/7.57%,679.5842 (Avg % Gain of Historic Winning trades)/663.35 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/675.37 (Moving Avg)/689.9451 (Backtested Best)/663.9166 (Backtested Worst),2025-12-13 (Max)/2025-11-24 (Avg),"-6.74%, 8 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,8 days,No Information,No Information,No Information,No Information,No Information,No Information,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879/675.37,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2025-11-05 (Price: 37.65)",Daily,No Price Target,No Date Target,2025-11-18 (Price: 35.05),"2025-11-20 (Price: 36.25), 3.72% below","90.38%, Past 5 years, 52",4.76%/5.98%,"-3.72%, 11 days",43.0%/0.86%/18.32%,38.4181 (Historic Rise or Fall to Pivot)/44.5475 (Avg % Gain of Historic Winning trades)/39.37 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/53.8395 (Backtested Best)/37.9738 (Backtested Worst),2027-05-19 (Max)/2025-12-12 (Min)/2026-04-23 (Avg),"-6.91%, 9 days","Daily, was CONFIRMED on 2025-11-05",Already confirmed,11 days,No Information,No Information,No Information,"38.2% (Price: 37.1637), 2.46% below, Upmove Bounce Back","2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",No Information,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-19/2025-12-12/2026-04-23,16.07%,24.1%,-8.03%,0.65,1.02,38.4181/44.5475/39.37/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,37.08/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.38,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"HDFCBANK.NS, Long, 2025-11-04 (Price: 985.25)",Daily,No Price Target,2025-11-19 (Min),No Exit Yet,"2025-11-20 (Price: 1008.85), 2.4% above","89.74%, Past 5 years, 39",5.83%/8.84%,"2.4%, 12 days",31.44%/0.59%/8.36%,1067.6169 (Avg % Gain of Historic Winning trades)/1110.26 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1295.0126 (Backtested Best),2027-09-18 (Max)/2026-05-21 (Avg),"2.4%, 12 days","Daily, was CONFIRMED on 2025-11-04",Already confirmed,12 days,No Information,No Information,No Information,"23.66% (Price: 971.2044), 3.88% above, Upmove Bounce Back","2025-01-13 (Price: 812.15), 2025-10-23 (Price: 1020.5)",No Information,"7.67%, 22.66%",472 days/11 days/137 days,2027-09-18/2025-11-19/2026-05-21,7.39%,9.35%,-1.96%,0.46,0.36,986.6294/1067.6169/1110.26/1004.15/1098.0619/1305.7899/No Moving Avg Target,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/952.26,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-11-03 (Price: 182.6)",Daily,197.56 (Horizontal),No Date Target,2025-11-13 (Price: 194.07),"2025-11-20 (Price: 198.34), 8.62% above","100.0%, Past 4 years, 44",1.38%/48.27%,"8.62%, 13 days",10.12%/0.29%/3.51%,294.0831 (F-Stack 2)/201.0791 (Backtested Best),2026-03-29 (Max)/2025-12-15 (Avg),"6.28%, 8 days","Daily, is CONFIRMED on 2025-11-03",Already confirmed,13 days,No Information,No Information,No Information,No Information,No Information,8.62% above/8.62% above/8.62% above,"-0.0%, 13.61%",101 days/4 days/29 days,2026-03-29/2025-11-08/2025-12-15,31.05%,25.35%,5.71%,1.47,1.07,186.1242/189.0093/188.43/197.56/194.1559/294.0831/No Moving Avg Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/172.2,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",Weekly,No Price Target,2025-11-22 (Min),No Exit Yet,"2025-11-20 (Price: 458.1), 2.99% below","100.0%, Past 10 years, 28",4.35%/5.63%,"-2.99%, 18 days",8.64%/1.23%/3.89%,483.8736 (Historic Rise or Fall to Pivot)/490.579 (Avg % Gain of Historic Winning trades)/546.77 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/513.0089 (Backtested Best)/478.0182 (Backtested Worst),2026-08-24 (Max)/2025-11-22 (Min)/2026-03-01 (Avg),"-2.99%, 18 days","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,18 days,No Information,No Information,No Information,No Information,No Information,0.8% below/2.99% below/2.99% below,"-0.0%, 14.86%",209 days/19 days/87 days,2026-08-24/2025-11-22/2026-03-01,10.29%,9.9%,0.39%,1.56,0.44,483.8736/490.579/546.77/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/435.91,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-10-24 (Price: 300.44)",Daily,No Price Target,2025-11-20 (Min),No Exit Yet,"2025-11-20 (Price: 298.38), 0.69% below","100.0%, Past 5 years, 38",10.23%/15.95%,"-0.69%, 19 days",47.19%/1.16%/15.15%,345.9567 (Avg % Gain of Historic Winning trades)/383.73 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/442.2176 (Backtested Best),2028-11-03 (Max)/2026-08-25 (Avg),"-0.69%, 19 days","Daily, was CONFIRMED on 2025-10-24",Already confirmed,19 days,No Information,No Information,No Information,"23.66% (Price: 285.1676), 4.63% above, Upmove Bounce Back","2024-04-17 (Price: 179.2), 2025-09-29 (Price: 318.01)",No Information,"-0.0%, 40.65%",764 days/19 days/211 days,2028-11-03/2025-11-20/2026-08-25,9.23%,24.83%,-15.6%,0.67,1.0,308.9124/345.9567/383.73/No Horizontal Resistance/328.9175/381.492/No Moving Avg Target,294.11/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level/277.82,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-10-17 (Price: 12.43)",Daily,No Price Target,No Date Target,2025-11-18 (Price: 11.6),"2025-11-20 (Price: 11.95), 3.86% below","88.64%, Past 5 years, 44",18.27%/22.43%,"-3.86%, 24 days",49.32%/1.62%/13.7%,14.1329 (Avg % Gain of Historic Winning trades)/14.63 (Exit Rule)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/18.5605 (Backtested Best),2029-02-24 (Max)/2026-08-02 (Avg),"-6.68%, 22 days","Daily, was CONFIRMED on 2025-10-17",Already confirmed,24 days,No Information,No Information,No Information,"23.66% (Price: 11.9317), 0.15% above, Upmove Bounce Back","2025-04-07 (Price: 9.13), 2025-09-12 (Price: 12.8)",No Information,"0.96%, 15.98%",847 days/14 days/200 days,2029-02-24/2025-11-06/2026-08-02,8.65%,17.61%,-8.96%,0.54,0.71,12.6475/14.1329/14.63/No Horizontal Resistance/18.927/29.733/No Moving Avg Target,11.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2025-10-16 (Price: 180.73)",Daily,197.56 (Horizontal),2025-11-19 (Min),No Exit Yet,"2025-11-20 (Price: 198.34), 9.74% above","89.74%, Past 5 years, 39",14.08%/23.35%,"9.74%, 25 days",96.3%/1.29%/25.2%,226.274 (Avg % Gain of Historic Winning trades)/244.65 (Exit Rule)/294.0831 (F-Stack 2)/354.773 (Backtested Best),2027-10-10 (Max)/2026-06-16 (Avg),"9.74%, 25 days","Daily, was CONFIRMED on 2025-10-16",Already confirmed,25 days,No Information,No Information,No Information,"23.66% (Price: 171.255), 15.82% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-06-11 (Price: 196.46)",No Information,"4.51%, 13.11%",500 days/24 days/168 days,2027-10-10/2025-11-19/2026-06-16,14.53%,30.26%,-15.73%,0.54,1.4,185.7904/226.274/244.65/197.56/194.1559/294.0831/No Moving Avg Target,174.88/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/175.55,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"MA, Long, 2025-10-15 (Price: 562.81)",Daily,No Price Target,2025-11-21 (Avg),No Exit Yet,"2025-11-20 (Price: 527.88), 6.21% below","93.1%, Past 6 years, 29",11.55%/12.07%,"-6.21%, 26 days",14.89%/5.11%/8.09%,588.8681 (Historic Rise or Fall to Pivot)/608.3413 (Avg % Gain of Historic Winning trades)/624.72 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/646.6124 (Backtested Best)/591.5696 (Backtested Worst),2026-03-01 (Max)/2025-11-21 (Avg),"-6.21%, 26 days","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,26 days,No Information,No Information,No Information,No Information,No Information,No Information,"12.38%, 17.12%",95 days/2 days/26 days,2026-03-01/2025-10-17/2025-11-21,44.09%,12.44%,31.65%,0.45,0.45,588.8681/608.3413/624.72/592.9033/716.5814/751.3605/No Moving Avg Target,No Recent Minima/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/560.76,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-12 (Price: 5.98)",Weekly,No Price Target,2025-11-15 (Min),No Exit Yet,"2025-11-20 (Price: 5.75), 3.85% below","90.0%, Past 10 years, 20",6.04%/11.26%,"-3.85%, 28 days",24.31%/1.96%/9.64%,6.3974 (Historic Rise or Fall to Pivot)/6.5565 (Avg % Gain of Historic Winning trades)/6.46 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.4337 (Backtested Best)/6.0972 (Backtested Worst),2026-07-12 (Max)/2025-12-20 (Avg),"-3.85%, 28 days","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,28 days,No Information,No Information,No Information,No Information,No Information,3.85% below/3.85% below/3.85% below,"10.86%, 22.1%",189 days/24 days/48 days,2026-07-12/2025-11-15/2025-12-20,27.79%,11.28%,16.51%,0.75,0.42,6.3974/6.5565/6.46/6.825/7.4565/8.4213/No Moving Avg Target,5.56/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
