"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MX.TO, Long, 2025-12-09 (Price: 52.59)",No Exit Yet,"0.0%, 0 days (business days)","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-12-09 (Price: 52.59), 0.0% below",0 days (business days),Upmove Bounce Back,61.8% (Price: 36.7101),43.26% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",5.4 years (calendar days)/2.0 year (calendar days)/3.7 years (calendar days),2033-09-09/2028-10-12/2031-03-28,4.14%,4.51%,-0.37%,0.3,0.25,54.5884/82.3875/89.45/73.435/118.0011/153.5474/No EMA 200 Target,45.09/38.425/47.9234/44.2912/No support/No support/49.07,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"1.37%, 1 day (business days)","87.5%, Past 6 years, 8","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 92.57), 1.37% above",1 day (business days),Upmove Bounce Back,23.66% (Price: 82.5663),12.12% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years (calendar days)/2.5 months (calendar days)/1.5 year (calendar days),2029-10-24/2026-03-24/2028-01-07,20.24%,13.56%,6.68%,0.39,0.48,92.151/148.669/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.31,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"JNK, Long, 2025-12-07 (Price: 97.29)",No Exit Yet,"-0.22%, 1 day (business days)","100.0%, Past 18 years, 17","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 97.08), 0.22% below",1 day (business days),Upmove Bounce Back,23.66% (Price: 96.3874),0.72% above,"2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year (calendar days)/1.3 year (calendar days)/1.3 year (calendar days),2027-10-10/2027-10-10/2027-10-10,3.41%,-2.09%,5.5%,0.2,-0.45,97.3386/103.4095/101.99/108.635/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/96.31,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"XLY, Long, 2025-12-07 (Price: 119.73)",No Exit Yet,"-1.45%, 1 day (business days)","96.43%, Past 20 years, 28","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 117.99), 1.45% below",1 day (business days),Upmove Bounce Back,38.2% (Price: 108.2727),8.97% above,"2025-04-13 (Price: 86.55), 2025-09-21 (Price: 121.7)",115.02%/7.32%/52.87%,"16.26%, 57.22%",3.8 years (calendar days)/4.0 months (calendar days)/1.8 year (calendar days),2031-04-21/2026-05-28/2028-06-06,7.9%,10.2%,-2.3%,0.5,0.39,125.1538/183.0313/140.82/120.92/125.4815/133.9156/No EMA 200 Target,112.75/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/109.82,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"IWM, Long, 2025-12-07 (Price: 250.77)",No Exit Yet,"0.04%, 1 day (business days)","97.56%, Past 20 years, 41","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 250.87), 0.04% above",1 day (business days),Upmove Bounce Back,23.66% (Price: 233.5959),7.39% above,"2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years (calendar days)/1.8 month (calendar days)/2.2 years (calendar days),2033-05-06/2026-02-23/2029-01-15,5.07%,6.62%,-1.55%,0.38,0.22,253.2025/352.2566/299.39/No Horizontal Resistance/348.4025/539.5308/No EMA 200 Target,235.6/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/221.2,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"-0.93%, 1 day (business days)","93.33%, Past 19 years, 30","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 540.44), 0.93% below",1 day (business days),Upmove Bounce Back,38.2% (Price: 535.7184),0.88% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years (calendar days)/1.6 month (calendar days)/1.7 year (calendar days),2031-05-12/2026-02-15/2028-05-11,8.62%,27.38%,-18.77%,0.51,0.97,569.5774/953.7872/649.27/592.9033/716.5814/751.3605/559.65,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"-0.34%, 1 day (business days)","96.3%, Past 1 years, 27","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 64.32), 0.34% below",1 day (business days),Upmove Bounce Back,38.2% (Price: 58.0258),10.85% above,"2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",150.14%/4.17%/65.27%,"0.94%, 36.57%",3.8 years (calendar days)/3.6 months (calendar days)/1.8 year (calendar days),2031-04-28/2026-05-13/2028-07-04,6.26%,12.66%,-6.4%,0.77,0.46,66.0244/106.6653/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.37,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"2.03%, 1 day (business days)","100.0%, Past 18 years, 31","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 65.81), 2.03% above",1 day (business days),Upmove Bounce Back,38.2% (Price: 57.8675),13.73% above,"2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",264.61%/8.43%/69.0%,"-0.0%, 53.27%",5.1 years (calendar days)/2.0 month (calendar days)/2.0 years (calendar days),2033-04-07/2026-03-02/2028-11-07,6.02%,12.31%,-6.29%,0.53,0.43,68.5506/109.005/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.02,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"COIN, Long, 2025-12-07 (Price: 269.73)",No Exit Yet,"1.66%, 1 day (business days)","100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 274.2), 1.66% above",1 day (business days),Upmove Bounce Back,38.2% (Price: 228.1976),20.16% above,"2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",22.41%/22.41%/22.41%,"-0.0%, 30.3%",3.3 months (calendar days)/3.3 months (calendar days)/3.3 months (calendar days),2026-04-29/2026-04-29/2026-04-29,68.35%,0.11%,68.24%,0.51,0.47,262.2315/330.1765/460.65/289.6467/466.299/494.3788/282.18,240.41/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"-0.37%, 3 days (business days)","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-09 (Price: 38.06), 0.37% below",3 days (business days),Upmove Bounce Back,50% (Price: 37.605),1.21% above,"2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",42.57%/0.52%/10.24%,"1.6%, 46.76%",2.4 years (calendar days)/20 days (calendar days)/8.5 months (calendar days),2029-05-20/2026-01-01/2026-12-09,7.53%,0.59%,6.94%,0.41,0.02,38.7921/42.1117/41.63/39.1438/40.9296/48.5677/No EMA 200 Target,36.64/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.17,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"SJ.TO, Long, 2025-12-04 (Price: 85.5)",No Exit Yet,"-0.6%, 2 days (business days)","95.56%, Past 5 years, 45","Daily, was CONFIRMED on 2025-12-04",Already confirmed,"2025-12-08 (Price: 84.99), 0.6% below",2 days (business days),Upmove Bounce Back,23.66% (Price: 84.5882),0.48% above,"2025-08-07 (Price: 73.58), 2025-11-20 (Price: 88.0)",55.14%/0.68%/19.67%,"0.73%, 39.08%",1.3 year (calendar days)/12 days (calendar days)/5.4 months (calendar days),2027-11-02/2025-12-21/2026-07-26,16.13%,12.13%,4.0%,0.44,0.46,88.1248/102.3179/94.15/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,83.49/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/76.19,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"ETH-USD, Long, 2025-12-03 (Price: 3191.5718)",No Exit Yet,"-2.24%, 4 days (business days)","96.08%, Past 5 years, 51","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-09 (Price: 3119.9448), 2.24% below",4 days (business days),Upmove Bounce Back,61.8% (Price: 2744.2547),13.69% above,"2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years (calendar days)/2 days (business days)/11.4 months (calendar days),2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3215.8277/4720.3347/5336.7/4922.7188/4887.278/5298.9816/3546.01,2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"JPY=X, Long, 2025-12-03 (Price: 155.807)",No Exit Yet,"0.13%, 4 days (business days)","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-09 (Price: 156.007), 0.13% above",4 days (business days),Upmove Bounce Back,23.66% (Price: 155.1259),0.57% above,"2025-09-17 (Price: 146.217), 2025-11-20 (Price: 157.887)",7.63%/0.83%/2.99%,"-0.0%, 5.8%",5.4 months (calendar days)/15 days (calendar days)/1.8 month (calendar days),2026-07-27/2025-12-24/2026-02-20,12.99%,7.87%,5.12%,0.49,0.4,156.103/160.4656/162.81/160.2533/175.8568/187.2285/No EMA 200 Target,155.56/109.702/138.2059/No support/No F-Track Level/No F-Track Level/148.22,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"2.19%, 9 days (calendar days)","80.65%, Past 15 years, 31","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 439.58), 2.19% above",9 days (calendar days),Upmove Bounce Back,23.66% (Price: 375.7432),16.99% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years (calendar days)/3.1 months (calendar days)/2.1 years (calendar days),2035-02-02/2026-04-15/2028-12-03,14.07%,45.46%,-31.4%,0.27,1.18,475.682/4598.1301/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/343.1,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"3.12%, 9 days (calendar days)","88.0%, Past 80 years, 25","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 257.32), 3.12% above",9 days (calendar days),Upmove Bounce Back,61.8% (Price: 232.7652),10.55% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years (calendar days)/8 months (calendar days)/1.8 year (calendar days),2031-05-04/2026-11-12/2028-07-15,9.34%,22.33%,-12.98%,0.43,0.63,243.4664/493.5703/338.69/366.6625/412.2037/473.5829/254.07,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"PG, Long, 2025-11-30 (Price: 148.16)",No Exit Yet,"-6.63%, 9 days (calendar days)","97.73%, Past 20 years, 44","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 138.34), 6.63% below",9 days (calendar days),Upmove Bounce Back,23.66% (Price: 142.4353),2.88% below,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years (calendar days)/1.8 month (calendar days)/2.2 years (calendar days),2038-02-07/2026-02-16/2029-01-04,2.95%,4.92%,-1.97%,0.48,0.12,151.7158/185.9704/244.51/179.4533/186.6499/209.3631/158.42,146.98/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"SFTBY, Long, 2025-11-28 (Price: 53.81)",2025-12-05 (Price: 62.12),"15.44%, 5 days (business days)","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-08 (Price: 58.94), 9.53% above",10 days (calendar days),Upmove Bounce Back,61.8% (Price: 46.6535),26.34% above,"2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months (calendar days)/13 days (calendar days)/5.4 months (calendar days),2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.5319/80.0478/95.89/No Horizontal Resistance/95.4524/115.3755/No EMA 200 Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/43.87,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57) (Today),"10.61%, 13 days (calendar days)","100.0%, Past 5 years, 47","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-08 (Price: 92.57), 10.61% above",13 days (calendar days),Upmove Bounce Back,23.66% (Price: 81.5091),13.57% above,"2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",103.69%/0.66%/22.72%,"-0.0%, 56.64%",2.7 years (calendar days)/21 days (calendar days)/5.3 months (calendar days),2029-09-19/2025-12-25/2026-07-11,16.11%,18.26%,-2.15%,0.44,0.6,84.1754/102.7044/124.79/No Horizontal Resistance/99.1711/103.8185/87.31,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"LYFT, Long, 2025-11-25 (Price: 19.63)",2025-12-02 (Price: 22.24),"13.3%, 5 days (business days)","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-08 (Price: 22.49), 14.57% above",13 days (calendar days),Upmove Bounce Back,38.2% (Price: 18.7824),19.74% above,"2023-05-24 (Price: 7.85), 2025-11-12 (Price: 25.54)",52.96%/0.97%/21.59%,"5.88%, 53.48%",1.1 year (calendar days)/27 days (calendar days)/6.3 months (calendar days),2027-06-18/2026-01-03/2026-08-27,19.21%,-6.72%,25.93%,0.41,0.2,19.5181/23.8681/30.24/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.35,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
