"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PLTR, Long, 2026-01-23 (Price: 169.6)",No Exit Yet,"-0.9%, 4 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 168.08), 0.9% below",4 days,Upmove Bounce Back,23.66% (Price: 160.1432),4.96% above,"2023-05-04 (Price: 7.28), 2025-11-03 (Price: 207.52)",33.44%/10.15%/15.79%,"0%, 74.37%",2.3 years/10 days/3.4 months,2029-05-04/2026-02-06/2026-06-19,47.99%,28.98%,19.01%,2.63,1.12,185.4237/196.3798/289.74/No Horizontal Resistance/232.7649/248.6965/No EMA 200 Target,165.33/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/158.0,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),167.27
"NIFTY_MIDCAP_100.NS, Long, 2026-01-23 (Price: 57145.6484)",No Exit Yet,"0.59%, 4 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 57483.6484), 0.59% above",4 days,Upmove Bounce Back,23.66% (Price: 58074.8177),1.02% below,"2025-03-03 (Price: 46865.6992), 2026-01-07 (Price: 61548.8516)",11.12%/5.89%/9.55%,"0.28%, 21.42%",1.6 year/1 month/6.4 months,2028-05-06/2026-03-07/2026-10-28,20.49%,16.66%,3.83%,1.2,1.27,61751.5877/62603.0578/65955.54/59773.5488/69983.5191/76335.2565/58081.47,56378.55/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),58410.3516
"MSE.PA, Long, 2026-01-23 (Price: 66.36)",No Exit Yet,"0.71%, 4 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 66.83), 0.71% above",4 days,Upmove Bounce Back,23.66% (Price: 65.979),1.29% above,"2025-11-21 (Price: 60.91), 2026-01-15 (Price: 67.55)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-05-06/2026-03-20/2026-09-18,22.9%,9.15%,13.75%,2.88,0.6,68.4902/72.0205/70.34/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,65.6/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/61.03,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),66.21
"^NZ50, Long, 2026-01-23 (Price: 13448.2402)",No Exit Yet,"0.47%, 4 days","100.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 13510.8799), 0.47% above",4 days,Upmove Bounce Back,23.66% (Price: 13279.875),1.74% above,"2025-04-08 (Price: 11738.1201), 2026-01-14 (Price: 13757.71)",10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-11-29/2026-11-27/2028-05-06,1.64%,0.55%,1.09%,0.94,-0.28,13694.343/14178.4796/14659.99/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13290.06/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13029.26,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),13556.8701
"ORCL, Long, 2026-01-23 (Price: 177.16)",No Exit Yet,"-0.54%, 4 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 176.21), 0.54% below",4 days,Upmove Bounce Back,78.6% (Price: 167.408),5.26% above,"2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,2028-05-06/2026-01-27/2026-08-02,57.24%,18.71%,38.53%,1.43,0.86,186.4255/205.169/313.28/No Horizontal Resistance/300.069/376.1425/219.08,173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),172.62
"ABNB, Long, 2026-01-22 (Price: 133.8)",No Exit Yet,"-1.68%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 131.55), 1.68% below",5 days,Upmove Bounce Back,23.66% (Price: 126.8015),3.74% above,"2025-10-10 (Price: 116.32), 2025-10-28 (Price: 130.05)",21.13%/10.03%/14.0%,"-0.0%, 19.45%",6.7 months/4 days/2.2 months,2026-11-09/2026-01-27/2026-04-27,30.66%,-2.45%,33.11%,1.02,0.07,133.8669/152.532/142.04/178.025/223.5359/256.334/No EMA 200 Target,130.66/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/127.98,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),134.32
"TSLA, Long, 2026-01-22 (Price: 449.36)",No Exit Yet,"-3.06%, 5 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 435.59), 3.06% below",5 days,Upmove Bounce Back,61.8% (Price: 427.1111),1.99% above,"2025-11-14 (Price: 382.78), 2025-12-22 (Price: 498.83)",15.67%/1.5%/11.2%,"-0.0%, 68.46%",2.7 years/7 days/8 months,2029-11-29/2026-02-01/2027-01-04,25.24%,11.0%,14.24%,2.38,0.58,527.8183/499.6883/518.99/481.305/541.282/564.9603/No EMA 200 Target,419.25/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/374.64,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),435.16
"^GSPC, Long, 2026-01-22 (Price: 6913.3501)",No Exit Yet,"0.97%, 5 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 6980.75), 0.97% above",5 days,Upmove Bounce Back,23.66% (Price: 6876.4506),1.52% above,"2025-11-21 (Price: 6521.9199), 2026-01-12 (Price: 6986.3301)",11.26%/10.04%/10.39%,"-0.0%, 25.43%",2.4 years/1.6 month/9.4 months,2029-06-26/2026-04-01/2027-03-06,26.29%,9.14%,17.15%,3.87,0.62,7180.8967/7631.6472/7192.0/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6796.86/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6404.75,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),6914.4399
"XLV, Long, 2026-01-22 (Price: 158.29)",No Exit Yet,"-1.05%, 5 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 156.625), 1.05% below",5 days,Upmove Bounce Back,23.66% (Price: 152.8697),2.46% above,"2025-08-07 (Price: 127.96), 2026-01-07 (Price: 160.59)",11.13%/3.8%/9.53%,"-0.0%, 16.06%",2.5 years/2.6 months/1.2 year,2029-08-17/2026-05-14/2027-10-09,12.63%,5.05%,7.58%,1.59,0.27,160.6643/173.375/177.87/159.295/174.1807/202.706/No EMA 200 Target,155.4/122.0086/153.114/117.2225/No F-Track Level/No F-Track Level/141.59,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),157.65
"LYFT, Long, 2026-01-22 (Price: 18.2)",No Exit Yet,"-2.61%, 5 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 17.725), 2.61% below",5 days,Upmove Bounce Back,38.2% (Price: 17.9324),1.16% below,"2024-08-07 (Price: 8.925), 2025-09-17 (Price: 23.5)",29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-03-14/2026-01-30/2026-09-17,28.24%,-11.2%,39.44%,1.13,0.03,19.3721/20.9209/26.95/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,13.41/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.56,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),18.62
"MCD, Long, 2026-01-22 (Price: 306.03)",No Exit Yet,"2.21%, 5 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 312.8), 2.21% above",5 days,Upmove Bounce Back,38.2% (Price: 307.1518),1.84% above,"2025-06-26 (Price: 283.47), 2025-12-18 (Price: 321.79)",11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-08-17/2026-07-17/2027-04-01,9.72%,5.91%,3.81%,0.88,0.33,312.4566/326.8706/329.02/321.3575/370.0426/590.3302/306.32,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),306.15
"ATM.NZ, Long, 2026-01-22 (Price: 9.94)",No Exit Yet,"-1.51%, 5 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 9.79), 1.51% below",5 days,Upmove Bounce Back,23.66% (Price: 9.4049),4.09% above,"2023-11-15 (Price: 4.0), 2025-11-05 (Price: 11.08)",20.37%/5.32%/11.64%,"1.65%, 37.5%",1.1 year/21 days/6 months,2027-08-18/2026-02-21/2026-10-09,23.8%,-3.41%,27.21%,1.69,-0.03,10.6865/11.097/14.19/10.965/21.86/25.8879/No EMA 200 Target,9.55/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.62,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),9.5
"CNR.TO, Long, 2026-01-22 (Price: 137.9)",No Exit Yet,"-0.85%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 136.73), 0.85% below",5 days,Upmove Bounce Back,23.66% (Price: 137.5543),0.6% below,"2025-11-24 (Price: 128.05), 2026-01-07 (Price: 140.5)",11.26%/0.33%/9.09%,"-0.0%, 14.35%",1.3 year/18 days/7.1 months,2027-11-30/2026-02-17/2026-11-26,16.8%,-0.9%,17.7%,0.98,-0.19,137.8448/150.4351/145.37/173.435/218.156/349.4971/No EMA 200 Target,134.44/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/135.95,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),138.22
"EFN.TO, Long, 2026-01-22 (Price: 34.76)",No Exit Yet,"-1.55%, 5 days","85.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 34.22), 1.55% below",5 days,Upmove Bounce Back,23.66% (Price: 33.1459),3.24% above,"2023-04-25 (Price: 17.0), 2025-09-19 (Price: 38.15)",18.43%/2.81%/10.12%,"6.91%, 23.72%",1.1 year/1.1 month/3.6 months,2027-08-18/2026-03-10/2026-06-27,27.0%,15.63%,11.37%,1.17,0.95,36.8595/38.2777/47.45/34.925/45.1741/70.5281/35.02,33.98/12.67/29.5041/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),34.67
"KWEB, Long, 2026-01-18 (Price: 35.71)",No Exit Yet,"0.69%, 9 days","100.0%, Past 12 years, 10","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-01-27 (Price: 35.955), 0.69% above",9 days,Upmove Bounce Back,38.2% (Price: 33.3776),7.72% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-29/2026-03-28/2027-01-26,15.72%,2.03%,13.69%,1.19,0.14,33.7102/42.2556/51.4/54.865/112.1402/127.8094/36.53,34.83/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),36.765
"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 189.88) (Today),"-6.04%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-27 (Price: 189.88), 6.04% below",15 days,Upmove Bounce Back,23.66% (Price: 201.5134),5.77% below,"2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.11,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),199.44
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-4.3%, 27 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 260.17), 4.3% below",27 days,Upmove Bounce Back,38.2% (Price: 169.2862),53.69% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/235.75,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),255.04
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-11.21%, 27 days","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 32.445), 11.21% below",27 days,Upmove Bounce Back,38.2% (Price: 34.562),6.13% below,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/40.717/47.4928/No EMA 200 Target,26.75/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.21,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),36.7
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"-1.5%, 27 days","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 3158.0), 1.5% below",27 days,Upmove Bounce Back,50% (Price: 2809.1),12.42% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3216.36,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),3137.8999
"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",No Exit Yet,"2.52%, 27 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 38.7), 2.52% above",27 days,Upmove Bounce Back,23.66% (Price: 34.9549),10.71% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-19/2026-06-22/2030-09-16,4.68%,9.29%,-4.61%,0.75,0.49,47.0516/45.7945/49.28/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.85,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),37.5
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-4.56%, 27 days","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 11.73), 4.56% below",27 days,Upmove Bounce Back,50% (Price: 10.74),9.22% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.5,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),10.7
