"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BAC, Long, 2025-11-07 (Price: 53.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-07 (Price: 53.2), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),61.96% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-03/2028-03-06/2032-06-11,5.77%,4.61%,1.16%,0.41,0.21,55.5142/124.0996/80.31/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/53.8138/55.585,51.24/45.96,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-07 (Price: 16.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-07 (Price: 16.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),6.0% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-12/2028-12-15/2030-02-12,12.46%,12.49%,-0.03%,0.37,0.38,16.7475/30.4755/29.49/23.796/25.6134/28.2828,16.27/16.074/16.4829/15.2985/16.6189/15.7269,16.79/18.1,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IWM, Long, 2025-11-07 (Price: 241.61)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-07 (Price: 241.61), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),42.06% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-09/2028-09-07/2028-09-07,11.21%,6.21%,5.0%,0.5,0.2,233.3953/340.0902/330.87/244.72/270.9222/282.5179,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,242.44/219.44,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-07 (Price: 12.34)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-07 (Price: 12.34), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),33.93% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-09-23/2028-09-10/2029-03-17,13.15%,12.57%,0.58%,0.46,0.51,14.1996/20.1919/18.82/No Horizontal Resistance/13.8771/15.9169,2.72/7.3167/11.3804/9.6206/14.3361/14.9482,12.26/11.27,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-07 (Price: 11.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-07 (Price: 11.86), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),10.43% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-11/2028-09-11/2028-09-11,7.04%,16.47%,-9.43%,0.34,0.57,11.7141/14.3648/15.1/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.21/11.48,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-07 (Price: 72.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-07 (Price: 72.95), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),117.1% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-03-30/2030-03-30/2030-03-30,7.18%,12.22%,-5.04%,0.42,0.42,76.5391/98.5919/90.33/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/66.9303/63.4408/64.3621/58.5069,63.32/48.93,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-07 (Price: 44.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-07 (Price: 44.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),30.2% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-15/2032-04-26/2033-05-07,12.07%,13.02%,-0.95%,0.46,0.46,46.6156/216.4456/67.43/51.51/57.5622/59.9244,42.8/34.9317/44.0597/41.1349/61.5996/64.7366,43.94/42.86,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"MX.TO, Long, 2025-11-07 (Price: 52.49)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-07 (Price: 52.49), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),42.99% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-08/2028-09-10/2031-02-24,4.14%,4.51%,-0.37%,0.3,0.25,54.4846/82.2308/89.35/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,51.97/51.35,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-07 (Price: 122.46)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-07 (Price: 122.46), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),21.59% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-10/2028-09-10/2028-09-10,42.57%,12.24%,30.33%,0.5,0.41,131.2526/331.9523/197.71/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,128.04/129.51,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",No Exit Yet,"-0.4%, 2 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-07 (Price: 2.52), 0.4% below",2 days,Upmove Bounce Back,23.66% (Price: 2.4547),2.66% above,"2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",6.64%/0.44%/3.91%,"7.43%, 9.96%",145 days/36 days/77 days,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,2.43/2.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-04 (Price: 985.25)",No Exit Yet,"-0.3%, 3 days","89.74%, Past 5 years, 39","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-07 (Price: 982.3), 0.3% below",3 days,Upmove Bounce Back,23.66% (Price: 971.2044),1.14% above,"2025-01-13 (Price: 812.15), 2025-10-23 (Price: 1020.5)",31.44%/0.59%/8.36%,"7.67%, 22.66%",472 days/11 days/137 days,2027-09-18/2025-11-19/2026-05-21,7.39%,9.35%,-1.96%,0.46,0.36,986.6294/1067.6169/1110.26/1004.15/1098.0619/1305.7899,945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,974.21/943.32,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"GILD, Long, 2025-11-04 (Price: 123.0)",No Exit Yet,"-3.38%, 3 days","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-07 (Price: 118.84), 3.38% below",3 days,Upmove Bounce Back,50% (Price: 116.535),1.98% above,"2025-10-02 (Price: 108.46), 2025-10-21 (Price: 124.61)",29.99%/0.5%/11.55%,"-0.0%, 27.82%",471 days/7 days/193 days,2027-09-17/2025-11-14/2026-08-10,10.34%,14.55%,-4.21%,0.57,0.58,125.9397/137.2065/132.69/No Horizontal Resistance/121.083/140.4376,117.88/56.9733/104.5806/96.4152/No F-Track Level/No F-Track Level,116.1/110.26,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"NIO, Long, 2025-11-04 (Price: 7.16)",No Exit Yet,"-4.19%, 3 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-07 (Price: 6.86), 4.19% below",3 days,Upmove Bounce Back,23.66% (Price: 6.837),0.34% above,"2025-04-08 (Price: 3.02), 2025-10-02 (Price: 8.02)",49.89%/49.89%/49.89%,"-0.0%, 25.1%",69 days/69 days/69 days,2026-02-11/2026-02-11/2026-02-11,346.26%,-27.6%,373.86%,0.26,-0.14,7.0512/10.7321/10.16/24.205/No Next Fib Ext/No Next Fib Ext,6.71/3.62/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,6.94/4.87,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"WMT, Long, 2025-11-04 (Price: 102.27)",No Exit Yet,"0.31%, 3 days","90.62%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-11-07 (Price: 102.59), 0.31% above",3 days,Upmove Bounce Back,23.66% (Price: 102.5364),0.05% above,"2025-04-07 (Price: 79.81), 2025-10-16 (Price: 109.58)",14.63%/0.49%/9.29%,"4.76%, 26.01%",453 days/33 days/142 days,2027-08-22/2025-12-21/2026-05-28,10.62%,16.05%,-5.43%,0.64,0.7,104.0086/111.7709/120.13/105.01/108.7906/137.8139,101.18/42.3916/98.8222/85.5556/No F-Track Level/No F-Track Level,102.82/97.57,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"LYFT, Long, 2025-11-03 (Price: 20.95)",No Exit Yet,"5.2%, 4 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-07 (Price: 22.04), 5.2% above",4 days,Upmove Bounce Back,38.2% (Price: 19.552),12.73% above,"2025-08-11 (Price: 13.165), 2025-09-17 (Price: 23.5)",52.96%/0.97%/21.59%,"5.88%, 53.48%",394 days/27 days/190 days,2027-05-27/2025-12-12/2026-08-05,19.21%,-6.72%,25.93%,0.41,0.2,20.8306/25.4731/27.15/57.19/81.0416/101.3843,19.75/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,20.11/15.46,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SONY, Long, 2025-11-03 (Price: 27.95)",No Exit Yet,"-0.86%, 4 days","89.47%, Past 5 years, 19","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-07 (Price: 27.71), 0.86% below",4 days,Upmove Bounce Back,38.2% (Price: 27.8032),0.34% below,"2025-07-16 (Price: 23.78), 2025-10-09 (Price: 30.29)",24.5%/7.06%/17.24%,"5.03%, 23.78%",183 days/63 days/95 days,2026-07-26/2026-02-02/2026-03-20,23.93%,9.83%,14.1%,0.54,0.36,28.6487/32.7686/31.86/No Horizontal Resistance/33.2191/35.3948,27.75/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level,28.74/25.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BIPC.TO, Long, 2025-11-03 (Price: 64.43)",No Exit Yet,"-1.33%, 4 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-07 (Price: 63.57), 1.33% below",4 days,Upmove Bounce Back,23.66% (Price: 59.4945),6.85% above,"2023-10-30 (Price: 35.31), 2025-10-16 (Price: 66.99)",18.49%/5.22%/10.88%,"2.3%, 12.67%",110 days/13 days/51 days,2026-04-11/2025-11-21/2026-01-15,47.75%,4.17%,43.58%,0.53,0.14,64.604/71.44/83.44/66.5925/No Next Fib Ext/No Next Fib Ext,60.76/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,59.25/56.02,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"MX.TO, Long, 2025-11-03 (Price: 52.3)",No Exit Yet,"0.36%, 4 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-07 (Price: 52.49), 0.36% above",4 days,Upmove Bounce Back,88.6% (Price: 46.0338),14.02% above,"2025-08-12 (Price: 44.57), 2025-10-07 (Price: 57.41)",56.52%/5.07%/26.08%,"-0.0%, 41.4%",715 days/33 days/192 days,2028-09-03/2025-12-20/2026-08-08,19.49%,7.34%,12.15%,0.51,0.31,52.4098/65.9398/60.0/73.435/104.8718/122.9238,47.41/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level,51.97/51.35,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"DIS, Long, 2025-11-02 (Price: 112.62)",No Exit Yet,"-1.67%, 4 days","92.86%, Past 20 years, 42","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-07 (Price: 110.74), 1.67% below",4 days,Upmove Bounce Back,38.2% (Price: 107.6566),2.86% above,"2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",338.75%/2.06%/55.12%,"7.93%, 55.37%",2544 days/29 days/449 days,2035-12-04/2025-12-14/2027-08-14,8.38%,7.54%,0.84%,0.32,0.27,115.4693/174.6961/139.37/168.455/207.5364/245.6322,109.19/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.74/110.12,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"CNU.NZ, Long, 2025-11-02 (Price: 9.36)",No Exit Yet,"1.5%, 4 days","100.0%, Past 13 years, 24","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-07 (Price: 9.5), 1.5% above",4 days,Upmove Bounce Back,38.2% (Price: 9.046),5.02% above,"2025-03-23 (Price: 7.535), 2025-09-07 (Price: 9.98)",167.25%/5.27%/46.32%,"-0.0%, 32.23%",1554 days/64 days/638 days,2031-12-31/2026-02-02/2028-05-14,7.15%,7.61%,-0.47%,0.46,0.27,9.681/13.6956/10.83/No Horizontal Resistance/10.0225/12.705,9.2/6.0983/9.3249/7.51/No F-Track Level/No F-Track Level,9.46/8.7,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"BTC-USD, Long, 2025-11-01 (Price: 110064.0156)",No Exit Yet,"-6.03%, 4 days","93.75%, Past 5 years, 64","Daily, was CONFIRMED on 2025-11-01",Already confirmed,"2025-11-07 (Price: 103424.6016), 6.03% below",4 days,Upmove Bounce Back,23.66% (Price: 107961.6918),4.2% below,"2024-08-05 (Price: 49121.2383), 2025-10-06 (Price: 126198.0703)",133.41%/2.6%/33.78%,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-19/2025-11-08/2026-06-03,16.74%,49.32%,-32.58%,0.38,0.92,114070.3458/147243.6401/156310.11/124582.2656/122105.3521/133759.1807,108305.55/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,113127.04/110041.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
