"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WIPRO.NS, Long, 2025-12-03 (Price: 254.69)",No Exit Yet,"0.88%, 1 day","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-04 (Price: 256.93), 0.88% above",1 day,"8, 2025-05-09 (Price: 242.01)",2025-12-02 (Price: 250.17),2025-12-03 (Price: 254.69),2/1/1 days,2.7% above/0.88% above/0.88% above,2025-05-09 (Price: 280.1774)/2025-12-03 (Price: 249.3043),12.97%/1.23%/3.81%,"4.22%, 15.72%",1.4 month/5 days/13 days,2026-02-03/2025-12-10/2025-12-21,25.69%,10.65%,15.03%,0.61,0.39,266.3803/264.3937/262.3/366.6625/412.2037/473.5829/255.05,236.49/187.6063/216.7036/198.5041/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MAR, Long, 2025-12-03 (Price: 306.65)",No Exit Yet,"-3.47%, 1 day","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-04 (Price: 296.0), 3.47% below",1 day,"10, 2025-03-18 (Price: 240.39)",2025-12-03 (Price: 306.65),2025-12-03 (Price: 306.65),1/1/1 days,3.47% below/3.47% below/3.47% below,2025-03-18 (Price: 268.29)/2025-12-03 (Price: 303.9669),20.78%/1.46%/5.76%,"-0.0%, 12.09%",2.1 months/4 days/17 days,2026-03-02/2025-12-08/2025-12-27,113.25%,11.5%,101.74%,0.99,0.41,320.3573/324.313/346.41/No Horizontal Resistance/372.972/399.3723/No Moving Avg Target,282.38/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/263.65,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WMT, Long, 2025-12-03 (Price: 114.41)",No Exit Yet,"0.38%, 1 day","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-04 (Price: 114.84), 0.38% above",1 day,"4, 2025-08-05 (Price: 99.31)",2025-12-03 (Price: 114.41),2025-12-03 (Price: 114.41),1/1/1 days,0.38% above/0.38% above/0.38% above,2025-08-05 (Price: 104.0333)/2025-12-03 (Price: 112.3434),12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-02-20/2025-12-08/2025-12-30,43.52%,16.53%,26.99%,0.61,0.68,117.133/118.7347/123.47/No Horizontal Resistance/137.8139/No Next Fib Ext/No Moving Avg Target,100.61/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"AAPL, Long, 2025-12-02 (Price: 286.19)",No Exit Yet,"-1.92%, 2 days","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-04 (Price: 280.7), 1.92% below",2 days,"8, 2025-05-07 (Price: 196.25)",2025-12-01 (Price: 283.1),2025-12-02 (Price: 286.19),3/2/2 days,0.85% below/1.92% below/1.92% below,2025-05-07 (Price: 217.2102)/2025-12-02 (Price: 276.9927),7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-24/2025-12-07/2026-01-04,8.33%,26.41%,-18.08%,0.18,0.92,289.3667/295.9205/340.15/No Horizontal Resistance/294.7231/309.0801/No Moving Avg Target,266.25/136.57/189.8723/119.0319/No F-Track Level/No F-Track Level/227.61,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"-1.45%, 3 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-04 (Price: 51.76), 1.45% below",3 days,"2, 2025-10-09 (Price: 44.71)",2025-11-26 (Price: 48.4),2025-12-01 (Price: 52.52),8/3/3 days,6.94% above/1.45% below/1.45% below,2025-10-09 (Price: 49.3947)/2025-12-01 (Price: 48.3526),9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,2026-03-05/2025-12-06/2025-12-22,113.36%,17.43%,95.93%,1.35,0.62,54.9727/55.4716/57.21/No Horizontal Resistance/48.7992/52.3128/No Moving Avg Target,45.3/18.99/45.3667/37.8142/No F-Track Level/No F-Track Level/35.39,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"CNR.TO, Long, 2025-12-01 (Price: 133.81)",No Exit Yet,"2.79%, 3 days","86.11%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-04 (Price: 137.54), 2.79% above",3 days,"0, 2024-02-15 (Price: 174.92)",2025-11-27 (Price: 131.82),2025-12-01 (Price: 133.81),5/3/3 days,4.34% above/2.79% above/2.79% above,2024-02-15 (Price: 198.739)/2025-12-01 (Price: 132.1121),11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,2026-02-24/2025-12-06/2025-12-15,10.09%,1.42%,8.67%,0.18,-0.02,136.4059/137.6102/158.48/173.435/218.156/349.4971/136.95,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-11-30 (Price: 320.12)",No Exit Yet,"-0.54%, 3 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 318.39), 0.54% below",3 days,"2, 2025-05-18 (Price: 167.43)",2025-11-23 (Price: 299.65),2025-11-30 (Price: 320.12),11/3/3 days,6.25% above/0.54% below/0.54% below,2025-05-18 (Price: 168.6944)/2025-11-30 (Price: 304.0583),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-04/2026-01-03/2026-02-06,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,147.74/84.51/240.3589/219.0619/No F-Track Level/No F-Track Level/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-1.03%, 3 days","90.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 997.2), 1.03% below",3 days,"0, 2020-11-30 (Price: 720.425)",2025-11-30 (Price: 1007.6),2025-11-28 (Price: 1007.6),3/4/3 days,1.03% below/1.03% below/1.03% below,2020-11-30 (Price: 763.4559)/2025-11-30 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-12/2026-05-03/2026-09-14,15.97%,19.29%,-3.32%,0.9,0.75,1134.6584/1252.6483/1179.9/1009.6/1098.0619/1305.7899/No Moving Avg Target,701.7/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"0.5%, 3 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 46.66), 0.5% above",3 days,"2, 2023-05-31 (Price: 29.68)",2025-09-30 (Price: 44.77),2025-11-24 (Price: 45.37),65/10/3 days,4.22% above/2.84% above/0.5% above,2023-05-31 (Price: 31.8)/2025-11-30 (Price: 43.425),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-13/2026-03-31/2026-06-26,8.8%,4.94%,3.87%,0.91,0.11,49.3412/50.7526/56.48/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IEI, Long, 2025-11-30 (Price: 120.26)",No Exit Yet,"-0.56%, 3 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 119.59), 0.56% below",3 days,"2, 2024-09-30 (Price: 119.61)",2025-11-30 (Price: 120.26),2025-11-21 (Price: 120.08),3/13/3 days,0.56% below/0.41% below/0.56% below,2024-09-30 (Price: 120.33)/2025-11-30 (Price: 119.47),2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-19/2026-05-06/2026-10-26,0.4%,0.95%,-0.55%,0.05,-0.88,121.9797/122.5089/120.65/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/118.54,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XLV, Long, 2025-11-30 (Price: 157.65)",No Exit Yet,"-2.38%, 3 days","86.21%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 153.9), 2.38% below",3 days,"2, 2024-09-30 (Price: 154.02)",2025-09-30 (Price: 139.17),2025-11-25 (Price: 158.77),65/9/3 days,10.58% above/3.07% below/2.38% below,2024-09-30 (Price: 159.64)/2025-11-30 (Price: 137.8933),17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,2028-09-01/2026-04-03/2026-11-02,5.12%,6.82%,-1.7%,0.64,0.25,165.501/171.602/159.83/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.43/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.6,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"1.07%, 3 days","81.82%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 77.76), 1.07% above",3 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-13 (Price: 77.38),34/21/3 days,6.36% above/0.49% above/1.07% above,2020-11-30 (Price: 63.5339)/2025-11-30 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,2027-04-16/2026-05-03/2026-09-11,6.7%,1.67%,5.03%,0.55,0.08,83.7877/89.8505/97.29/No Horizontal Resistance/78.7458/109.6316/No Moving Avg Target,46.5/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/66.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"ATZ.TO, Long, 2025-11-30 (Price: 110.5)",No Exit Yet,"0.71%, 3 days","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 111.28), 0.71% above",3 days,"2, 2025-05-18 (Price: 66.25)",2025-11-23 (Price: 105.95),2025-11-30 (Price: 110.5),11/3/3 days,5.03% above/0.71% above/0.71% above,2025-05-18 (Price: 68.8719)/2025-11-30 (Price: 102.2504),31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,2027-01-15/2026-01-03/2026-06-14,25.42%,20.42%,5.0%,2.19,0.65,113.7708/132.7989/137.05/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,41.91/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/72.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"EFN.TO, Long, 2025-11-30 (Price: 37.23)",No Exit Yet,"-0.99%, 3 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 36.86), 0.99% below",3 days,"0, 2021-08-08 (Price: 14.15)",2025-11-23 (Price: 36.72),2025-11-28 (Price: 37.23),11/4/3 days,0.38% above/0.99% below/0.99% below,2021-08-08 (Price: 13.1784)/2025-11-30 (Price: 35.8961),26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,2026-06-04/2026-01-03/2026-02-17,4.38%,15.83%,-11.45%,0.07,0.55,39.3074/40.603/51.08/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,34.92/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"NA.TO, Long, 2025-11-30 (Price: 168.95)",No Exit Yet,"1.98%, 3 days","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 172.3), 1.98% above",3 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-28 (Price: 168.95),34/4/3 days,9.96% above/1.98% above/1.98% above,2020-11-30 (Price: 94.7324)/2025-11-30 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,2028-08-31/2026-05-05/2026-10-18,11.63%,10.7%,0.94%,1.75,0.45,179.2222/197.908/227.16/No Horizontal Resistance/188.6608/207.1743/No Moving Avg Target,118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SJ.TO, Long, 2025-11-30 (Price: 87.09)",No Exit Yet,"-1.83%, 3 days","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-04 (Price: 85.5), 1.83% below",3 days,"2, 2024-07-31 (Price: 92.89)",2025-11-30 (Price: 87.09),2025-11-26 (Price: 86.92),3/8/3 days,1.83% below/1.63% below/1.83% below,2024-07-31 (Price: 98.2608)/2025-11-30 (Price: 77.629),52.17%/3.61%/37.17%,"45.19%, 70.23%",1.7 year/2.9 months/6.3 months,2028-04-30/2026-04-05/2026-08-29,11.4%,21.44%,-10.04%,0.91,0.78,123.032/119.4614/90.57/No Horizontal Resistance/95.0177/123.2166/No Moving Avg Target,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.72,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",No Exit Yet,"-1.03%, 4 days","100.0%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 997.2), 1.03% below",4 days,"2, 2025-10-08 (Price: 978.7)",2025-11-26 (Price: 1003.9),2025-11-28 (Price: 1007.6),8/4/4 days,0.67% below/1.03% below/1.03% below,2025-10-08 (Price: 1035.8571)/2025-11-28 (Price: 980.5714),9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,2026-03-05/2025-12-03/2026-01-07,48.18%,7.98%,40.2%,1.18,0.29,1018.6836/1051.8336/1024.94/1009.6/1098.0619/1305.7899/No Moving Avg Target,982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
