Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-10-21 (Price: 66.27)",No Exit Yet,"1.36%, 2 days","100.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-23 (Price: 67.17), 1.36% above",2 days,No Information,No Information,No Information,"23.66% (Price: 63.7606), 5.35% above, Upmove Bounce Back","2025-04-07 (Price: 32.82), 2025-10-10 (Price: 73.35)",No Information,177.45%/8.73%/69.36%,"-0.0%, 38.74%",813 days/26 days/242 days,2029-01-10/2025-11-27/2026-10-06,76.4%,38.72%,37.68%,0.7,1.31,66.2634/112.2349/90.59/No Horizontal Resistance/81.4292/98.2092,66.23/13.0762/62.0029/55.579/No Fib Ret Level/No Fib Ret Level,65.42/54.87,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
OSCILLATOR DELTA,"UBER, Long, 2025-10-20 (Price: 93.7)",No Exit Yet,"0.97%, 3 days","80.0%, Past 6 years, 20","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-23 (Price: 94.61), 0.97% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,17.75%/5.02%/8.49%,"10.95%, 14.13%",17 days/1 days/6 days,2025-11-13/2025-10-21/2025-10-28,19.73%,18.04%,1.69%,0.53,0.59,107.249/101.6551/98.39/No Horizontal Resistance/102.095/116.8186,No Recent Minima/34.6025/80.4283/75.944/No Fib Ret Level/No Fib Ret Level,95.34/84.18,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2025-10-20 (Price: 494.08)",No Exit Yet,"-0.79%, 3 days","94.44%, Past 6 years, 18","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-23 (Price: 490.16), 0.79% below",3 days,No Information,No Information,No Information,No Information,No Information,No Information,26.23%/5.33%/11.69%,"10.5%, 12.69%",171 days/7 days/54 days,2026-06-24/2025-10-30/2026-01-06,26.16%,15.02%,11.14%,1.04,0.64,529.5549/551.838/518.78/No Horizontal Resistance/630.85/709.9376,No Recent Minima/268.082/491.88/449.7662/No Fib Ret Level/No Fib Ret Level,493.88/493.57,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
OSCILLATOR DELTA,"XLE, Long, 2025-10-20 (Price: 86.89)",No Exit Yet,"2.39%, 3 days","84.62%, Past 6 years, 13","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-23 (Price: 88.97), 2.39% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,21.51%/5.03%/10.46%,"14.4%, 17.68%",216 days/4 days/53 days,2026-08-28/2025-10-25/2026-01-04,19.19%,5.78%,13.41%,0.62,0.23,96.9953/95.9787/91.23/98.445/106.8857/117.7423,No Recent Minima/45.695/74.1414/53.9043/No Fib Ret Level/No Fib Ret Level,88.18/87.02,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
OSCILLATOR DELTA,"INFY, Long, 2025-10-20 (Price: 16.91)",No Exit Yet,"3.67%, 3 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-23 (Price: 17.53), 3.67% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,31.99%/5.11%/9.83%,"13.51%, 18.16%",191 days/1 days/34 days,2026-07-23/2025-10-21/2025-12-08,19.88%,6.2%,13.68%,0.52,0.23,18.8513/18.5723/18.77/23.796/31.8515/41.1179,No Recent Minima/16.074/13.0115/82.7505/No Fib Ret Level/No Fib Ret Level,16.82/18.35,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
OSCILLATOR DELTA,"MA, Long, 2025-10-20 (Price: 566.36)",No Exit Yet,"1.31%, 3 days","92.31%, Past 6 years, 13","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-23 (Price: 573.77), 1.31% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,14.89%/5.11%/8.68%,"10.29%, 14.79%",95 days/2 days/27 days,2026-03-06/2025-10-22/2025-11-28,24.21%,13.3%,10.91%,1.26,0.48,638.7974/615.52/639.99/592.9033/716.5814/751.3605,No Recent Minima/306.91/554.0572/515.4888/No Fib Ret Level/No Fib Ret Level,579.36/559.11,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-10-20 (Price: 93.7)",No Exit Yet,"0.97%, 3 days","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-23 (Price: 94.61), 0.97% above",3 days,No Information,No Information,No Information,"23.66% (Price: 92.2042), 2.61% above, Upmove Bounce Back","2025-04-07 (Price: 60.63), 2025-09-22 (Price: 101.99)",No Information,103.69%/0.66%/27.26%,"-0.0%, 64.99%",1092 days/11 days/273 days,2030-02-17/2025-11-04/2026-11-19,50.24%,20.29%,29.95%,0.54,0.65,96.0331/119.2426/118.52/No Horizontal Resistance/102.095/116.8186,92.3/34.6025/80.4283/75.944/No Fib Ret Level/No Fib Ret Level,95.34/84.18,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"XLE, Long, 2025-10-20 (Price: 86.89)",No Exit Yet,"2.39%, 3 days","100.0%, Past 5 years, 46","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-23 (Price: 88.97), 2.39% above",3 days,No Information,No Information,No Information,"78.6% (Price: 85.9853), 3.47% above, Upmove Bounce Back","2025-08-11 (Price: 84.1), 2025-09-26 (Price: 92.91)",No Information,45.63%/2.08%/20.18%,"-0.0%, 17.74%",365 days/73 days/148 days,2027-04-01/2026-02-02/2026-05-22,31.36%,21.09%,10.27%,0.35,0.77,87.9066/104.4244/92.18/98.445/106.8857/117.7423,85.22/45.695/74.1414/53.9043/No Fib Ret Level/No Fib Ret Level,88.18/87.02,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"MCY.NZ, Long, 2025-10-20 (Price: 6.65)",No Exit Yet,"-0.6%, 3 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-23 (Price: 6.61), 0.6% below",3 days,No Information,No Information,No Information,"38.2% (Price: 6.4023), 3.24% above, Upmove Bounce Back","2025-03-19 (Price: 5.5), 2025-09-12 (Price: 6.96)",No Information,6.92%/2.49%/3.84%,"1.62%, 23.8%",658 days/15 days/337 days,2028-05-30/2025-11-10/2027-02-20,1.98%,6.99%,-5.01%,0.31,0.25,6.6892/6.9054/7.53/7.085/7.8394/8.9737,6.39/5.13/6.4223/5.8309/No Fib Ret Level/No Fib Ret Level,6.62/6.17,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
TRENDPULSE,"^NSEI, Long, 2025-10-19 (Price: 25709.8496)",2025-10-23 (Price: 25891.4004) (Today),"0.71%, 3 days","100.0%, Past 10 years, 12","Weekly, is CONFIRMED on 2025-10-17",Already confirmed,"2025-10-23 (Price: 25891.4004), 0.71% above",3 days,No Information,No Information,No Information,No Information,No Information,0.71% above/0.71% above/0.71% above,6.98%/1.59%/4.63%,"0%, 12.99%",194 days/19 days/72 days,2026-07-26/2025-11-15/2026-01-31,7.62%,9.75%,-2.13%,2.59,0.43,27370.7059/26900.2156/31619.55/25973.3496/No Next Fib Ext/No Next Fib Ext,24363.3/15428.8669/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,24929.73/24230.32,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2025-10-19 (Price: 3984.6497)",No Exit Yet,"-3.77%, 3 days","95.56%, Past 5 years, 45","Daily, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-23 (Price: 3834.6074), 3.77% below",3 days,No Information,No Information,No Information,"38.2% (Price: 3591.1643), 6.78% above, Upmove Bounce Back","2025-04-09 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",No Information,249.85%/0.46%/49.93%,"2.0%, 75.81%",958 days/2 days/259 days,2029-08-06/2025-10-21/2026-10-29,66.29%,61.64%,4.65%,0.47,1.06,4098.2122/5974.1853/6124.81/4922.7188/4887.278/5344.0381,3750.61/1370.4997/3929.1537/3454.2267/No Fib Ret Level/No Fib Ret Level,4255.72/3233.93,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-10-19 (Price: 2962.2)",No Exit Yet,"3.75%, 3 days","95.65%, Past 20 years, 23","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-23 (Price: 3073.2), 3.75% above",3 days,No Information,No Information,No Information,"50% (Price: 2809.1), 9.4% above, Upmove Bounce Back","2016-11-20 (Price: 1025.95), 2024-09-01 (Price: 4592.25)",No Information,163.97%/0.89%/58.77%,"5.76%, 64.77%",1639 days/79 days/561 days,2032-04-18/2026-02-10/2028-01-09,16.08%,15.1%,0.98%,0.63,0.57,3293.9664/4703.0849/5101.98/4543.575/5637.7577/6110.9256,2899.1/2937.675/2637.2425/2286.8248/No Fib Ret Level/No Fib Ret Level,3044.89/3435.06,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-10-17 (Price: 86.41)",2025-10-23 (Price: 87.03) (Today),"0.72%, 4 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2025-10-17",Already confirmed,"2025-10-23 (Price: 87.03), 0.72% above",4 days,No Information,No Information,No Information,No Information,No Information,1.62% above/0.72% above/0.72% above,14.16%/0.81%/3.54%,"11.16%, 24.75%",94 days/4 days/16 days,2026-03-02/2025-10-22/2025-11-09,7.18%,-5.7%,12.88%,0.3,-0.19,89.901/89.4689/113.84/221.2667/228.7501/295.6013,82.87/No Horizontal Support/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,85.55/101.52,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-10-17 (Price: 12.43)",No Exit Yet,"-0.72%, 4 days","91.11%, Past 5 years, 45","Daily, was CONFIRMED on 2025-10-17",Already confirmed,"2025-10-23 (Price: 12.34), 0.72% below",4 days,No Information,No Information,No Information,"23.66% (Price: 12.1423), 1.63% above, Upmove Bounce Back","2025-06-11 (Price: 10.02), 2025-09-12 (Price: 12.8)",No Information,49.32%/3.35%/24.68%,"3.24%, 15.98%",875 days/36 days/368 days,2029-04-06/2025-12-08/2027-04-03,44.79%,20.04%,24.75%,0.55,0.82,12.4822/15.4977/14.1/No Horizontal Resistance/18.927/29.733,11.91/7.3167/12.2485/8.121/No Fib Ret Level/No Fib Ret Level,12.21/11.25,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
OSCILLATOR DELTA,"GBPUSD=X, Long, 2025-10-16 (Price: 1.3404)",No Exit Yet,"-0.58%, 5 days","72.73%, Past 6 years, 11","Daily, is Confirmed on 2025-10-16",No Cancellation Possible,"2025-10-23 (Price: 1.3326), 0.58% below",5 days,No Information,No Information,No Information,No Information,No Information,No Information,15.34%/5.05%/9.0%,"12.61%, 19.34%",581 days/18 days/213 days,2028-02-04/2025-11-11/2026-08-20,-1.6%,1.36%,-2.96%,0.19,-0.31,1.3679/1.461/1.47/1.4232/2.4421/3.2078,No Recent Minima/1.1912/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,1.35/1.32,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
OSCILLATOR DELTA,"BTI, Long, 2025-10-16 (Price: 51.14)",No Exit Yet,"1.39%, 5 days","75.0%, Past 6 years, 16","Daily, is Confirmed on 2025-10-16",No Cancellation Possible,"2025-10-23 (Price: 51.85), 1.39% above",5 days,No Information,No Information,No Information,No Information,No Information,No Information,16.26%/5.2%/9.29%,"11.01%, 15.66%",102 days/4 days/41 days,2026-03-12/2025-10-21/2025-12-14,14.11%,7.85%,6.26%,0.47,0.28,56.387/55.8909/54.21/No Horizontal Resistance/82.226/92.0468,No Recent Minima/28.5067/49.3734/41.6622/No Fib Ret Level/No Fib Ret Level,54.35/46.71,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2025-10-16 (Price: 214.47)",No Exit Yet,"3.09%, 5 days","90.91%, Past 5 years, 22","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 221.09), 3.09% above",5 days,No Information,No Information,No Information,"23.66% (Price: 208.5686), 6.0% above, Upmove Bounce Back","2023-10-26 (Price: 118.35), 2025-07-31 (Price: 236.53)",No Information,29.44%/6.12%/16.64%,"1.95%, 56.15%",918 days/18 days/219 days,2029-06-06/2025-11-11/2026-08-29,23.08%,9.19%,13.89%,0.53,0.34,223.6922/250.1578/285.38/239.3/317.6152/339.3352,211.65/86.995/213.1321/193.0625/No Fib Ret Level/No Fib Ret Level,225.28/214.18,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"GS, Long, 2025-10-16 (Price: 758.09)",No Exit Yet,"-0.96%, 5 days","100.0%, Past 5 years, 26","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 750.78), 0.96% below",5 days,No Information,No Information,No Information,"23.66% (Price: 733.9532), 2.29% above, Upmove Bounce Back","2025-04-07 (Price: 439.38), 2025-09-23 (Price: 825.25)",No Information,122.36%/0.35%/31.26%,"-0.0%, 33.99%",901 days/8 days/319 days,2029-05-13/2025-10-27/2027-01-21,45.1%,31.48%,13.62%,0.55,1.19,777.0422/995.0689/989.61/No Horizontal Resistance/858.2074/1261.1009,730.56/288.555/594.2082/521.2487/No Fib Ret Level/No Fib Ret Level,766.47/654.15,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"BAC, Long, 2025-10-16 (Price: 50.44)",No Exit Yet,"2.62%, 5 days","88.46%, Past 5 years, 26","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 51.76), 2.62% above",5 days,No Information,No Information,No Information,"23.66% (Price: 48.193), 7.4% above, Upmove Bounce Back","2025-04-09 (Price: 33.07), 2025-09-23 (Price: 52.88)",No Information,9.48%/9.48%/9.48%,"4.82%, 27.96%",304 days/304 days/304 days,2026-12-30/2026-12-30/2026-12-30,2.95%,14.72%,-11.77%,0.02,0.54,51.0554/55.2217/62.33/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,48.65/29.49/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,50.41/45.65,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"ENZL, Long, 2025-10-16 (Price: 45.42)",No Exit Yet,"0.22%, 5 days","89.47%, Past 5 years, 19","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 45.52), 0.22% above",5 days,No Information,No Information,No Information,"50% (Price: 45.885), 0.8% below, Upmove Bounce Back","2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",No Information,6.86%/6.86%/6.86%,"0.81%, 4.12%",50 days/50 days/50 days,2025-12-27/2025-12-27/2025-12-27,5.62%,-4.14%,9.76%,0.15,-0.36,45.4972/48.5358/47.17/65.1933/79.7363/84.688,45.07/39.215/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,45.95/44.76,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-10-16 (Price: 298.54)",No Exit Yet,"-1.34%, 5 days","90.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 294.54), 1.34% below",5 days,No Information,No Information,No Information,"23.66% (Price: 290.5999), 1.36% above, Upmove Bounce Back","2025-04-07 (Price: 202.16), 2025-09-29 (Price: 318.01)",No Information,61.95%/0.66%/22.57%,"2.37%, 39.47%",764 days/13 days/254 days,2028-10-26/2025-11-03/2026-10-18,36.54%,24.87%,11.67%,0.55,0.99,305.7348/365.9205/368.05/No Horizontal Resistance/328.9175/381.492,292.91/125.7575/287.5071/275.691/No Fib Ret Level/No Fib Ret Level,303.12/272.92,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
