"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"1.31%, 4 days","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 24.75), 1.31% above",4 days,Upmove Bounce Back,50% (Price: 23.99),3.17% above,"2026-01-02 (Price: 22.29), 2026-01-29 (Price: 25.69)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-08-03/2026-04-02/2026-05-12,7.63%,6.83%,0.8%,0.42,0.39,24.794/25.5538/26.47/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.57,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),24.29
"ENZL, Long, 2026-02-19 (Price: 46.0172)",No Exit Yet,"-0.18%, 4 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 45.9335), 0.18% below",4 days,Upmove Bounce Back,38.2% (Price: 44.6836),2.8% above,"2025-04-07 (Price: 38.93), 2026-02-10 (Price: 48.24)",10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,2027-01-28/2026-06-07/2026-09-28,9.1%,-5.47%,14.57%,0.51,-0.57,45.7825/50.1127/51.6/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.73,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),45.78
"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.67%, 4 days","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 83.3133), 0.67% above",4 days,Upmove Bounce Back,23.66% (Price: 80.0409),4.09% above,"2023-05-04 (Price: 51.36), 2026-01-29 (Price: 88.93)",11.87%/8.4%/10.4%,"4.19%, 12.02%",1.8 year/1.1 month/7 months,2028-09-14/2026-04-07/2026-12-20,22.67%,13.72%,8.95%,1.7,0.99,87.8746/91.367/105.3/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/No F-Track Level/No F-Track Level/76.85,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),82.05
"USO, Long, 2026-02-19 (Price: 81.19)",No Exit Yet,"-0.36%, 4 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 80.9), 0.36% below",4 days,Upmove Bounce Back,23.66% (Price: 76.7206),5.45% above,"2025-08-13 (Price: 71.56), 2025-09-26 (Price: 78.32)",11.41%/0.99%/9.11%,"1.2%, 23.64%",1 year/2.8 months/6.6 months,2027-07-25/2026-06-20/2026-12-02,14.43%,11.69%,2.74%,0.77,0.58,83.7718/88.5864/85.25/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.73/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.89,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),80.43
"WPM, Long, 2026-02-19 (Price: 145.34)",No Exit Yet,"7.24%, 4 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 155.86), 7.24% above",4 days,Upmove Bounce Back,38.2% (Price: 134.4642),15.91% above,"2025-10-28 (Price: 92.57), 2026-01-29 (Price: 160.36)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-07-21/2026-02-27/2026-08-14,31.01%,14.41%,16.6%,1.92,0.71,155.1068/158.9293/186.01/No Horizontal Resistance/145.6176/157.2683/No EMA 200 Target,130.9/38.3375/131.4439/98.515/No F-Track Level/No F-Track Level/105.81,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),143.5
"FPH.NZ, Long, 2026-02-19 (Price: 37.6)",No Exit Yet,"3.06%, 4 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 38.75), 3.06% above",4 days,Upmove Bounce Back,23.66% (Price: 35.6878),8.58% above,"2023-10-30 (Price: 20.29), 2025-11-26 (Price: 40.46)",10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-11-05/2026-03-31/2027-09-15,8.47%,1.81%,6.66%,1.1,0.09,38.5776/40.5366/49.7/39.407/40.9296/48.5677/No EMA 200 Target,35.68/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.23,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),37.0
"SBUX, Long, 2026-02-18 (Price: 95.76)",No Exit Yet,"-1.02%, 5 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-23 (Price: 94.78), 1.02% below",5 days,Upmove Bounce Back,38.2% (Price: 94.5709),0.22% above,"2025-11-04 (Price: 77.99), 2026-01-28 (Price: 104.82)",18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-09-13/2026-04-06/2027-04-24,17.25%,-2.4%,19.65%,1.15,-0.1,95.3674/105.9872/111.86/117.438/142.4098/150.3462/No EMA 200 Target,93.79/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/88.35,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),95.04
"XLF, Long, 2026-02-18 (Price: 52.59)",No Exit Yet,"-3.54%, 5 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-02-23 (Price: 50.73), 3.54% below",5 days,Upmove Bounce Back,23.66% (Price: 50.3376),0.78% above,"2023-03-24 (Price: 30.39), 2026-01-06 (Price: 56.52)",11.32%/1.52%/7.02%,"2.46%, 26.19%",2.3 years/21 days/6.5 months,2029-05-30/2026-03-20/2026-11-27,16.24%,9.14%,7.1%,1.47,0.58,54.5621/56.2818/68.27/No Horizontal Resistance/70.6138/110.4396/52.82,51.65/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),52.345
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-7.44%, 23 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-23 (Price: 104.41), 7.44% below",23 days,Upmove Bounce Back,50% (Price: 102.395),1.97% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/113.3,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-2.35%, 23 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-23 (Price: 1.3481), 2.35% below",23 days,Upmove Bounce Back,23.66% (Price: 1.271),6.07% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"-0.31%, 23 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-23 (Price: 0.817), 0.31% below",23 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.64% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-33.32%, 23 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-23 (Price: 39.63), 33.32% below",23 days,Upmove Bounce Back,78.6% (Price: 43.8439),9.61% below,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/57.73,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),51.61
"NA.TO, Long, 2026-01-30 (Price: 162.25)",2026-02-20 (Price: 178.7),"10.14%, 21 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-23 (Price: 178.45), 9.98% above",24 days,Upmove Bounce Back,23.66% (Price: 160.7722),11.0% above,"2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-01-29/2026-04-26/2027-01-08,24.66%,12.6%,12.06%,7.0,0.93,169.1294/180.1786/204.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/153.02,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),163.43
"XLU, Long, 2025-11-05 (Price: 44.425)",2026-02-20 (Price: 46.33),"4.29%, 3.6 months","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2026-02-23 (Price: 46.68), 5.08% above",3.7 months,Upmove Bounce Back,23.66% (Price: 43.7891),6.6% above,"2024-07-01 (Price: 33.8), 2025-10-16 (Price: 46.885)",11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,2029-04-09/2025-12-27/2027-01-04,18.46%,5.33%,13.13%,2.44,0.28,47.0016/48.29/52.28/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,44.42/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.85,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),44.405
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-31 (Price: 1423.0),"34.34%, 3.1 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-23 (Price: 1485.99), 40.29% above",3.8 months,Upmove Bounce Back,38.2% (Price: 692.3064),114.64% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/964.8,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),965.61
