Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",Daily,12.2434 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-12 (Price: 12.22), 3.12% above","90.0%, Past 4 years, 20",1.38%/1.38%,"3.12%, 6 days",8.54%/1.38%/4.55%,12.3892 (Avg % Gain of Historic Winning trades)/12.59 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.861989999999999 (Backtested Best)/12.389175000000002 (Backtested Avg),2026-05-15 (Farthest)/2025-11-27 (Avg),"3.12%, 6 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-12 (Price: 12.22), 3.12% above",6 days,No Information,No Information,No Information,No Information,No Information,3.12% above/3.12% above/3.12% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-11-04 (Price: 9.53)",Daily,9.6053 (Historic Rise or Fall to Pivot),2025-11-11 (Earliest),No Exit Yet,"2025-11-12 (Price: 9.6), 0.73% above","70.27%, Past 4 years, 37",0.77%/2.37%,"0.73%, 6 days",7.56%/1.51%/3.12%,9.8273 (Avg % Gain of Historic Winning trades)/10.42 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.250468 (Backtested Best)/9.673902999999997 (Backtested Worst)/9.827335999999999 (Backtested Avg),2026-02-24 (Farthest)/2025-12-11 (Avg),"0.73%, 6 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-12 (Price: 9.6), 0.73% above",6 days,No Information,No Information,No Information,No Information,No Information,1.69% above/0.73% above/0.73% above,"7.04%, 16.17%",78 days/5 days/26 days,2026-02-24/2025-11-11/2025-12-11,5.05%,4.18%,0.87%,0.27,0.12,9.6053/9.8273/10.42/No Horizontal Resistance/11.2606/15.4512,8.95/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level,9.17/9.12,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 1118.86)",Daily,No Price Target,2025-11-11 (Avg),No Exit Yet,"2025-11-12 (Price: 1157.5), 3.45% above","86.21%, Past 6 years, 29",1.49%/1.71%,"3.45%, 8 days",13.15%/5.22%/7.5%,1202.7745 (Avg % Gain of Historic Winning trades)/1174.8 (Exit Rule)/1393.524 (F-Stack 1)/1524.2919 (F-Stack 2)/1265.9900899999998 (Backtested Best)/1177.264492 (Backtested Worst)/1202.7744999999998 (Backtested Avg),2025-12-07 (Farthest),"3.45%, 8 days","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-12 (Price: 1157.5), 3.45% above",8 days,No Information,No Information,No Information,No Information,No Information,No Information,"35.12%, 35.12%",26 days/2 days/8 days,2025-12-07/2025-11-02/2025-11-11,39.66%,24.78%,14.88%,0.1,0.78,1145.377/1202.7745/1174.8/No Horizontal Resistance/1393.524/1524.2919,No Recent Minima/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1178.64/1129.16,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
DELTADRIFT,"NFLX, Long, 2025-10-30 (Price: 1089.0)",Daily,1161.6363 (Avg % Gain of Historic Winning trades)/1161.6363 (Backtested Avg),No Date Target,2025-11-11 (Price: 1136.4399),"2025-11-12 (Price: 1157.5), 6.29% above","72.73%, Past 4 years, 11",5.8%/20.39%,"6.29%, 9 days",12.46%/2.39%/6.67%,1393.524 (F-Stack 1)/1524.2919 (F-Stack 2)/1224.6894 (Backtested Best),2025-11-16 (Farthest),"4.36%, 8 days","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-11-12 (Price: 1157.5), 6.29% above",9 days,No Information,No Information,No Information,No Information,No Information,No Information,"26.5%, 26.5%",12 days/1 days/3 days,2025-11-16/2025-10-31/2025-11-03,0.15%,13.45%,-13.3%,-0.06,0.49,1110.3444/1161.6363/1135.99/No Horizontal Resistance/1393.524/1524.2919,855.86/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1178.64/1129.16,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",Weekly,483.8736 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-12 (Price: 482.76), 2.23% above","100.0%, Past 10 years, 28",1.62%/1.62%,"2.23%, 12 days",8.64%/1.23%/3.89%,490.579 (Avg % Gain of Historic Winning trades)/546.77 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/513.008944 (Backtested Best)/490.578969 (Backtested Avg),2026-08-24 (Farthest)/2025-11-22 (Earliest)/2026-03-01 (Avg),"2.23%, 12 days","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-11-12 (Price: 482.76), 2.23% above",12 days,No Information,No Information,No Information,No Information,No Information,4.54% above/2.23% above/2.23% above,"-0.0%, 14.86%",209 days/19 days/87 days,2026-08-24/2025-11-22/2026-03-01,10.29%,9.9%,0.39%,1.56,0.44,483.8736/490.579/546.77/No Horizontal Resistance/538.1343/826.9871,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,459.87/435.91,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-10-22 (Price: 9.45)",Daily,9.592694999999999 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-12 (Price: 9.6), 1.59% above","70.27%, Past 4 years, 37",1.51%/1.51%,"1.59%, 15 days",7.56%/1.51%/3.12%,9.7448 (Avg % Gain of Historic Winning trades)/10.22 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.16442 (Backtested Best)/9.744839999999998 (Backtested Avg),2026-02-11 (Farthest)/2025-11-28 (Avg),"1.59%, 15 days","Daily, is CONFIRMED on 2025-10-22",Already confirmed,"2025-11-12 (Price: 9.6), 1.59% above",15 days,No Information,No Information,No Information,No Information,No Information,3.23% above/1.59% above/1.59% above,"7.04%, 16.17%",78 days/5 days/26 days,2026-02-11/2025-10-29/2025-11-28,5.05%,4.18%,0.87%,0.27,0.12,9.5247/9.7448/10.22/No Horizontal Resistance/11.2606/15.4512,8.95/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level,9.11/9.12,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-10-16 (Price: 298.54)",Daily,No Price Target,2025-11-12 (Earliest),No Exit Yet,"2025-11-12 (Price: 320.41), 7.33% above","100.0%, Past 5 years, 38",2.66%/7.29%,"7.33%, 19 days",47.19%/1.16%/15.15%,343.7688 (Avg % Gain of Historic Winning trades)/368.05 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/439.42102600000004 (Backtested Best)/343.76881000000003 (Backtested Avg),2028-10-26 (Farthest)/2026-08-17 (Avg),"7.33%, 19 days","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-11-12 (Price: 320.41), 7.33% above",19 days,No Information,No Information,No Information,"23.66% (Price: 290.5999), 10.26% above, Upmove Bounce Back","2025-04-07 (Price: 202.16), 2025-09-29 (Price: 318.01)",No Information,"-0.0%, 40.65%",764 days/19 days/211 days,2028-10-26/2025-11-12/2026-08-17,9.23%,24.83%,-15.6%,0.67,1.0,306.9588/343.7688/368.05/No Horizontal Resistance/328.9175/381.492,292.91/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level,307.23/276.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-12 (Price: 5.98)",Weekly,No Price Target,2025-11-15 (Earliest),No Exit Yet,"2025-11-12 (Price: 5.94), 0.67% below","90.0%, Past 10 years, 20",2.65%/7.7%,"-0.67%, 22 days",24.31%/1.96%/9.64%,6.3974 (Historic Rise or Fall to Pivot)/6.5565 (Avg % Gain of Historic Winning trades)/6.46 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.433738000000001 (Backtested Best)/6.097208000000001 (Backtested Worst)/6.556472 (Backtested Avg),2026-07-12 (Farthest)/2025-11-15 (Earliest)/2025-12-20 (Avg),"-0.67%, 22 days","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-11-12 (Price: 5.94), 0.67% below",22 days,No Information,No Information,No Information,No Information,No Information,0.67% below/0.67% below/0.67% below,"10.86%, 22.1%",189 days/24 days/48 days,2026-07-12/2025-11-15/2025-12-20,27.79%,11.28%,16.51%,0.75,0.42,6.3974/6.5565/6.46/6.825/7.4565/8.4213,5.56/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level,5.71/5.75,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,3139.7414400000002 (Backtested Worst),2025-11-08 (Farthest),No Exit Yet,"2025-11-12 (Price: 3131.8), 3.42% above","75.0%, Past 15 years, 4",1.31%/3.29%,"3.42%, 22 days",14.06%/3.68%/8.87%,3172.7499 (Historic Rise or Fall to Pivot)/3296.9102 (Avg % Gain of Historic Winning trades)/3234.83 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3454.0789800000002 (Backtested Best)/3296.91021 (Backtested Avg),No Next Date Target,"3.42%, 22 days","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-11-12 (Price: 3131.8), 3.42% above",22 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.47%, 16.73%",19 days/14 days/16 days,2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level,3035.99/3357.81,94.87%/39/40 days (Across ALL Assets),89.42%/104/49 days (Across ALL Assets)
TRENDPULSE,"NVDA, Long, 2025-10-05 (Price: 187.62)",Weekly,No Price Target,2025-11-08 (Earliest),No Exit Yet,"2025-11-12 (Price: 193.8), 3.29% above","78.12%, Past 10 years, 32",4.53%/9.79%,"3.29%, 27 days",43.5%/2.7%/13.41%,202.5733 (Historic Rise or Fall to Pivot)/212.7798 (Avg % Gain of Historic Winning trades)/289.5 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/269.23470000000003 (Backtested Best)/212.77984200000003 (Backtested Avg),2027-06-03 (Farthest)/2026-01-10 (Avg),"3.29%, 27 days","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2025-11-12 (Price: 193.8), 3.29% above",27 days,No Information,No Information,No Information,No Information,No Information,9.7% above/3.29% above/3.29% above,"26.78%, 65.96%",419 days/24 days/67 days,2027-06-03/2025-11-08/2026-01-10,13.67%,52.04%,-38.37%,0.63,1.45,202.5733/212.7798/289.5/No Horizontal Resistance/239.8943/283.6698,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,178.1/143.06,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
