"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"XLV, Long, 2025-11-12 (Price: 152.82)",No Exit Yet,"-0.53%, 4 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 152.01), 0.53% below",4 days,"2, 2025-08-19 (Price: 136.76)",2025-11-11 (Price: 150.68),2025-11-12 (Price: 152.82),5/4/4 days,0.88% above/0.53% below/0.53% below,2025-08-19 (Price: 138.084)/2025-11-12 (Price: 150.0742),3.35%/0.29%/1.59%,"7.54%, 13.97%",90 days/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706,143.98/121.6312/117.2225/81.225/No F-Track Level/No F-Track Level,142.02/139.18,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLF, Long, 2025-11-12 (Price: 53.67)",No Exit Yet,"-4.57%, 4 days","92.31%, Past 4 years, 39","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 51.215), 4.57% below",4 days,"2, 2025-09-15 (Price: 53.68)",2025-11-11 (Price: 53.21),2025-11-12 (Price: 53.67),5/4/4 days,3.75% below/4.57% below/4.57% below,2025-09-15 (Price: 54.6189)/2025-11-12 (Price: 52.9544),5.21%/1.0%/2.76%,"10.98%, 16.27%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,17.58%,9.83%,7.75%,0.38,0.36,54.7917/55.1513/53.68/No Horizontal Resistance/70.6138/110.4396,52.09/30.1167/45.9996/174.8795/No F-Track Level/No F-Track Level,53.2/51.34,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-12 (Price: 60902.3008)",No Exit Yet,"-0.13%, 4 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 60822.0), 0.13% below",4 days,"4, 2025-07-28 (Price: 57519.3516)",2025-11-11 (Price: 60427.0),2025-11-12 (Price: 60902.3008),5/4/4 days,0.65% above/0.13% below/0.13% below,2025-07-28 (Price: 57650.8064)/2025-11-12 (Price: 60401.0025),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-22/2025-11-17/2025-12-05,15.67%,23.17%,-7.5%,0.55,1.11,63082.6032/62504.0313/62932.07/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58575.85/55821.15,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GS, Long, 2025-11-12 (Price: 838.97)",No Exit Yet,"-8.43%, 4 days","75.86%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 768.249), 8.43% below",4 days,"2, 2025-09-23 (Price: 806.32)",2025-11-11 (Price: 810.31),2025-11-12 (Price: 838.97),5/4/4 days,5.19% below/8.43% below/8.43% below,2025-09-23 (Price: 825.25)/2025-11-12 (Price: 801.1033),15.23%/0.89%/4.44%,"15.57%, 33.99%",65 days/5 days/21 days,2026-02-14/2025-11-19/2025-12-12,-6.28%,23.3%,-29.58%,-0.08,0.8,865.3137/876.2203/858.56/No Horizontal Resistance/931.1482/1236.8362,744.6/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level,782.75/667.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",No Exit Yet,"-8.45%, 4 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 11.6), 8.45% below",4 days,"2, 2025-09-12 (Price: 12.48)",2025-11-11 (Price: 12.6),2025-11-12 (Price: 12.67),5/4/4 days,7.94% below/8.45% below/8.45% below,2025-09-12 (Price: 12.8255)/2025-11-12 (Price: 12.4227),9.48%/0.89%/3.92%,"10.91%, 28.9%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,29.91%,15.95%,13.96%,0.82,0.6,13.1743/13.1667/12.78/No Horizontal Resistance/18.927/29.733,12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level,12.34/11.29,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",2025-11-17 (Price: 3102.2),"1.81%, 4 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 3087.1001), 1.32% above",5 days,"0, 2024-01-15 (Price: 3903.8)",2025-11-07 (Price: 2991.8),2025-11-11 (Price: 3047.0),7/5/5 days,3.19% above/1.32% above/1.32% above,2024-01-15 (Price: 5919.3469)/2025-11-11 (Price: 2966.7959),13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",2025-11-17 (Price: 61180.5),"1.25%, 4 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 60822.0), 0.65% above",5 days,"6, 2025-06-05 (Price: 58303.0)",2025-11-07 (Price: 59843.1484),2025-11-11 (Price: 60427.0),7/5/5 days,1.64% above/0.65% above/0.65% above,2025-06-05 (Price: 59998.3505)/2025-11-11 (Price: 58902.0756),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"INDA, Long, 2025-11-11 (Price: 54.74)",No Exit Yet,"-0.52%, 5 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 54.455), 0.52% below",5 days,"0, 2024-01-26 (Price: 49.19)",2025-11-07 (Price: 53.75),2025-11-11 (Price: 54.74),7/5/5 days,1.31% above/0.52% below/0.52% below,2024-01-26 (Price: 60.4616)/2025-11-11 (Price: 53.8796),3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,2025-12-17/2025-11-16/2025-12-01,6.14%,7.37%,-1.22%,0.22,0.26,55.3586/55.7198/58.07/55.3633/66.8401/79.771,53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level,53.48/52.74,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"RHHBY, Long, 2025-11-11 (Price: 45.43)",No Exit Yet,"6.49%, 5 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 48.38), 6.49% above",5 days,"0, 2024-01-26 (Price: 35.64)",2025-11-07 (Price: 41.96),2025-11-11 (Price: 45.43),7/5/5 days,15.3% above/6.49% above/6.49% above,2024-01-26 (Price: 47.2455)/2025-11-11 (Price: 42.5942),10.73%/0.36%/4.2%,"8.73%, 19.35%",45 days/4 days/11 days,2026-01-15/2025-11-16/2025-11-26,30.23%,1.45%,28.78%,0.66,0.0,46.5703/47.3381/51.3/52.46/58.6089/65.2057,40.15/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level,42.64/40.9,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-09 (Price: 367.15)",No Exit Yet,"1.28%, 6 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-18 (Price: 371.85), 1.28% above",6 days,"0, 2021-07-18 (Price: 224.0)",2025-11-02 (Price: 356.8),2025-11-07 (Price: 367.15),11/7/6 days,4.22% above/1.28% above/1.28% above,2021-07-18 (Price: 448.87)/2025-11-09 (Price: 351.2762),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-19/2025-12-06/2026-02-05,12.02%,12.45%,-0.44%,0.38,0.44,385.3239/409.2254/453.04/No Horizontal Resistance/372.4081/393.108,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level,334.31/308.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-09 (Price: 83.75)",No Exit Yet,"-1.28%, 6 days","93.94%, Past 10 years, 33","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-18 (Price: 82.675), 1.28% below",6 days,"6, 2024-06-23 (Price: 85.96)",2025-11-09 (Price: 83.75),2025-11-09 (Price: 83.75),6/6/6 days,1.28% below/1.28% below/1.28% below,2024-06-23 (Price: 99.5)/2025-11-09 (Price: 77.9),23.9%/1.55%/9.36%,"6.63%, 46.57%",259 days/24 days/49 days,2026-11-19/2025-12-13/2026-01-18,20.93%,17.49%,3.44%,1.4,0.68,88.8671/91.589/85.08/84.3925/95.0177/123.2166,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.48/74.69,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"XLE, Long, 2025-11-07 (Price: 89.54)",2025-11-14 (Price: 92.02),"2.77%, 5 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-18 (Price: 90.02), 0.54% above",7 days,"2, 2025-09-18 (Price: 89.71)",2025-11-06 (Price: 88.27),2025-11-07 (Price: 89.54),8/7/7 days,1.98% above/0.54% above/0.54% above,2025-09-18 (Price: 93.9679)/2025-11-07 (Price: 87.6205),7.08%/0.4%/4.15%,"17.64%, 40.87%",85 days/4 days/18 days,2026-03-10/2025-11-12/2025-12-03,35.75%,6.1%,29.65%,0.6,0.24,92.2889/93.2559/89.64/98.445/108.2743/117.7423,87.19/45.695/89.0231/74.9996/No F-Track Level/No F-Track Level,88.4/86.85,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-06 (Price: 21.25)",2025-11-13 (Price: 23.8),"12.0%, 5 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-18 (Price: 21.395), 0.68% above",8 days,"2, 2025-09-17 (Price: 22.84)",2025-11-05 (Price: 20.08),2025-11-06 (Price: 21.25),9/8/8 days,6.55% above/0.68% above/0.68% above,2025-09-17 (Price: 23.7839)/2025-11-06 (Price: 19.8392),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-25/2025-11-11/2025-12-10,43.3%,-10.85%,54.15%,0.48,0.14,22.4145/23.9572/22.2/57.19/81.0416/101.3843,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,20.17/15.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PPH, Long, 2025-11-06 (Price: 94.3)",2025-11-14 (Price: 98.86),"4.84%, 6 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-18 (Price: 98.89), 4.87% above",8 days,"2, 2025-09-17 (Price: 88.58)",2025-11-04 (Price: 92.75),2025-11-06 (Price: 94.3),10/8/8 days,6.62% above/4.87% above/4.87% above,2025-09-17 (Price: 96.444)/2025-11-06 (Price: 91.692),5.58%/0.68%/1.93%,"8.41%, 20.52%",87 days/4 days/29 days,2026-03-12/2025-11-11/2025-12-18,12.0%,7.54%,4.46%,0.55,0.28,95.3656/96.12/97.73/No Horizontal Resistance/100.0174/110.0139,90.97/65.915/87.7591/70.617/No F-Track Level/No F-Track Level,90.83/88.83,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MAR, Long, 2025-11-05 (Price: 283.07)",2025-11-13 (Price: 287.43),"1.54%, 6 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-18 (Price: 284.29), 0.43% above",9 days,"6, 2025-06-03 (Price: 264.4)",2025-11-04 (Price: 272.24),2025-11-05 (Price: 283.07),10/9/9 days,4.43% above/0.43% above/0.43% above,2025-06-03 (Price: 288.1148)/2025-11-05 (Price: 269.259),20.78%/1.46%/5.76%,"-0.0%, 12.09%",62 days/4 days/17 days,2026-02-02/2025-11-10/2025-11-29,113.25%,11.5%,101.74%,0.99,0.41,295.7232/299.3748/294.27/No Horizontal Resistance/372.972/399.3723,260.58/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level,265.96/263.4,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",2025-11-17 (Price: 12.65),"6.75%, 9 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-18 (Price: 12.6), 6.33% above",10 days,"0, 2024-01-18 (Price: 10.61)",2025-11-03 (Price: 11.85),2025-11-04 (Price: 11.85),11/10/10 days,6.33% above/6.33% above/6.33% above,2024-01-18 (Price: 14.7018)/2025-11-04 (Price: 11.6135),8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
