Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,3.02%/4.57%,"11.91%, 9.9 months","2026-01-29 (Price: 38.7), 11.91% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 20.33% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-31 (Price: 36.5)",Monthly,No Exit Yet,38.8663 (Horizontal),No Date Target,5.76%/13.78%,"6.03%, 8.1 months","2026-01-29 (Price: 38.7), 6.03% above",45.4936 (Historic Rise or Fall to Pivot)/44.2782 (Avg % Gain of Historic Winning trades)/55.32 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.7965 (Backtested Max)/44.0336 (Backtested Min),2034-07-20 (Max)/2030-02-14 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 24 years, 7",33.05,No Information,No Information,No Information,"23.66% (Price: 32.0779), 20.64% above, Upmove Bounce Back","2016-11-30 (Price: 8.13), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
BAND MATRIX,"FPH.NZ, Long, 2025-02-23 (Price: 35.1)",Weekly,No Exit Yet,39.0375 (Horizontal),No Date Target,5.76%/11.6%,"10.26%, 11.3 months","2026-01-29 (Price: 38.7), 10.26% above",50.6669 (Avg % Gain of Historic Winning trades)/43.19 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/61.3337 (Backtested Max)/44.3278 (Backtested Min),2030-07-28 (Max)/2026-09-19 (Min)/2028-02-23 (Avg),23.8/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",35.9,No Information,No Information,No Information,No Information,No Information,No Information,74.74%/26.29%/44.35%,"-0.0%, 48.79%",3.8 years/1.1 year/2.1 years,13.14%,12.4%,0.74%,1.4,0.68,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-05 (Price: 9.39)",Daily,No Exit Yet,No Price Target,2026-01-30 (Min),2.18%/8.05%,"-1.06%, 1.8 month","2026-01-29 (Price: 9.29), 1.06% below",10.0379 (Avg % Gain of Historic Winning trades)/10.1 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.5196 (Backtested Max)/9.4924 (Backtested Min),2030-01-25 (Max)/2026-01-30 (Min)/2027-03-27 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",9.5,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.65% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-04 (Price: 9.5)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),3.03%/3.37%,"-2.21%, 1.9 month","2026-01-29 (Price: 9.29), 2.21% below",9.5713 (Historic Rise or Fall to Pivot)/10.1555 (Avg % Gain of Historic Winning trades)/10.21 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6429 (Backtested Max)/9.6035 (Backtested Min),2030-01-24 (Max)/2027-03-26 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",9.45,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.65% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),2.27%/2.45%,"-0.75%, 10 days","2026-01-29 (Price: 9.29), 0.75% below",9.5172 (Historic Rise or Fall to Pivot)/9.6595 (Avg % Gain of Historic Winning trades)/9.58 (Function Specific Target)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max)/9.5013 (Backtested Min),2026-06-28 (Max)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",9.34,No Information,No Information,No Information,No Information,No Information,0.75% below/0.75% below/0.75% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-12-12 (Price: 499.52)",Daily,No Exit Yet,No Price Target,2026-01-28 (Min),8.7%/10.27%,"-4.55%, 1.6 month","2026-01-29 (Price: 476.79), 4.55% below",518.252 (Historic Rise or Fall to Pivot)/540.5805 (Avg % Gain of Historic Winning trades)/525.74 (Function Specific Target)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/561.0609 (Backtested Max),2027-12-10 (Max)/2026-06-21 (Avg),490.43/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/494.97,"87.5%, Past 5 years, 16",496.71,No Information,No Information,No Information,"38.2% (Price: 500.1566), 4.67% below, Upmove Bounce Back","2025-11-03 (Price: 473.15), 2025-11-28 (Price: 516.85)",No Information,12.32%/0.4%/8.22%,"1.62%, 25.23%",1.4 year/1.1 month/4.4 months,18.11%,11.63%,6.48%,1.04,0.83,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),2.84%/3.66%,"-1.38%, 3 days","2026-01-29 (Price: 476.79), 1.38% below",501.8902 (Historic Rise or Fall to Pivot)/494.2514 (Avg % Gain of Historic Winning trades)/498.07 (Function Specific Target)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/494.97 (EMA 200)/501.8419 (Backtested Max)/490.3353 (Backtested Min),2026-03-27 (Max)/2026-02-10 (Avg),478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 4 years, 12",478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,4.18%,10.92%,-6.74%,0.08,0.77,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2026-01-23 (Price: 177.16)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),10.3%/15.35%,"-4.6%, 6 days","2026-01-29 (Price: 169.01), 4.6% below",186.4255 (Historic Rise or Fall to Pivot)/205.169 (Avg % Gain of Historic Winning trades)/313.28 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/219.45 (EMA 200)/260.8327 (Backtested Max)/194.9469 (Backtested Min),2028-05-06 (Max)/2026-08-02 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 23",172.62,No Information,No Information,No Information,"78.6% (Price: 167.408), 0.96% above, Upmove Bounce Back","2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",No Information,47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,57.24%,18.71%,38.53%,1.43,0.86,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",Daily,No Exit Yet,No Price Target,2026-01-27 (Max),95.68%/105.42%,"-48.52%, 4.7 months","2026-01-29 (Price: 169.01), 48.52% below",363.5926 (Historic Rise or Fall to Pivot)/347.1761 (Avg % Gain of Historic Winning trades)/379.2 (Function Specific Target)/376.1425 (F-Stack 2)/373.0485 (Backtested Max)/330.7268 (Backtested Min),No Next Date Target,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/184.4,"100.0%, Past 4 years, 17",319.19,No Information,No Information,No Information,No Information,No Information,30.02% below/48.52% below/48.52% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,315.3665 (Historic Rise or Fall to Pivot),No Date Target,1.85%/3.56%,"2.15%, 21 days","2026-01-29 (Price: 315.51), 2.15% above",329.9147 (Avg % Gain of Historic Winning trades)/326.73 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.39,"93.75%, Past 5 years, 16",303.44,No Information,No Information,No Information,"61.8% (Price: 303.4045), 3.99% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),1.85%/3.16%,"1.38%, 1.8 month","2026-01-29 (Price: 315.51), 1.38% above",333.7008 (Historic Rise or Fall to Pivot)/325.7333 (Avg % Gain of Historic Winning trades)/325.49 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-06-24 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 17",309.48,No Information,No Information,No Information,No Information,No Information,1.38% above/1.38% above/1.38% above,10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,9.08%,6.77%,2.31%,1.49,0.4,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),3.39%/4.0%,"-1.36%, 7 days","2026-01-29 (Price: 163.68), 1.36% below",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/148.77,"91.67%, Past 4 years, 12",167.19,No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-01-29 (Price: 163.68) (Today),No Price Target,No Date Target,15.26%/22.88%,"31.54%, 11.3 months","2026-01-29 (Price: 163.68), 31.54% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",Daily,2026-01-27 (Price: 186.36),No Price Target,No Date Target,10.48%/13.75%,"-8.32%, 17 days","2026-01-29 (Price: 185.27), 8.32% below",210.7492 (Historic Rise or Fall to Pivot)/220.3278 (Avg % Gain of Historic Winning trades)/223.5 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/225.8042 (Backtested Max)/204.6868 (Backtested Min),2027-01-07 (Max)/2026-02-09 (Min)/2026-05-22 (Avg),198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.36,"85.19%, Past 5 years, 27",199.44,No Information,No Information,No Information,"23.66% (Price: 201.5134), 8.06% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),6.28%/6.63%,"-3.62%, 6 days","2026-01-29 (Price: 185.27), 3.62% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.36,"80.0%, Past 4 years, 5",193.26,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-29 (Price: 43.33) (Today),No Price Target,No Date Target,4.21%/10.43%,"9.9%, 10.1 months","2026-01-29 (Price: 43.33), 9.9% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.18% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
