"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IWM, Long, 2026-01-27 (Price: 263.425)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-01-27 (Price: 263.425), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-01-27 (Price: 263.425),27/0/0 days,7.01% above/0.0% below/0.0% below,2021-09-30 (Price: 244.4167)/2026-01-27 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-02 (Max),3.33%,4.39%,-1.06%,0.87,0.2,242.4827/322.6429/290.23/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/230.1,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),247.63
"NZDCAD=X, Long, 2026-01-27 (Price: 0.818)",No Exit Yet,"0.0%, 0 days","79.17%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 0.8165 prior to 2026-01-30,"2026-01-27 (Price: 0.818), 0.0% below",0 days,"2, 2025-05-25 (Price: 0.8171)",2026-01-25 (Price: 0.8154),2026-01-27 (Price: 0.818),2/0/0 days,0.32% above/0.0% below/0.0% below,2025-05-25 (Price: 0.8367)/2026-01-27 (Price: 0.8024),4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-03-28/2026-03-08/2026-09-05,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8241/0.8406/0.82/0.8902/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,0.79/0.7798/No F-Stack Support/No F-Stack Support/No support/0.817/0.81,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),0.8165
"PPH, Long, 2026-01-27 (Price: 107.9194)",No Exit Yet,"0.0%, 0 days","85.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 103.4 prior to 2026-01-30,"2026-01-27 (Price: 107.9194), 0.0% below",0 days,"0, 2021-01-31 (Price: 68.14)",2025-12-31 (Price: 103.17),2026-01-27 (Price: 107.9194),27/0/0 days,4.6% above/0.0% below/0.0% below,2021-01-31 (Price: 78.5883)/2026-01-27 (Price: 98.4383),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-05-09/2026-09-01/2027-12-05,1.56%,1.67%,-0.11%,1.06,-0.07,119.9524/118.3444/131.79/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,82.93/71.642/102.4808/84.9957/100.7624/96.3641/92.02,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),103.4
"BDGI.TO, Long, 2026-01-27 (Price: 77.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 73.2 prior to 2026-03-31,"2026-01-27 (Price: 77.68), 0.0% below",0 days,"0, 2018-09-30 (Price: 29.6)",2025-09-30 (Price: 61.38),2026-01-27 (Price: 77.68),119/0/0 days,26.56% above/0.0% below/0.0% below,2018-09-30 (Price: 49.1411)/2026-01-27 (Price: 52.3578),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-08-22/2027-12-05/2028-05-10,16.49%,8.5%,7.99%,0.7,0.42,160.2305/201.0591/106.53/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/70.9884/63.8711/58.95,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),73.2
"META, Long, 2026-01-26 (Price: 672.36)",No Exit Yet,"-0.05%, 1 day","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 672.0), 0.05% below",1 day,"6, 2025-08-20 (Price: 747.72)",2026-01-23 (Price: 658.76),2026-01-26 (Price: 672.36),4/1/1 days,2.01% above/0.05% below/0.05% below,2025-08-20 (Price: 831.4587)/2026-01-26 (Price: 645.964),7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,2026-08-09/2026-02-06/2026-03-09,19.23%,15.29%,3.94%,0.63,0.7,738.1168/697.3046/717.58/No Horizontal Resistance/842.484/1305.5879/678.46,604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),665.13
"MSFT, Long, 2026-01-26 (Price: 470.28)",No Exit Yet,"1.6%, 1 day","87.5%, Past 4 years, 32","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 477.81), 1.6% above",1 day,"4, 2025-10-10 (Price: 510.96)",2026-01-26 (Price: 470.28),2026-01-26 (Price: 470.28),1/1/1 days,1.6% above/1.6% above/1.6% above,2025-10-10 (Price: 571.5916)/2026-01-26 (Price: 464.3619),10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,2026-07-14/2026-02-03/2026-03-04,13.15%,14.47%,-1.32%,0.53,0.76,486.3636/484.9057/494.69/554.585/553.3726/615.9924/484.55,444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),465.31
"CVS, Long, 2026-01-26 (Price: 83.87)",No Exit Yet,"-11.29%, 1 day","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 74.405), 11.29% below",1 day,"2, 2025-11-21 (Price: 78.03)",2026-01-23 (Price: 83.01),2026-01-26 (Price: 83.87),4/1/1 days,10.37% below/11.29% below/11.29% below,2025-11-21 (Price: 80.8069)/2026-01-26 (Price: 82.1012),8.82%/1.81%/5.43%,"17.9%, 26.0%",3.3 months/6 days/24 days,2026-06-18/2026-02-03/2026-03-01,17.78%,0.86%,16.92%,0.7,0.05,88.6925/88.4241/87.37/106.045/116.3721/144.3517/No EMA 200 Target,78.6/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/71.96,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),83.25
"USO, Long, 2026-01-26 (Price: 73.48)",No Exit Yet,"1.07%, 1 day","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 74.265), 1.07% above",1 day,"8, 2025-05-23 (Price: 67.99)",2026-01-22 (Price: 71.82),2026-01-26 (Price: 73.48),5/1/1 days,3.4% above/1.07% above/1.07% above,2025-05-23 (Price: 84.8805)/2026-01-26 (Price: 71.8645),7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),73.36
"ORCL, Long, 2026-01-26 (Price: 182.44)",No Exit Yet,"-3.41%, 1 day","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 176.21), 3.41% below",1 day,"4, 2025-09-08 (Price: 238.48)",2026-01-23 (Price: 177.16),2026-01-26 (Price: 182.44),4/1/1 days,0.54% below/3.41% below/3.41% below,2025-09-08 (Price: 359.5846)/2026-01-26 (Price: 174.5589),13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,2026-06-14/2026-02-03/2026-03-19,20.9%,16.31%,4.59%,1.07,0.75,202.0341/192.9121/216.06/No Horizontal Resistance/300.069/376.1425/218.9,173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),179.1
"WPM.TO, Long, 2026-01-25 (Price: 200.26)",No Exit Yet,"-0.93%, 2 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 198.39), 0.93% below",2 days,"2, 2025-04-20 (Price: 116.36)",2026-01-18 (Price: 188.28),2026-01-25 (Price: 200.26),9/2/2 days,5.37% above/0.93% below/0.93% below,2025-04-20 (Price: 118.6857)/2026-01-25 (Price: 182.0196),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-08-04/2026-03-18/2026-05-17,3.49%,6.66%,-3.17%,0.68,0.35,213.0366/222.6691/250.6/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),191.85
"EEM, Long, 2026-01-25 (Price: 59.07)",No Exit Yet,"1.73%, 2 days","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 60.09), 1.73% above",2 days,"2, 2024-12-01 (Price: 43.26)",2026-01-25 (Price: 59.07),2026-01-25 (Price: 59.07),2/2/2 days,1.73% above/1.73% above/1.73% above,2024-12-01 (Price: 43.422)/2026-01-25 (Price: 57.8607),11.23%/1.19%/3.84%,"20.12%, 35.1%",1.4 year/28 days/3.4 months,2028-01-23/2026-03-06/2026-06-21,3.49%,0.73%,2.76%,0.51,-0.08,61.1906/61.3383/68.56/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,40.58/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.68,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),57.35
"WPM, Long, 2026-01-25 (Price: 146.16)",No Exit Yet,"-0.23%, 2 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 145.83), 0.23% below",2 days,"2, 2025-04-20 (Price: 84.01)",2026-01-18 (Price: 135.35),2026-01-25 (Price: 146.16),9/2/2 days,7.74% above/0.23% below/0.23% below,2025-04-20 (Price: 86.9662)/2026-01-25 (Price: 129.3304),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-05-26/2026-03-06/2026-04-04,5.32%,5.11%,0.21%,0.63,0.29,157.9843/161.2729/183.45/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/99.6,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),140.0
"EFA, Long, 2026-01-25 (Price: 99.97)",No Exit Yet,"1.7%, 2 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 101.665), 1.7% above",2 days,"2, 2025-08-10 (Price: 90.37)",2026-01-25 (Price: 99.97),2026-01-25 (Price: 99.97),2/2/2 days,1.7% above/1.7% above/1.7% above,2025-08-10 (Price: 93.1129)/2026-01-25 (Price: 98.8775),7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-03/2026-03-18/2026-06-08,2.99%,2.36%,0.63%,0.4,0.03,103.1291/103.6289/105.73/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.02/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/91.35,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),98.0
"DBC, Long, 2026-01-23 (Price: 24.18)",No Exit Yet,"0.5%, 4 days","75.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 24.3), 0.5% above",4 days,"8, 2025-06-27 (Price: 21.8)",2026-01-22 (Price: 23.74),2026-01-23 (Price: 24.18),5/4/4 days,2.36% above/0.5% above/0.5% above,2025-06-27 (Price: 22.3146)/2026-01-23 (Price: 23.7352),5.33%/0.57%/2.1%,"7.94%, 13.15%",3.3 months/6 days/22 days,2026-06-15/2026-01-31/2026-02-23,5.64%,4.38%,1.26%,0.13,0.2,24.8546/24.6878/25.61/28.58/60.6441/65.878/No EMA 200 Target,22.36/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.23,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),24.05
