Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-02-01 (Price: 181364.0)",No Exit Yet,"0.79%, 2 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 182793.4062), 0.79% above",2 days,178859.0,No Information,No Information,No Information,No Information,No Information,2.2% above/0.79% above/0.79% above,10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-28/2026-03-13/2026-06-28,7.52%,4.03%,3.49%,2.1,0.18,189779.2896/191538.5204/207488.0/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-01 (Price: 60.68)",No Exit Yet,"0.51%, 2 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 60.99), 0.51% above",2 days,59.3,No Information,No Information,No Information,No Information,No Information,0.51% above/0.51% above/0.51% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-11/2026-03-25/2026-06-28,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2026-02-01 (Price: 141.95)",No Exit Yet,"0.66%, 2 days","96.43%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 142.89), 0.66% above",2 days,135.88,No Information,No Information,No Information,No Information,No Information,0.66% above/0.66% above/0.66% above,26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-19/2026-03-25/2026-08-15,13.74%,9.41%,4.33%,1.53,0.5,155.1088/163.427/162.7/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,112.1/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/115.72,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"NZDCAD=X, Long, 2026-02-01 (Price: 0.8195)",No Exit Yet,"0.61%, 2 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-03 (Price: 0.8245), 0.61% above",2 days,0.8165,No Information,No Information,No Information,No Information,No Information,0.61% above/0.61% above/0.61% above,4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-04-02/2026-03-13/2026-09-10,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8256/0.8421/0.85/0.8902/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-02-01 (Price: 91.3)",No Exit Yet,"4.73%, 2 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 95.62), 4.73% above",2 days,88.65,No Information,No Information,No Information,No Information,No Information,4.73% above/4.73% above/4.73% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-07-07/2026-03-25/2026-05-24,13.27%,11.85%,1.42%,0.6,0.66,101.4343/98.4853/101.98/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/79.76,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"2.09%, 2 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-03 (Price: 948.7), 2.09% above",2 days,906.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/977.59,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"^DJI, Long, 2026-01-31 (Price: 48892.4688)",No Exit Yet,"1.05%, 3 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 49407.6602), 1.05% above",3 days,48105.9805,No Information,No Information,No Information,No Information,No Information,1.05% above/1.05% above/1.05% above,15.24%/4.84%/10.4%,"2.61%, 11.83%",1.2 year/5 months/9.6 months,2027-10-18/2026-09-05/2027-03-24,7.0%,4.25%,2.75%,1.41,0.19,56299.6778/53977.2856/60238.38/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,40669.36/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/45320.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2026-01-31 (Price: 101.8)",No Exit Yet,"0.98%, 3 days","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 102.8), 0.98% above",3 days,101.58,No Information,No Information,No Information,No Information,No Information,6.04% above/0.98% above/0.98% above,24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-28/2026-10-18/2027-10-18,1.95%,4.3%,-2.35%,0.65,0.19,107.1343/115.5837/120.84/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,56.15/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/85.08,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2026-01-31 (Price: 70.78)",No Exit Yet,"0.62%, 3 days","90.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 71.22), 0.62% above",3 days,68.01,No Information,No Information,No Information,No Information,No Information,7.11% above/0.62% above/0.62% above,15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-17/2026-07-26/2028-01-29,1.22%,0.78%,0.44%,0.41,-0.09,75.7134/75.5647/82.56/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/63.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2026-01-31 (Price: 330.56)",No Exit Yet,"3.27%, 3 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 341.36), 3.27% above",3 days,311.98,No Information,No Information,No Information,No Information,No Information,12.33% above/3.27% above/3.27% above,62.44%/8.11%/32.4%,"-0.0%, 49.81%",1 year/5 months/8.7 months,2027-07-06/2026-09-05/2027-02-13,9.53%,10.44%,-0.91%,1.24,0.51,443.2479/437.6614/429.42/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/254.82,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-31 (Price: 181364.0)",No Exit Yet,"0.79%, 3 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 182793.4062), 0.79% above",3 days,161124.0,No Information,No Information,No Information,No Information,No Information,14.91% above/0.79% above/0.79% above,14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-17/2027-01-17/2028-10-17,6.15%,6.78%,-0.63%,0.48,0.36,200661.1296/198502.898/224160.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,120283.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"1.17%, 3 days","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 946.33), 1.17% above",3 days,884.0,No Information,No Information,No Information,No Information,No Information,7.66% above/1.17% above/1.17% above,53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-26/2026-07-23/2027-08-27,10.95%,5.86%,5.09%,1.01,0.3,1127.169/1204.8081/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2026-01-31 (Price: 106.81)",No Exit Yet,"1.24%, 3 days","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-02 (Price: 108.13), 1.24% above",3 days,103.4,No Information,No Information,No Information,No Information,No Information,4.81% above/1.24% above/1.24% above,15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-05-13/2026-09-05/2027-12-09,1.56%,1.67%,-0.11%,1.06,-0.07,118.7193/117.1278/130.01/No Horizontal Resistance/110.0139/120.2747/No EMA 200 Target,82.93/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/92.38,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-7.4%, 3 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-03 (Price: 104.45), 7.4% below",3 days,113.44,No Information,No Information,No Information,"50% (Price: 102.395), 2.01% above, Upmove Bounce Back","2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",No Information,30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/No EMA 200 Target,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/112.1,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-0.98%, 3 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-03 (Price: 1.3671), 0.98% below",3 days,1.3475,No Information,No Information,No Information,"23.66% (Price: 1.271), 7.56% above, Upmove Bounce Back","2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",No Information,3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.61%, 3 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-03 (Price: 0.8245), 0.61% above",3 days,0.7896,No Information,No Information,No Information,"78.6% (Price: 0.8038), 2.58% above, Upmove Bounce Back","2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",No Information,20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-0.84%, 3 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-03 (Price: 58.93), 0.84% below",3 days,51.61,No Information,No Information,No Information,"78.6% (Price: 43.8439), 34.41% above, Upmove Bounce Back","2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",No Information,42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.84,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"0.51%, 3 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 60.99), 0.51% above",3 days,60.11,No Information,No Information,No Information,No Information,No Information,0.51% above/0.51% above/0.51% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-06-18/2026-02-04/2026-03-10,13.01%,4.6%,8.41%,1.21,0.22,66.2929/62.5307/79.98/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",No Exit Yet,"0.94%, 3 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 153.19), 0.94% above",3 days,150.43,No Information,No Information,No Information,No Information,No Information,2.19% above/0.94% above/0.94% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-22/2026-02-07/2026-03-23,9.71%,2.06%,7.65%,0.36,0.03,153.3939/154.8054/153.98/179.4533/186.6499/209.3631/154.01,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"JPY=X, Long, 2026-01-30 (Price: 153.162)",No Exit Yet,"1.8%, 4 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-03 (Price: 155.915), 1.8% above",4 days,153.147,No Information,No Information,No Information,"38.2% (Price: 154.3876), 0.99% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2026-01-14 (Price: 159.438)",No Information,10.95%/0.93%/6.13%,"-0.0%, 9.9%",1.4 year/21 days/5.2 months,2028-01-28/2026-03-01/2026-09-12,12.61%,5.88%,6.73%,0.82,0.44,154.4026/162.5508/161.09/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/149.95,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2026-01-30 (Price: 27.95)",No Exit Yet,"3.51%, 3 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 28.93), 3.51% above",3 days,28.23,No Information,No Information,No Information,"23.66% (Price: 28.1822), 2.65% above, Upmove Bounce Back","2025-11-20 (Price: 23.64), 2026-01-09 (Price: 29.59)",No Information,14.21%/6.23%/11.39%,"-0.0%, 40.54%",3.2 years/3.2 months/1.3 year,2030-08-25/2026-06-18/2027-12-08,15.27%,1.91%,13.36%,2.44,0.11,29.9233/31.1335/31.52/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,27.69/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/24.88,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
