Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"SONY, Long, 2025-11-24 (Price: 29.01)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),3.88%/5.9%,"-0.79%, 5 days","2025-12-01 (Price: 28.78), 0.79% below",29.8977 (Historic Rise or Fall to Pivot)/31.4584 (Avg % Gain of Historic Winning trades)/34.81 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/34.1535 (Backtested Best)/30.4779 (Backtested Worst),2026-02-18 (Max)/2025-12-22 (Avg),No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.37,"85.71%, Past 6 years, 35",No Information,No Information,No Information,No Information,No Information,No Information,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,38.36%,14.31%,24.05%,0.28,0.52,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-11-24 (Price: 175.83)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),5.61%/5.66%,"-1.54%, 5 days","2025-12-01 (Price: 173.12), 1.54% below",182.9159 (Historic Rise or Fall to Pivot)/184.305 (Avg % Gain of Historic Winning trades)/192.91 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/182.84 (Moving Avg)/194.5207 (Backtested Best),2026-03-06 (Max)/2025-12-22 (Avg),170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.29%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,1.8% below/1.54% below/1.54% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,7.29%,9.5%,-2.21%,0.1,0.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",Weekly,No Exit Yet,47.7036 (Historic Rise or Fall to Pivot),No Date Target,0.22%/6.36%,"1.19%, 8 days","2025-12-01 (Price: 47.67), 1.19% above",50.6998 (Avg % Gain of Historic Winning trades)/63.28 (Exit Rule)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/56.1127 (Backtested Best)/47.7743 (Backtested Worst),2026-05-28 (Max)/2025-12-20 (Min)/2026-01-27 (Avg),41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,"70.0%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,7.36% above/0.23% above/1.19% above,19.11%/1.41%/7.62%,"22.31%, 71.02%",4.3 months/19 days/1.5 month,1.12%,5.6%,-4.49%,0.03,0.24,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",Daily,2025-11-27 (Price: 91285.375),No Price Target,No Date Target,5.43%/5.47%,"-0.41%, 8 days","2025-12-01 (Price: 86448.4688), 0.41% below",93870.9354 (Avg % Gain of Historic Winning trades)/91145.26 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109644.24 (Moving Avg)/103341.3618 (Backtested Best)/91179.9802 (Backtested Worst),2026-01-05 (Max)/2025-12-04 (Avg),No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,"84.21%, Past 6 years, 57",No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,54.01%,49.41%,4.61%,0.19,0.92,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",Weekly,No Exit Yet,1.3229 (Backtested Worst),No Date Target,0.45%/3.63%,"1.19%, 4 days","2025-11-30 (Price: 1.3241), 1.19% above",1.3721 (Avg % Gain of Historic Winning trades)/1.41 (Exit Rule)/1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.33 (Moving Avg)/1.4565 (Backtested Best),2028-10-28 (Max)/2026-07-25 (Min)/2027-09-13 (Avg),1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"100.0%, Past 20 years, 26",No Information,No Information,No Information,"38.2% (Price: 1.3144), 0.74% above, Upmove Bounce Back","2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",No Information,11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.1 years/5.6 months/1.3 year,2.57%,-1.36%,3.93%,0.24,-0.57,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2025-11-21 (Price: 36.56)",Daily,2025-11-28 (Price: 37.84),37.8213 (Avg % Gain of Historic Winning trades),No Date Target,3.5%/6.7%,"3.12%, 10 days","2025-12-01 (Price: 37.7), 3.12% above",39.02 (Exit Rule)/72.5033 (Horizontal)/40.28 (Moving Avg)/40.227 (Backtested Best),2026-04-29 (Max)/2026-01-04 (Avg),33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,7.84% above/3.12% above/3.12% above,10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,28.2%,-6.94%,35.14%,1.34,-0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",Daily,No Exit Yet,14.2137 (Historic Rise or Fall to Pivot),No Date Target,8.86%/14.37%,"2.46%, 11 days","2025-12-01 (Price: 14.18), 2.46% above",15.4358 (Avg % Gain of Historic Winning trades)/16.93 (Exit Rule)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/17.5547 (Backtested Best),2030-04-02 (Max)/2026-01-09 (Min)/2026-11-21 (Avg),13.67/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.76,"91.67%, Past 5 years, 24",No Information,No Information,No Information,"23.66% (Price: 13.6615), 3.8% above, Upmove Bounce Back","2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",No Information,26.84%/1.54%/11.53%,"4.41%, 43.52%",3.1 years/1.2 month/8.4 months,8.14%,11.02%,-2.89%,0.53,0.42,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-18 (Price: 401.25)",Daily,No Exit Yet,431.6648 (Backtested Worst),No Date Target,13.95%/18.08%,"7.2%, 13 days","2025-12-01 (Price: 430.14), 7.2% above",507.9023 (Avg % Gain of Historic Winning trades)/557.14 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/681.5632 (Backtested Best),2028-02-21 (Max)/2025-12-24 (Min)/2026-09-02 (Avg),320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/340.79,"100.0%, Past 5 years, 34",No Information,No Information,No Information,"38.2% (Price: 374.8188), 14.76% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",No Information,69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year/25 days/6.6 months,21.17%,25.99%,-4.83%,0.4,0.79,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"BYD.TO, Long, 2025-11-13 (Price: 224.5)",Daily,No Exit Yet,235.725 (Backtested Worst),No Date Target,1.29%/5.66%,"4.93%, 18 days","2025-12-01 (Price: 235.57), 4.93% above",238.5986 (Avg % Gain of Historic Winning trades)/253.68 (Exit Rule)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/248.9032 (Backtested Best),2026-02-22 (Max)/2025-12-20 (Avg),No Recent Minima/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.17,"75.0%, Past 6 years, 28",No Information,No Information,No Information,No Information,No Information,No Information,10.87%/5.0%/6.28%,"13.39%, 19.4%",2.3 months/1 day/26 days,-15.59%,2.6%,-18.19%,-0.14,0.1,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Exit Yet,No Price Target,2025-12-02 (Max),6.7%/7.39%,"-3.75%, 19 days","2025-12-01 (Price: 186.49), 3.75% below",201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/244.27 (Moving Avg)/203.0888 (Backtested Best),2025-12-02 (Max),190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No Moving Avg Support,"80.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days/1 day/5 days,6.54%,8.52%,-1.98%,0.2,0.33,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Exit Yet,No Price Target,2025-12-01 (Avg),1.58%/1.89%,"-0.75%, 20 days","2025-12-01 (Price: 54.33), 0.75% below",55.3586 (Historic Rise or Fall to Pivot)/55.7198 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Best)/55.1889 (Backtested Worst),2025-12-17 (Max),53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.74,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,1.08% above/0.75% below/0.75% below,3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,6.14%,7.37%,-1.22%,0.22,0.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,No Exit Yet,No Price Target,2025-12-03 (Avg),5.76%/6.47%,"-1.44%, 25 days","2025-12-01 (Price: 308.92), 1.44% below",326.709 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/346.7679 (Backtested Best),2026-02-16 (Max)/2025-12-03 (Avg),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,0.11% below/1.44% below/1.44% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-05 (Price: 82.96)",Daily,2025-11-27 (Price: 86.36),No Price Target,No Date Target,8.24%/8.61%,"3.48%, 26 days","2025-12-01 (Price: 85.85), 3.48% above",93.24 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/92.9235 (Backtested Best),2026-04-26 (Max)/2025-12-05 (Avg),78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.59,"80.56%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,3.48% above/3.48% above/3.48% above,12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,8.72%,13.33%,-4.61%,0.22,0.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Exit Yet,No Price Target,2025-11-27 (Avg),4.98%/6.47%,"-0.71%, 1.0 month","2025-12-01 (Price: 308.92), 0.71% below",324.3115 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/344.2232 (Backtested Best),2026-02-10 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,0.17% below/0.71% below/0.71% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2025-11-29 (Min),5.93%/7.52%,"0.01%, 1.2 month","2025-12-01 (Price: 617.17), 0.01% above",663.5676 (Historic Rise or Fall to Pivot)/653.7557 (Avg % Gain of Historic Winning trades)/676.16 (Exit Rule)/836.2536 (F-Stack 2)/691.7074 (Backtested Best),2026-05-08 (Max)/2026-01-02 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"95.83%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,2.19% above/1.08% above/0.01% above,12.09%/1.74%/5.94%,"10.15%, 35.46%",4.5 months/24 days/1.6 month,18.57%,17.61%,0.96%,1.19,0.82,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"EFN.TO, Long, 2025-10-26 (Price: 37.71)",Weekly,No Exit Yet,No Price Target,2025-11-29 (Min),4.51%/8.28%,"-2.49%, 1.2 month","2025-12-01 (Price: 36.77), 2.49% below",39.8142 (Historic Rise or Fall to Pivot)/41.1265 (Avg % Gain of Historic Winning trades)/47.64 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/47.5146 (Backtested Best)/38.4265 (Backtested Worst),2026-04-30 (Max)/2026-01-13 (Avg),36.01/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/32.61,"88.89%, Past 10 years, 27",No Information,No Information,No Information,No Information,No Information,0.11% above/1.74% below/2.49% below,26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,4.38%,15.83%,-11.45%,0.07,0.55,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-20 (Price: 1002.95)",Daily,No Exit Yet,No Price Target,2025-11-29 (Avg),1.01%/1.19%,"-0.08%, 1.4 month","2025-12-01 (Price: 1002.1), 0.08% below",1013.9824 (Historic Rise or Fall to Pivot)/1046.9795 (Avg % Gain of Historic Winning trades)/1030.04 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1099.7347 (Backtested Best)/1012.1771 (Backtested Worst),2026-01-25 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/935.19,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.08% below/0.08% below/0.08% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2025-10-15 (Price: 73.4)",Daily,2025-12-01 (Price: 75.38) (Today),No Price Target,2025-11-28 (Avg),1.29%/2.52%,"2.7%, 1.6 month","2025-12-01 (Price: 75.38), 2.7% above",76.35 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/77.2829 (Backtested Best),2026-02-26 (Max),72.67/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.09,"96.43%, Past 4 years, 28",No Information,No Information,No Information,No Information,No Information,3.13% above/2.7% above/2.7% above,5.29%/0.99%/3.68%,"6.48%, 15.84%",3.1 months/4 days/1.0 month,25.63%,10.15%,15.48%,1.24,0.37,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
