"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IWM, Long, 2025-11-14 (Price: 237.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-14 (Price: 237.48), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),39.63% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-16/2028-09-14/2028-09-14,11.21%,6.21%,5.0%,0.5,0.2,229.4057/334.2768/326.74/244.72/270.9222/282.5179,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,243.28/219.93,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-14 (Price: 11.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-14 (Price: 11.78), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),27.85% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-09-30/2028-09-17/2029-03-24,13.15%,12.57%,0.58%,0.46,0.51,13.5552/19.2756/18.26/11.925/13.8771/15.9169,2.72/7.3167/11.3804/9.6206/14.3361/14.9482,12.34/11.3,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-14 (Price: 12.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-14 (Price: 12.25), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.06% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-18/2028-09-18/2028-09-18,7.04%,16.47%,-9.43%,0.34,0.57,12.0993/14.8372/15.49/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.34/11.45,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-14 (Price: 71.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-14 (Price: 71.55), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),112.93% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-04-06/2030-04-06/2030-04-06,7.18%,12.22%,-5.04%,0.42,0.42,75.0703/96.6998/88.93/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/66.9303/63.4408/66.2172/60.0086,65.59/50.11,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-14 (Price: 47.06)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-14 (Price: 47.06), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),38.0% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-22/2032-05-03/2033-05-14,12.07%,13.02%,-0.95%,0.46,0.46,49.4083/229.4128/70.09/51.51/57.5622/59.9244,42.8/34.9317/44.0597/41.1349/61.5996/64.7366,44.24/42.88,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"MX.TO, Long, 2025-11-14 (Price: 51.6)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-14 (Price: 51.6), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),40.56% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-15/2028-09-17/2031-03-03,4.14%,4.51%,-0.37%,0.3,0.25,53.5608/80.8366/88.46/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,52.39/50.65,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-14 (Price: 120.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-14 (Price: 120.28), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),19.42% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-17/2028-09-17/2028-09-17,42.57%,12.24%,30.33%,0.5,0.41,128.9161/326.043/195.53/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,126.71/126.87,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BIPC.TO, Long, 2025-11-13 (Price: 64.33)",No Exit Yet,"-1.46%, 1 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-13",Already confirmed,"2025-11-14 (Price: 63.39), 1.46% below",1 days,Upmove Bounce Back,23.66% (Price: 63.5948),0.32% below,"2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",18.49%/5.22%/10.88%,"2.3%, 12.67%",110 days/13 days/51 days,2026-04-21/2025-12-01/2026-01-25,47.75%,4.17%,43.58%,0.53,0.14,64.5037/71.3291/72.94/65.875/No Next Fib Ext/No Next Fib Ext,60.76/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,60.47/56.18,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-3.05%, 2 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 77.81), 3.05% below",2 days,Upmove Bounce Back,38.2% (Price: 74.9697),3.79% above,"2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/116.3721/144.3517,76.69/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.67/68.42,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"META, Long, 2025-11-11 (Price: 627.08)",No Exit Yet,"-2.81%, 3 days","92.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 609.46), 2.81% below",3 days,Upmove Bounce Back,38.2% (Price: 596.8957),2.1% above,"2023-08-18 (Price: 274.38), 2025-08-15 (Price: 796.25)",96.84%/3.89%/38.77%,"3.02%, 74.42%",610 days/56 days/248 days,2028-04-12/2026-01-31/2026-11-05,26.17%,17.27%,8.9%,0.3,0.58,633.2254/870.1989/940.2/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,713.72/677.46,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"-6.66%, 3 days","91.67%, Past 2 years, 12","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 139.77), 6.66% below",3 days,Upmove Bounce Back,61.8% (Price: 148.4717),5.86% below,"2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/218.0854/235.5107,139.62/No Horizontal Support/148.9705/138.4687/No F-Track Level/No F-Track Level,156.53/139.5,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"3.91%, 3 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 246.81), 3.91% above",3 days,Upmove Bounce Back,38.2% (Price: 222.0575),11.15% above,"2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/273.8526/307.9609,233.54/72.6533/219.0648/187.3421/No F-Track Level/No F-Track Level,208.05/145.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"1.94%, 3 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 3106.0), 1.94% above",3 days,Upmove Bounce Back,88.6% (Price: 3015.6997),2.99% above,"2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3036.04/3347.38,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"-7.28%, 3 days","95.24%, Past 5 years, 21","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 29.31), 7.28% below",3 days,Upmove Bounce Back,78.6% (Price: 31.3894),6.62% below,"2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/97.2627/102.2552,31.41/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,33.56/34.98,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"-2.77%, 3 days","100.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 237.48), 2.77% below",3 days,Upmove Bounce Back,23.66% (Price: 233.5959),1.66% above,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/267.7701/348.4025,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level,243.28/219.93,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ENZL, Long, 2025-11-10 (Price: 45.68)",No Exit Yet,"-1.83%, 4 days","100.0%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-14 (Price: 44.845), 1.83% below",4 days,Upmove Bounce Back,50% (Price: 45.885),2.27% below,"2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",5.53%/5.53%/5.53%,"-0.0%, 6.88%",169 days/169 days/169 days,2026-07-12/2026-07-12/2026-07-12,8.46%,-5.38%,13.84%,0.16,-0.44,45.6663/48.2061/47.43/65.1933/79.7363/84.688,45.33/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,45.99/44.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IEI, Long, 2025-11-07 (Price: 119.6)",No Exit Yet,"-0.15%, 5 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-14 (Price: 119.42), 0.15% below",5 days,Upmove Bounce Back,23.66% (Price: 119.0217),0.33% above,"2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-27/2026-05-07/2026-05-17,1.93%,-2.06%,3.99%,0.33,-1.37,119.7196/121.992/123.15/129.9625/No Next Fib Ext/No Next Fib Ext,119.13/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,119.74/118.35,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TLT, Long, 2025-11-07 (Price: 89.57)",No Exit Yet,"-0.78%, 5 days","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-14 (Price: 88.87), 0.78% below",5 days,Upmove Bounce Back,23.66% (Price: 90.0866),1.35% below,"2025-05-22 (Price: 83.3), 2025-10-21 (Price: 92.19)",2.82%/2.82%/2.82%,"0.03%, 10.65%",182 days/182 days/182 days,2026-07-28/2026-07-28/2026-07-28,2.67%,-10.72%,13.39%,0.18,-0.89,89.1311/92.0959/94.9/153.2067/188.2386/214.0466,88.96/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,90.03/88.36,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"LYFT, Long, 2025-11-03 (Price: 20.95)",2025-11-10 (Price: 23.72),"13.22%, 5 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-14 (Price: 23.14), 10.45% above",9 days,Upmove Bounce Back,38.2% (Price: 19.552),18.35% above,"2025-08-11 (Price: 13.165), 2025-09-17 (Price: 23.5)",52.96%/0.97%/21.59%,"5.88%, 53.48%",394 days/27 days/190 days,2027-05-27/2025-12-12/2026-08-05,19.21%,-6.72%,25.93%,0.41,0.2,20.8306/25.4731/27.15/57.19/81.0416/101.3843,19.75/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,21.01/15.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"DIS, Long, 2025-11-02 (Price: 112.62)",No Exit Yet,"-6.06%, 9 days","92.86%, Past 20 years, 42","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-14 (Price: 105.8), 6.06% below",9 days,Upmove Bounce Back,38.2% (Price: 107.6566),1.72% below,"2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",338.75%/2.06%/55.12%,"7.93%, 55.37%",2544 days/29 days/449 days,2035-12-04/2025-12-14/2027-08-14,8.38%,7.54%,0.84%,0.32,0.27,115.4693/174.6961/139.37/168.455/207.5364/245.6322,109.19/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,112.79/110.09,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"CNU.NZ, Long, 2025-11-02 (Price: 9.36)",No Exit Yet,"-1.07%, 9 days","100.0%, Past 13 years, 24","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-14 (Price: 9.26), 1.07% below",9 days,Upmove Bounce Back,38.2% (Price: 9.046),2.37% above,"2025-03-23 (Price: 7.535), 2025-09-07 (Price: 9.98)",167.25%/5.27%/46.32%,"-0.0%, 32.23%",1554 days/64 days/638 days,2031-12-31/2026-02-02/2028-05-14,7.15%,7.61%,-0.47%,0.46,0.27,9.681/13.6956/10.83/No Horizontal Resistance/10.0225/12.705,9.2/6.0983/9.3249/7.51/No F-Track Level/No F-Track Level,9.41/8.72,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"6.58%, 10 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 508.94), 6.58% above",10 days,Upmove Bounce Back,23.66% (Price: 451.5539),12.71% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",204.24%/9.94%/55.24%,"11.32%, 45.86%",3131 days/238 days/873 days,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level,493.55/496.0,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
