"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MSE.PA, Long, 2026-03-11 (Price: 64.68)",No Exit Yet,"-0.91%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 64.09), 0.91% below",5 days,Upmove Bounce Back,78.6% (Price: 62.7012),2.21% above,"2025-11-21 (Price: 60.91), 2026-02-26 (Price: 69.28)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-06-22/2026-05-06/2026-11-04,22.9%,9.15%,13.75%,2.88,0.6,66.7562/70.1972/69.7/No Horizontal Resistance/81.1364/93.8009/No EMA 200 Target,63.5/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/62.46,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),64.56
"EFA, Long, 2026-03-11 (Price: 99.01)",No Exit Yet,"-0.92%, 5 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 98.1), 0.92% below",5 days,Upmove Bounce Back,61.8% (Price: 96.8369),1.3% above,"2025-11-20 (Price: 91.21), 2026-02-27 (Price: 105.94)",10.73%/3.3%/7.67%,"0%, 32.13%",3.4 years/23 days/9.5 months,2031-01-16/2026-04-13/2027-04-27,16.46%,3.92%,12.54%,2.72,0.16,No Target/106.6041/107.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,98.28/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/94.45,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),98.64
"IBKR, Long, 2026-03-11 (Price: 68.39)",No Exit Yet,"-0.16%, 5 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 68.28), 0.16% below",5 days,Upmove Bounce Back,78.6% (Price: 63.2792),7.9% above,"2025-11-21 (Price: 58.95), 2026-02-10 (Price: 79.18)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-10-05/2026-04-20/2026-07-19,35.27%,24.2%,11.07%,1.68,1.19,73.9091/76.8498/80.53/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,66.7/13.0762/67.1382/45.4088/No F-Track Level/No F-Track Level/65.38,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),68.2
"EWJ, Long, 2026-03-11 (Price: 85.73)",No Exit Yet,"-0.77%, 5 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 85.07), 0.77% below",5 days,Upmove Bounce Back,38.2% (Price: 81.1239),4.86% above,"2025-04-07 (Price: 59.84), 2026-02-12 (Price: 94.28)",11.53%/1.99%/7.79%,"-0.0%, 31.15%",3.7 years/24 days/10.3 months,2031-06-22/2026-04-14/2027-06-01,12.5%,3.34%,9.16%,1.51,0.11,86.8959/92.4084/106.39/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,84.77/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/80.95,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),85.3
"AMZN, Long, 2026-03-08 (Price: 213.21)",No Exit Yet,"-0.69%, 8 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-16 (Price: 211.74), 0.69% below",8 days,Upmove Bounce Back,23.66% (Price: 200.6016),5.55% above,"2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-03-05/2026-04-17/2027-01-23,13.55%,17.13%,-3.58%,1.66,0.81,251.2893/249.1572/319.51/241.71/317.6152/339.3352/224.73,198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),204.55
"SLV, Long, 2026-03-08 (Price: 75.94)",No Exit Yet,"-3.58%, 8 days","100.0%, Past 19 years, 11","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-16 (Price: 73.22), 3.58% below",8 days,Upmove Bounce Back,50% (Price: 64.4),13.7% above,"2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",27.39%/2.49%/14.94%,"0%, 72.45%",14.4 years/2.1 months/3.5 years,2046-09-27/2026-06-07/2031-03-07,2.66%,4.57%,-1.91%,1.86,0.24,93.5733/87.2854/130.46/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,27.08/18.99/73.9426/67.9787/No F-Track Level/No F-Track Level/50.69,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),81.17
"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",No Exit Yet,"-2.55%, 8 days","87.5%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-16 (Price: 9.16), 2.55% below",8 days,Upmove Bounce Back,38.2% (Price: 9.1207),0.43% above,"2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",21.39%/10.13%/17.13%,"4.94%, 48.33%",11.8 years/4 months/4.2 years,2043-01-10/2026-08-28/2032-03-06,0.12%,1.98%,-1.86%,1.07,0.04,9.5955/11.0102/10.62/9.85/11.2606/15.4512/No EMA 200 Target,9.25/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.24,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),9.25
"TWR.NZ, Long, 2026-03-08 (Price: 1.835)",No Exit Yet,"-0.27%, 8 days","88.89%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-16 (Price: 1.83), 0.27% below",8 days,Upmove Bounce Back,23.66% (Price: 1.7809),2.76% above,"2023-05-14 (Price: 0.6222), 2026-01-18 (Price: 2.14)",19.96%/16.4%/17.75%,"5.18%, 29.49%",3.7 years/2.6 months/2.3 years,2031-06-19/2026-06-28/2029-06-17,5.69%,-0.45%,6.14%,0.96,-0.01,2.0269/2.1607/2.75/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.35/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.79,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),1.855
"^NZ50, Long, 2026-03-08 (Price: 13519.3496)",No Exit Yet,"-2.46%, 7 days","100.0%, Past 20 years, 8","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-15 (Price: 13187.3398), 2.46% below",7 days,Upmove Bounce Back,23.66% (Price: 12961.3876),1.74% above,"2022-06-19 (Price: 10392.0195), 2026-01-18 (Price: 13757.71)",16.08%/8.71%/14.43%,"-0.0%, 11.02%",1.7 year/2.8 months/10.4 months,2028-08-10/2026-07-07/2027-06-02,8.33%,5.06%,3.27%,1.43,0.3,13989.823/15470.1917/15538.76/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13198.18/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13175.21,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),13656.6504
"C6L.SI, Long, 2026-02-28 (Price: 7.18)",No Exit Yet,"-8.91%, 16 days","87.5%, Past 40 years, 8","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-16 (Price: 6.54), 8.91% below",16 days,Upmove Bounce Back,78.6% (Price: 6.2388),4.83% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-14/2027-02-14/2028-04-20,7.09%,-1.77%,8.86%,0.77,-0.19,7.3925/8.9183/8.24/No Horizontal Resistance/15.377/16.6022/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/6.68,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-28 (Price: 11.22)",No Exit Yet,"-3.39%, 16 days","85.71%, Past 31 years, 7","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-16 (Price: 10.84), 3.39% below",16 days,Upmove Bounce Back,23.66% (Price: 10.5578),2.67% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-11/2026-10-07/2027-09-24,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/18.927/29.733/11.49,10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),11.05
"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",2026-03-16 (Price: 2366.9165),"20.9%, 22 days","100.0%, Past 10 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-16 (Price: 2366.9165), 20.9% above",22 days,Upmove Bounce Back,88.6% (Price: 1793.4297),31.98% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-14/2026-03-04/2026-06-23,44.95%,44.58%,0.37%,1.56,1.59,2026.7207/2430.0287/4097.97/4922.7188/4887.278/5344.0381/3238.9,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),1965.1317
"USCI, Long, 2026-02-19 (Price: 82.76)",2026-03-11 (Price: 91.48),"10.54%, 20 days","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-03-16 (Price: 92.1), 11.29% above",25 days,Upmove Bounce Back,38.2% (Price: 79.5061),15.84% above,"2025-04-09 (Price: 64.26), 2026-01-29 (Price: 88.93)",11.87%/8.4%/10.4%,"4.19%, 12.02%",1.8 year/1.1 month/7 months,2028-09-14/2026-04-07/2026-12-20,22.67%,13.72%,8.95%,1.7,0.99,87.8746/91.367/97.56/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/No F-Track Level/No F-Track Level/78.15,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),82.05
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",2026-03-16 (Price: 96.53),"21.25%, 4.5 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-03-16 (Price: 96.53), 21.25% above",4.5 months,Upmove Bounce Back,23.66% (Price: 74.8871),28.9% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-09-06/2026-01-30/2028-04-04,8.5%,12.52%,-4.02%,1.5,0.63,101.1286/101.8371/138.22/84.3925/95.0177/123.2166/83.64,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),79.32
"C6L.SI, Long, 2025-10-12 (Price: 6.64)",2026-03-16 (Price: 6.54),"-1.51%, 5.2 months","78.57%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2026-03-16 (Price: 6.54), 1.51% below",5.2 months,Upmove Bounce Back,61.8% (Price: 6.5361),0.06% above,"2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",17.87%/5.49%/15.22%,"4.19%, 51.25%",1.5 year/3.3 months/11.6 months,2027-12-03/2026-03-04/2027-02-28,6.62%,-0.87%,7.49%,0.78,-0.15,6.7516/7.6506/7.7/6.9575/15.377/16.6022/6.68,6.46/4.792/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),6.56
"ATD.TO, Long, 2025-09-14 (Price: 73.64)",2026-03-16 (Price: 84.25),"14.41%, 6.1 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-09-14",Already confirmed,"2026-03-16 (Price: 84.25), 14.41% above",6.1 months,Upmove Bounce Back,78.6% (Price: 69.1621),21.82% above,"2025-03-23 (Price: 65.95), 2025-07-20 (Price: 80.96)",25.17%/0.64%/13.71%,"2.07%, 59.16%",4.1 years/1.6 month/11.5 months,2031-07-21/2025-11-22/2027-01-26,8.92%,11.07%,-2.15%,1.12,0.6,81.6078/83.736/82.65/85.51/85.3936/96.14/73.77,67.64/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.2%/69/1.4 year (Across ALL Assets),55.88%/136/7.8 months (Across ALL Assets),76.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-28 (Price: 74.45),"22.17%, 8.1 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-16 (Price: 69.63), 14.26% above",8.6 months,Upmove Bounce Back,50% (Price: 48.385),43.91% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,No Target/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/65.62,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),59.72
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-28 (Price: 341.73),"25.08%, 8.1 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-16 (Price: 321.84), 17.8% above",8.6 months,Upmove Bounce Back,38.2% (Price: 207.8333),54.85% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/288.88,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),262.12
"SJ.TO, Long, 2025-06-30 (Price: 78.49)",2026-03-16 (Price: 96.53),"22.98%, 8.6 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-16 (Price: 96.53), 22.98% above",8.6 months,Upmove Bounce Back,38.2% (Price: 61.7578),56.3% above,"2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-05-06/2025-09-29/2027-12-03,8.5%,12.52%,-4.02%,1.5,0.63,99.7058/100.4044/135.41/84.9567/95.0177/123.2166/83.64,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.48%/42/1.6 year (Across ALL Assets),64.41%/59/9.8 months (Across ALL Assets),77.78
"SFTBY, Short, 2026-03-16 (Price: 11.44)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-03-16",No Cancellation Possible,"2026-03-16 (Price: 11.44), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 12.16),5.92% below,"2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-07-28 (Max),12.53%,5.4%,7.13%,1.47,0.38,10.2788/9.4483/-0.97/4.205/10.9987/9.1801/No EMA 200 Target,15.82/11.9025/22.5282/24.0279/11.6634/No stop loss/13.31,100.0%/1/2.5 months (Across ALL Assets),33.33%/9/2.7 months (Across ALL Assets),14.2475
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-03-16 (Price: 11.44),"19.29%, 2.5 months","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-16 (Price: 11.44), 19.29% below",2.5 months,Upmove Break Below,50.0% (Price: 13.3475),14.29% below,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/13.31,15.82/No Horizontal Resistance/23.8631/27.246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/1/2.5 months (Across ALL Assets),33.33%/9/2.7 months (Across ALL Assets),15.6175
"KWEB, Short, 2025-12-31 (Price: 34.05)",2026-02-28 (Price: 31.06),"8.78%, 2 months","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-16 (Price: 30.64), 10.01% below",2.5 months,Upmove Break Below,38.2% (Price: 35.4633),13.6% below,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-05-14/2026-02-12/2026-03-10,5.83%,5.4%,0.43%,0.25,0.12,31.1762/31.6222/21.64/24.5062/No F-Stack Support/No F-Stack Support/No EMA 200 Target,42.01/54.865/112.1402/127.8094/No F-Track Level/No F-Track Level/36.48,75.0%/8/1.4 month (Across ALL Assets),40.0%/15/1.5 month (Across ALL Assets),37.73
"C6L.SI, Short, 2025-12-31 (Price: 6.4)",2026-02-28 (Price: 7.18),"-12.19%, 2 months","92.86%, Past 40 years, 14","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-16 (Price: 6.54), 2.19% above",2.5 months,Upmove Break Below,78.6% (Price: 7.5813),13.74% below,"2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-14/2026-02-12/2026-03-14,8.07%,5.5%,2.57%,1.46,-0.19,5.9699/5.9891/6.38/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,7.13/7.0067/15.377/16.6022/No F-Track Level/No F-Track Level/6.68,75.0%/8/1.4 month (Across ALL Assets),40.0%/15/1.5 month (Across ALL Assets),6.49
