"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NU, Long, 2026-02-09 (Price: 17.55)",No Exit Yet,"-4.16%, 4 days","100.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 16.82), 4.16% below",4 days,Upmove Bounce Back,38.2% (Price: 16.2716),3.37% above,"2025-08-14 (Price: 11.89), 2026-01-29 (Price: 18.98)",14.19%/10.08%/11.27%,"0%, 32.54%",9.7 months/3 days/2 months,2027-04-06/2026-02-13/2026-05-06,42.11%,9.45%,32.66%,9.27,0.53,19.0558/19.5279/21.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,16.81/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/14.86,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),17.44
"AAPL, Long, 2026-02-08 (Price: 278.12)",No Exit Yet,"-8.03%, 5 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-13 (Price: 255.78), 8.03% below",5 days,Upmove Bounce Back,38.2% (Price: 243.0054),5.26% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-13/2026-04-09/2027-01-12,12.35%,17.83%,-5.48%,2.32,0.9,305.6261/324.7329/349.77/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,248.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/240.06,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),260.03
"META, Long, 2026-02-08 (Price: 661.46)",No Exit Yet,"-3.28%, 5 days","100.0%, Past 13 years, 6","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-13 (Price: 639.77), 3.28% below",5 days,Upmove Bounce Back,23.66% (Price: 613.221),4.33% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-07/2026-03-10/2027-03-06,19.03%,15.86%,3.17%,8.93,0.74,822.4594/775.4296/1125.61/No Horizontal Resistance/842.484/1305.5879/688.86,620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),714.6
"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"-4.4%, 5 days","85.71%, Past 20 years, 7","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-13 (Price: 33.88), 4.4% below",5 days,Upmove Bounce Back,38.2% (Price: 33.1947),2.06% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-30/2026-05-31/2027-10-26,6.51%,10.86%,-4.35%,1.44,0.54,40.9545/41.9113/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No support/No F-Track Level/No F-Track Level/35.35,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),34.42
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.52%, 13 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-13 (Price: 105.45), 6.52% below",13 days,Upmove Bounce Back,50% (Price: 102.395),2.98% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/112.95,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-1.32%, 13 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-13 (Price: 1.3624), 1.32% below",13 days,Upmove Bounce Back,23.66% (Price: 1.271),7.19% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.26%, 13 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-13 (Price: 0.8216), 0.26% above",13 days,Upmove Bounce Back,78.6% (Price: 0.8038),2.21% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-16.59%, 13 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-13 (Price: 49.57), 16.59% below",13 days,Upmove Bounce Back,78.6% (Price: 43.8439),13.06% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.24,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),51.61
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-5.91%, 1.5 month","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-13 (Price: 255.78), 5.91% below",1.5 month,Upmove Bounce Back,38.2% (Price: 169.2862),51.09% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/240.06,100.0%/3/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets),255.04
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-11.72%, 1.5 month","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-13 (Price: 10.85), 11.72% below",1.5 month,Upmove Bounce Back,50% (Price: 10.74),1.02% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,100.0%/3/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets),10.7
"TCEHY, Long, 2025-12-28 (Price: 78.08)",2026-02-08 (Price: 71.49),"-8.44%, 1.4 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-13 (Price: 68.3), 12.53% below",1.6 month,Upmove Bounce Back,23.66% (Price: 74.7427),8.62% below,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/74.58,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),78.76
"BYD.TO, Long, 2025-12-15 (Price: 222.94)",2026-02-10 (Price: 245.52),"10.13%, 1.9 month","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2026-02-13 (Price: 230.32), 3.31% above",2 months,Upmove Bounce Back,50% (Price: 223.09),3.24% above,"2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2028-12-14/2026-01-21/2026-07-02,27.71%,0.9%,26.81%,1.63,0.03,238.256/247.5303/245.25/256.6133/367.2583/388.6839/No EMA 200 Target,221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/217.82,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),222.88
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-31 (Price: 1423.0),"34.34%, 3.1 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-13 (Price: 1406.61), 32.8% above",3.5 months,Upmove Bounce Back,38.2% (Price: 692.3064),103.18% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/945.23,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),965.61
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",2026-02-13 (Price: 98.78),"24.08%, 3.5 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-13 (Price: 98.78), 24.08% above",3.5 months,Upmove Bounce Back,23.66% (Price: 74.8871),31.91% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-09-06/2026-01-30/2028-04-04,8.5%,12.52%,-4.02%,1.5,0.63,101.1286/101.8371/138.22/84.3925/95.0177/123.2166/81.32,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),79.32
"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-02-01 (Price: 91.3),"16.86%, 5.4 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-02-13 (Price: 98.78), 26.43% above",5.8 months,Upmove Bounce Back,23.66% (Price: 74.9167),31.85% above,"2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.67/84.3925/95.0177/123.2166/81.32,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),76.84
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-31 (Price: 430.29),"-13.49%, 7.2 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 401.32), 19.32% below",7.6 months,Upmove Bounce Back,50% (Price: 340.89),17.73% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/487.38,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),457.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-13 (Price: 73.25),"20.2%, 7.6 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 73.25), 20.2% above",7.6 months,Upmove Bounce Back,50% (Price: 48.385),51.39% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,59.9893/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/64.29,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),59.72
"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-31 (Price: 259.65),"20.33%, 7.2 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 262.96), 21.86% above",7.6 months,Upmove Bounce Back,88.6% (Price: 171.1673),53.63% above,"2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/234.92,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),205.32
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-13 (Price: 353.89),"29.53%, 7.6 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 353.89), 29.53% above",7.6 months,Upmove Bounce Back,38.2% (Price: 207.8333),70.28% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/281.31,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),262.12
"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-31 (Price: 106.81),"21.43%, 7.2 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 111.19), 26.41% above",7.6 months,Upmove Bounce Back,38.2% (Price: 78.775),41.15% above,"2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/93.58,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),87.83
"WMT, Long, 2025-06-30 (Price: 97.78)",2026-01-31 (Price: 119.14),"21.84%, 7.2 months","76.92%, Past 53 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-13 (Price: 133.89), 36.93% above",7.6 months,Upmove Bounce Back,23.66% (Price: 81.2043),64.88% above,"1996-02-29 (Price: 3.4583), 2025-02-28 (Price: 105.3)",31.01%/7.63%/22.28%,"13.36%, 28.82%",3.7 years/7.1 months/1.5 year,2030-10-11/2026-05-04/2027-08-21,6.18%,11.88%,-5.7%,0.95,0.61,118.6365/119.5654/158.89/No Horizontal Resistance/98.8222/108.7906/104.77,40.53/42.9289/85.5556/72.7913/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),98.84
