Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 1118.86)",Daily,No Price Target,2025-11-11 (Avg),No Exit Yet,"2025-11-11 (Price: 1136.4399), 1.57% above","86.21%, Past 6 years, 29",0.79%/3.38%,"1.57%, 7 days",13.15%/5.22%/7.5%,1145.377 (Historic Rise or Fall to Pivot)/1202.7745 (Avg % Gain of Historic Winning trades)/1174.8 (Exit Rule)/1393.524 (F-Stack 1)/1524.2919 (F-Stack 2)/1265.9900899999998 (Backtested Best)/1177.264492 (Backtested Worst)/1202.7744999999998 (Backtested Avg),2025-12-07 (Farthest),"1.57%, 7 days","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-11 (Price: 1136.4399), 1.57% above",7 days,No Information,No Information,No Information,No Information,No Information,No Information,"35.12%, 35.12%",26 days/2 days/8 days,2025-12-07/2025-11-02/2025-11-11,39.66%,24.78%,14.88%,0.1,0.78,1145.377/1202.7745/1174.8/No Horizontal Resistance/1393.524/1524.2919,No Recent Minima/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1180.02/1128.23,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 315.62) (Today),"2025-11-11 (Price: 315.62), 1.45% above","97.62%, Past 4 years, 42",2.75%/2.75%,"1.45%, 7 days",10.64%/1.12%/4.24%,324.3115 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/344.22316800000004 (Backtested Best)/324.311488 (Backtested Avg),2026-02-10 (Farthest)/2025-11-27 (Avg),"1.45%, 7 days","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 315.62), 1.45% above",7 days,No Information,No Information,No Information,No Information,No Information,2.0% above/1.45% above/1.45% above,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-10/2025-11-05/2025-11-27,52.95%,15.43%,37.52%,1.31,0.55,313.2356/324.3115/314.46/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,304.83/274.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-31 (Price: 629.07)",Monthly,No Price Target,No Date Target,2025-11-11 (Price: 621.57) (Today),"2025-11-11 (Price: 621.57), 1.19% below","100.0%, Past 20 years, 20",7.17%/8.92%,"-1.19%, 7 days",26.83%/5.89%/12.63%,677.0051 (Historic Rise or Fall to Pivot)/708.5215 (Avg % Gain of Historic Winning trades)/844.88 (Exit Rule)/836.2536 (F-Stack 2)/797.8494810000001 (Backtested Best)/666.1222230000001 (Backtested Worst)/708.5215410000001 (Backtested Avg),2028-07-01 (Farthest)/2026-04-03 (Earliest)/2026-09-29 (Avg),"-1.19%, 7 days","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 621.57), 1.19% below",7 days,No Information,No Information,No Information,No Information,No Information,3.53% above/1.19% below/1.19% below,"-0.0%, 33.07%",673 days/107 days/230 days,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,596.73/537.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
DELTADRIFT,"NFLX, Long, 2025-10-30 (Price: 1089.0)",Daily,1135.99 (Exit Rule),No Date Target,2025-11-11 (Price: 1136.4399) (Today),"2025-11-11 (Price: 1136.4399), 4.36% above","72.73%, Past 4 years, 11",2.22%/2.22%,"4.36%, 8 days",12.46%/2.39%/6.67%,1161.6363 (Avg % Gain of Historic Winning trades)/1393.524 (F-Stack 1)/1524.2919 (F-Stack 2)/1224.6894 (Backtested Best)/1161.6363 (Backtested Avg),2025-11-16 (Farthest),"4.36%, 8 days","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-11-11 (Price: 1136.4399), 4.36% above",8 days,No Information,No Information,No Information,No Information,No Information,No Information,"26.5%, 26.5%",12 days/1 days/3 days,2025-11-16/2025-10-31/2025-11-03,0.15%,13.45%,-13.3%,-0.06,0.49,1110.3444/1161.6363/1135.99/No Horizontal Resistance/1393.524/1524.2919,855.86/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1180.02/1128.23,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"WPM.TO, Long, 2025-10-29 (Price: 132.75)",Daily,No Price Target,No Date Target,2025-11-10 (Price: 143.39),"2025-11-11 (Price: 145.8), 9.83% above","70.0%, Past 4 years, 10",22.15%/33.6%,"9.83%, 9 days",4.77%/1.64%/3.77%,178.0989 (F-Stack 1)/194.7923 (F-Stack 2),2025-11-28 (Farthest),"8.02%, 8 days","Daily, was CONFIRMED on 2025-10-29",Already confirmed,"2025-11-11 (Price: 145.8), 9.83% above",9 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.96%, 12.04%",21 days/1 days/6 days,2025-11-28/2025-10-30/2025-11-06,1.29%,27.56%,-26.27%,-0.12,0.98,137.5556/137.7547/137.66/No Horizontal Resistance/178.0989/194.7923,132.14/52.782/125.9496/92.3678/No F-Track Level/No F-Track Level,144.86/122.47,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-28 (Price: 632.92)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 621.57) (Today),"2025-11-11 (Price: 621.57), 1.79% below","96.67%, Past 4 years, 30",2.44%/5.03%,"-1.79%, 10 days",6.55%/0.6%/3.15%,654.5026 (Historic Rise or Fall to Pivot)/652.857 (Avg % Gain of Historic Winning trades)/707.13 (Exit Rule)/836.2536 (F-Stack 2)/674.37626 (Backtested Best)/636.7175199999999 (Backtested Worst)/652.85698 (Backtested Avg),2026-01-18 (Farthest)/2025-11-17 (Avg),"-1.79%, 10 days","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-11-11 (Price: 621.57), 1.79% below",10 days,No Information,No Information,No Information,No Information,No Information,1.04% below/1.79% below/1.79% below,"1.69%, 22.88%",57 days/4 days/14 days,2026-01-18/2025-11-02/2025-11-17,49.77%,20.54%,29.23%,1.19,0.82,654.5026/652.857/707.13/No Horizontal Resistance/610.7303/836.2536,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,592.88/535.18,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-10-24 (Price: 11.9)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 11.94) (Today),"2025-11-11 (Price: 11.94), 0.34% above","90.0%, Past 4 years, 20",1.04%/2.97%,"0.34%, 12 days",8.54%/1.38%/4.55%,12.2951 (Historic Rise or Fall to Pivot)/12.4415 (Avg % Gain of Historic Winning trades)/12.58 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.91626 (Backtested Best)/12.06422 (Backtested Worst)/12.441450000000001 (Backtested Avg),2026-05-04 (Farthest)/2025-11-16 (Avg),"0.34%, 12 days","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-11-11 (Price: 11.94), 0.34% above",12 days,No Information,No Information,No Information,No Information,No Information,2.05% above/0.34% above/0.34% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-04/2025-10-29/2025-11-16,46.12%,9.64%,36.48%,0.79,0.35,12.2951/12.4415/12.58/13.345/19.8479/26.5969,10.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.05/11.53,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-10-22 (Price: 9.45)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 9.52) (Today),"2025-11-11 (Price: 9.52), 0.74% above","70.27%, Past 4 years, 37",0.76%/2.36%,"0.74%, 14 days",7.56%/1.51%/3.12%,9.7448 (Avg % Gain of Historic Winning trades)/10.22 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.16442 (Backtested Best)/9.592694999999999 (Backtested Worst)/9.744839999999998 (Backtested Avg),2026-02-11 (Farthest)/2025-11-28 (Avg),"0.74%, 14 days","Daily, is CONFIRMED on 2025-10-22",Already confirmed,"2025-11-11 (Price: 9.52), 0.74% above",14 days,No Information,No Information,No Information,No Information,No Information,2.37% above/0.74% above/0.74% above,"7.04%, 16.17%",78 days/5 days/26 days,2026-02-11/2025-10-29/2025-11-28,5.05%,4.18%,0.87%,0.27,0.12,9.5247/9.7448/10.22/No Horizontal Resistance/11.2606/15.4512,8.95/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level,9.11/9.12,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,No Price Target,2025-11-08 (Farthest)/2025-11-04 (Avg),No Exit Yet,"2025-11-11 (Price: 3047.0), 0.62% above","75.0%, Past 15 years, 4",3.04%/4.13%,"0.62%, 21 days",14.06%/3.68%/8.87%,3172.7499 (Historic Rise or Fall to Pivot)/3296.9102 (Avg % Gain of Historic Winning trades)/3234.83 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3454.0789800000002 (Backtested Best)/3139.7414400000002 (Backtested Worst)/3296.91021 (Backtested Avg),No Next Date Target,"0.62%, 21 days","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-11-11 (Price: 3047.0), 0.62% above",21 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.47%, 16.73%",19 days/14 days/16 days,2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level,3035.6/3362.93,94.87%/39/40 days (Across ALL Assets),89.42%/104/49 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 5.91) (Today),"2025-11-11 (Price: 5.91), 1.83% below","91.3%, Past 4 years, 46",2.33%/3.55%,"-1.83%, 23 days",18.47%/0.46%/5.52%,6.1422 (Historic Rise or Fall to Pivot)/6.3523 (Avg % Gain of Historic Winning trades)/6.12 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.131893999999999 (Backtested Best)/6.047692 (Backtested Worst)/6.352303999999999 (Backtested Avg),2026-06-23 (Farthest)/2025-11-22 (Avg),"-1.83%, 23 days","Daily, is CONFIRMED on 2025-10-09",Already confirmed,"2025-11-11 (Price: 5.91), 1.83% below",23 days,No Information,No Information,No Information,No Information,No Information,0.84% below/1.83% below/1.83% below,"6.51%, 17.02%",178 days/5 days/31 days,2026-06-23/2025-10-16/2025-11-22,19.9%,4.2%,15.69%,0.73,0.16,6.1422/6.3523/6.12/6.825/7.4565/8.4213,5.57/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level,5.71/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
