Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
TRENDPULSE,"WPM.TO, Long, 2025-09-21 (Price: 148.53)",Weekly,No Exit Yet,165.1505 (Avg % Gain of Historic Winning trades),No Date Target,8.02%/13.6%,"11.01%, 3 months","2025-12-19 (Price: 164.88), 11.01% above",187.3 (Exit Rule)/178.0989 (F-Stack 2)/188.7668 (Backtested Max),2026-03-31 (Max)/2026-01-11 (Avg),82.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/111.59,"86.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,11.01% above/11.01% above/11.01% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,No Exit Yet,205.7637 (Avg % Gain of Historic Winning trades),No Date Target,3.71%/8.2%,"15.24%, 6.7 months","2025-12-19 (Price: 203.39), 15.24% above",210.9352 (Historic Rise or Fall to Pivot)/233.0 (Exit Rule)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-01-03 (Min)/2026-07-13 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,15.24% above/18.61% above/15.24% above,24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,9.06%,19.7%,-10.64%,1.65,1.31,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,2025-12-17 (Price: 200.08),202.2414 (Avg % Gain of Historic Winning trades),No Date Target,4.11%/44.59%,"11.88%, 2.6 months","2025-12-19 (Price: 203.39), 11.88% above",294.0831 (F-Stack 2)/211.749 (Backtested Max),2026-02-17 (Max)/2025-12-22 (Min)/2026-01-08 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/181.15,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",3.2 months/1.9 month/2.3 months,14.73%,19.58%,-4.85%,1.4,1.24,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
TRENDPULSE,"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",Daily,No Exit Yet,No Price Target,2025-12-19 (Avg),7.61%/11.23%,"-5.79%, 1 month","2025-12-19 (Price: 11.87), 5.79% below",13.2035 (Historic Rise or Fall to Pivot)/13.2275 (Avg % Gain of Historic Winning trades)/13.36 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.676 (Backtested Max)/12.7739 (Backtested Min),2026-08-14 (Max),11.6/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"94.44%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,6.17% below/5.79% below/5.79% below,8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,16.06%,5.58%,10.48%,1.15,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"SUM.NZ, Long, 2024-11-24 (Price: 13.1)",Weekly,2025-12-19 (Price: 11.87) (Today),No Price Target,No Date Target,13.66%/17.57%,"-9.39%, 1.1 year","2025-12-19 (Price: 11.87), 9.39% below",14.4689 (Historic Rise or Fall to Pivot)/13.9554 (Avg % Gain of Historic Winning trades)/14.24 (Exit Rule)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/14.5004 (Backtested Max)/13.4917 (Backtested Min),No Next Date Target,9.4/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.11,"90.91%, Past 10 years, 11",No Information,No Information,No Information,No Information,No Information,5.42% below/9.39% below/9.39% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-10-01 (Price: 0.5796)",Daily,2025-12-16 (Price: 0.5786),No Price Target,No Date Target,1.89%/2.2%,"-0.4%, 2.6 months","2025-12-18 (Price: 0.5773), 0.4% below",0.5882 (Historic Rise or Fall to Pivot)/0.6031 (Avg % Gain of Historic Winning trades)/0.7479 (Horizontal)/0.59 (EMA 200)/0.6563 (Backtested Max),2026-11-22 (Max)/2025-12-22 (Min)/2026-03-19 (Avg),No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"84.21%, Past 5 years, 19","-3.71, 82.29",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,7.12%,-0.45%,7.57%,0.64,-0.35,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-08-01 (Price: 0.5889)",Daily,2025-12-16 (Price: 0.5786),No Price Target,No Date Target,6.15%/15.52%,"-1.97%, 4.6 months","2025-12-18 (Price: 0.5773), 1.97% below",0.6128 (Avg % Gain of Historic Winning trades)/0.7332 (Horizontal)/0.6669 (Backtested Max),2026-09-22 (Max)/2026-01-17 (Avg),No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"84.21%, Past 5 years, 19","-3.98, 88.46",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,7.12%,-0.45%,7.57%,0.64,-0.35,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
FRACTAL TRACK,"MSFT, Long, 2025-11-28 (Price: 492.01)",Daily,No Exit Yet,No Price Target,2025-12-21 (Min),2.5%/6.45%,"-1.24%, 21 days","2025-12-19 (Price: 485.92), 1.24% below",517.2501 (Historic Rise or Fall to Pivot)/535.9957 (Avg % Gain of Historic Winning trades)/693.67 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/552.6748 (Backtested Max)/498.0617 (Backtested Min),2028-03-11 (Max)/2025-12-21 (Min)/2026-07-20 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/474.02,"94.12%, Past 5 years, 17",No Information,No Information,No Information,"23.66% (Price: 475.9287), 2.1% above, Upmove Bounce Back","2023-01-06 (Price: 219.35), 2025-07-31 (Price: 555.45)",No Information,12.33%/1.23%/8.94%,"0.91%, 37.45%",1.6 year/16 days/5.4 months,23.57%,12.28%,11.29%,1.77,0.68,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Exit Yet,No Price Target,2025-12-17 (Max),7.4%/7.97%,"-4.03%, 1 month","2025-12-19 (Price: 87776.9141), 4.03% below",94777.0611 (Historic Rise or Fall to Pivot)/97118.5905 (Avg % Gain of Historic Winning trades)/95947.83 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/108110.12 (EMA 200)/102167.5133 (Backtested Max)/94273.9982 (Backtested Min),No Next Date Target,76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.18%,"15.01%, 18.23%",20 days/2 days/6 days,11.57%,11.17%,0.4%,0.31,0.4,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,No Exit Yet,490.132 (F-Stack 2),No Date Target,79.59%,"38.89%, 6.7 months","2025-12-19 (Price: 481.2), 38.89% above",864.2098 (Historic Rise or Fall to Pivot),2028-02-15 (Max)/2028-02-15 (Max)/2028-02-15 (Max),175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,70.54% above/68.95% above/38.89% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"ORCL, Long, 2025-09-21 (Price: 308.66)",Weekly,No Exit Yet,No Price Target,2025-12-21 (Avg),64.39%/73.38%,"-37.81%, 3 months","2025-12-19 (Price: 191.97), 37.81% below",347.829 (Historic Rise or Fall to Pivot)/332.8281 (Avg % Gain of Historic Winning trades)/383.61 (Exit Rule)/376.1425 (F-Stack 2)/374.2502 (Backtested Max)/315.574 (Backtested Min),2026-06-30 (Max)/2025-12-21 (Avg),226.13/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/188.37,"96.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,34.3% below/37.81% below/37.81% below,21.25%/2.24%/7.83%,"11.71%, 25.99%",6.5 months/28 days/2.1 months,9.56%,9.15%,0.41%,1.07,0.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",Daily,No Exit Yet,No Price Target,2025-12-20 (Avg),3.26%/6.45%,"-0.84%, 7 days","2025-12-19 (Price: 94.39), 0.84% below",100.4826 (Historic Rise or Fall to Pivot)/101.3393 (Avg % Gain of Historic Winning trades)/100.91 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.28 (EMA 200)/107.0507 (Backtested Max)/97.465 (Backtested Min),2026-01-07 (Max)/2025-12-20 (Avg),92.71/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,8.49%,10.45%,-1.96%,0.17,0.53,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"ETH-USD, Long, 2025-12-10 (Price: 3325.3901)",Daily,No Exit Yet,No Price Target,2025-12-17 (Min),12.75%/19.2%,"-10.41%, 9 days","2025-12-19 (Price: 2979.1304), 10.41% below",4053.318 (Historic Rise or Fall to Pivot)/3769.9948 (Avg % Gain of Historic Winning trades)/3860.56 (Exit Rule)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5298.9816 (F-Stack 2)/3550.99 (EMA 200)/4647.5652 (Backtested Max)/3358.9765 (Backtested Min),2026-04-19 (Max)/2026-01-12 (Avg),2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.86%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,10.3% below/10.41% below/10.41% below,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,60.18%,45.2%,14.98%,0.97,1.15,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2025-12-17 (Min),6.61%/9.58%,"-0.01%, 1.8 month","2025-12-19 (Price: 617.05), 0.01% below",700.9022 (Historic Rise or Fall to Pivot)/657.8286 (Avg % Gain of Historic Winning trades)/676.16 (Exit Rule)/836.2536 (F-Stack 2)/691.584 (Backtested Max),2026-04-26 (Max)/2026-02-02 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.24%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,2.17% above/1.06% above/0.01% below,12.07%/1.74%/6.6%,"10.15%, 35.46%",4.2 months/1.2 month/2.3 months,8.62%,11.98%,-3.36%,0.65,0.79,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,No Exit Yet,1567.4384 (Backtested Min),No Date Target,10.42%/27.76%,"7.14%, 1.8 year","2025-12-19 (Price: 1565.1), 7.14% above",2216.3258 (Historic Rise or Fall to Pivot)/1728.1264 (Avg % Gain of Historic Winning trades)/1999.6 (Exit Rule)/2250.6285 (F-Stack 2)/2080.9096 (Backtested Max),2026-11-15 (Max),1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,"92.86%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,9.71% above/7.14% above/7.14% above,42.45%/7.3%/18.3%,"26.02%, 36.79%",1.9 year/7.1 months/1.1 year,8.89%,12.31%,-3.42%,0.95,0.63,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"HDFCBANK.NS, Long, 2025-06-29 (Price: 1007.45)",Weekly,No Exit Yet,No Price Target,2025-12-19 (Avg),3.33%/7.52%,"-2.18%, 5.8 months","2025-12-19 (Price: 985.5), 2.18% below",1107.792 (Historic Rise or Fall to Pivot)/1059.6359 (Avg % Gain of Historic Winning trades)/1152.92 (Exit Rule)/1263.3223 (F-Stack 1)/2016.6114 (F-Stack 2)/1095.7026 (Backtested Max)/1018.3305 (Backtested Min),2027-05-07 (Max),818.38/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level/892.58,"100.0%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,0.32% above/0.46% below/2.18% below,8.76%/1.08%/5.18%,"-0.0%, 23.57%",1.3 year/28 days/4 months,9.17%,10.82%,-1.65%,1.55,0.65,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,2025-12-15 (Price: 126.75),128.6672 (F-Stack 1)/127.6135 (Backtested Max),No Date Target,4.81%/18.79%,"4.74%, 14 days","2025-12-19 (Price: 127.99), 4.74% above",134.15 (Exit Rule)/152.0396 (F-Stack 2),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,6.58% above/4.74% above/4.74% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1.4 month/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",Daily,No Exit Yet,No Price Target,2025-12-19 (Max),43.55%/45.42%,"-27.42%, 2.6 months","2025-12-19 (Price: 49.91), 27.42% below",77.215 (Historic Rise or Fall to Pivot)/72.5799 (Avg % Gain of Historic Winning trades)/87.2457 (F-Stack 2)/73.632 (Backtested Max)/71.6446 (Backtested Min),No Next Date Target,61.94/41.99/60.36/52.8569/No F-Track Level/No F-Track Level/58.09,"100.0%, Past 4 years, 6",No Information,No Information,No Information,No Information,No Information,23.22% below/27.42% below/27.42% below,7.07%/4.18%/5.54%,"-0.0%, 8.48%",1.8 month/6 days/26 days,45.11%,27.39%,17.72%,1.83,1.11,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
