Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-10-31 (Price: 477.54)",Monthly,No Exit Yet,510.2992 (Historic Rise or Fall to Pivot),No Date Target,3.39%/24.23%,"6.34%, 25 days","2025-11-25 (Price: 507.81), 6.34% above",741.3331 (Avg % Gain of Historic Winning trades)/707.08 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/1452.8677 (Backtested Best)/525.0075 (Backtested Worst),2038-03-31 (Max)/2026-10-10 (Min)/2029-04-17 (Avg),267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,"92.31%, Past 29 years, 26",No Information,No Information,No Information,"23.66% (Price: 451.5539), 12.46% above, Upmove Bounce Back","2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",No Information,204.24%/9.94%/55.24%,"11.32%, 45.86%",8.7 years/7.9 months/2.4 years,5.06%,11.04%,-5.98%,0.48,0.46,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,84.3925 (Horizontal),No Date Target,3.57%/5.43%,"5.74%, 25 days","2025-11-25 (Price: 84.18), 5.74% above",88.7492 (Historic Rise or Fall to Pivot)/1000.833 (Avg % Gain of Historic Winning trades)/138.22 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/5934.9255 (Backtested Best)/87.1889 (Backtested Worst),2040-07-27 (Max)/2026-06-09 (Min)/2030-10-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.38,"100.0%, Past 31 years, 16",No Information,No Information,No Information,"23.66% (Price: 74.8871), 12.41% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,7355.0%/9.52%/1157.17%,"-0.0%, 70.23%",10.3 years/5.1 months/3.5 years,13.79%,17.66%,-3.88%,0.26,0.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2),No Date Target,14.82%/26.32%,"13.0%, 25 days","2025-11-24 (Price: 318.47), 13.0% above",365.6614 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Best),2027-06-19 (Max)/2026-03-04 (Min)/2026-08-15 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"94.12%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,30.76% above/13.0% above/13.0% above,63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,22.75%,24.26%,-1.52%,1.49,0.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",Weekly,No Exit Yet,No Price Target,2025-11-22 (Min),2.92%/4.18%,"-1.65%, 1 month","2025-11-24 (Price: 464.44), 1.65% below",483.8736 (Historic Rise or Fall to Pivot)/490.579 (Avg % Gain of Historic Winning trades)/546.77 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/513.0089 (Backtested Best)/478.0182 (Backtested Worst),2026-08-24 (Max)/2026-03-01 (Avg),454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/435.91,"100.0%, Past 10 years, 28",No Information,No Information,No Information,No Information,No Information,0.58% above/1.65% below/1.65% below,8.64%/1.23%/3.89%,"-0.0%, 14.86%",7.0 months/19 days/2.9 months,10.29%,9.9%,0.39%,1.56,0.44,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-10-24 (Price: 300.44)",Daily,No Exit Yet,No Price Target,2025-11-20 (Min),10.38%/16.09%,"-0.81%, 1.0 month","2025-11-24 (Price: 298.0), 0.81% below",345.9567 (Avg % Gain of Historic Winning trades)/383.73 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/442.2176 (Backtested Best),2028-11-03 (Max)/2026-08-25 (Avg),294.11/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level/278.04,"100.0%, Past 5 years, 38",No Information,No Information,No Information,"23.66% (Price: 285.1676), 4.5% above, Upmove Bounce Back","2024-04-17 (Price: 179.2), 2025-09-29 (Price: 318.01)",No Information,47.19%/1.16%/15.15%,"-0.0%, 40.65%",2.1 years/19 days/7.0 months,9.23%,24.83%,-15.6%,0.67,1.0,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CNQ.TO, Long, 2025-10-23 (Price: 43.68)",Daily,No Exit Yet,No Price Target,2025-11-26 (Min),10.82%/29.07%,"6.41%, 1.1 month","2025-11-24 (Price: 46.48), 6.41% above",59.9901 (Avg % Gain of Historic Winning trades)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/88.1899 (Backtested Best),2027-03-25 (Max)/2025-11-26 (Min)/2026-06-30 (Avg),41.91/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/42.97,"100.0%, Past 5 years, 38",No Information,No Information,No Information,"78.6% (Price: 41.8591), 11.04% above, Upmove Bounce Back","2025-08-19 (Price: 40.62), 2025-10-09 (Price: 46.41)",No Information,101.9%/7.41%/37.34%,"-0.0%, 18.38%",11.9 months/24 days/5.8 months,29.0%,31.99%,-2.99%,0.39,1.09,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"MA, Long, 2025-10-20 (Price: 566.36)",Daily,No Exit Yet,No Price Target,2025-11-26 (Avg),10.18%/10.24%,"-5.03%, 1.2 month","2025-11-24 (Price: 537.85), 5.03% below",592.5825 (Historic Rise or Fall to Pivot)/612.1785 (Avg % Gain of Historic Winning trades)/662.64 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/650.691 (Backtested Best)/595.301 (Backtested Worst),2026-03-06 (Max)/2025-11-26 (Avg),No Recent Minima/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/560.5,"93.1%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,14.89%/5.11%/8.09%,"12.38%, 17.12%",3.2 months/2 days/26 days,44.09%,12.44%,31.65%,0.45,0.45,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2025-10-16 (Price: 180.73)",Daily,No Exit Yet,197.56 (Horizontal),No Date Target,13.63%/22.86%,"10.18%, 1.3 month","2025-11-24 (Price: 199.13), 10.18% above",226.274 (Avg % Gain of Historic Winning trades)/244.65 (Exit Rule)/294.0831 (F-Stack 2)/354.773 (Backtested Best),2027-10-10 (Max)/2026-06-16 (Avg),174.88/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/176.14,"89.74%, Past 5 years, 39",No Information,No Information,No Information,"23.66% (Price: 171.255), 16.28% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-06-11 (Price: 196.46)",No Information,96.3%/1.29%/25.2%,"4.51%, 13.11%",1.4 year/24 days/5.6 months,14.53%,30.26%,-15.73%,0.54,1.4,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"MA, Long, 2025-10-15 (Price: 562.81)",Daily,No Exit Yet,No Price Target,2025-11-21 (Avg),9.49%/9.99%,"-4.43%, 1.3 month","2025-11-24 (Price: 537.85), 4.43% below",588.8681 (Historic Rise or Fall to Pivot)/608.3413 (Avg % Gain of Historic Winning trades)/658.49 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/646.6124 (Backtested Best)/591.5696 (Backtested Worst),2026-03-01 (Max),No Recent Minima/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/560.5,"93.1%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,14.89%/5.11%/8.09%,"12.38%, 17.12%",3.2 months/2 days/26 days,44.09%,12.44%,31.65%,0.45,0.45,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",Daily,No Exit Yet,No Price Target,2025-11-22 (Avg),4.45%/5.7%,"-3.82%, 1.6 month","2025-11-25 (Price: 5.79), 3.82% below",6.1422 (Historic Rise or Fall to Pivot)/6.3523 (Avg % Gain of Historic Winning trades)/6.12 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.1319 (Backtested Best)/6.0477 (Backtested Worst),2026-06-23 (Max),5.57/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,"91.3%, Past 4 years, 46",No Information,No Information,No Information,No Information,No Information,2.85% below/3.82% below/3.82% below,18.47%/0.46%/5.52%,"6.51%, 17.02%",5.9 months/5 days/1.0 month,19.9%,4.2%,15.69%,0.73,0.16,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,No Exit Yet,197.56 (Horizontal)/197.7512 (Backtested Worst),No Date Target,1.56%/6.34%,"9.54%, 1.8 month","2025-11-24 (Price: 199.13), 9.54% above",202.2414 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/211.749 (Backtested Best),2026-01-06 (Max)/2025-11-27 (Min)/2025-12-12 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/176.14,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",2.2 months/1.3 month/1.7 month,14.73%,27.78%,-13.05%,1.6,1.2,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-09-28 (Price: 110.35)",Weekly,2025-11-16 (Price: 114.05),116.7172 (Avg % Gain of Historic Winning trades),No Date Target,6.2%/8.54%,"5.76%, 1.9 month","2025-11-24 (Price: 116.71), 5.76% above",126.68 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/123.9451 (Backtested Best),2027-07-24 (Max)/2026-03-03 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/91.14,"84.62%, Past 10 years, 39",No Information,No Information,No Information,No Information,No Information,5.76% above/5.76% above/5.76% above,12.32%/1.31%/5.77%,"9.57%, 31.6%",1.3 year/19 days/3.6 months,7.92%,7.82%,0.1%,0.84,0.3,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-09-14 (Price: 241.38)",Weekly,2025-11-16 (Price: 276.98),No Price Target,2025-11-21 (Avg),No Next Target,"31.94%, 2.4 months","2025-11-24 (Price: 318.47), 31.94% above",No Next Target,2026-03-19 (Max),147.74/84.6567/203.7099/185.0665/No F-Track Level/No F-Track Level/182.46,"100.0%, Past 10 years, 26",No Information,No Information,No Information,No Information,No Information,35.42% above/31.94% above/31.94% above,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,35.83%,21.1%,14.73%,1.74,0.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,No Exit Yet,84.3925 (Horizontal),No Date Target,12.87%/38.24%,"7.74%, 3.1 months","2025-11-25 (Price: 84.18), 7.74% above",116.3746 (Avg % Gain of Historic Winning trades)/136.67 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/257.704 (Backtested Best),2033-06-22 (Max)/2026-01-14 (Min)/2029-05-17 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.38,"96.55%, Past 20 years, 29",No Information,No Information,No Information,"23.66% (Price: 74.9167), 12.36% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,229.84%/0.22%/48.95%,"14.17%, 65.83%",5.5 years/3.3 months/2.6 years,4.97%,16.95%,-11.98%,0.35,0.61,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"SPY, Long, 2025-08-10 (Price: 637.18)",Weekly,2025-11-16 (Price: 671.93),No Price Target,2025-11-26 (Avg),3.3%/5.03%,"4.95%, 3.6 months","2025-11-25 (Price: 668.73), 4.95% above",690.8306 (Historic Rise or Fall to Pivot)/969.1148 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/702.3635 (Backtested Best),2026-02-05 (Max)/2025-11-26 (Avg),505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/614.93,"90.48%, Past 10 years, 21",No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,10.23%/0.46%/4.63%,"5.53%, 12.25%",4.1 months/1.5 month/2.5 months,8.38%,12.23%,-3.85%,0.78,0.56,88.89%/27/2.9 months (Across ALL Assets),85.45%/55/2.5 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-08-06 (Price: 194.0)",Daily,2025-11-20 (Price: 198.34),No Price Target,No Date Target,0.84%/2.52%,"2.64%, 3.7 months","2025-11-24 (Price: 199.13), 2.64% above",200.8094 (Avg % Gain of Historic Winning trades)/204.14 (Exit Rule)/294.0831 (F-Stack 2)/213.6328 (Backtested Best),2025-12-30 (Max),185.49/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/159.0,"100.0%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,3.34% above/2.64% above/2.64% above,10.12%/0.29%/3.51%,"-0.0%, 13.61%",3.4 months/4 days/29 days,31.05%,25.35%,5.71%,1.47,1.07,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"RELIANCE.NS, Long, 2025-07-23 (Price: 1424.6)",Daily,No Exit Yet,1542.272 (Backtested Worst),No Date Target,1.21%/4.07%,"8.08%, 4.2 months","2025-11-25 (Price: 1539.7), 8.08% above",1602.3901 (Avg % Gain of Historic Winning trades)/1558.3 (Exit Rule)/1879.7264 (F-Stack 1)/2250.6285 (F-Stack 2)/1707.9529 (Backtested Best),2026-02-22 (Max),1412.8/853.4344/1375.0525/1032.6763/No F-Track Level/No F-Track Level/1382.26,"77.78%, Past 5 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,19.89%/8.26%/12.48%,"12.12%, 24.71%",4.9 months/1.0 month/2.6 months,16.33%,10.71%,5.62%,0.69,0.42,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
PULSEGAUGE,"EFN.TO, Long, 2025-07-06 (Price: 34.69)",Weekly,No Exit Yet,No Price Target,2025-11-27 (Avg),12.77%/13.74%,"7.32%, 4.7 months","2025-11-25 (Price: 37.23), 7.32% above",42.3461 (Avg % Gain of Historic Winning trades)/45.1741 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/42.9289 (Backtested Best)/41.9853 (Backtested Worst),2026-06-24 (Max)/2025-11-27 (Avg),27.54/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level/33.46,"100.0%, Past 22 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,23.75%/21.03%/22.07%,"-0.0%, 12.69%",8.1 months/1.1 month/3.3 months,46.11%,15.83%,30.28%,0.92,0.55,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
