Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-10 (Price: 240.83)",Daily,No Price Target,2025-11-14 (Earliest),No Exit Yet,"2025-11-14 (Price: 222.85), 7.47% below","71.43%, Past 4 years, 7",10.06%/11.41%,"-7.47%, 4 days",4.11%/1.84%/3.09%,271.7285 (Historic Rise or Fall to Pivot)/248.2716 (Avg % Gain of Historic Winning trades)/260.0 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/250.7281 (Backtested Best)/245.2613 (Backtested Worst)/248.2716 (Backtested Avg),2025-12-08 (Farthest)/2025-11-20 (Avg),"-7.47%, 4 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-14 (Price: 222.85), 7.47% below",4 days,No Information,No Information,No Information,No Information,No Information,No Information,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-08/2025-11-14/2025-11-20,-5.14%,28.08%,-33.22%,-0.21,0.86,271.7285/248.2716/260.0/No Horizontal Resistance/300.069/376.1425,239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level,279.51/209.46,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",Daily,No Price Target,2025-11-17 (Earliest),No Exit Yet,"2025-11-14 (Price: 37.69), 1.13% below","75.86%, Past 4 years, 58",1.62%/2.31%,"-1.13%, 4 days",11.99%/0.47%/4.38%,39.3894 (Historic Rise or Fall to Pivot)/39.7897 (Avg % Gain of Historic Winning trades)/38.56 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.6906 (Backtested Best)/38.2992 (Backtested Worst)/39.7897 (Backtested Avg),2026-02-25 (Farthest)/2025-11-17 (Earliest)/2025-12-22 (Avg),"-1.13%, 4 days","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-14 (Price: 37.69), 1.13% below",4 days,No Information,No Information,No Information,No Information,No Information,2.1% below/1.13% below/1.13% below,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-25/2025-11-17/2025-12-22,0%,10.77%,0%,-0.18,0.39,39.3894/39.7897/38.56/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.08/36.0,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"BTC-USD, Long, 2025-11-06 (Price: 101301.2891)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-13 (Price: 99697.4922), 1.58% below","93.75%, Past 5 years, 64",18.41%/22.48%,"-1.58%, 5 days",133.41%/2.6%/33.78%,135520.8646 (Avg % Gain of Historic Winning trades)/118048.41 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/236447.3389 (Backtested Best)/135520.8646 (Backtested Avg),2028-03-24 (Farthest)/2026-06-08 (Avg),"-1.58%, 5 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-13 (Price: 99697.4922), 1.58% below",5 days,No Information,No Information,No Information,"88.6% (Price: 101468.156), 1.75% below, Upmove Bounce Back","2025-06-22 (Price: 98286.2031), 2025-10-06 (Price: 126198.0703)",No Information,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-24/2025-11-13/2026-06-08,16.74%,49.32%,-32.58%,0.38,0.92,104988.656/135520.8646/118048.41/124582.2656/122105.3521/133759.1807,100987.14/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,111208.71/110469.78,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2025-11-06 (Price: 69.75)",Daily,No Price Target,2025-11-16 (Avg),No Exit Yet,"2025-11-14 (Price: 70.3), 0.79% above","90.0%, Past 4 years, 10",1.19%/2.35%,"0.79%, 6 days",4.29%/1.99%/3.16%,76.8505 (Historic Rise or Fall to Pivot)/71.9541 (Avg % Gain of Historic Winning trades)/74.4 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/72.7423 (Backtested Best)/71.138 (Backtested Worst)/71.9541 (Backtested Avg),2026-01-05 (Farthest)/2025-11-16 (Avg),"0.79%, 6 days","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-14 (Price: 70.3), 0.79% above",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"7.87%, 8.49%",42 days/1 days/7 days,2026-01-05/2025-11-07/2025-11-16,10.18%,9.13%,1.05%,0.58,0.34,76.8505/71.9541/74.4/85.51/85.3936/96.14,68.8/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.71/71.53,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",Daily,No Price Target,2025-11-13 (Earliest),No Exit Yet,"2025-11-14 (Price: 37.69), 1.18% below","75.86%, Past 4 years, 58",3.86%/4.56%,"-1.18%, 6 days",11.99%/0.47%/4.38%,39.4101 (Historic Rise or Fall to Pivot)/39.8105 (Avg % Gain of Historic Winning trades)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.713 (Backtested Best)/39.8105 (Backtested Avg),2026-02-21 (Farthest)/2025-12-18 (Avg),"-1.18%, 6 days","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-14 (Price: 37.69), 1.18% below",6 days,No Information,No Information,No Information,No Information,No Information,1.18% below/1.18% below/1.18% below,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-21/2025-11-13/2025-12-18,0%,10.77%,0%,-0.18,0.39,39.4101/39.8105/38.33/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.01/36.01,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",Daily,12.2434 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-14 (Price: 12.25), 3.38% above","90.0%, Past 4 years, 20",1.14%/1.14%,"3.38%, 8 days",8.54%/1.38%/4.55%,12.3892 (Avg % Gain of Historic Winning trades)/12.59 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.862 (Backtested Best)/12.3892 (Backtested Avg),2026-05-15 (Farthest)/2025-11-27 (Avg),"3.38%, 8 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-14 (Price: 12.25), 3.38% above",8 days,No Information,No Information,No Information,No Information,No Information,3.38% above/3.38% above/3.38% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-11-03 (Price: 182.6)",Daily,194.1559 (F-Stack 1),No Date Target,2025-11-13 (Price: 194.07),"2025-11-14 (Price: 194.93), 6.75% above","100.0%, Past 4 years, 44",1.35%/3.15%,"6.75%, 9 days",10.12%/0.29%/3.51%,197.56 (Horizontal)/294.0831 (F-Stack 2)/201.0791 (Backtested Best),2026-03-29 (Farthest)/2025-12-15 (Avg),"6.28%, 8 days","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-14 (Price: 194.93), 6.75% above",9 days,No Information,No Information,No Information,No Information,No Information,6.75% above/6.75% above/6.75% above,"-0.0%, 13.61%",101 days/4 days/29 days,2026-03-29/2025-11-08/2025-12-15,31.05%,25.35%,5.71%,1.47,1.07,186.1242/189.0093/188.43/197.56/194.1559/294.0831,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level,184.66/172.2,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,84.3925 (Horizontal),No Date Target,No Exit Yet,"2025-11-14 (Price: 84.87), 6.61% above","100.0%, Past 31 years, 16",2.73%/4.57%,"6.61%, 10 days",7355.0%/9.52%/1157.17%,88.7492 (Historic Rise or Fall to Pivot)/1000.833 (Avg % Gain of Historic Winning trades)/138.22 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/5934.9255 (Backtested Best)/87.1889 (Backtested Worst)/1000.833 (Backtested Avg),2040-07-27 (Farthest)/2026-06-09 (Earliest)/2030-10-03 (Avg),"6.61%, 10 days","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 84.87), 6.61% above",10 days,No Information,No Information,No Information,"23.66% (Price: 74.8871), 13.33% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,"-0.0%, 70.23%",3717 days/153 days/1242 days,2040-07-27/2026-06-09/2030-10-03,13.79%,17.66%,-3.88%,0.26,0.62,88.7492/1000.833/138.22/84.3925/95.0177/123.2166,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.19/75.0,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
OSCILLATOR DELTA,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Price Target,2025-11-17 (Avg),No Exit Yet,"2025-11-14 (Price: 303.61), 2.41% below","83.33%, Past 6 years, 30",6.95%/7.6%,"-2.41%, 10 days",17.78%/5.3%/7.87%,324.7159 (Historic Rise or Fall to Pivot)/335.6051 (Avg % Gain of Historic Winning trades)/326.68 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/366.4371 (Backtested Best)/327.6094 (Backtested Worst)/335.6051 (Backtested Avg),2025-12-06 (Farthest)/2025-11-17 (Avg),"-2.41%, 10 days","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-14 (Price: 303.61), 2.41% below",10 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.96%, 18.99%",25 days/2 days/12 days,2025-12-06/2025-11-02/2025-11-17,27.42%,15.43%,11.99%,0.14,0.55,324.7159/335.6051/326.68/No Horizontal Resistance/328.9175/381.492,No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,307.53/277.18,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-10-31 (Price: 477.54)",Monthly,510.2992 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-14 (Price: 508.94), 6.58% above","92.31%, Past 29 years, 26",3.16%/23.95%,"6.58%, 10 days",204.24%/9.94%/55.24%,741.3331 (Avg % Gain of Historic Winning trades)/707.08 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/1452.8677 (Backtested Best)/525.0075 (Backtested Worst)/741.3331 (Backtested Avg),2038-03-31 (Farthest)/2026-10-10 (Earliest)/2029-04-17 (Avg),"6.58%, 10 days","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 508.94), 6.58% above",10 days,No Information,No Information,No Information,"23.66% (Price: 451.5539), 12.71% above, Upmove Bounce Back","2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",No Information,"11.32%, 45.86%",3131 days/238 days/873 days,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level,493.55/496.0,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
