Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GOOG, Long, 2026-03-11 (Price: 308.42)",No Exit Yet,"-2.26%, 2 days","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 301.46), 2.26% below",2 days,306.285,No Information,No Information,No Information,"23.66% (Price: 289.3178), 4.2% above, Upmove Bounce Back","2023-03-15 (Price: 93.04), 2026-02-03 (Price: 350.15)",No Information,14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2029-01-16/2026-04-16/2026-10-31,22.02%,19.29%,2.73%,1.63,0.99,347.7127/339.262/462.69/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,298.3/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/257.13,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2026-03-11 (Price: 342.09)",No Exit Yet,"-3.15%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 331.32), 3.15% below",2 days,340.745,No Information,No Information,No Information,"23.66% (Price: 312.6772), 5.96% above, Upmove Bounce Back","2023-04-27 (Price: 131.53), 2026-02-25 (Price: 368.82)",No Information,14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-03-08/2026-03-29/2026-09-09,24.17%,12.97%,11.2%,1.2,0.63,369.9019/378.8305/484.46/No Horizontal Resistance/411.0319/449.8184/No EMA 200 Target,323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/283.96,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"^DJI, Long, 2026-03-11 (Price: 47417.2695)",No Exit Yet,"-1.81%, 2 days","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 46558.4688), 1.81% below",2 days,47690.7617,No Information,No Information,No Information,"23.66% (Price: 47223.8106), 1.41% below, Upmove Bounce Back","2025-04-07 (Price: 36611.7812), 2026-02-10 (Price: 50512.7891)",No Information,10.6%/3.85%/8.98%,"1.17%, 21.94%",2.4 years/1.7 month/11.5 months,2029-08-13/2026-05-23/2027-07-23,18.13%,6.69%,11.44%,1.91,0.44,48787.6286/51675.3403/55757.87/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,45752.26/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/46461.29,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"MSE.PA, Long, 2026-03-11 (Price: 64.68)",No Exit Yet,"-1.31%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 63.83), 1.31% below",2 days,64.56,No Information,No Information,No Information,"23.66% (Price: 62.5404), 2.06% above, Upmove Bounce Back","2023-03-20 (Price: 40.795), 2026-02-26 (Price: 69.28)",No Information,10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-06-22/2026-05-06/2026-11-04,22.9%,9.15%,13.75%,2.88,0.6,66.7562/70.1972/81.77/No Horizontal Resistance/81.1364/93.8009/No EMA 200 Target,63.5/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/62.44,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"RY.TO, Long, 2026-03-11 (Price: 224.19)",No Exit Yet,"-1.21%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 221.47), 1.21% below",2 days,224.61,No Information,No Information,No Information,"23.66% (Price: 213.6657), 3.65% above, Upmove Bounce Back","2024-02-13 (Price: 127.6), 2026-01-06 (Price: 240.34)",No Information,10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-10-04/2026-05-02/2027-02-28,16.77%,10.42%,6.35%,3.94,0.82,232.9782/244.5689/291.83/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,221.95/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/206.14,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-03-11 (Price: 184.51)",No Exit Yet,"-2.14%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 180.57), 2.14% below",2 days,183.72,No Information,No Information,No Information,"23.66% (Price: 185.9306), 2.88% below, Upmove Bounce Back","2026-01-28 (Price: 160.83), 2026-02-27 (Price: 193.71)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-03-10/2026-06-05/2027-02-17,24.66%,12.6%,12.06%,7.0,0.93,192.3332/204.8984/204.24/No Horizontal Resistance/207.1743/217.2943/No EMA 200 Target,183.94/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/157.2,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2026-03-11 (Price: 252.85)",No Exit Yet,"-2.48%, 2 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 246.59), 2.48% below",2 days,252.34,No Information,No Information,No Information,"23.66% (Price: 245.5906), 0.41% above, Upmove Bounce Back","2023-10-27 (Price: 161.67), 2026-01-22 (Price: 271.6)",No Information,13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-10-04/2026-06-01/2027-07-15,14.39%,3.76%,10.63%,1.95,0.16,242.8877/276.1628/318.81/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,250.89/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/240.2,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"GDX, Long, 2026-03-11 (Price: 101.36)",No Exit Yet,"-7.99%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 93.26), 7.99% below",2 days,102.05,No Information,No Information,No Information,"23.66% (Price: 97.3586), 4.21% below, Upmove Bounce Back","2024-12-30 (Price: 33.42), 2026-03-02 (Price: 117.175)",No Information,16.06%/1.26%/10.28%,"3.89%, 38.9%",2.3 years/14 days/4.8 months,2029-06-20/2026-03-31/2026-10-05,25.44%,12.61%,12.83%,1.62,0.62,110.381/111.7798/151.61/No Horizontal Resistance/136.5646/157.2221/No EMA 200 Target,92.44/25.645/90.9746/72.73/No F-Track Level/No F-Track Level/75.43,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"DIA, Long, 2026-03-11 (Price: 474.81)",No Exit Yet,"-1.77%, 2 days","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 466.41), 1.77% below",2 days,477.4,No Information,No Information,No Information,"23.66% (Price: 472.4173), 1.27% below, Upmove Bounce Back","2025-04-07 (Price: 366.32), 2026-02-10 (Price: 505.3)",No Information,10.56%/4.34%/8.4%,"2.53%, 21.9%",2.4 years/1.7 month/10.7 months,2029-08-13/2026-05-23/2027-06-18,17.57%,6.62%,10.95%,2.06,0.43,488.3421/514.694/558.2/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,458.1/326.1/359.6128/249.2814/No F-Track Level/No F-Track Level/464.82,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"CSCO, Long, 2026-03-11 (Price: 78.1)",No Exit Yet,"0.29%, 2 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 78.33), 0.29% above",2 days,77.635,No Information,No Information,No Information,"78.6% (Price: 76.0935), 2.94% above, Upmove Bounce Back","2026-01-12 (Price: 72.8), 2026-02-10 (Price: 88.19)",No Information,13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-10-04/2026-04-23/2027-01-13,22.72%,7.9%,14.82%,3.15,0.44,79.045/85.9178/87.33/No Horizontal Resistance/109.6316/119.2504/No EMA 200 Target,76.21/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/72.24,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Long, 2026-03-11 (Price: 6.67)",No Exit Yet,"-1.95%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 6.54), 1.95% below",2 days,6.65,No Information,No Information,No Information,"78.6% (Price: 6.4376), 1.59% above, Upmove Bounce Back","2025-12-10 (Price: 6.23), 2026-02-27 (Price: 7.2)",No Information,12.26%/1.45%/9.77%,"2.02%, 13.19%",1.2 year/24 days/5.9 months,2027-11-26/2026-04-14/2026-11-22,20.99%,5.6%,15.39%,1.09,0.29,6.7907/7.3217/7.25/6.826/15.377/16.6022/6.69,6.49/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"WPM.TO, Long, 2026-03-11 (Price: 202.06)",No Exit Yet,"-4.91%, 2 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 192.13), 4.91% below",2 days,201.98,No Information,No Information,No Information,"38.2% (Price: 189.6298), 1.32% above, Upmove Bounce Back","2025-10-28 (Price: 129.69), 2026-03-02 (Price: 226.68)",No Information,14.62%/2.13%/10.44%,"0.62%, 39.55%",1.1 year/13 days/4.4 months,2027-10-05/2026-03-29/2026-09-18,33.25%,15.97%,17.28%,1.94,0.81,214.2038/223.1551/260.25/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,199.72/52.782/174.4202/158.548/No F-Track Level/No F-Track Level/152.8,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"ACWX, Long, 2026-03-11 (Price: 70.22)",No Exit Yet,"-2.88%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 68.2), 2.88% below",2 days,70.12,No Information,No Information,No Information,"23.66% (Price: 67.8149), 0.57% above, Upmove Bounce Back","2023-10-27 (Price: 44.89), 2026-02-25 (Price: 74.92)",No Information,10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-04/2026-06-10/2027-08-14,15.62%,3.37%,12.25%,3.17,0.11,71.4067/76.8979/88.24/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,69.3/45.07/69.6679/61.9685/No F-Track Level/No F-Track Level/65.56,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"EWJ, Long, 2026-03-11 (Price: 85.73)",No Exit Yet,"-2.76%, 2 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 83.36), 2.76% below",2 days,85.3,No Information,No Information,No Information,"38.2% (Price: 81.1239), 2.76% above, Upmove Bounce Back","2025-04-07 (Price: 59.84), 2026-02-12 (Price: 94.28)",No Information,11.53%/1.99%/7.79%,"-0.0%, 31.15%",3.7 years/24 days/10.3 months,2031-06-22/2026-04-14/2027-06-01,12.5%,3.34%,9.16%,1.51,0.11,86.8959/92.4084/106.39/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,84.77/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/80.9,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2026-03-10 (Price: 64.41)",No Exit Yet,"-3.8%, 3 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 61.96), 3.8% below",3 days,64.52,No Information,No Information,No Information,"38.2% (Price: 60.4064), 2.57% above, Upmove Bounce Back","2023-06-22 (Price: 24.55), 2026-01-19 (Price: 82.57)",No Information,14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-03-07/2026-04-06/2027-05-27,19.04%,8.7%,10.34%,2.35,0.44,69.756/71.5595/99.22/No Horizontal Resistance/79.9248/84.3122/No EMA 200 Target,64.31/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/63.7,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-03-10 (Price: 327.94)",No Exit Yet,"-0.45%, 3 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 326.46), 0.45% below",3 days,328.34,No Information,No Information,No Information,"38.2% (Price: 325.1636), 0.4% above, Upmove Bounce Back","2026-01-06 (Price: 298.33), 2026-03-02 (Price: 341.75)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-10-03/2026-09-02/2027-05-18,9.72%,5.91%,3.81%,0.88,0.33,334.8267/350.2727/353.99/No Horizontal Resistance/370.0426/590.3302/No EMA 200 Target,327.45/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/308.35,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-03-10 (Price: 24261.5996)",No Exit Yet,"-4.58%, 3 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 23151.0996), 4.58% below",3 days,24280.8008,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-04-06/2026-03-11/2026-03-17,7.24%,8.84%,-1.6%,0.75,0.7,25908.9622/24766.2409/25337.6/26106.6328/No Next Fib Ext/No Next Fib Ext/25317.19,24028.05/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,80.99%/142/14 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2026-03-10 (Price: 125.12)",No Exit Yet,"1.12%, 3 days","83.33%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 126.52), 1.12% above",3 days,124.21,No Information,No Information,No Information,"38.2% (Price: 121.0106), 4.55% above, Upmove Bounce Back","2025-11-14 (Price: 98.88), 2026-02-17 (Price: 134.69)",No Information,12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2028-03-07/2026-04-12/2026-08-22,27.4%,11.93%,15.47%,1.3,0.75,128.7109/136.6436/146.61/No Horizontal Resistance/137.8139/157.799/No EMA 200 Target,123.31/43.3466/108.7906/98.8222/No F-Track Level/No F-Track Level/107.46,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2026-03-10 (Price: 106.5)",No Exit Yet,"-2.01%, 3 days","86.67%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 104.36), 2.01% below",3 days,106.82,No Information,No Information,No Information,"23.66% (Price: 105.2527), 0.85% below, Upmove Bounce Back","2025-08-07 (Price: 81.74), 2026-02-17 (Price: 112.54)",No Information,12.45%/0.93%/9.41%,"2.45%, 16.76%",1.8 year/11 days/7 months,2028-10-03/2026-03-25/2027-01-08,19.65%,6.44%,13.21%,1.72,0.41,109.8654/116.5217/124.98/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,105.94/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/95.7,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
