Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,No Exit Yet,3.6453 (Backtested Max),No Date Target,4.37%/118.17%,"6.09%, 26 days","2025-12-12 (Price: 3.66), 6.09% above",3.82 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.87% above/6.09% above/6.09% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1 day/3 days/10 days,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),3.93B
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,No Exit Yet,3.6488 (Avg % Gain of Historic Winning trades)/3.677 (Backtested Max),No Date Target,66.12%/118.17%,"5.17%, 2 days","2025-12-12 (Price: 3.66), 5.17% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,16.56% above/5.17% above/5.17% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1 day/3 days/10 days,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),3.93B
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,No Exit Yet,1567.4384 (Backtested Min),No Date Target,11.03%/28.47%,"6.55%, 1 day","2025-12-12 (Price: 1556.5), 6.55% above",2216.3258 (Historic Rise or Fall to Pivot)/1728.1264 (Avg % Gain of Historic Winning trades)/1999.6 (Exit Rule)/2250.6285 (F-Stack 2)/2080.9096 (Backtested Max),2026-11-15 (Max),1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,"92.86%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,9.1% above/6.55% above/6.55% above,42.45%/7.3%/18.3%,"26.02%, 36.79%",1 day/7 days/1 day,8.89%,12.31%,-3.42%,0.95,0.63,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),21064.07B
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",Daily,No Exit Yet,No Price Target,2025-12-11 (Avg),1.84%/2.56%,"-0.63%, 1 day","2025-12-12 (Price: 1001.5), 0.63% below",1027.0999 (Historic Rise or Fall to Pivot)/1043.8302 (Avg % Gain of Historic Winning trades)/1034.52 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1089.9898 (Backtested Max)/1019.9442 (Backtested Min),2026-03-08 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/939.21,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,0.63% below/0.63% below/0.63% below,8.15%/1.2%/3.57%,"-0.0%, 11.99%",3 days/4 days/1 day,15.51%,5.46%,10.05%,1.19,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),15405.55B
FRACTAL TRACK,"MA, Long, 2025-10-15 (Price: 562.81)",Daily,No Exit Yet,572.8843 (Backtested Min),No Date Target,1.41%/3.67%,"1.62%, 1 day","2025-12-12 (Price: 571.93), 1.62% above",579.9757 (Historic Rise or Fall to Pivot)/614.7011 (Avg % Gain of Historic Winning trades)/708.01 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/626.5764 (Backtested Max),2028-05-10 (Max)/2026-05-24 (Avg),557.48/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,"88.24%, Past 5 years, 17",No Information,No Information,No Information,"23.66% (Price: 544.5128), 5.04% above, Upmove Bounce Back","2023-10-27 (Price: 359.77), 2025-08-22 (Price: 601.77)",No Information,11.33%/1.79%/9.22%,"1.45%, 26.0%",1 day/17 days/5 days,20.55%,7.44%,13.11%,0.98,0.4,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),517.03B
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",Daily,No Exit Yet,No Price Target,2025-12-13 (Min),2.39%/5.56%,"0.0%, 0 days","2025-12-12 (Price: 95.19), 0.0% below",100.4826 (Historic Rise or Fall to Pivot)/101.3393 (Avg % Gain of Historic Winning trades)/100.91 (Exit Rule)/138.686 (F-Stack 1)/152.7047 (F-Stack 2)/113.34 (EMA 200)/107.0507 (Backtested Max)/97.465 (Backtested Min),2026-01-07 (Max)/2025-12-13 (Min)/2025-12-20 (Avg),92.71/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,8.49%,10.45%,-1.96%,0.17,0.53,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),403.35B
TRENDPULSE,"PG, Long, 2025-07-23 (Price: 158.28)",Daily,No Exit Yet,No Price Target,2025-12-13 (Max),12.24%/13.03%,"-9.75%, 4 days","2025-12-12 (Price: 142.84), 9.75% below",161.4456 (Avg % Gain of Historic Winning trades)/165.25 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/166.21 (EMA 200)/163.2183 (Backtested Max)/160.3218 (Backtested Min),2025-12-13 (Max),152.68/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,9.78% below/9.75% below/9.75% below,3.12%/1.29%/2.0%,"6.35%, 12.85%",3 days/6 days/1 day,9.71%,2.06%,7.65%,0.36,0.03,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),334.31B
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,No Exit Yet,No Price Target,2025-12-10 (Min),1.31%/1.44%,"2.95%, 7 days","2025-12-12 (Price: 125.8), 2.95% above",127.4424 (Historic Rise or Fall to Pivot)/134.15 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/127.6135 (Backtested Max),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,4.75% above/2.95% above/2.95% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1 day/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),214.77B
SIGMASHELL,"TRI.TO, Long, 2025-09-02 (Price: 244.88)",Daily,No Exit Yet,No Price Target,2025-12-10 (Max),37.43%/37.86%,"-26.54%, 3 days","2025-12-12 (Price: 179.89), 26.54% below",247.99 (Historic Rise or Fall to Pivot)/268.413 (Avg % Gain of Historic Winning trades)/293.2329 (Exit Rule)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/277.4001 (Backtested Max)/247.2308 (Backtested Min),No Next Date Target,231.86/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/241.22,"90.0%, Past 5 years, 10","-9.0, 100.0",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2 days/1 day/1 day,11.85%,6.18%,5.67%,0.52,0.33,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),81.07B
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,No Exit Yet,202.2414 (Avg % Gain of Historic Winning trades),No Date Target,4.71%/45.42%,"11.24%, 2 days","2025-12-12 (Price: 202.23), 11.24% above",294.0831 (F-Stack 2)/211.749 (Backtested Max),2026-02-17 (Max)/2025-12-22 (Min)/2026-01-08 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/180.15,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",3 days/1 day/2 days,14.73%,19.58%,-4.85%,1.4,1.24,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),55.33B
TRENDPULSE,"TFII.TO, Long, 2025-10-17 (Price: 132.51)",Daily,2025-12-10 (Price: 139.46),No Price Target,No Date Target,2.24%/55.62%,"6.69%, 1 day","2025-12-12 (Price: 141.37), 6.69% above",219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/144.5419 (Backtested Max),2026-02-24 (Max)/2025-12-16 (Avg),121.18/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No EMA 200 Support,"84.21%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,5.53% above/6.69% above/6.69% above,9.08%/2.14%/5.23%,"5.39%, 18.82%",3 days/8 days/1 day,14.66%,12.79%,1.87%,1.0,0.61,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11.74B
TRENDPULSE,"BYD.TO, Long, 2025-02-02 (Price: 238.35)",Weekly,No Exit Yet,No Price Target,2025-12-11 (Max),10.76%/15.52%,"-7.17%, 10 days","2025-12-12 (Price: 221.25), 7.17% below",257.2035 (Historic Rise or Fall to Pivot)/255.5827 (Avg % Gain of Historic Winning trades)/255.83 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/271.4091 (Backtested Max)/245.0476 (Backtested Min),No Next Date Target,208.54/187.425/229.0045/147.1212/No F-Track Level/No F-Track Level/230.01,"100.0%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,0.13% below/7.17% below/7.17% below,13.87%/2.81%/7.23%,"-0.0%, 50.63%",7 days/28 days/4 days,12.02%,17.33%,-5.31%,1.5,0.91,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),6.16B
TRENDPULSE,"KXS.TO, Long, 2025-12-04 (Price: 178.88)",Daily,No Exit Yet,No Price Target,2025-12-14 (Min),5.41%/6.82%,"-4.09%, 8 days","2025-12-12 (Price: 171.57), 4.09% below",190.5072 (Historic Rise or Fall to Pivot)/188.468 (Avg % Gain of Historic Winning trades)/192.3 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/183.27 (EMA 200)/197.8949 (Backtested Max)/180.8477 (Backtested Min),2026-04-26 (Max)/2025-12-14 (Min)/2026-01-25 (Avg),170.26/125.3967/176.1333/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 4 years, 27",No Information,No Information,No Information,No Information,No Information,1.15% below/4.09% below/4.09% below,10.63%/1.1%/5.36%,"12.05%, 47.61%",3 days/7 days/1 day,5.65%,6.41%,-0.76%,0.33,0.34,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),4.81B
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-12 (Price: 9.34) (Today),No Price Target,No Date Target,10.8%/18.05%,"7.11%, 1 day","2025-12-12 (Price: 9.34), 7.11% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),2026-01-25 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,9.37% above/7.11% above/7.11% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11 days/5 days/8 days,14.78%,5.28%,9.5%,1.0,0.27,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),4.05B
TRENDPULSE,"SOXX, Long, 2024-06-30 (Price: 246.63)",Quarterly,No Exit Yet,301.3628 (F-Stack 2),No Date Target,8.7%/9.89%,"21.43%, 1 day","2025-12-12 (Price: 299.48), 21.43% above",329.1031 (Historic Rise or Fall to Pivot)/364.3958 (Avg % Gain of Historic Winning trades)/376.19 (Exit Rule)/430.394 (Backtested Max)/325.5269 (Backtested Min),2029-03-16 (Max)/2026-05-08 (Min)/2027-03-17 (Avg),106.24/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/198.64,"100.0%, Past 24 years, 7",No Information,No Information,No Information,No Information,No Information,21.43% above/28.39% above/21.43% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3 days/1 day/1 day,16.0%,8.74%,7.26%,0.66,0.45,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),2.29B
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,2025-11-30 (Price: 7.75),8.4718 (Backtested Min),No Date Target,3.41%/5.09%,"25.38%, 5 days","2025-12-12 (Price: 8.25), 25.38% above",8.9863 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/9.4791 (Backtested Max),2027-06-28 (Max)/2026-03-22 (Min)/2026-07-30 (Avg),3.0/2.942/6.3611/No support/No F-Track Level/No F-Track Level/5.37,"100.0%, Past 20 years, 7",No Information,No Information,No Information,No Information,No Information,34.15% above/28.91% above/25.38% above,44.06%/28.75%/36.57%,"-0.0%, 15.01%",1 day/6 days/9 days,14.41%,0.49%,13.92%,1.44,-0.1,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),886.14M
FRACTAL TRACK,"ENZL, Long, 2022-03-31 (Price: 55.01)",Monthly,No Exit Yet,No Price Target,2025-12-15 (Max),24.23%/30.85%,"-16.91%, 3 days","2025-12-12 (Price: 45.71), 16.91% below",56.7868 (Historic Rise or Fall to Pivot)/64.7743 (Avg % Gain of Historic Winning trades)/79.39 (Exit Rule)/65.1933 (Horizontal)/79.2024 (F-Stack 1)/94.0874 (F-Stack 2)/67.3157 (Backtested Max)/59.8124 (Backtested Min),2025-12-15 (Max),51.99/44.3933/50.4737/No support/No F-Track Level/No F-Track Level/44.86,"100.0%, Past 13 years, 7",No Information,No Information,No Information,"50% (Price: 51.4), 11.07% below, Upmove Bounce Back","2015-09-30 (Price: 31.08), 2021-01-31 (Price: 71.72)",No Information,22.37%/8.73%/17.75%,"-0.0%, 22.82%",2 days/11 days/1 day,6.83%,2.38%,4.45%,0.76,0.04,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),N/A
FRACTAL TRACK,"INDA, Long, 2025-09-30 (Price: 52.06)",Quarterly,No Exit Yet,53.18 (EMA 200),No Date Target,4.18%/22.49%,"2.07%, 2 days","2025-12-12 (Price: 53.14), 2.07% above",70.0936 (Avg % Gain of Historic Winning trades)/65.09 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/71.8064 (Backtested Max)/68.9066 (Backtested Min),2029-01-09 (Max)/2027-03-05 (Min)/2028-01-12 (Avg),39.36/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 13 years, 4",No Information,No Information,No Information,"50% (Price: 48.63), 9.27% above, Upmove Bounce Back","2023-03-31 (Price: 37.77), 2024-09-30 (Price: 59.49)",No Information,37.93%/32.36%/34.64%,"-0.0%, 31.7%",2 days/1 day/1 day,14.54%,4.1%,10.44%,1.55,0.17,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets),N/A
