Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2025-11-12 (Price: 152.82)",No Exit Yet,"-0.65%, 2 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 151.83), 0.65% below",2 days,No Information,No Information,No Information,No Information,No Information,0.76% above/0.65% below/0.65% below,3.35%/0.29%/1.59%,"7.54%, 13.97%",90 days/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706,143.98/121.6312/117.2225/81.225/No F-Track Level/No F-Track Level,142.02/139.18,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"XLF, Long, 2025-11-12 (Price: 53.67)",No Exit Yet,"-2.27%, 2 days","92.31%, Past 4 years, 39","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 52.45), 2.27% below",2 days,No Information,No Information,No Information,No Information,No Information,1.43% below/2.27% below/2.27% below,5.21%/1.0%/2.76%,"10.98%, 16.27%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,17.58%,9.83%,7.75%,0.38,0.36,54.7917/55.1513/53.68/No Horizontal Resistance/70.6138/110.4396,52.09/30.1167/45.9996/174.8795/No F-Track Level/No F-Track Level,53.2/51.34,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-11-12 (Price: 60902.3008)",No Exit Yet,"-0.27%, 2 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 60739.1992), 0.27% below",2 days,No Information,No Information,No Information,No Information,No Information,0.52% above/0.27% below/0.27% below,4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-22/2025-11-17/2025-12-05,15.67%,23.17%,-7.5%,0.55,1.11,63082.6032/62504.0313/62932.07/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58575.85/55821.15,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-11-12 (Price: 838.97)",No Exit Yet,"-5.73%, 2 days","75.86%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 790.91), 5.73% below",2 days,No Information,No Information,No Information,No Information,No Information,2.39% below/5.73% below/5.73% below,15.23%/0.89%/4.44%,"15.57%, 33.99%",65 days/5 days/21 days,2026-02-14/2025-11-19/2025-12-12,-6.28%,23.3%,-29.58%,-0.08,0.8,865.3137/876.2203/858.56/No Horizontal Resistance/931.1482/1236.8362,744.6/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level,782.75/667.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",No Exit Yet,"-7.02%, 2 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 11.78), 7.02% below",2 days,No Information,No Information,No Information,No Information,No Information,6.51% below/7.02% below/7.02% below,9.48%/0.89%/3.92%,"10.91%, 28.9%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,29.91%,15.95%,13.96%,0.82,0.6,13.1743/13.1667/12.78/No Horizontal Resistance/18.927/29.733,12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level,12.34/11.29,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-3.05%, 2 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 77.81), 3.05% below",2 days,No Information,No Information,No Information,"38.2% (Price: 74.9697), 3.79% above, Upmove Bounce Back","2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",No Information,30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/116.3721/144.3517,76.69/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.67/68.42,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",No Exit Yet,"2.22%, 2 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 198.05), 2.22% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days/1 days/5 days,2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,218.58/247.57,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"NKE, Long, 2025-11-11 (Price: 63.15)",No Exit Yet,"1.62%, 3 days","80.56%, Past 6 years, 36","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-14 (Price: 64.17), 1.62% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,15.63%/5.08%/8.11%,"19.92%, 22.44%",64 days/1 days/13 days,2026-02-11/2025-11-12/2025-11-29,20.81%,-5.25%,26.06%,0.08,-0.1,64.3183/68.2715/66.31/176.74/171.1647/206.9588,No Recent Minima/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level,68.49/68.61,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"ATD.TO, Long, 2025-11-11 (Price: 70.4)",No Exit Yet,"-0.14%, 3 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-14 (Price: 70.3), 0.14% below",3 days,No Information,No Information,No Information,No Information,No Information,No Information,12.15%/5.08%/7.16%,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/85.3936/96.14,No Recent Minima/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.71/71.53,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"NOVA.F, Long, 2025-11-11 (Price: 42.4)",No Exit Yet,"-2.36%, 3 days","100.0%, Past 6 years, 4","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-14 (Price: 41.4), 2.36% below",3 days,No Information,No Information,No Information,No Information,No Information,No Information,8.26%/6.12%/7.22%,"-0.0%, 5.26%",28 days/1 days/11 days,2025-12-21/2025-11-12/2025-11-26,317.02%,8.99%,308.03%,1.32,0.33,45.6224/45.4613/44.94/126.5/138.0871/146.706,No Recent Minima/40.95/40.2093/33.7767/No F-Track Level/No F-Track Level,46.62/57.58,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"1.94%, 3 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 3106.0), 1.94% above",3 days,No Information,No Information,No Information,No Information,No Information,3.82% above/1.94% above/1.94% above,13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",No Exit Yet,"0.52%, 3 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 60739.1992), 0.52% above",3 days,No Information,No Information,No Information,No Information,No Information,1.5% above/0.52% above/0.52% above,4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/69983.5191/76335.2565,59468.6/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",No Exit Yet,"-0.22%, 3 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 54.62), 0.22% below",3 days,No Information,No Information,No Information,No Information,No Information,1.62% above/0.22% below/0.22% below,3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,2025-12-17/2025-11-16/2025-12-01,6.14%,7.37%,-1.22%,0.22,0.26,55.3586/55.7198/58.07/55.3633/66.8401/79.771,53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level,53.48/52.74,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-11-11 (Price: 45.43)",No Exit Yet,"-1.14%, 3 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 44.91), 1.14% below",3 days,No Information,No Information,No Information,No Information,No Information,7.03% above/1.14% below/1.14% below,10.73%/0.36%/4.2%,"8.73%, 19.35%",45 days/4 days/11 days,2026-01-15/2025-11-16/2025-11-26,30.23%,1.45%,28.78%,0.66,0.0,46.5703/47.3381/51.3/52.46/58.6089/65.2057,40.15/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level,42.64/40.9,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2025-11-11 (Price: 627.08)",No Exit Yet,"-2.81%, 3 days","92.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 609.46), 2.81% below",3 days,No Information,No Information,No Information,"38.2% (Price: 596.8957), 2.1% above, Upmove Bounce Back","2023-08-18 (Price: 274.38), 2025-08-15 (Price: 796.25)",No Information,96.84%/3.89%/38.77%,"3.02%, 74.42%",610 days/56 days/248 days,2028-04-12/2026-01-31/2026-11-05,26.17%,17.27%,8.9%,0.3,0.58,633.2254/870.1989/940.2/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,713.72/677.46,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"-6.66%, 3 days","91.67%, Past 2 years, 12","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 139.77), 6.66% below",3 days,No Information,No Information,No Information,"61.8% (Price: 148.4717), 5.86% below, Upmove Bounce Back","2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",No Information,24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/218.0854/235.5107,139.62/No Horizontal Support/148.9705/138.4687/No F-Track Level/No F-Track Level,156.53/139.5,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"3.91%, 3 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 246.81), 3.91% above",3 days,No Information,No Information,No Information,"38.2% (Price: 222.0575), 11.15% above, Upmove Bounce Back","2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",No Information,113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/273.8526/307.9609,233.54/72.6533/219.0648/187.3421/No F-Track Level/No F-Track Level,208.05/145.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"1.94%, 3 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 3106.0), 1.94% above",3 days,No Information,No Information,No Information,"88.6% (Price: 3015.6997), 2.99% above, Upmove Bounce Back","2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",No Information,28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3036.04/3347.38,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"-7.28%, 3 days","95.24%, Past 5 years, 21","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 29.31), 7.28% below",3 days,No Information,No Information,No Information,"78.6% (Price: 31.3894), 6.62% below, Upmove Bounce Back","2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",No Information,29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/97.2627/102.2552,31.41/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,33.56/34.98,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"-2.77%, 3 days","100.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-14 (Price: 237.48), 2.77% below",3 days,No Information,No Information,No Information,"23.66% (Price: 233.5959), 1.66% above, Upmove Bounce Back","2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",No Information,13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/267.7701/348.4025,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level,243.28/219.93,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",No Exit Yet,"-3.53%, 4 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-14 (Price: 609.46), 3.53% below",4 days,No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,713.72/677.46,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"MTY.TO, Long, 2025-11-10 (Price: 34.02)",No Exit Yet,"-0.85%, 4 days","72.97%, Past 6 years, 37","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-14 (Price: 33.73), 0.85% below",4 days,No Information,No Information,No Information,No Information,No Information,No Information,19.58%/5.02%/7.99%,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.33/40.61,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"HOOD, Long, 2025-11-10 (Price: 135.88)",2025-11-13 (Price: 121.53),"-10.56%, 3 days","78.26%, Past 4 years, 23","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-14 (Price: 122.5), 9.85% below",4 days,No Information,No Information,No Information,No Information,No Information,No Information,17.01%/5.11%/8.52%,"12.73%, 15.13%",20 days/2 days/7 days,2025-12-08/2025-11-12/2025-11-20,108.4%,39.13%,69.27%,0.21,1.06,146.5058/147.457/142.67/No Horizontal Resistance/164.8517/245.4076,No Recent Minima/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,132.81/85.94,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
