Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"HDB, Long, 2025-10-07 (Price: 34.91)",Daily,No Price Target,No Date Target,2025-10-17 (Price: 36.74),"2025-10-31 (Price: 36.215), 3.74% above","77.27%, Past 6 years, 22",4.01%/4.01%,"3.74%, 18 days",17.31%/5.05%/7.9%,38.4185 (Historic Rise or Fall to Pivot)/37.6679 (Avg % Gain of Historic Winning trades)/39.042 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/40.952920999999996 (Backtested Best)/37.66788999999999 (Backtested Avg),2025-12-27 (Farthest)/2025-11-07 (Avg),"5.24%, 8 days","Daily, is Confirmed on 2025-10-07",No Cancellation Possible,"2025-10-31 (Price: 36.215), 3.74% above",18 days,No Information,No Information,No Information,No Information,No Information,No Information,"16.27%, 16.27%",56 days/7 days/22 days,2025-12-27/2025-10-17/2025-11-07,14.59%,5.16%,9.43%,0.36,0.2,38.4185/37.6679/36.66/39.042/40.717/47.4928,No Recent Minima/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level,35.48/34.93,76.92%/78/41 days (Across ALL Assets),64.14%/304/46 days (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-10-06 (Price: 500.02)",Daily,No Price Target,No Date Target,2025-10-13 (Price: 491.93),"2025-10-31 (Price: 477.54), 4.5% below","92.86%, Past 5 years, 28",5.5%/6.38%,"-4.5%, 19 days",40.43%/0.76%/14.31%,508.0203 (Historic Rise or Fall to Pivot)/571.5729 (Avg % Gain of Historic Winning trades)/531.5 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/702.178086 (Backtested Best)/503.820152 (Backtested Worst)/571.572862 (Backtested Avg),2028-03-13 (Farthest)/2026-06-01 (Avg),"-1.62%, 5 days","Daily, was CONFIRMED on 2025-10-06",Already confirmed,"2025-10-31 (Price: 477.54), 4.5% below",19 days,No Information,No Information,No Information,"23.66% (Price: 495.2456), 3.58% below, Upmove Bounce Back","2025-08-04 (Price: 455.19), 2025-09-05 (Price: 507.66)",No Information,"1.33%, 19.22%",614 days/13 days/165 days,2028-03-13/2025-10-24/2026-06-01,22.14%,17.48%,4.66%,0.39,0.87,508.0203/571.5729/531.5/No Horizontal Resistance/630.85/709.9376,490.08/268.082/491.88/449.7662/No F-Track Level/No F-Track Level,493.8/494.54,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
TRENDPULSE,"NVDA, Long, 2025-10-05 (Price: 187.62)",Weekly,203.3613 (Historic Rise or Fall to Pivot),2025-11-08 (Earliest),No Exit Yet,"2025-10-31 (Price: 202.49), 7.93% above","81.82%, Past 10 years, 11",7.35%/7.35%,"7.93%, 19 days",43.5%/2.57%/15.86%,217.3765 (Avg % Gain of Historic Winning trades)/289.5 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/269.23470000000003 (Backtested Best)/217.37653200000003 (Backtested Avg),2027-06-03 (Farthest)/2025-11-08 (Earliest)/2026-02-13 (Avg),"7.93%, 19 days","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2025-10-31 (Price: 202.49), 7.93% above",19 days,No Information,No Information,No Information,No Information,No Information,14.61% above/7.93% above/7.93% above,"7.69%, 65.96%",419 days/24 days/91 days,2027-06-03/2025-11-08/2026-02-13,10.33%,51.48%,-41.15%,0.86,1.44,203.3613/217.3765/289.5/No Horizontal Resistance/239.8943/283.6698,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,178.1/143.06,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-10-03 (Price: 183.5)",Daily,No Price Target,2025-11-03 (Avg),No Exit Yet,"2025-10-31 (Price: 169.84), 7.44% below","82.35%, Past 4 years, 17",10.04%/14.08%,"-7.44%, 20 days",9.74%/1.85%/5.59%,199.2994 (Historic Rise or Fall to Pivot)/193.7577 (Avg % Gain of Historic Winning trades)/198.48 (Exit Rule)/209.885 (Horizontal)/222.1498 (F-Stack 1)/245.5558 (F-Stack 2)/201.3729 (Backtested Best)/186.89475 (Backtested Worst)/193.75765 (Backtested Avg),2026-01-13 (Farthest)/2025-11-03 (Avg),"-7.44%, 20 days","Daily, is CONFIRMED on 2025-10-03",Already confirmed,"2025-10-31 (Price: 169.84), 7.44% below",20 days,No Information,No Information,No Information,No Information,No Information,5.12% below/7.44% below/7.44% below,"12.05%, 31.14%",71 days/4 days/22 days,2026-01-13/2025-10-08/2025-11-03,12.2%,13.63%,-1.43%,0.38,0.48,199.2994/193.7577/198.48/209.885/222.1498/245.5558,175.17/126.33/177.4966/151.1683/No F-Track Level/No F-Track Level,191.37/182.3,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
TRENDPULSE,"BTC-USD, Long, 2025-10-02 (Price: 120681.2578)",Daily,No Price Target,No Date Target,2025-10-07 (Price: 121451.3828),"2025-10-31 (Price: 109457.3281), 9.3% below","95.65%, Past 4 years, 23",17.75%/17.75%,"-9.3%, 21 days",21.98%/0.66%/6.8%,134064.8093 (Historic Rise or Fall to Pivot)/128887.5833 (Avg % Gain of Historic Winning trades)/133759.1807 (F-Stack 2)/147206.99826444002 (Backtested Best)/128887.58333040001 (Backtested Avg),2026-01-20 (Farthest),"0.64%, 3 days","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-31 (Price: 109457.3281), 9.3% below",21 days,No Information,No Information,No Information,No Information,No Information,7.75% below/9.3% below/9.3% below,"27.98%, 48.15%",76 days/3 days/17 days,2026-01-20/2025-10-06/2025-10-26,22.05%,48.46%,-26.41%,0.59,0.91,134064.8093/128887.5833/121092.76/123774.3633/122105.3521/133759.1807,109049.29/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,113557.15/105122.31,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2025-09-30 (Price: 179.65)",Daily,No Price Target,No Date Target,2025-10-03 (Price: 183.5),"2025-10-31 (Price: 169.84), 5.46% below","72.73%, Past 4 years, 11",9.39%/10.22%,"-5.46%, 23 days",4.94%/3.42%/4.2%,187.6265 (Historic Rise or Fall to Pivot)/187.1953 (Avg % Gain of Historic Winning trades)/187.41 (Exit Rule)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/188.52471000000003 (Backtested Best)/185.79403000000002 (Backtested Worst)/187.1953 (Backtested Avg),2025-11-25 (Farthest),"2.14%, 3 days","Daily, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-31 (Price: 169.84), 5.46% below",23 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.86%, 17.85%",39 days/2 days/12 days,2025-11-25/2025-10-02/2025-10-17,2.29%,-1.99%,4.28%,-0.05,-0.01,187.6265/187.1953/187.41/209.885/222.5978/243.8843,175.17/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level,183.22/182.79,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2025-09-30 (Price: 131.24)",Daily,No Price Target,No Date Target,2025-10-08 (Price: 134.51),"2025-10-31 (Price: 134.49), 2.48% above","87.5%, Past 4 years, 16",1.39%/3.33%,"2.48%, 23 days",11.3%/0.17%/3.04%,136.3584 (Historic Rise or Fall to Pivot)/138.97 (Exit Rule)/171.0825 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/146.07012 (Backtested Best),2025-12-24 (Farthest),"2.49%, 6 days","Daily, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-31 (Price: 134.49), 2.48% above",23 days,No Information,No Information,No Information,No Information,No Information,3.95% above/2.48% above/2.48% above,"18.84%, 26.48%",59 days/4 days/14 days,2025-12-24/2025-10-05/2025-10-20,4.22%,1.23%,2.99%,0.14,-0.03,136.3584/135.2297/138.97/171.0825/218.156/349.4971,127.18/128.175/86.815/55.8095/No F-Track Level/No F-Track Level,130.51/140.04,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
DELTADRIFT,"BTI, Long, 2025-09-26 (Price: 53.0)",Daily,No Price Target,No Date Target,2025-10-21 (Price: 50.39),"2025-10-31 (Price: 51.19), 3.42% below","88.89%, Past 4 years, 9",5.84%/7.48%,"-3.42%, 25 days",5.78%/2.23%/3.81%,56.1906 (Historic Rise or Fall to Pivot)/55.0193 (Avg % Gain of Historic Winning trades)/55.6 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/56.0634 (Backtested Best)/54.1819 (Backtested Worst)/55.0193 (Backtested Avg),2025-11-08 (Farthest),"-4.92%, 17 days","Daily, was CONFIRMED on 2025-09-26",Already confirmed,"2025-10-31 (Price: 51.19), 3.42% below",25 days,No Information,No Information,No Information,No Information,No Information,No Information,"5.74%, 6.42%",30 days/3 days/10 days,2025-11-08/2025-09-30/2025-10-10,13.57%,11.38%,2.19%,0.78,0.46,56.1906/55.0193/55.6/No Horizontal Resistance/82.226/92.0468,52.35/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level,53.61/47.18,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-09-26 (Price: 218.79)",Daily,No Price Target,No Date Target,2025-10-20 (Price: 225.74),"2025-10-31 (Price: 214.84), 1.81% below","90.0%, Past 4 years, 10",6.32%/6.4%,"-1.81%, 25 days",4.4%/1.26%/2.45%,233.0332 (Historic Rise or Fall to Pivot)/228.59 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/228.41676 (Backtested Best),No Next Date Target,"3.18%, 16 days","Daily, was CONFIRMED on 2025-09-26",Already confirmed,"2025-10-31 (Price: 214.84), 1.81% below",25 days,No Information,No Information,No Information,No Information,No Information,No Information,"4.87%, 4.87%",14 days/1 days/5 days,2025-10-16/2025-09-27/2025-10-03,9.07%,11.07%,-2.0%,0.72,0.47,233.0332/224.1504/228.59/240.8933/293.2329/455.2123,No Recent Minima/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,227.71/249.35,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Price Target,2025-10-31 (Earliest),No Exit Yet,"2025-10-31 (Price: 51.19), 2.27% below","87.5%, Past 5 years, 8",4.2%/9.6%,"-2.27%, 27 days",44.96%/1.83%/12.64%,56.1042 (Historic Rise or Fall to Pivot)/59.0008 (Avg % Gain of Historic Winning trades)/57.55 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.930048 (Backtested Best)/53.338554 (Backtested Worst)/59.00083200000001 (Backtested Avg),2026-05-23 (Farthest)/2026-02-02 (Avg),"-2.27%, 27 days","Daily, was CONFIRMED on 2025-09-24",No Cancellation Possible,"2025-10-31 (Price: 51.19), 2.27% below",27 days,No Information,No Information,No Information,No Information,No Information,No Information,"6.64%, 12.82%",167 days/26 days/91 days,2026-05-23/2025-10-31/2026-02-02,18.26%,10.6%,7.66%,0.72,0.42,56.1042/59.0008/57.55/No Horizontal Resistance/82.226/92.0468,46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level,53.61/47.18,76.32%/76/130 days (Across ALL Assets),76.19%/252/112 days (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2025-09-22 (Price: 666.84)",Daily,No Price Target,No Date Target,2025-10-08 (Price: 673.11),"2025-10-31 (Price: 682.06), 2.28% above","100.0%, Past 4 years, 6",1.26%/2.86%,"2.28%, 29 days",3.57%/0.75%/2.17%,701.5824 (Historic Rise or Fall to Pivot)/751.55 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/690.646188 (Backtested Best),2025-12-09 (Farthest),"0.94%, 12 days","Daily, is CONFIRMED on 2025-09-22",Already confirmed,"2025-10-31 (Price: 682.06), 2.28% above",29 days,No Information,No Information,No Information,No Information,No Information,2.28% above/2.28% above/2.28% above,"0%, 7.61%",54 days/6 days/18 days,2025-12-09/2025-09-30/2025-10-18,7.75%,13.61%,-5.86%,1.9,0.58,701.5824/681.3104/751.55/No Horizontal Resistance/969.1148/1522.3697,635.55/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level,641.48/598.75,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
