Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",2025-10-09 (Price: 29.84) (Today),"17.53%, 138 days","72.73%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-10-09 (Price: 29.84), 17.53% above",138 days,No Information,No Information,No Information,No Information,No Information,35.57% above/17.53% above/17.53% above,40.8%/7.34%/22.65%,"31.07%, 31.13%",390 days/109 days/204 days,2026-10-16/2025-09-04/2026-01-20,4.73%,1.45%,3.28%,0.45,0.09,27.5735/31.1408/29.38/No Horizontal Resistance/33.2191/35.3948,16.47/14.992/24.8529/22.354/No Fib Ret Level/No Fib Ret Level,23.6/19.99,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",2025-10-09 (Price: 29.84) (Today),"17.53%, 138 days","83.33%, Past 55 years, 6","Quarterly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-10-09 (Price: 29.84), 17.53% above",138 days,No Information,No Information,No Information,No Information,No Information,41.02% above/17.53% above/17.53% above,218.3%/14.85%/67.01%,"4.99%, 30.35%",719 days/121 days/480 days,2028-02-05/2025-09-22/2027-02-24,10.92%,5.86%,5.06%,0.61,0.23,30.9047/42.4038/36.14/No Horizontal Resistance/33.2191/35.3948,12.81/14.992/24.8529/22.354/No Fib Ret Level/No Fib Ret Level,23.6/19.99,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2021-03-31 (Price: 21.202)",2025-10-09 (Price: 29.84) (Today),"40.74%, 1181 days","83.33%, Past 55 years, 6","Quarterly, is CONFIRMED on 2021-03-31",Already confirmed,"2025-10-09 (Price: 29.84), 40.74% above",1181 days,No Information,No Information,No Information,No Information,No Information,47.58% above/40.74% above/40.74% above,218.3%/14.85%/67.01%,"4.99%, 30.35%",719 days/121 days/480 days,2024-02-05/2021-09-22/2023-02-24,10.92%,5.86%,5.06%,0.61,0.23,25.8071/35.4095/31.34/No Horizontal Resistance/33.2191/35.3948,2.24/6.392/16.3295/14.1868/No Fib Ret Level/No Fib Ret Level,21.25/17.76,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2025-09-30 (Price: 666.18)",2025-10-09 (Price: 671.16) (Today),"0.75%, 7 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-09 (Price: 671.16), 0.75% above",7 days,No Information,No Information,No Information,No Information,No Information,0.75% above/0.75% above/0.75% above,13.4%/3.69%/8.82%,"0%, 6.63%",303 days/87 days/183 days,2026-12-12/2026-02-03/2026-06-22,6.81%,6.14%,0.67%,2.51,0.2,764.1751/724.9371/864.95/No Horizontal Resistance/969.1148/1522.3697,554.54/412.1625/627.1849/415.8599/No Fib Ret Level/No Fib Ret Level,645.85/600.46,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"TCEHY, Long, 2025-03-31 (Price: 63.84)",2025-10-09 (Price: 85.33) (Today),"33.66%, 138 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-10-09 (Price: 85.33), 33.66% above",138 days,No Information,No Information,No Information,No Information,No Information,38.5% above/33.66% above/33.66% above,48.56%/8.58%/32.64%,"0%, 10.55%",152 days/109 days/125 days,2025-11-06/2025-09-04/2025-09-28,21.22%,21.28%,-0.06%,2.21,0.72,105.2722/84.6774/72.69/73.09/91.9947/116.3817,34.84/36.36/58.3318/52.1422/No Fib Ret Level/No Fib Ret Level,60.71/53.18,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-09-02 (Price: 157.99)",2025-10-09 (Price: 150.58) (Today),"-4.69%, 27 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-09-02",Already confirmed,"2025-10-09 (Price: 150.58), 4.69% below",27 days,No Information,No Information,No Information,No Information,No Information,4.11% below/4.69% below/4.69% below,5.36%/0.32%/2.49%,"6.35%, 12.85%",70 days/4 days/18 days,2025-12-12/2025-09-07/2025-09-28,4.95%,4.45%,0.5%,0.2,0.11,157.8794/161.924/168.55/179.4533/186.6499/209.3631,155.65/121.86/140.2317/117.5404/No Fib Ret Level/No Fib Ret Level,156.51/164.39,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2025-09-24 (Price: 76.39)",2025-10-09 (Price: 72.51) (Today),"-5.08%, 11 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-09-24",Already confirmed,"2025-10-09 (Price: 72.51), 5.08% below",11 days,No Information,No Information,No Information,No Information,No Information,1.28% below/5.08% below/5.08% below,7.26%/0.81%/4.03%,"3.07%, 23.64%",112 days/9 days/36 days,2026-03-05/2025-10-07/2025-11-15,10.55%,-4.44%,14.99%,0.98,-0.0,76.1226/79.4685/77.31/83.49/No Next Fib Ext/No Next Fib Ext,72.63/44.03/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,74.86/73.63,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2025-09-21 (Price: 741.17)",2025-10-09 (Price: 767.64) (Today),"3.57%, 13 days","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-09 (Price: 767.64), 3.57% above",13 days,No Information,No Information,No Information,No Information,No Information,6.68% above/3.57% above/3.57% above,5.29%/2.97%/4.15%,"0%, 12.72%",204 days/19 days/70 days,2026-07-13/2025-10-18/2025-12-31,7.06%,18.18%,-11.12%,4.16,0.81,789.7908/771.9286/880.2/No Horizontal Resistance/702.1644/946.1588,478.6/311.83/626.0547/551.3644/No Fib Ret Level/No Fib Ret Level,696.96/625.59,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2025-08-31 (Price: 697.02)",2025-10-09 (Price: 767.64) (Today),"10.13%, 28 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-10-09 (Price: 767.64), 10.13% above",28 days,No Information,No Information,No Information,No Information,No Information,10.13% above/10.13% above/10.13% above,22.53%/3.21%/12.24%,"23.72%, 51.21%",434 days/11 days/193 days,2027-05-21/2025-09-15/2026-06-06,5.93%,12.9%,-6.97%,0.56,0.56,797.1121/782.3352/918.34/No Horizontal Resistance/702.1644/946.1588,542.38/311.83/626.0547/551.3644/No Fib Ret Level/No Fib Ret Level,681.64/618.84,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2025-09-21 (Price: 107.65)",2025-10-09 (Price: 103.38) (Today),"-3.97%, 13 days","78.57%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-09 (Price: 103.38), 3.97% below",13 days,No Information,No Information,No Information,No Information,No Information,3.97% below/3.97% below/3.97% below,28.36%/4.53%/12.11%,"34.14%, 61.17%",194 days/19 days/47 days,2026-06-28/2025-10-18/2025-11-28,8.62%,9.49%,-0.87%,0.28,0.35,115.6053/120.6864/134.97/No Horizontal Resistance/131.4439/145.6176,57.06/38.292/98.515/93.6878/No Fib Ret Level/No Fib Ret Level,97.33/79.86,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-06-01 (Price: 9.16)",2025-10-09 (Price: 9.04) (Today),"-1.31%, 93 days","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-05-30",Already confirmed,"2025-10-09 (Price: 9.04), 1.31% below",93 days,No Information,No Information,No Information,No Information,No Information,1.31% below/1.31% below/1.31% below,6.9%/0.55%/4.53%,"0%, 15.61%",164 days/24 days/65 days,2026-01-24/2025-07-05/2025-09-03,7.39%,3.86%,3.53%,2.56,0.09,9.5777/9.5749/9.26/No Horizontal Resistance/11.2606/15.4512,8.52/6.86/8.6706/33.2031/No Fib Ret Level/No Fib Ret Level,9.04/8.87,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"EBO.NZ, Long, 2025-02-09 (Price: 41.55)",2025-10-09 (Price: 29.71) (Today),"-28.5%, 173 days","78.57%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-02-07",Already confirmed,"2025-10-09 (Price: 29.71), 28.5% below",173 days,No Information,No Information,No Information,No Information,No Information,25.72% below/28.5% below/28.5% below,11.45%/1.78%/5.49%,"29.48%, 31.1%",279 days/24 days/69 days,2026-03-20/2025-03-15/2025-05-19,2.34%,10.69%,-8.35%,0.07,0.42,43.7314/43.8311/44.88/46.625/51.6772/55.325,36.45/21.4/41.5494/33.2406/No Fib Ret Level/No Fib Ret Level,37.58/35.94,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-10-01 (Price: 7.89)",2025-10-09 (Price: 8.05) (Today),"2.03%, 6 days","79.17%, Past 4 years, 24","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-09 (Price: 8.05), 2.03% above",6 days,No Information,No Information,No Information,No Information,No Information,2.03% above/2.03% above/2.03% above,10.13%/0.88%/4.63%,"6.37%, 18.81%",180 days/4 days/28 days,2026-06-18/2025-10-06/2025-11-10,8.67%,-2.4%,11.07%,0.58,-0.12,8.2664/8.2553/7.94/8.8962/11.1706/12.8535,7.6/7.0017/7.3934/6.6643/No Fib Ret Level/No Fib Ret Level,7.67/7.97,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-09-21 (Price: 7.85)",2025-10-09 (Price: 8.05) (Today),"2.55%, 13 days","100.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-09 (Price: 8.05), 2.55% above",13 days,No Information,No Information,No Information,No Information,No Information,3.34% above/2.55% above/2.55% above,8.04%/1.62%/4.74%,"0%, 4.67%",84 days/24 days/44 days,2026-01-20/2025-10-25/2025-11-23,8.92%,8.3%,0.62%,1.8,0.3,8.4976/8.2221/8.37/8.8962/11.1706/12.8535,7.47/7.0017/7.3934/6.6643/No Fib Ret Level/No Fib Ret Level,7.64/7.98,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-01-31 (Price: 8.64)",2025-10-09 (Price: 8.05) (Today),"-6.83%, 179 days","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-01-31",Already confirmed,"2025-10-09 (Price: 8.05), 6.83% below",179 days,No Information,No Information,No Information,No Information,No Information,6.83% below/6.83% below/6.83% below,12.41%/2.49%/7.55%,"0%, 23.85%",499 days/109 days/222 days,2027-01-23/2025-07-07/2025-12-18,6.04%,8.21%,-2.17%,1.67,0.3,8.2693/9.2923/8.65/8.9117/11.1706/12.8535,7.3/7.0017/7.3934/6.6643/No Fib Ret Level/No Fib Ret Level,8.35/7.76,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2025-08-28 (Price: 9.81)",2025-10-09 (Price: 9.26) (Today),"-5.61%, 30 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2025-08-28",Already confirmed,"2025-10-09 (Price: 9.26), 5.61% below",30 days,No Information,No Information,No Information,No Information,No Information,5.61% below/5.61% below/5.61% below,6.8%/0.51%/2.84%,"11.02%, 19.63%",55 days/4 days/13 days,2025-11-15/2025-09-02/2025-09-15,4.74%,10.67%,-5.93%,0.11,0.41,10.3417/10.0886/10.58/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,8.4/6.0983/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,8.83/8.56,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",2025-10-09 (Price: 9.26) (Today),"6.19%, 268 days","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-09 (Price: 9.26), 6.19% above",268 days,No Information,No Information,No Information,No Information,No Information,8.43% above/6.19% above/6.19% above,26.44%/7.23%/18.3%,"0%, 15.86%",349 days/174 days/253 days,2026-02-17/2025-06-09/2025-10-01,12.36%,8.09%,4.27%,2.06,0.29,9.4847/10.3158/8.91/8.822/No Next Fib Ext/No Next Fib Ext,7.18/6.0983/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,8.38/7.84,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",2025-10-09 (Price: 37.58) (Today),"-1.93%, 14 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-09 (Price: 37.58), 1.93% below",14 days,No Information,No Information,No Information,No Information,No Information,0.27% above/1.93% below/1.93% below,11.0%/0.78%/4.44%,"22.46%, 31.61%",74 days/4 days/24 days,2026-01-04/2025-09-24/2025-10-23,7.82%,14.41%,-6.59%,0.27,0.51,40.8146/40.0214/40.58/39.1917/40.9296/48.5677,37.45/22.5167/30.9793/26.1935/No Fib Ret Level/No Fib Ret Level,37.07/36.2,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-07-23 (Price: 158.28)",2025-10-09 (Price: 150.58) (Today),"-4.86%, 56 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-07-23",Already confirmed,"2025-10-09 (Price: 150.58), 4.86% below",56 days,No Information,No Information,No Information,No Information,No Information,4.89% below/4.86% below/4.86% below,5.36%/0.32%/2.49%,"6.35%, 12.85%",70 days/4 days/18 days,2025-11-01/2025-07-28/2025-08-18,4.95%,4.45%,0.5%,0.2,0.11,158.1692/162.2212/165.25/179.4533/186.6499/209.3631,152.68/121.86/140.2317/117.5404/No Fib Ret Level/No Fib Ret Level,161.08/166.21,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-09-17 (Price: 160.33)",2025-10-09 (Price: 150.58) (Today),"-6.08%, 16 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-09-17",Already confirmed,"2025-10-09 (Price: 150.58), 6.08% below",16 days,No Information,No Information,No Information,No Information,No Information,4.73% below/6.08% below/6.08% below,5.36%/0.32%/2.49%,"6.35%, 12.85%",70 days/4 days/18 days,2025-12-27/2025-09-22/2025-10-13,4.95%,4.45%,0.5%,0.2,0.11,160.2178/164.3222/164.46/179.4533/186.6499/209.3631,156.83/121.86/140.2317/117.5404/No Fib Ret Level/No Fib Ret Level,156.22/163.68,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-05 (Price: 37.89)",2025-10-09 (Price: 37.58) (Today),"-0.82%, 24 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2025-09-05",Already confirmed,"2025-10-09 (Price: 37.58), 0.82% below",24 days,No Information,No Information,No Information,No Information,No Information,0.82% below/0.82% below/0.82% below,11.0%/0.78%/4.44%,"22.46%, 31.61%",74 days/4 days/24 days,2025-12-21/2025-09-10/2025-10-09,7.82%,14.41%,-6.59%,0.27,0.51,40.3566/39.5723/38.98/39.1917/40.9296/48.5677,36.6/22.5167/30.9793/26.1935/No Fib Ret Level/No Fib Ret Level,36.79/36.2,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",2025-10-09 (Price: 68.74) (Today),"-0.04%, 5 days","100.0%, Past 4 years, 4","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-09 (Price: 68.74), 0.04% below",5 days,No Information,No Information,No Information,No Information,No Information,5.75% above/0.04% below/0.04% below,7.07%/4.18%/5.4%,"0%, 8.48%",39 days/4 days/13 days,2025-11-27/2025-10-07/2025-10-20,36.83%,68.92%,-32.09%,4.41,1.78,78.1915/72.4836/69.26/No Horizontal Resistance/70.3093/87.2457,61.94/41.99/60.36/52.8569/No Fib Ret Level/No Fib Ret Level,65.15/58.09,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
