Symbol,Signal Type,All Functions (Target Reached),All Intervals,Target Price Reached,Backtest Target Exit Date,Current Price,Next Two Target Prices,Next Two Target Dates,Next Two Target Price % from Latest Price
PG,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,143.92/143.92/146.82/147.27/147.27/147.52/147.52/147.93/147.93/148.40/148.93,2025-10-08/2025-11-01/2025-11-03/2025-11-04,147.17,147.56/147.84,2025-12-12/2025-12-23,0.26%/0.46%
QQQ,Long,BASELINEDIVERGENCE/DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,563.37/629.22,2025-11-02,619.25,636.72/642.44,2025-11-17/2026-01-18,2.82%/3.75%
SJ.TO,Long,DELTADRIFT/FRACTAL TRACK/TRENDPULSE,Daily/Weekly,78.87/79.47/80.00/80.00,No Date Reached,79.56,80.11/80.24,2025-12-16/2025-12-30,0.69%/0.86%
SOXX,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,255.00/282.76/292.79/297.17/297.17/301.16/301.36,No Date Reached,296.26,306.95/306.95,2026-01-23/2026-04-27,3.61%/3.61%
SPY,Long,BASELINEDIVERGENCE/DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,627.18/658.27/665.53/668.03/668.60/668.60/675.77/677.21/677.21/686.93/690.03/737.95,2025-11-09,675.24,686.01/690.76,2025-11-09/2025-12-19,1.59%/2.3%
TRI.TO,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,193.12/199.63/202.56/204.87/207.66/208.09/208.09/208.64/208.64/208.93/208.93/212.00/212.00/214.86,2025-11-01/2025-11-04/2025-11-23/2026-01-18,206.63,208.99/210.73,2025-11-06/2025-11-09,1.14%/1.98%
TSLA,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Weekly,408.58/413.68/417.47/418.50/425.02/431.21/438.12/447.04/447.85/447.85/448.92/450.52/452.88/455.53/467.29/473.39/474.62/478.68/479.91/497.08,No Date Reached,444.26,461.69/476.63,2025-11-06/2025-11-24,3.92%/7.29%
UBER,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/TRENDPULSE,Daily/Monthly/Weekly,81.72/94.41/94.53/95.92/96.51/96.51,2025-11-04/2025-11-25,94.67,97.21/97.21,2025-11-17/2025-11-25,2.68%/2.68%
XLE,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,78.52/84.95/85.02/85.26/86.42/86.83/87.03/87.03/87.34/87.36/87.36/87.43/87.60/87.60/88.58/88.88/88.88/89.56/106.89/108.27,2025-10-29,87.19,87.91/87.97,2025-11-22/2025-12-23,0.83%/0.89%
ASHR,Short,PULSEGAUGE,Weekly,No Target Reached,No Date Reached,32.59,21.75/23.85,No Next Date,-33.25%/-26.81%
ATD.TO,Short,FRACTAL TRACK,Quarterly,No Target Reached,2025-08-02/2026-01-05,68.80,34.37/42.44,2026-01-05,-50.04%/-38.31%
BRK-B,Short,OSCILLATOR DELTA,Daily,No Target Reached,2025-11-02,487.66,268.08/449.77,No Next Date,-45.03%/-7.77%
BTC-USD,Short,PULSEGAUGE,Weekly,No Target Reached,No Date Reached,106547.52,10058.03/76786.05,No Next Date,-90.56%/-27.93%
BTI,Short,OSCILLATOR DELTA,Daily,No Target Reached,No Date Reached,52.98,28.51/49.37,No Next Date,-46.19%/-6.81%
BYD.TO,Short,TRENDPULSE,Monthly,No Target Reached,No Date Reached,223.50,25.09/57.62,No Next Date,-88.77%/-74.22%
HDB,Short,FRACTAL TRACK,Quarterly,No Target Reached,No Date Reached,36.24,11.12/14.07,No Next Date,-69.32%/-61.18%
INDA,Short,PULSEGAUGE,Weekly,53.81,No Date Reached,54.02,31.16/39.06,No Next Date,-42.31%/-27.69%
INDY,Short,PULSEGAUGE,Weekly,No Target Reached,No Date Reached,52.79,26.35/28.34,No Next Date,-50.09%/-46.31%
JD,Short,PULSEGAUGE,Weekly,No Target Reached,No Date Reached,31.82,24.07/25.62,No Next Date,-24.36%/-19.47%
MA,Short,PULSEGAUGE,Weekly,552.61/554.06,No Date Reached,552.75,100.11/132.06,No Next Date,-81.89%/-76.11%
SPY,Short,FRACTAL TRACK,Quarterly,No Target Reached,No Date Reached,675.24,129.52/204.53,No Next Date,-80.82%/-69.71%
TRI.TO,Short,TRENDPULSE,Monthly,No Target Reached,No Date Reached,206.63,116.89/131.25,2026-03-05/2026-03-18,-43.43%/-36.48%
