"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GS, Long, 2026-01-15 (Price: 975.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 942.8752 prior to 2026-01-16,"2026-01-15 (Price: 975.86), 0.0% below",0 days,"2, 2025-07-06 (Price: 723.68)",2026-01-15 (Price: 975.86),2026-01-15 (Price: 975.86),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-07-06 (Price: 725.236)/2026-01-15 (Price: 938.1843),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-03-07/2026-03-16/2026-10-07,9.45%,7.78%,1.67%,2.03,0.4,1000.5493/1061.1502/1127.17/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/780.0529/656.4033/725.01,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"GS, Long, 2026-01-15 (Price: 975.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 884.0 prior to 2026-01-30,"2026-01-15 (Price: 975.86), 0.0% below",0 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-02 (Price: 914.34),15/13/0 days,11.02% above/6.73% above/0.0% below,2023-07-31 (Price: 351.8948)/2026-01-15 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-10/2026-07-07/2027-08-11,10.95%,5.86%,5.09%,1.01,0.3,1175.9113/1256.9077/1347.85/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,303.61/288.555/818.1554/728.9736/780.0529/656.4033/725.01,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"IWM, Long, 2026-01-15 (Price: 265.51)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-01-15 (Price: 265.51), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),15/13/0 days,7.86% above/6.72% above/0.0% below,2021-09-30 (Price: 244.4167)/2026-01-15 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-06-20/2027-06-20/2027-06-20,3.33%,4.39%,-1.06%,0.87,0.2,244.402/325.1966/293.57/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/244.4935/230.6347/227.4,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"PPH, Long, 2026-01-15 (Price: 105.04)",No Exit Yet,"0.0%, 0 days","85.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 103.4 prior to 2026-01-30,"2026-01-15 (Price: 105.04), 0.0% below",0 days,"0, 2021-01-31 (Price: 68.14)",2025-12-31 (Price: 103.17),2026-01-15 (Price: 105.04),15/0/0 days,1.81% above/0.0% below/0.0% below,2021-01-31 (Price: 78.5883)/2026-01-15 (Price: 98.4383),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2032-04-27/2026-08-20/2027-11-23,1.56%,1.67%,-0.11%,1.06,-0.07,116.752/115.1869/127.18/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,82.93/65.915/102.4808/84.9957/100.2743/95.969/91.29,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"ATZ.TO, Long, 2026-01-15 (Price: 126.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 118.13 prior to 2026-01-30,"2026-01-15 (Price: 126.52), 0.0% below",0 days,"2, 2024-01-31 (Price: 32.71)",2025-11-30 (Price: 110.5),2026-01-14 (Price: 126.76),46/1/0 days,14.5% above/0.19% below/0.0% below,2024-01-31 (Price: 38.3236)/2026-01-15 (Price: 108.5564),9.72%/9.72%/9.72%,"-0.0%, 27.64%",7.1 months/7.1 months/7.1 months,2026-11-19/2026-11-19/2026-11-19,13.41%,14.86%,-1.45%,1.61,0.68,218.3735/138.8177/182.81/No Horizontal Resistance/164.6254/250.1031/No EMA 200 Target,21.57/32.3325/111.7977/79.1477/111.4535/94.1626/81.7,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"BDGI.TO, Long, 2026-01-15 (Price: 79.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 76.2661 prior to 2026-03-31,"2026-01-15 (Price: 79.42), 0.0% below",0 days,"0, 2018-09-30 (Price: 29.6)",2025-09-30 (Price: 61.38),2026-01-12 (Price: 76.6),107/3/0 days,29.39% above/3.68% above/0.0% below,2018-09-30 (Price: 49.1411)/2026-01-15 (Price: 52.3578),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-08-10/2027-11-23/2028-04-28,16.49%,8.5%,7.99%,0.7,0.42,163.8196/205.5628/109.31/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/69.1181/62.357/57.24,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"MTY.TO, Long, 2026-01-15 (Price: 40.11)",No Exit Yet,"0.0%, 0 days","73.91%, Past 10 years, 23","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 39.9 prior to 2026-01-16,"2026-01-15 (Price: 40.11), 0.0% below",0 days,"8, 2023-04-16 (Price: 59.7)",2026-01-15 (Price: 40.11),2026-01-15 (Price: 40.11),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-04-16 (Price: 70.7306)/2026-01-15 (Price: 39.5891),16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-11/2026-02-24/2026-07-20,2.07%,4.23%,-2.16%,-0.11,0.25,40.9282/43.3108/51.86/72.5033/74.4994/87.3544/No EMA 200 Target,33.34/37.115/10.9521/4.4021/No support/No support/39.21,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"MSE.PA, Long, 2026-01-15 (Price: 67.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 66.934 prior to 2026-01-16,"2026-01-15 (Price: 67.41), 0.0% below",0 days,"2, 2025-07-06 (Price: 58.64)",2026-01-15 (Price: 67.41),2026-01-12 (Price: 67.13),0/3/0 days,0.0% below/0.42% above/0.0% below,2025-07-06 (Price: 60.0117)/2026-01-15 (Price: 66.601),10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2028-01-13/2026-03-08/2026-11-10,7.99%,3.79%,4.2%,2.07,0.15,71.0771/71.5018/72.67/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,61.34/33.6667/58.6808/47.8642/59.4039/54.3977/60.43,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"UPS, Long, 2026-01-15 (Price: 108.62)",No Exit Yet,"0.0%, 0 days","84.0%, Past 10 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 107.86 prior to 2026-01-16,"2026-01-15 (Price: 108.62), 0.0% below",0 days,"8, 2022-01-23 (Price: 201.95)",2026-01-11 (Price: 108.06),2026-01-15 (Price: 108.62),4/0/0 days,0.52% above/0.0% below/0.0% below,2022-01-23 (Price: 231.8456)/2026-01-15 (Price: 104.0672),11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-03-16/2026-02-24/2026-07-10,6.24%,1.27%,4.97%,0.28,0.02,105.4483/116.9837/164.62/221.2667/231.1794/256.5693/No EMA 200 Target,82.87/107.93/108.3547/94.2047/No support/No support/94.71,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"ETH-USD, Long, 2026-01-14 (Price: 3354.7227)",No Exit Yet,"-1.69%, 1 day","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-15 (Price: 3297.9944), 1.69% below",1 day,"6, 2025-08-23 (Price: 4776.0903)",2026-01-12 (Price: 3092.3252),2026-01-14 (Price: 3354.7227),3/1/1 days,6.65% above/1.69% below/1.69% below,2025-08-23 (Price: 5104.5698)/2026-01-14 (Price: 3059.6537),39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-24/2026-01-21/2026-02-16,60.18%,45.2%,14.98%,0.97,1.15,4089.0715/3803.2491/4207.54/4922.7188/4887.278/5306.7298/3641.92,3082.4/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"WPM.TO, Long, 2026-01-14 (Price: 184.93)",No Exit Yet,"1.81%, 1 day","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-15 (Price: 188.27), 1.81% above",1 day,"2, 2025-11-12 (Price: 150.99)",2026-01-12 (Price: 178.39),2026-01-14 (Price: 184.93),3/1/1 days,5.54% above/1.81% above/1.81% above,2025-11-12 (Price: 151.1722)/2026-01-14 (Price: 177.7597),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-24/2026-01-22/2026-02-26,12.04%,18.03%,-5.99%,0.06,0.87,199.0771/194.2505/205.29/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/135.01,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",No Exit Yet,"-1.95%, 1 day","93.94%, Past 4 years, 33","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-15 (Price: 5.52), 1.95% below",1 day,"2, 2025-10-23 (Price: 5.93)",2026-01-14 (Price: 5.63),2026-01-14 (Price: 5.63),1/1/1 days,1.95% below/1.95% below/1.95% below,2025-10-23 (Price: 6.0709)/2026-01-14 (Price: 5.5835),6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,2027-01-09/2026-02-11/2026-05-20,15.17%,1.53%,13.64%,0.66,0.09,5.8282/5.8349/5.81/6.825/7.4565/8.4564/5.73,5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"^VIX, Long, 2026-01-14 (Price: 16.75)",No Exit Yet,"-5.43%, 1 day","72.73%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-15 (Price: 15.84), 5.43% below",1 day,"10, 2025-03-14 (Price: 21.77)",2026-01-13 (Price: 15.98),2026-01-14 (Price: 16.75),2/1/1 days,0.88% below/5.43% below/5.43% below,2025-03-14 (Price: 63.8482)/2026-01-14 (Price: 15.0467),74.44%/1.64%/19.51%,"31.33%, 51.66%",4.3 months/6 days/1.9 month,2026-07-19/2026-01-22/2026-04-06,8.92%,2.46%,6.46%,0.35,0.98,17.1286/20.0179/19.76/35.1/71.5114/81.8014/18.91,13.47/11.665/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XLU, Long, 2026-01-13 (Price: 42.85)",No Exit Yet,"1.77%, 2 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-15 (Price: 43.61), 1.77% above",2 days,"2, 2025-11-19 (Price: 44.235)",2026-01-13 (Price: 42.85),2026-01-13 (Price: 42.85),2/2/2 days,1.77% above/1.77% above/1.77% above,2025-11-19 (Price: 45.6995)/2026-01-13 (Price: 42.4671),4.38%/0.63%/2.34%,"10.13%, 19.69%",4.1 months/6 days/1.1 month,2026-07-08/2026-01-21/2026-03-01,9.58%,4.29%,5.29%,0.22,0.2,44.384/43.8527/43.68/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,41.87/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.15,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"BABA, Long, 2026-01-13 (Price: 167.01)",No Exit Yet,"2.35%, 2 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-15 (Price: 170.93), 2.35% above",2 days,"2, 2025-10-24 (Price: 174.7)",2026-01-09 (Price: 150.96),2026-01-13 (Price: 167.01),6/2/2 days,13.23% above/2.35% above/2.35% above,2025-10-24 (Price: 182.7225)/2026-01-13 (Price: 148.7306),13.07%/3.26%/7.2%,"49.23%, 66.54%",2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,170.6508/179.0347/171.62/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"^NDX, Long, 2026-01-12 (Price: 25787.6602)",No Exit Yet,"-0.93%, 3 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-15 (Price: 25547.0742), 0.93% below",3 days,"2, 2025-10-23 (Price: 25097.4102)",2026-01-09 (Price: 25766.2598),2026-01-12 (Price: 25787.6602),6/3/3 days,0.85% below/0.93% below/0.93% below,2025-10-23 (Price: 26227.2504)/2026-01-12 (Price: 25595.3094),6.54%/0.57%/3.17%,"1.79%, 22.93%",2.3 months/6 days/18 days,2026-04-21/2026-01-20/2026-02-07,13.31%,13.29%,0.02%,1.25,0.74,26968.735/26605.129/26201.81/No Horizontal Resistance/33965.62/36701.6323/No EMA 200 Target,25206.17/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/23119.95,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"TSM, Long, 2026-01-12 (Price: 331.77)",No Exit Yet,"2.97%, 3 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-15 (Price: 341.64), 2.97% above",3 days,"2, 2025-10-23 (Price: 290.73)",2026-01-08 (Price: 318.01),2026-01-12 (Price: 331.77),7/3/3 days,7.43% above/2.97% above/2.97% above,2025-10-23 (Price: 307.9819)/2026-01-12 (Price: 317.9404),11.63%/1.91%/6.59%,"0%, 57.14%",1.2 month/6 days/16 days,2026-03-05/2026-01-20/2026-02-04,17.19%,20.61%,-3.42%,1.78,0.94,367.6343/353.6336/356.39/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/243.38,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
