Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-03 (Price: 246.27),No Price Target,No Date Target,32.11%/52.86%,"46.86%, 2 years","2026-02-02 (Price: 246.27), 46.86% above",325.3354 (Historic Rise or Fall to Pivot)/376.4473 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"100.0%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,67.06% above/46.86% above/46.86% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),0.3%/2.53%,"0.51%, 3 days","2026-02-02 (Price: 60.99), 0.51% above",66.2929 (Historic Rise or Fall to Pivot)/62.5307 (Avg % Gain of Historic Winning trades)/79.98 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.1533 (Backtested Max)/61.1715 (Backtested Min),2026-06-18 (Max)/2026-02-04 (Min)/2026-03-10 (Avg),53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,"100.0%, Past 4 years, 11",60.11,No Information,No Information,No Information,No Information,No Information,0.51% above/0.51% above/0.51% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,13.01%,4.6%,8.41%,1.21,0.22,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2025-08-10 (Price: 57.24)",Weekly,No Exit Yet,61.0579 (Historic Rise or Fall to Pivot),No Date Target,2.13%/10.14%,"6.55%, 5.9 months","2026-02-02 (Price: 60.99), 6.55% above",62.2886 (Avg % Gain of Historic Winning trades)/68.82 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/67.1769 (Backtested Max),2026-11-17 (Max),35.9/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/41.89,"95.45%, Past 10 years, 22",55.02,No Information,No Information,No Information,No Information,No Information,12.22% above/6.55% above/6.55% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,-1.73%,1.97%,-3.7%,0.5,0.04,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Exit Yet,60.3994 (Avg % Gain of Historic Winning trades),No Date Target,24.5%/34.82%,"16.44%, 4.4 months","2026-02-02 (Price: 60.99), 16.44% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.93 (Backtested Max),2026-08-28 (Max)/2026-03-29 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/52.35,"87.5%, Past 5 years, 8",52.64,No Information,No Information,No Information,No Information,No Information,No Information,44.96%/1.83%/15.31%,"6.64%, 12.43%",7.8 months/1.2 month/4.3 months,22.59%,5.81%,16.78%,0.7,0.3,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-02-03 (Avg),5.3%/5.65%,"-2.72%, 10 days","2026-02-02 (Price: 187.0), 2.72% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.54,"80.0%, Past 4 years, 5",193.26,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-03 (Price: 187.0),No Price Target,No Date Target,10.03%/12.8%,"5.95%, 8.3 months","2026-02-02 (Price: 187.0), 5.95% above",210.9352 (Historic Rise or Fall to Pivot)/205.7637 (Avg % Gain of Historic Winning trades)/233.0 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-13 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",170.49,No Information,No Information,No Information,No Information,No Information,5.95% above/5.95% above/5.95% above,24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,9.06%,19.7%,-10.64%,1.65,1.31,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),0.29%/5.64%,"0.0%, 0 days","2026-02-02 (Price: 187.0), 0.0% below",201.3055 (Historic Rise or Fall to Pivot)/206.2797 (Avg % Gain of Historic Winning trades)/203.83 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/187.54 (EMA 200)/226.6814 (Backtested Max)/197.5468 (Backtested Min),2026-10-12 (Max)/2026-02-04 (Min)/2026-05-12 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 6 years, 17",185.16,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,No Exit Yet,39.4731 (Historic Rise or Fall to Pivot),No Date Target,2.97%/4.27%,"10.57%, 8.9 months","2026-02-03 (Price: 39.75), 10.57% above",42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",35.3,No Information,No Information,No Information,"23.66% (Price: 32.958), 20.61% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.8673 (Backtested Min),No Date Target,1.81%/2.97%,"14.95%, 10.1 months","2026-02-03 (Price: 39.75), 14.95% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 23.59% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",Daily,No Exit Yet,39.8068 (Avg % Gain of Historic Winning trades),No Date Target,1.76%/2.09%,"3.73%, 4.6 months","2026-02-03 (Price: 39.75), 3.73% above",40.4506 (Historic Rise or Fall to Pivot)/40.58 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.5352 (Backtested Max),2026-02-18 (Max),37.45/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,"84.09%, Past 4 years, 44",37.33,No Information,No Information,No Information,No Information,No Information,6.06% above/3.73% above/3.73% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),3.33%/6.32%,"-0.49%, 1.7 month","2026-02-02 (Price: 42.62), 0.49% below",45.3141 (Historic Rise or Fall to Pivot)/46.5562 (Avg % Gain of Historic Winning trades)/54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max)/44.0378 (Backtested Min),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.46,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 0.82% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-31 (Price: 43.25),No Price Target,No Date Target,5.94%/12.27%,"8.1%, 10.3 months","2026-02-03 (Price: 42.62), 8.1% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 15.26% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,2.54%/10.14%,"14.48%, 3.9 years","2026-02-02 (Price: 42.62), 14.48% above",46.94 (Function Specific Target)/43.7042 (F-Stack 2),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",35.775,No Information,No Information,No Information,No Information,No Information,14.48% above/14.48% above/14.48% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",Monthly,2026-01-31 (Price: 430.29),No Price Target,No Date Target,25.28%/30.71%,"-14.89%, 7.3 months","2026-02-03 (Price: 423.37), 14.89% below",669.6133 (Historic Rise or Fall to Pivot)/608.4319 (Avg % Gain of Historic Winning trades)/650.36 (Function Specific Target)/553.3726 (F-Stack 2)/636.0879 (Backtested Max)/530.3883 (Backtested Min),2045-10-07 (Max)/2028-01-24 (Avg),375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/486.13,"92.31%, Past 39 years, 13",457.14,No Information,No Information,No Information,"50% (Price: 340.89), 24.2% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,7.9%,16.21%,-8.31%,1.65,0.79,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"MSFT, Long, 2026-01-26 (Price: 470.28)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),14.45%/14.53%,"-9.97%, 7 days","2026-02-02 (Price: 423.37), 9.97% below",486.3636 (Historic Rise or Fall to Pivot)/484.9057 (Avg % Gain of Historic Winning trades)/494.69 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/484.55 (EMA 200)/520.0356 (Backtested Max),2026-07-14 (Max)/2026-02-03 (Min)/2026-03-04 (Avg),444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"87.5%, Past 4 years, 32",465.31,No Information,No Information,No Information,No Information,No Information,9.97% below/9.97% below/9.97% below,10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,13.15%,14.47%,-1.32%,0.53,0.76,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2026-01-22 (Price: 449.36)",Daily,No Exit Yet,No Price Target,2026-02-01 (Min),8.13%/14.1%,"-6.13%, 11 days","2026-02-02 (Price: 421.81), 6.13% below",527.8183 (Historic Rise or Fall to Pivot)/499.6883 (Avg % Gain of Historic Winning trades)/518.99 (Function Specific Target)/481.305 (Horizontal)/541.282 (F-Stack 1)/564.9603 (F-Stack 2)/519.7747 (Backtested Max)/456.1004 (Backtested Min),2029-11-29 (Max)/2027-01-04 (Avg),419.25/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/378.06,"100.0%, Past 5 years, 14",435.16,No Information,No Information,No Information,"61.8% (Price: 427.1111), 1.24% below, Upmove Bounce Back","2025-11-14 (Price: 382.78), 2025-12-22 (Price: 498.83)",No Information,15.67%/1.5%/11.2%,"-0.0%, 68.46%",2.7 years/7 days/8 months,25.24%,11.0%,14.24%,2.38,0.58,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-31 (Price: 430.41),No Price Target,No Date Target,16.2%/104.88%,"21.75%, 8.3 months","2026-02-02 (Price: 421.81), 21.75% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),No Next Date Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",280.01,No Information,No Information,No Information,No Information,No Information,49.49% above/21.75% above/21.75% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
