Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-09-03 (Price: 5.9)",Daily,No Exit Yet,No Price Target,2026-01-07 (Avg),7.91%/8.04%,"-4.07%, 4.3 months","2026-01-09 (Price: 5.66), 4.07% below",6.1077 (Historic Rise or Fall to Pivot)/6.1148 (Avg % Gain of Historic Winning trades)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.3112 (Backtested Max),2026-08-29 (Max),5.42/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/5.77,"93.94%, Past 4 years, 33",No Information,No Information,No Information,No Information,No Information,3.08% below/4.07% below/4.07% below,6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,15.17%,1.53%,13.64%,0.66,0.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-09 (Price: 42.51) (Today),No Price Target,No Date Target,6.22%/12.56%,"7.82%, 9.5 months","2026-01-09 (Price: 42.51), 7.82% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Exit Rule)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",No Information,No Information,No Information,"23.66% (Price: 36.9765), 14.96% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,2.81%/10.42%,"14.18%, 3.8 years","2026-01-09 (Price: 42.51), 14.18% above",46.94 (Exit Rule)/43.7042 (F-Stack 2),2026-03-28 (Max)/2026-03-28 (Max)/2026-03-28 (Max),12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",No Information,No Information,No Information,No Information,No Information,14.18% above/14.18% above/14.18% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,4.44%/8.06%,"11.87%, 3.4 months","2026-01-09 (Price: 3.77), 11.87% above",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,19.68% above/19.3% above/11.87% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.77 (Backtested Min),No Date Target,5.06%/8.69%,"11.21%, 10.5 months","2026-01-09 (Price: 3.77), 11.21% above",3.9609 (Historic Rise or Fall to Pivot)/4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,32.28% above/15.29% above/11.21% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",Monthly,2026-01-09 (Price: 479.28) (Today),No Price Target,No Date Target,10.66%/15.46%,"-3.64%, 6.4 months","2026-01-09 (Price: 479.28), 3.64% below",669.6133 (Historic Rise or Fall to Pivot)/608.4319 (Avg % Gain of Historic Winning trades)/650.36 (Exit Rule)/553.3726 (F-Stack 2)/636.0879 (Backtested Max)/530.3883 (Backtested Min),2045-10-07 (Max)/2028-01-24 (Avg),375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/480.22,"92.31%, Past 39 years, 13",No Information,No Information,No Information,"50% (Price: 340.89), 40.6% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,7.9%,16.21%,-8.31%,1.65,0.79,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
TRENDPULSE,"BTC-USD, Long, 2025-05-31 (Price: 104638.0938)",Monthly,No Exit Yet,No Price Target,2026-01-07 (Min),50.52%/71.63%,"-13.59%, 7.4 months","2026-01-09 (Price: 90416.2812), 13.59% below",360760.756 (Historic Rise or Fall to Pivot)/283025.1161 (Avg % Gain of Historic Winning trades)/161744.31 (Exit Rule)/136097.3501 (F-Stack 2)/404352.9859 (Backtested Max)/155178.2931 (Backtested Min),2026-02-20 (Max)/2026-02-07 (Avg),16547.5/18304.4229/88806.9363/81023.3741/No F-Track Level/No F-Track Level/94736.72,"100.0%, Past 20 years, 5",No Information,No Information,No Information,No Information,No Information,4.02% below/13.59% below/13.59% below,286.43%/48.3%/170.48%,"-0.0%, 15.0%",6.1 months/5.1 months/5.8 months,57.76%,40.52%,17.24%,0.93,1.37,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-09 (Price: 445.01) (Today),No Price Target,No Date Target,10.14%/94.2%,"28.44%, 7.4 months","2026-01-09 (Price: 445.01), 28.44% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),2028-02-15 (Max)/2028-02-15 (Max)/2028-02-15 (Max),175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,57.72% above/56.24% above/28.44% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2025-11-16 (Price: 508.94)",Weekly,No Exit Yet,No Price Target,2026-01-07 (Min),3.82%/4.28%,"-1.93%, 1.8 month","2026-01-09 (Price: 499.1), 1.93% below",542.0211 (Historic Rise or Fall to Pivot)/533.929 (Avg % Gain of Historic Winning trades)/518.18 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/567.977 (Backtested Max)/520.442 (Backtested Min),2027-01-15 (Max)/2026-02-28 (Avg),477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/496.0,"96.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,1.93% below/0.66% below/1.93% below,11.6%/2.26%/4.91%,"13.62%, 25.57%",9.8 months/1.2 month/2.4 months,9.19%,8.89%,0.3%,0.7,0.57,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-09 (Price: 626.65) (Today),No Price Target,No Date Target,2.19%/3.59%,"9.86%, 4.4 months","2026-01-09 (Price: 626.65), 9.86% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Exit Rule)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,9.86% above/9.86% above/9.86% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2025-08-31 (Price: 313.54)",Monthly,No Exit Yet,No Price Target,2026-01-08 (Min),4.44%/4.78%,"-1.98%, 4.4 months","2026-01-09 (Price: 307.32), 1.98% below",383.2399 (Historic Rise or Fall to Pivot)/377.9411 (Avg % Gain of Historic Winning trades)/434.79 (Exit Rule)/322.0 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/405.0623 (Backtested Max)/320.9709 (Backtested Min),2035-03-25 (Max)/2027-10-22 (Avg),254.84/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/306.34,"81.48%, Past 60 years, 27",No Information,No Information,No Information,"23.66% (Price: 278.5055), 10.35% above, Upmove Bounce Back","2020-03-31 (Price: 124.23), 2025-03-31 (Price: 326.32)",No Information,29.19%/2.37%/20.54%,"23.84%, 62.0%",6.7 years/3 months/1.5 year,6.88%,8.79%,-1.91%,0.83,0.47,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",Daily,No Exit Yet,No Price Target,2026-01-11 (Avg),0.86%/1.49%,"-0.66%, 1.9 month","2026-01-09 (Price: 115.88), 0.66% below",119.2513 (Historic Rise or Fall to Pivot)/120.8377 (Avg % Gain of Historic Winning trades)/116.88 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/128.2217 (Backtested Max)/117.6065 (Backtested Min),2026-06-17 (Max)/2026-01-11 (Avg),110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/110.16,"80.0%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,3.24% above/0.66% below/0.66% below,9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,-16.64%,-4.09%,-12.55%,-0.07,-0.15,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",Daily,No Exit Yet,No Price Target,2026-01-10 (Avg),7.52%/8.59%,"-6.81%, 1.4 month","2026-01-09 (Price: 939.0), 6.81% below",1026.8452 (Historic Rise or Fall to Pivot)/1043.5713 (Avg % Gain of Historic Winning trades)/1024.94 (Exit Rule)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1089.7194 (Backtested Max)/1019.6912 (Backtested Min),2026-04-07 (Max)/2026-01-10 (Avg),982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,6.46% below/6.81% below/6.81% below,8.15%/1.2%/3.57%,"-0.0%, 11.99%",3 months/4 days/1 month,15.51%,5.46%,10.05%,1.19,0.28,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,No Exit Yet,No Price Target,2026-01-10 (Min),5.08%/8.97%,"0.0%, 0 days","2026-01-09 (Price: 44.62), 0.0% below",54.0973 (Historic Rise or Fall to Pivot)/48.6224 (Avg % Gain of Historic Winning trades)/54.44 (Exit Rule)/51.51 (Horizontal)/57.5622 (F-Stack 1)/59.9244 (F-Stack 2)/54.0884 (Backtested Max)/46.8867 (Backtested Min),2026-08-31 (Max)/2026-01-10 (Min)/2026-03-02 (Avg),No Recent Minima/34.9317/44.0597/41.1349/No support/No support/43.52,"83.33%, Past 6 years, 18",No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.71%,10.1%,0.63,0.53,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-09-21 (Price: 7.85)",Weekly,2026-01-04 (Price: 8.33),8.5824 (Historic Rise or Fall to Pivot),No Date Target,3.65%/4.17%,"8.79%, 3.7 months","2026-01-09 (Price: 8.54), 8.79% above",8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/8.8517 (Backtested Max),2026-08-12 (Max)/2026-01-20 (Avg),7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,9.63% above/8.79% above/8.79% above,12.76%/0.47%/5.95%,"-0.0%, 7.89%",7.5 months/28 days/2.8 months,11.42%,5.83%,5.59%,1.52,0.3,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-09 (Price: 83.75)",Weekly,2026-01-09 (Price: 88.81) (Today),No Price Target,No Date Target,1.72%/4.77%,"6.04%, 2 months","2026-01-09 (Price: 88.81), 6.04% above",93.0463 (Historic Rise or Fall to Pivot)/90.3411 (Avg % Gain of Historic Winning trades)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/103.7662 (Backtested Max),2027-04-14 (Max)/2026-03-01 (Avg),76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.69,"83.33%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,6.04% above/8.49% above/6.04% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,13.27%,11.85%,1.42%,0.6,0.66,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
FRACTAL TRACK,"MX.TO, Long, 2025-08-31 (Price: 48.78)",Weekly,2026-01-09 (Price: 65.19) (Today),No Price Target,No Date Target,12.65%/34.59%,"33.64%, 4.4 months","2026-01-09 (Price: 65.19), 33.64% above",87.74 (Exit Rule)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2),2030-03-26 (Max)/2026-11-08 (Avg),45.56/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/No EMA 200 Support,"94.44%, Past 20 years, 18",No Information,No Information,No Information,"50% (Price: 45.71), 42.62% above, Upmove Bounce Back","2020-03-29 (Price: 13.24), 2025-02-09 (Price: 78.18)",No Information,22.38%/3.19%/16.45%,"5.57%, 73.13%",3.2 years/28 days/10 months,13.05%,2.99%,10.06%,1.75,0.22,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
