"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MEL.NZ, Long, 2025-11-04 (Price: 6.03)",2025-11-11 (Price: 5.91) (Today),"-1.99%, 5 days","91.3%, Past 4 years, 46","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-11 (Price: 5.91), 1.99% below",5 days,"6, 2025-06-03 (Price: 5.58)",2025-11-03 (Price: 5.94),2025-11-04 (Price: 6.03),6/5/5 days,0.51% below/1.99% below/1.99% below,2025-06-03 (Price: 6.0164)/2025-11-04 (Price: 5.8767),18.47%/0.46%/5.52%,"6.51%, 17.02%",178 days/5 days/31 days,2026-07-19/2025-11-11/2025-12-18,19.9%,4.2%,15.69%,0.73,0.16,6.1524/6.3629/6.3/6.825/7.4565/8.4213,5.8/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level,5.8/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",2025-11-11 (Price: 11.94) (Today),"0.76%, 5 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-11 (Price: 11.94), 0.76% above",5 days,"0, 2024-01-18 (Price: 10.61)",2025-11-03 (Price: 11.85),2025-11-04 (Price: 11.85),6/5/5 days,0.76% above/0.76% above/0.76% above,2024-01-18 (Price: 14.7018)/2025-11-04 (Price: 11.6135),8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"^DJI, Long, 2025-11-02 (Price: 47562.8711)",2025-11-11 (Price: 47927.9609) (Today),"0.77%, 6 days","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 47927.9609), 0.77% above",6 days,"0, 2021-07-11 (Price: 34870.1602)",2025-10-19 (Price: 46190.6094),2025-10-31 (Price: 47562.8711),16/7/6 days,3.76% above/0.77% above/0.77% above,2021-07-11 (Price: 36111.9479)/2025-11-02 (Price: 45602.9241),6.98%/0.22%/3.8%,"3.06%, 34.78%",249 days/19 days/101 days,2026-10-28/2025-11-29/2026-03-28,6.99%,9.91%,-2.92%,1.11,0.44,48742.4303/49370.2602/55178.5/No Horizontal Resistance/54129.8938/83218.843,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level,46229.44/43702.44,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-02 (Price: 59825.8984)",2025-11-11 (Price: 60427.0) (Today),"1.0%, 6 days","89.13%, Past 10 years, 46","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 60427.0), 1.0% above",6 days,"2, 2025-05-18 (Price: 57060.5)",2025-10-19 (Price: 58902.25),2025-11-02 (Price: 59825.8984),16/6/6 days,2.59% above/1.0% above/1.0% above,2025-05-18 (Price: 60173.8125)/2025-11-02 (Price: 58938.3281),11.35%/2.01%/6.62%,"21.92%, 38.39%",259 days/19 days/71 days,2026-11-12/2025-11-29/2026-02-12,7.9%,12.8%,-4.9%,0.6,0.56,63104.3576/63786.3729/61485.14/60182.9323/69983.5191/76335.2565,55727.4/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58144.29/55609.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"DIA, Long, 2025-11-02 (Price: 475.67)",2025-11-11 (Price: 479.41) (Today),"0.79%, 6 days","100.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 479.41), 0.79% above",6 days,"0, 2021-07-11 (Price: 348.73)",2025-10-19 (Price: 461.78),2025-10-31 (Price: 475.67),16/7/6 days,3.82% above/0.79% above/0.79% above,2021-07-11 (Price: 360.8254)/2025-11-02 (Price: 456.0551),8.64%/1.23%/3.89%,"-0.0%, 14.86%",209 days/19 days/87 days,2026-08-31/2025-11-29/2026-03-08,10.29%,9.9%,0.39%,1.56,0.44,487.419/494.1736/551.83/No Horizontal Resistance/538.1343/826.9871,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,462.56/437.18,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"UPS, Long, 2025-11-02 (Price: 96.42)",2025-11-11 (Price: 95.03) (Today),"-1.44%, 6 days","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 95.03), 1.44% below",6 days,"4, 2024-10-06 (Price: 131.25)",2025-10-19 (Price: 86.41),2025-10-29 (Price: 97.4),16/9/6 days,9.98% above/2.43% below/1.44% below,2024-10-06 (Price: 151.8309)/2025-11-02 (Price: 83.7209),31.22%/1.77%/7.51%,"13.76%, 27.26%",244 days/19 days/109 days,2026-10-21/2025-11-29/2026-04-08,13.13%,2.3%,10.84%,0.5,0.04,94.8869/103.6611/117.32/221.2667/228.7501/295.6013,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,86.31/99.82,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",2025-11-11 (Price: 45.44) (Today),"0.66%, 7 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 45.44), 0.66% above",7 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),51/10/7 days,6.27% above/0.04% below/0.66% above,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",304 days/84 days/144 days,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level,44.24/40.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",2025-11-11 (Price: 621.57) (Today),"-1.19%, 7 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 621.57), 1.19% below",7 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),30/7/7 days,3.53% above/1.19% below/1.19% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",673 days/107 days/230 days,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,596.73/537.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.1309)",2025-11-11 (Price: 25533.4863) (Today),"-1.26%, 7 days","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 25533.4863), 1.26% below",7 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.1309),30/7/7 days,3.46% above/1.26% below/1.26% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/14.42%,"-0.0%, 13.1%",369 days/107 days/203 days,2027-04-18/2026-04-03/2026-08-21,16.42%,9.59%,6.84%,1.86,0.37,29242.9602/29586.8734/34741.24/No Horizontal Resistance/25025.4383/33965.62,19278.45/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level,24519.3/22067.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2025-11-11 (Price: 93.54) (Today),"1.68%, 7 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 93.54), 1.68% above",7 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),51/8/7 days,9.06% above/1.83% above/1.68% above,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),24.83%/3.08%/11.43%,"30.99%, 38.87%",719 days/129 days/282 days,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level,88.59/76.35,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CVS, Long, 2025-10-31 (Price: 78.15)",2025-11-11 (Price: 79.87) (Today),"2.2%, 7 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 79.87), 2.2% above",7 days,"0, 2020-10-31 (Price: 56.09)",2025-08-31 (Price: 73.15),2025-10-31 (Price: 78.15),51/7/7 days,9.19% above/2.2% above/2.2% above,2020-10-31 (Price: 127.1433)/2025-10-31 (Price: 67.5433),28.65%/12.56%/20.39%,"44.04%, 44.04%",218 days/87 days/159 days,2026-09-11/2026-03-06/2026-06-18,6.5%,4.04%,2.46%,0.24,0.13,87.1138/94.0848/91.39/106.045/116.3721/144.3517,44.89/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,76.44/67.21,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"XLU, Long, 2025-10-31 (Price: 89.1)",2025-11-11 (Price: 89.71) (Today),"0.68%, 7 days","90.48%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 89.71), 0.68% above",7 days,"0, 2020-10-31 (Price: 62.38)",2025-09-30 (Price: 87.21),2025-10-01 (Price: 88.05),30/29/7 days,2.87% above/1.89% above/0.68% above,2020-10-31 (Price: 67.198)/2025-10-31 (Price: 87.0494),16.63%/1.39%/9.27%,"27.25%, 40.67%",871 days/107 days/247 days,2029-04-14/2026-04-03/2026-10-23,5.14%,3.83%,1.3%,0.73,0.04,93.0739/97.3596/105.13/No Horizontal Resistance/98.9717/144.4725,58.93/59.52/70.8508/53.4708/No F-Track Level/No F-Track Level,87.48/82.19,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"TSM, Long, 2025-10-31 (Price: 300.43)",2025-11-11 (Price: 291.17) (Today),"-3.08%, 7 days","96.55%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 291.17), 3.08% below",7 days,"2, 2023-06-30 (Price: 100.92)",2025-10-31 (Price: 300.43),2025-10-13 (Price: 302.89),7/21/7 days,3.08% below/3.87% below/3.08% below,2023-06-30 (Price: 111.482)/2025-10-31 (Price: 284.8673),62.44%/5.05%/21.09%,"28.26%, 49.81%",392 days/107 days/247 days,2027-05-21/2026-04-03/2026-10-23,11.28%,15.19%,-3.91%,0.91,0.52,354.6276/363.7907/420.14/No Horizontal Resistance/334.306/349.9895,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level,274.27/218.77,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BAC, Long, 2025-10-31 (Price: 53.45)",2025-11-11 (Price: 53.63) (Today),"0.34%, 7 days","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 53.63), 0.34% above",7 days,"0, 2020-10-31 (Price: 23.7)",2025-08-31 (Price: 50.74),2025-10-23 (Price: 51.76),51/13/7 days,5.7% above/3.61% above/0.34% above,2020-10-31 (Price: 51.0942)/2025-10-31 (Price: 47.4033),30.69%/9.64%/20.1%,"25.08%, 44.87%",412 days/88 days/206 days,2027-06-19/2026-03-07/2026-08-25,4.84%,3.94%,0.9%,0.33,0.19,59.5593/64.1935/71.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,51.02/45.86,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CSCO, Long, 2025-10-31 (Price: 73.11)",2025-11-11 (Price: 71.71) (Today),"-1.91%, 7 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 71.71), 1.91% below",7 days,"2, 2025-09-11 (Price: 67.69)",2025-10-30 (Price: 72.91),2025-10-31 (Price: 73.11),8/7/7 days,1.65% below/1.91% below/1.91% below,2025-09-11 (Price: 68.1337)/2025-10-31 (Price: 72.2095),7.42%/1.03%/3.28%,"17.72%, 27.08%",34 days/4 days/14 days,2025-12-19/2025-11-05/2025-11-20,14.5%,7.19%,7.31%,0.19,0.26,74.3894/75.508/76.36/No Horizontal Resistance/78.7458/109.6316,67.46/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level,68.79/64.73,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"JPM, Long, 2025-10-31 (Price: 311.12)",2025-11-11 (Price: 315.62) (Today),"1.45%, 7 days","97.62%, Past 4 years, 42","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 315.62), 1.45% above",7 days,"2, 2025-09-11 (Price: 305.56)",2025-10-30 (Price: 309.44),2025-10-31 (Price: 311.12),8/7/7 days,2.0% above/1.45% above/1.45% above,2025-09-11 (Price: 323.9)/2025-10-31 (Price: 306.23),10.64%/1.12%/4.24%,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-10/2025-11-05/2025-11-27,52.95%,15.43%,37.52%,1.31,0.55,313.2356/324.3115/314.46/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,304.83/274.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PPH, Long, 2025-10-31 (Price: 92.54)",2025-11-11 (Price: 98.2) (Today),"6.12%, 7 days","81.48%, Past 20 years, 27","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 98.2), 6.12% above",7 days,"2, 2024-08-31 (Price: 99.43)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),30/29/7 days,8.68% above/4.18% above/6.12% above,2024-08-31 (Price: 100.5162)/2025-10-31 (Price: 88.7495),15.31%/0.84%/7.86%,"30.19%, 39.01%",1129 days/106 days/305 days,2030-04-23/2026-04-02/2027-01-15,1.99%,2.01%,-0.01%,0.18,-0.1,98.296/99.8136/96.67/No Horizontal Resistance/100.0174/110.0139,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level,90.45/88.68,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
