"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"XIU.TO, Long, 2025-11-28 (Price: 46.43)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.4507 prior to 2025-11-28,"2025-11-28 (Price: 46.43), 0.0% below",0 days,"2, 2023-05-31 (Price: 29.68)",2025-09-30 (Price: 44.77),2025-11-24 (Price: 45.37),59/4/0 days,3.71% above/2.34% above/0.0% below,2023-05-31 (Price: 31.8)/2025-11-28 (Price: 43.425),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-11/2026-03-29/2026-06-24,8.8%,4.94%,3.87%,0.91,0.11,49.3412/50.7526/56.48/No Horizontal Resistance/48.3988/56.9776/No Moving Avg Target,28.76/27.9467/41.5586/34.9694/41.9471/39.1707/41.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IEI, Long, 2025-11-28 (Price: 120.26)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 120.0673 prior to 2025-11-28,"2025-11-28 (Price: 120.26), 0.0% below",0 days,"2, 2024-09-30 (Price: 119.61)",2025-11-28 (Price: 120.26),2025-11-21 (Price: 120.08),0/5/0 days,0.0% below/0.15% above/0.0% below,2024-09-30 (Price: 120.33)/2025-11-28 (Price: 119.47),2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-17/2026-05-04/2026-10-24,0.4%,0.95%,-0.55%,0.05,-0.88,121.9797/122.5089/120.65/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/139.4714/142.7661/118.54,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SOXX, Long, 2025-11-28 (Price: 296.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-28 (Price: 296.74), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-11-28 (Price: 296.74),2025-11-21 (Price: 270.83),0/5/0 days,0.0% below/9.57% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-11-28 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-07/2027-03-12/2027-06-30,17.9%,12.73%,5.17%,1.39,0.46,359.8863/424.1898/456.37/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/235.89,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"XLV, Long, 2025-11-28 (Price: 157.65)",No Exit Yet,"0.0%, 0 days","86.21%, Past 20 years, 29","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 144.07 prior to 2025-11-28,"2025-11-28 (Price: 157.65), 0.0% below",0 days,"2, 2024-09-30 (Price: 154.02)",2025-09-30 (Price: 139.17),2025-11-25 (Price: 158.77),59/3/0 days,13.28% above/0.71% below/0.0% below,2024-09-30 (Price: 159.64)/2025-11-28 (Price: 137.8933),17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,2028-08-30/2026-04-01/2026-10-31,5.12%,6.82%,-1.7%,0.64,0.25,165.501/171.602/159.83/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.43/120.178/153.114/117.2225/167.2798/171.9748/139.6,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CSCO, Long, 2025-11-28 (Price: 76.94)",No Exit Yet,"0.0%, 0 days","81.82%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 74.61 prior to 2025-11-28,"2025-11-28 (Price: 76.94), 0.0% below",0 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-13 (Price: 77.38),28/15/0 days,5.24% above/0.57% below/0.0% below,2020-11-30 (Price: 63.5339)/2025-11-28 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,2027-04-14/2026-05-01/2026-09-09,6.7%,1.67%,5.03%,0.55,0.08,83.7877/89.8505/97.29/No Horizontal Resistance/81.4336/89.7071/No Moving Avg Target,46.5/40.92/73.1467/64.9561/68.7836/61.8539/66.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"DIA, Long, 2025-11-28 (Price: 477.18)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 462.57 prior to 2025-12-31,"2025-11-28 (Price: 477.18), 0.0% below",0 days,"4, 2010-12-31 (Price: 115.63)",2025-09-30 (Price: 463.74),2025-11-24 (Price: 464.44),59/4/0 days,2.9% above/2.74% above/0.0% below,2010-12-31 (Price: 102.8559)/2025-11-28 (Price: 447.0827),39.44%/24.26%/29.32%,"-0.0%, 23.1%",2.5 years/10.8 months/1.4 year,2029-07-10/2027-03-13/2027-12-21,13.89%,6.15%,7.74%,1.37,0.2,506.9083/617.0892/694.11/No Horizontal Resistance/508.5373/687.3389/No Moving Avg Target,287.3/321.6725/398.0316/329.7358/456.4623/439.2934/439.67,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"BDGI.TO, Long, 2025-11-28 (Price: 72.81)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-11-28 (Price: 72.81), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-11-28 (Price: 72.81),59/0/0 days,18.62% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-11-28 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",1.3 year/10.8 months/1.1 year,2027-09-20/2027-03-13/2027-07-19,41.42%,12.22%,29.2%,1.0,0.42,119.2337/162.4828/97.49/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/51.7,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"NA.TO, Long, 2025-11-28 (Price: 168.95)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 157.19 prior to 2025-11-28,"2025-11-28 (Price: 168.95), 0.0% below",0 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-28 (Price: 168.95),28/0/0 days,7.82% above/0.0% below/0.0% below,2020-11-30 (Price: 94.7324)/2025-11-28 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,2028-08-29/2026-05-03/2026-10-16,11.63%,10.7%,0.94%,1.75,0.45,179.2222/197.908/227.16/No Horizontal Resistance/162.0277/185.717/No Moving Avg Target,118.77/82.9367/152.3147/143.1328/154.7108/145.5607/138.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SJ.TO, Long, 2025-11-28 (Price: 87.09)",No Exit Yet,"0.0%, 0 days","80.95%, Past 20 years, 21","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 79.13 prior to 2025-11-28,"2025-11-28 (Price: 87.09), 0.0% below",0 days,"2, 2024-07-31 (Price: 92.89)",2025-11-28 (Price: 87.09),2025-11-26 (Price: 86.92),0/2/0 days,0.0% below/0.2% above/0.0% below,2024-07-31 (Price: 98.2608)/2025-11-28 (Price: 77.629),52.17%/3.61%/37.17%,"45.19%, 70.23%",1.7 year/2.9 months/6.3 months,2028-04-28/2026-04-03/2026-08-27,11.4%,21.44%,-10.04%,0.91,0.78,123.032/119.4614/90.57/No Horizontal Resistance/108.5192/133.8092/No Moving Avg Target,67.6/38.015/50.2755/47.8005/106.4561/111.6527/75.72,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"GDX, Long, 2025-11-26 (Price: 81.55)",No Exit Yet,"2.06%, 2 days","86.21%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-28 (Price: 83.23), 2.06% above",2 days,"2, 2025-10-07 (Price: 76.97)",2025-11-25 (Price: 77.8),2025-11-26 (Price: 81.55),3/2/2 days,6.98% above/2.06% above/2.06% above,2025-10-07 (Price: 86.9763)/2025-11-26 (Price: 77.2753),12.3%/0.8%/6.64%,"18.96%, 38.81%",2.7 months/4 days/20 days,2026-03-21/2025-12-01/2025-12-24,21.23%,17.39%,3.84%,0.25,0.58,84.5266/86.9649/84.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.17,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"IWM, Long, 2025-11-26 (Price: 247.3)",No Exit Yet,"0.59%, 2 days","92.59%, Past 4 years, 27","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-28 (Price: 248.75), 0.59% above",2 days,"2, 2025-10-07 (Price: 244.16)",2025-11-25 (Price: 245.13),2025-11-26 (Price: 247.3),3/2/2 days,1.48% above/0.59% above/0.59% above,2025-10-07 (Price: 255.5537)/2025-11-26 (Price: 243.5789),5.6%/1.96%/3.61%,"7.05%, 22.58%",3.6 months/4 days/29 days,2026-05-02/2025-12-01/2026-01-07,32.42%,7.38%,25.04%,0.87,0.26,251.7761/256.2275/249.18/No Horizontal Resistance/348.4025/539.5308/No Moving Avg Target,229.11/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/220.34,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"AAPL, Long, 2025-11-25 (Price: 276.97)",No Exit Yet,"0.68%, 3 days","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-28 (Price: 278.85), 0.68% above",3 days,"6, 2025-06-24 (Price: 200.3)",2025-11-25 (Price: 276.97),2025-11-25 (Price: 276.97),3/3/3 days,0.68% above/0.68% above/0.68% above,2025-06-24 (Price: 230.4952)/2025-11-25 (Price: 275.3321),7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-17/2025-11-30/2025-12-28,8.33%,26.41%,-18.08%,0.18,0.92,280.0444/286.387/322.97/No Horizontal Resistance/294.7231/309.0801/No Moving Avg Target,266.25/136.57/189.8723/119.0319/No F-Track Level/No F-Track Level/226.76,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MCY.NZ, Long, 2025-11-25 (Price: 6.5)",No Exit Yet,"-2.15%, 3 days","90.2%, Past 4 years, 51","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-28 (Price: 6.36), 2.15% below",3 days,"2, 2025-09-25 (Price: 6.65)",2025-11-25 (Price: 6.5),2025-11-25 (Price: 6.5),3/3/3 days,2.15% below/2.15% below/2.15% below,2025-09-25 (Price: 6.9167)/2025-11-25 (Price: 6.4411),7.72%/1.3%/4.53%,"14.39%, 20.6%",4 months/4 days/27 days,2026-05-17/2025-11-30/2026-01-03,20.77%,4.77%,16.0%,0.81,0.17,6.6215/6.7944/6.59/7.085/7.8394/8.9737/No Moving Avg Target,6.32/5.13/6.4223/5.8309/No F-Track Level/No F-Track Level/6.21,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ATZ.TO, Long, 2025-11-25 (Price: 109.14)",No Exit Yet,"1.25%, 3 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-28 (Price: 110.5), 1.25% above",3 days,"4, 2025-08-13 (Price: 76.94)",2025-11-21 (Price: 105.95),2025-11-25 (Price: 109.14),5/3/3 days,4.29% above/1.25% above/1.25% above,2025-08-13 (Price: 79.81)/2025-11-25 (Price: 104.65),18.96%/1.32%/6.21%,"50.85%, 58.96%",1.1 month/5 days/13 days,2026-01-11/2025-12-02/2025-12-13,16.69%,30.38%,-13.7%,0.13,0.89,114.8044/115.9176/128.46/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,94.11/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/72.04,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-24 (Price: 155.26)",No Exit Yet,"1.54%, 4 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-28 (Price: 157.65), 1.54% above",4 days,"4, 2025-08-13 (Price: 133.29)",2025-11-20 (Price: 151.42),2025-11-24 (Price: 155.26),8/4/4 days,4.11% above/1.54% above/1.54% above,2025-08-13 (Price: 137.2847)/2025-11-24 (Price: 151.6729),3.35%/0.29%/1.59%,"7.54%, 13.97%",3 months/4 days/26 days,2026-04-03/2025-11-29/2025-12-31,7.94%,7.25%,0.69%,0.38,0.26,158.0392/157.7286/168.44/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,143.98/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.41,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"CEN.NZ, Long, 2025-11-24 (Price: 9.72)",No Exit Yet,"-0.93%, 4 days","70.27%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-28 (Price: 9.63), 0.93% below",4 days,"0, 2024-02-08 (Price: 8.11)",2025-11-21 (Price: 9.6),2025-11-24 (Price: 9.72),5/4/4 days,0.31% above/0.93% below/0.93% below,2024-02-08 (Price: 9.9317)/2025-11-24 (Price: 9.311),7.56%/1.51%/3.12%,"7.04%, 16.17%",2.6 months/5 days/26 days,2026-03-16/2025-12-01/2025-12-31,5.05%,4.18%,0.87%,0.27,0.12,9.7968/10.0233/10.69/No Horizontal Resistance/11.2606/15.4512/No Moving Avg Target,9.3/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/9.13,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"KXS.TO, Long, 2025-11-24 (Price: 175.83)",No Exit Yet,"-0.69%, 4 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-28 (Price: 174.61), 0.69% below",4 days,"4, 2025-07-24 (Price: 204.3)",2025-11-21 (Price: 176.3),2025-11-24 (Price: 175.83),5/4/4 days,0.96% below/0.69% below/0.69% below,2025-07-24 (Price: 213.4296)/2025-11-24 (Price: 172.2858),10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,2026-03-06/2025-11-29/2025-12-22,7.29%,9.5%,-2.21%,0.1,0.36,182.9159/184.305/192.91/209.885/227.7644/245.4058/182.84,170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
