"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DIA, Long, 2026-02-19 (Price: 494.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 488.87 prior to 2026-02-27,"2026-02-19 (Price: 494.38), 0.0% below",0 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-19 (Price: 494.38),19/0/0 days,1.09% above/0.0% below/0.0% below,2001-05-31 (Price: 113.64)/2026-02-19 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-05/2027-02-05/2028-02-17,1.42%,4.44%,-3.02%,2.35,0.21,533.3371/538.9236/722.82/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/321.6725/398.0316/329.7358/472.4173/452.2096/459.67,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),488.87
"IWM, Long, 2026-02-19 (Price: 264.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-19 (Price: 264.6), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),50/48/0 days,7.49% above/6.36% above/0.0% below,2021-12-31 (Price: 244.46)/2026-02-19 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-25 (Max),2.77%,4.51%,-1.74%,0.75,0.21,247.7714/324.0821/276.68/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/235.92,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),247.63
"CNR.TO, Long, 2026-02-19 (Price: 149.93)",No Exit Yet,"0.0%, 0 days","88.0%, Past 10 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 146.74 prior to 2026-02-20,"2026-02-19 (Price: 149.93), 0.0% below",0 days,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-17 (Price: 147.89),4/2/0 days,2.4% above/1.38% above/0.0% below,2016-03-20 (Price: 82.04)/2026-02-19 (Price: 142.0066),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-28/2026-04-12/2026-09-24,8.06%,6.5%,1.56%,1.1,0.37,159.2706/160.0653/190.66/171.0825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,130.99/127.536/No F-Stack Support/No F-Stack Support/No support/No support/136.29,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),146.74
"CNQ.TO, Long, 2026-02-19 (Price: 58.23)",No Exit Yet,"0.0%, 0 days","86.36%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 55.48 prior to 2026-02-20,"2026-02-19 (Price: 58.23), 0.0% below",0 days,"2, 2016-02-07 (Price: 15.0588)",2026-02-08 (Price: 53.4),2026-02-18 (Price: 57.09),11/1/0 days,9.04% above/2.0% above/0.0% below,2016-02-07 (Price: 15.0588)/2026-02-19 (Price: 52.5341),19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2026-07-21/2026-03-31/2026-05-08,-1.83%,3.94%,-5.77%,0.27,0.24,59.1034/62.3527/84.13/No Horizontal Resistance/57.5622/59.9244/No EMA 200 Target,43.99/34.9317/49.3199/44.0597/53.3637/49.8509/44.98,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),55.48
"NA.TO, Long, 2026-02-19 (Price: 176.53)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-02-19 (Price: 176.53), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),50/6/0 days,2.27% above/1.0% above/0.0% below,1995-12-31 (Price: 6.0)/2026-02-19 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-04-11/2028-09-14/2029-09-14,7.2%,8.31%,-1.11%,3.17,0.49,225.164/229.2066/278.85/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/160.7722/150.4677/152.46,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),172.8
"EWJ, Long, 2026-02-19 (Price: 91.2)",No Exit Yet,"0.0%, 0 days","71.43%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.3619 prior to 2026-02-27,"2026-02-19 (Price: 91.2), 0.0% below",0 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),19/21/0 days,6.39% above/5.94% above/0.0% below,2001-05-31 (Price: 46.88)/2026-02-19 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-07-24/2026-09-24/2028-09-14,4.29%,2.12%,2.17%,0.28,-0.01,92.2944/100.1102/117.79/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,67.1/53.915/83.8122/78.3516/83.245/76.4635/79.63,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),85.33
"JETS, Long, 2026-02-18 (Price: 30.3)",No Exit Yet,"-3.96%, 1 day","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-19 (Price: 29.1), 3.96% below",1 day,"2, 2025-12-17 (Price: 29.14)",2026-02-18 (Price: 30.3),2026-02-18 (Price: 30.3),1/1/1 days,3.96% below/3.96% below/3.96% below,2025-12-17 (Price: 29.14)/2026-02-18 (Price: 29.4275),8.17%/0.83%/3.32%,"14.2%, 35.94%",2.2 months/7 days/24 days,2026-05-24/2026-02-28/2026-03-24,-6.1%,-0.44%,-5.66%,0.14,0.08,30.2939/31.306/31.0/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,29.33/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),29.9
"MAR, Long, 2026-02-18 (Price: 356.0)",No Exit Yet,"-1.72%, 1 day","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-19 (Price: 349.89), 1.72% below",1 day,"2, 2020-01-17 (Price: 150.63)",2026-02-13 (Price: 353.89),2026-02-18 (Price: 356.0),6/1/1 days,1.13% below/1.72% below/1.72% below,2020-01-17 (Price: 150.63)/2026-02-18 (Price: 352.2917),7.63%/1.53%/4.31%,"0%, 12.09%",2.9 months/6 days/1.3 month,2026-06-24/2026-02-26/2026-04-15,21.38%,9.79%,11.59%,1.88,0.48,387.2924/371.3436/479.22/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,312.07/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/282.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),355.53
"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",No Exit Yet,"2.13%, 1 day","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-19 (Price: 5.76), 2.13% above",1 day,"6, 2025-10-09 (Price: 6.05)",2026-02-17 (Price: 5.6),2026-02-18 (Price: 5.64),2/1/1 days,2.86% above/2.13% above/2.13% above,2025-10-09 (Price: 6.05)/2026-02-18 (Price: 5.5593),6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,2027-02-13/2026-02-28/2026-06-24,14.44%,0.14%,14.3%,0.3,0.02,5.8453/5.8165/5.89/6.825/7.4565/8.4564/5.73,5.58/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),5.6
"TLT, Long, 2026-02-15 (Price: 89.7)",No Exit Yet,"-0.09%, 4 days","75.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 89.62), 0.09% below",4 days,"8, 2019-09-01 (Price: 148.9)",2026-02-08 (Price: 87.54),2026-02-13 (Price: 89.7),11/6/4 days,2.38% above/0.09% below/0.09% below,2019-09-01 (Price: 148.9)/2026-02-15 (Price: 86.9364),15.02%/2.35%/5.26%,"39.18%, 46.07%",6.5 months/28 days/1.7 month,2026-11-24/2026-03-27/2026-04-29,-6.38%,-0.11%,-6.26%,-0.23,-0.26,89.9601/94.4182/125.22/153.2067/188.2386/214.0466/No EMA 200 Target,87.03/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.9,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),87.2
"PFE, Long, 2026-02-15 (Price: 27.58)",No Exit Yet,"-2.61%, 4 days","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 26.86), 2.61% below",4 days,"2, 2023-07-30 (Price: 37.8)",2026-02-08 (Price: 27.22),2026-02-10 (Price: 27.61),11/9/4 days,1.32% below/2.72% below/2.61% below,2023-07-30 (Price: 37.8)/2026-02-15 (Price: 25.8936),20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-11-02/2026-03-27/2026-10-03,2.79%,1.76%,1.03%,0.12,0.02,29.2072/29.8995/33.71/55.39/66.4672/73.1352/No EMA 200 Target,23.76/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.84,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),27.18
"MAR, Long, 2026-02-15 (Price: 353.89)",No Exit Yet,"-1.13%, 4 days","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 349.89), 1.13% below",4 days,"4, 2016-03-20 (Price: 73.89)",2026-02-01 (Price: 315.3),2026-02-10 (Price: 359.35),18/9/4 days,10.97% above/2.63% below/1.13% below,2016-03-20 (Price: 73.89)/2026-02-15 (Price: 313.7038),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-06-25/2026-03-27/2026-08-10,11.35%,10.48%,0.87%,0.65,0.53,405.8057/384.2892/521.89/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/281.31,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),331.25
"PG, Long, 2026-02-15 (Price: 160.07)",No Exit Yet,"-0.94%, 4 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 158.56), 0.94% below",4 days,"2, 2025-03-09 (Price: 179.99)",2026-02-01 (Price: 151.77),2026-02-10 (Price: 159.08),18/9/4 days,4.47% above/0.33% below/0.94% below,2025-03-09 (Price: 179.99)/2026-02-15 (Price: 147.2108),10.46%/1.28%/3.78%,"0%, 24.03%",10.7 months/28 days/3.2 months,2027-05-25/2026-03-27/2026-07-04,6.36%,4.3%,2.06%,1.76,0.19,170.1224/166.1206/172.02/179.4533/186.6499/209.3631/No EMA 200 Target,141.79/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/153.67,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),158.76
"WMT, Long, 2026-02-15 (Price: 133.89)",No Exit Yet,"-6.74%, 4 days","91.3%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 124.87), 6.74% below",4 days,"2, 2016-02-07 (Price: 22.6433)",2026-02-08 (Price: 131.18),2026-02-12 (Price: 133.64),11/7/4 days,4.81% below/6.56% below/6.74% below,2016-02-07 (Price: 22.6433)/2026-02-15 (Price: 122.1644),10.45%/2.48%/5.35%,"1.31%, 24.69%",1.5 year/28 days/5.6 months,2028-04-07/2026-03-27/2026-10-16,8.33%,9.41%,-1.08%,1.49,0.58,142.5527/141.0531/200.64/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,101.18/43.3466/85.5556/53.2582/No F-Track Level/No F-Track Level/104.77,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),131.42
"GNE.NZ, Long, 2026-02-15 (Price: 2.47)",No Exit Yet,"-2.43%, 4 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 2.41), 2.43% below",4 days,"2, 2025-10-19 (Price: 2.56)",2026-02-08 (Price: 2.46),2026-02-13 (Price: 2.47),11/6/4 days,2.03% below/2.43% below/2.43% below,2025-10-19 (Price: 2.56)/2026-02-15 (Price: 2.4173),8.45%/0.78%/4.81%,"22.37%, 34.69%",1.2 year/28 days/3.5 months,2027-11-02/2026-03-27/2026-07-17,3.46%,2.22%,1.24%,0.3,0.05,2.6651/2.5888/2.52/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.38,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),2.46
"MEL.NZ, Long, 2026-02-15 (Price: 5.76)",No Exit Yet,"0.0%, 4 days","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 5.76), 0.0% below",4 days,"8, 2024-07-21 (Price: 6.89)",2026-02-08 (Price: 5.71),2026-02-12 (Price: 5.79),11/7/4 days,0.88% above/0.52% below/0.0% below,2024-07-21 (Price: 6.89)/2026-02-15 (Price: 5.6192),24.31%/1.96%/9.79%,"-0.0%, 22.1%",8.9 months/1.2 month/3.1 months,2027-03-08/2026-04-08/2026-06-29,11.4%,7.53%,3.87%,1.15,0.39,6.3504/6.3239/6.44/6.825/7.4565/8.4564/No EMA 200 Target,5.46/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/5.73,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),5.65
"ATD.TO, Long, 2026-02-15 (Price: 83.86)",No Exit Yet,"0.33%, 4 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 84.14), 0.33% above",4 days,"0, 2024-03-03 (Price: 87.27)",2026-02-15 (Price: 83.86),2026-02-13 (Price: 83.86),4/6/4 days,0.33% above/0.33% above/0.33% above,2024-03-03 (Price: 87.27)/2026-02-15 (Price: 78.3308),15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,2027-02-23/2026-03-27/2026-08-10,10.6%,14.26%,-3.66%,0.87,0.82,90.3591/89.5289/85.91/85.51/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.49,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),78.91
