Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Exit Yet,No Price Target,2025-12-09 (Max),5.65%/8.7%,"-2.44%, 16 days","2025-12-05 (Price: 89235.1797), 2.44% below",96999.6847 (Historic Rise or Fall to Pivot)/97054.5643 (Avg % Gain of Historic Winning trades)/97027.12 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109381.22 (Moving Avg)/102167.5133 (Backtested Best)/94273.9982 (Backtested Worst),2025-12-09 (Max),76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.91%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.11%,"14.07%, 14.27%",14 days/0 days/3 days,16.86%,15.19%,1.67%,0.65,0.39,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"PG, Long, 2025-11-19 (Price: 146.99)",Daily,No Exit Yet,No Price Target,2025-12-06 (Min),5.39%/7.59%,"-2.41%, 16 days","2025-12-05 (Price: 143.45), 2.41% below",151.1792 (Historic Rise or Fall to Pivot)/157.8085 (Avg % Gain of Historic Winning trades)/154.34 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/158.58 (Moving Avg)/168.0096 (Backtested Best)/154.413 (Backtested Worst),2026-05-10 (Max)/2025-12-06 (Min)/2026-01-26 (Avg),No Recent Minima/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No Moving Avg Support,"79.31%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,14.3%/5.05%/7.36%,"13.37%, 15.58%",4.0 months/12 days/1.6 month,-2.55%,3.91%,-6.45%,-0.05,0.08,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-18 (Price: 401.25)",Daily,2025-12-03 (Price: 446.74),No Price Target,No Date Target,7.72%/11.63%,"13.4%, 17 days","2025-12-05 (Price: 455.0), 13.4% above",507.9023 (Avg % Gain of Historic Winning trades)/557.14 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/681.5632 (Backtested Best),2028-02-21 (Max)/2025-12-24 (Min)/2026-09-02 (Avg),320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/342.59,"100.0%, Past 5 years, 34",No Information,No Information,No Information,"38.2% (Price: 374.8188), 21.39% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",No Information,69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year/25 days/6.6 months,21.17%,25.99%,-4.83%,0.4,0.79,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",Daily,No Exit Yet,No Price Target,2025-12-09 (Avg),8.49%/8.51%,"-7.02%, 23 days","2025-12-05 (Price: 11.78), 7.02% below",13.1743 (Historic Rise or Fall to Pivot)/13.1667 (Avg % Gain of Historic Winning trades)/12.78 (Exit Rule)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.8711 (Backtested Best)/12.7828 (Backtested Worst),2026-03-13 (Max)/2025-12-09 (Avg),12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.29,"96.67%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,6.51% below/7.02% below/7.02% below,9.48%/0.89%/3.92%,"10.91%, 28.9%",2.8 months/4 days/19 days,29.91%,15.95%,13.96%,0.82,0.6,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2025-11-11 (Price: 627.08)",Daily,No Exit Yet,671.47 (Moving Avg),No Date Target,25.11%/29.22%,"7.39%, 24 days","2025-12-05 (Price: 673.42), 7.39% above",870.1989 (Avg % Gain of Historic Winning trades)/940.2 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/1234.3443 (Backtested Best),2028-04-12 (Max)/2026-01-31 (Min)/2026-11-05 (Avg),618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"92.0%, Past 5 years, 25",No Information,No Information,No Information,"38.2% (Price: 596.8957), 12.82% above, Upmove Bounce Back","2023-08-18 (Price: 274.38), 2025-08-15 (Price: 796.25)",No Information,96.84%/3.89%/38.77%,"3.02%, 74.42%",1.7 year/1.9 month/8.3 months,26.17%,17.27%,8.9%,0.3,0.58,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,2025-12-04 (Price: 661.53),671.47 (Moving Avg),2025-12-04 (Max),2.0%/2.84%,"6.59%, 25 days","2025-12-05 (Price: 673.42), 6.59% above",698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/725.0078 (Backtested Best),No Next Date Target,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"75.0%, Past 4 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,14.76%/3.27%/8.73%,"19.19%, 19.41%",17 days/1 day/7 days,6.71%,17.48%,-10.77%,0.15,0.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,2025-12-05 (Price: 673.42) (Today),671.47 (Moving Avg),No Date Target,0.92%/2.45%,"6.59%, 25 days","2025-12-05 (Price: 673.42), 6.59% above",679.5842 (Avg % Gain of Historic Winning trades)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/689.9451 (Backtested Best),2025-12-13 (Max),No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"72.41%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,-75.0%,21.72%,-96.72%,-0.28,0.69,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-10 (Price: 316.89)",Daily,No Exit Yet,No Price Target,2025-12-07 (Avg),1.71%/4.4%,"-0.58%, 25 days","2025-12-05 (Price: 315.04), 0.58% below",330.3261 (Avg % Gain of Historic Winning trades)/403.26 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/350.6071 (Backtested Best)/320.4392 (Backtested Worst),2026-02-20 (Max)/2025-12-07 (Avg),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/276.27,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,0.26% above/0.58% below/0.58% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,No Exit Yet,No Price Target,2025-12-03 (Avg),3.7%/4.4%,"0.52%, 29 days","2025-12-05 (Price: 315.04), 0.52% above",326.709 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/346.7679 (Backtested Best),2026-02-16 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,1.87% above/0.52% above/0.52% above,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Exit Yet,No Price Target,2025-12-06 (Max),3.07%/3.69%,"1.26%, 1.2 month","2025-12-05 (Price: 315.04), 1.26% above",324.7159 (Historic Rise or Fall to Pivot)/335.6051 (Avg % Gain of Historic Winning trades)/326.68 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/366.4371 (Backtested Best)/327.6094 (Backtested Worst),2025-12-06 (Max),No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/279.46,"83.33%, Past 6 years, 30",No Information,No Information,No Information,No Information,No Information,No Information,17.78%/5.3%/7.87%,"14.96%, 18.99%",25 days/2 days/12 days,27.42%,15.43%,11.99%,0.14,0.55,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 111.886)",Daily,2025-12-05 (Price: 100.24) (Today),No Price Target,2025-12-07 (Max),17.2%/17.44%,"-10.41%, 1.2 month","2025-12-05 (Price: 100.24), 10.41% below",120.2774 (Avg % Gain of Historic Winning trades)/117.48 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/126.599 (Backtested Best)/117.7264 (Backtested Worst),2025-12-07 (Max),No Recent Minima/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No Moving Avg Support,"86.21%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,13.15%/5.22%/7.5%,"35.12%, 35.12%",26 days/2 days/8 days,39.66%,24.78%,14.88%,0.1,0.78,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2),No Date Target,13.53%/24.9%,"14.29%, 1.2 month","2025-12-05 (Price: 322.09), 14.29% above",365.6614 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Best),2027-06-19 (Max)/2026-03-04 (Min)/2026-08-15 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"94.12%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,32.25% above/27.96% above/14.29% above,63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,22.75%,24.26%,-1.52%,1.49,0.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",Daily,No Exit Yet,No Price Target,2025-12-08 (Avg),1.38%/1.56%,"-0.45%, 1.2 month","2025-12-05 (Price: 1003.3), 0.45% below",1018.9363 (Historic Rise or Fall to Pivot)/1052.0946 (Avg % Gain of Historic Winning trades)/1034.52 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1105.1075 (Backtested Best)/1017.1222 (Backtested Worst),2026-02-03 (Max)/2025-12-08 (Avg),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/939.21,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.45% below/0.45% below/0.45% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-22 (Price: 5.98)",Daily,No Exit Yet,No Price Target,2025-12-05 (Avg),8.78%/9.34%,"-6.69%, 1.5 month","2025-12-05 (Price: 5.58), 6.69% below",6.1014 (Historic Rise or Fall to Pivot)/6.3101 (Avg % Gain of Historic Winning trades)/6.07 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.0845 (Backtested Best),2026-07-06 (Max),5.8/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,"91.3%, Past 4 years, 46",No Information,No Information,No Information,No Information,No Information,6.69% below/6.69% below/6.69% below,18.47%/0.46%/5.52%,"6.51%, 17.02%",5.9 months/5 days/1.0 month,19.9%,4.2%,15.69%,0.73,0.16,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,2025-12-05 (Price: 3238.2) (Today),3234.83 (Exit Rule),No Date Target,1.29%/1.81%,"6.93%, 1.8 month","2025-12-05 (Price: 3238.2), 6.93% above",3296.9102 (Avg % Gain of Historic Winning trades)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3279.96 (Moving Avg)/3454.079 (Backtested Best),No Next Date Target,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No Moving Avg Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days/14 days/16 days,4.81%,11.95%,-7.14%,0.07,0.46,94.87%/39/1.3 month (Across ALL Assets),89.42%/104/1.6 month (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,No Exit Yet,202.2414 (Avg % Gain of Historic Winning trades),No Date Target,5.29%/46.23%,"10.63%, 2.2 months","2025-12-05 (Price: 201.11), 10.63% above",294.0831 (F-Stack 2)/211.749 (Backtested Best),2026-01-06 (Max)/2025-12-12 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/178.83,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",2.2 months/1.3 month/1.7 month,14.73%,27.78%,-13.05%,1.6,1.2,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-09-26 (Price: 29.78)",Daily,No Exit Yet,No Price Target,2025-12-03 (Max),9.84%/9.91%,"-5.88%, 2.3 months","2025-12-05 (Price: 28.03), 5.88% below",30.8074 (Historic Rise or Fall to Pivot)/30.7895 (Avg % Gain of Historic Winning trades)/32.7 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/32.0999 (Backtested Best),No Next Date Target,26.95/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/24.72,"93.55%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,5.88% below/5.88% below/5.88% below,7.79%/0.97%/3.39%,"15.95%, 32.85%",1.6 month/4 days/13 days,29.57%,14.31%,15.27%,0.53,0.52,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"ATD.TO, Long, 2025-09-02 (Price: 69.24)",Daily,2025-12-03 (Price: 73.21),No Price Target,No Date Target,7.49%/15.13%,"7.12%, 3.1 months","2025-12-05 (Price: 74.17), 7.12% above",85.3936 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/79.7229 (Backtested Best),2025-12-25 (Max),68.82/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No Moving Avg Support,"83.33%, Past 5 years, 6","-4.21, 78.12",No Information,No Information,No Information,No Information,No Information,15.14%/2.95%/7.5%,"1.75%, 19.86%",2.6 months/1.1 month/1.7 month,10.67%,22.58%,-11.91%,0.78,0.75,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
