"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IWM, Long, 2025-11-12 (Price: 243.64)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 171.73 prior to 2025-12-31,"2025-11-12 (Price: 243.64), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 170.075),43.25% above,"2020-03-31 (Price: 95.69), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",716 days/715 days/715 days,2028-09-14/2028-09-12/2028-09-12,11.21%,6.21%,5.0%,0.5,0.2,235.3562/342.9477/332.9/244.72/270.9222/282.5179,164.92/162.3167/196.8345/160.6663/233.5959/221.8127,243.28/219.83,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-12 (Price: 12.67), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),37.51% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",978 days/717 days/847 days,2029-09-28/2028-09-15/2029-03-22,13.15%,12.57%,0.58%,0.46,0.51,14.5794/20.7319/19.15/No Horizontal Resistance/13.8771/15.9169,2.72/7.3167/12.3404/11.3804/14.3361/14.9482,12.34/11.29,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-12 (Price: 12.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-12 (Price: 12.22), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),13.78% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",718 days/718 days/718 days,2028-09-16/2028-09-16/2028-09-16,7.04%,16.47%,-9.43%,0.34,0.57,12.0697/14.8009/15.46/13.345/16.7981/18.5763,8.8/9.1367/11.1928/8.9354/12.1624/11.3772,11.29/11.46,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-12 (Price: 76.03)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-12 (Price: 76.03), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),126.26% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",1108 days/1108 days/1108 days,2030-04-04/2030-04-04/2030-04-04,7.18%,12.22%,-5.04%,0.42,0.42,79.7707/102.7545/93.41/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/73.041/66.9303/66.2172/60.0086,64.96/49.78,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BYD.TO, Long, 2025-11-12 (Price: 225.0)",No Exit Yet,"0.0%, 0 days","97.06%, Past 20 years, 34","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 204.5 prior to 2025-11-14,"2025-11-12 (Price: 225.0), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 205.401),9.54% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-27/2026-04-18/2028-06-13,16.37%,23.47%,-7.1%,0.29,0.79,232.0425/1098.4725/260.74/256.6133/325.4281/346.2134,209.51/188.685/215.4728/147.1212/357.5546/377.7143,225.0/217.11,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-12 (Price: 45.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-12 (Price: 45.42), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.1015),33.19% above,"2020-03-31 (Price: 4.7992), 2022-06-30 (Price: 43.1832)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",2087 days/1631 days/1891 days,2034-02-20/2032-05-01/2033-05-12,12.07%,13.02%,-0.95%,0.46,0.46,47.6865/221.418/68.45/51.51/65.8353/68.6522,42.8/34.9317/41.121/33.7618/61.5996/64.7366,44.12/42.86,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"MX.TO, Long, 2025-11-12 (Price: 54.07)",No Exit Yet,"0.0%, 0 days","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-11-12 (Price: 54.07), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 36.7101),47.29% above,"2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",68.59%/44.74%/56.66%,"40.03%, 69.12%",1955 days/717 days/1336 days,2033-08-13/2028-09-15/2031-03-01,4.14%,4.51%,-0.37%,0.3,0.25,56.1247/84.7061/90.93/73.435/118.0011/153.5474,45.09/38.425/47.9234/44.2912/88.1361/94.2546,52.3/50.84,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"TFII.TO, Long, 2025-11-12 (Price: 122.93)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 102.57 prior to 2025-12-31,"2025-11-12 (Price: 122.93), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 100.7196),22.05% above,"2020-03-31 (Price: 23.21), 2021-12-31 (Price: 148.63)",171.07%/171.07%/171.07%,"-0.0%, 27.17%",717 days/717 days/717 days,2028-09-15/2028-09-15/2028-09-15,42.57%,12.24%,30.33%,0.5,0.41,131.7564/333.2264/198.18/219.9933/218.6478/242.6984,111.42/102.925/108.3725/94.3258/248.934/266.1435,127.22/127.66,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"META, Long, 2025-11-11 (Price: 627.08)",No Exit Yet,"-2.88%, 1 days","92.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 609.01), 2.88% below",1 days,Upmove Bounce Back,38.2% (Price: 596.8957),2.03% above,"2023-08-18 (Price: 274.38), 2025-08-15 (Price: 796.25)",96.84%/3.89%/38.77%,"3.02%, 74.42%",610 days/56 days/248 days,2028-04-12/2026-01-31/2026-11-05,26.17%,17.27%,8.9%,0.3,0.58,633.2254/870.1989/940.2/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,719.36/678.18,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"-0.66%, 1 days","91.67%, Past 2 years, 12","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 148.75), 0.66% below",1 days,Upmove Bounce Back,61.8% (Price: 148.4717),0.19% above,"2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/218.0854/235.5107,139.62/No Horizontal Support/148.9705/138.4687/No F-Track Level/No F-Track Level,156.41/139.61,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"9.0%, 1 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 258.89), 9.0% above",1 days,Upmove Bounce Back,38.2% (Price: 222.0575),16.59% above,"2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/273.8526/307.9609,233.54/72.6533/219.0648/187.3421/No F-Track Level/No F-Track Level,204.41/144.5,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"2.78%, 1 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 3131.8), 2.78% above",1 days,Upmove Bounce Back,88.6% (Price: 3015.6997),3.85% above,"2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.99/3357.81,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"-1.14%, 1 days","95.24%, Past 5 years, 21","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 31.25), 1.14% below",1 days,Upmove Bounce Back,78.6% (Price: 31.3894),0.44% below,"2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/97.2627/102.2552,31.41/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,33.6/35.09,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"-0.25%, 1 days","100.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-11-12 (Price: 243.64), 0.25% below",1 days,Upmove Bounce Back,23.66% (Price: 233.5959),4.3% above,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/267.7701/348.4025,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level,243.28/219.83,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ENZL, Long, 2025-11-10 (Price: 45.68)",No Exit Yet,"-0.05%, 2 days","100.0%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-12 (Price: 45.6572), 0.05% below",2 days,Upmove Bounce Back,50% (Price: 45.885),0.5% below,"2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",5.53%/5.53%/5.53%,"-0.0%, 6.88%",169 days/169 days/169 days,2026-07-12/2026-07-12/2026-07-12,8.46%,-5.38%,13.84%,0.16,-0.44,45.6663/48.2061/47.43/65.1933/79.7363/84.688,45.33/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,46.02/44.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IEI, Long, 2025-11-07 (Price: 119.6)",No Exit Yet,"0.08%, 3 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-12 (Price: 119.7), 0.08% above",3 days,Upmove Bounce Back,23.66% (Price: 119.0217),0.57% above,"2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-27/2026-05-07/2026-05-17,1.93%,-2.06%,3.99%,0.33,-1.37,119.7196/121.992/123.15/129.9625/No Next Fib Ext/No Next Fib Ext,119.13/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,119.75/118.32,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TLT, Long, 2025-11-07 (Price: 89.57)",No Exit Yet,"0.61%, 3 days","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-07",Already confirmed,"2025-11-12 (Price: 90.12), 0.61% above",3 days,Upmove Bounce Back,23.66% (Price: 90.0866),0.04% above,"2025-05-22 (Price: 83.3), 2025-10-21 (Price: 92.19)",2.82%/2.82%/2.82%,"0.03%, 10.65%",182 days/182 days/182 days,2026-07-28/2026-07-28/2026-07-28,2.67%,-10.72%,13.39%,0.18,-0.89,89.1311/92.0959/94.9/153.2067/188.2386/214.0466,88.96/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,89.98/88.35,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BTC-USD, Long, 2025-11-06 (Price: 101301.2891)",No Exit Yet,"0.25%, 4 days","93.75%, Past 5 years, 64","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 101552.9219), 0.25% above",4 days,Upmove Bounce Back,88.6% (Price: 101468.156),0.08% above,"2025-06-22 (Price: 98286.2031), 2025-10-06 (Price: 126198.0703)",133.41%/2.6%/33.78%,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-24/2025-11-13/2026-06-08,16.74%,49.32%,-32.58%,0.38,0.92,104988.656/135520.8646/118048.41/124582.2656/122105.3521/133759.1807,100987.14/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,111479.12/110439.51,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"FXI, Long, 2025-11-06 (Price: 40.14)",No Exit Yet,"1.92%, 4 days","100.0%, Past 5 years, 22","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 40.91), 1.92% above",4 days,Upmove Bounce Back,23.66% (Price: 38.9739),4.97% above,"2025-04-08 (Price: 29.21), 2025-10-02 (Price: 42.0)",20.99%/3.97%/12.16%,"-0.0%, 45.3%",953 days/27 days/401 days,2029-08-17/2025-12-15/2027-06-09,5.97%,-3.23%,9.2%,0.55,-0.09,39.9313/45.021/47.81/44.87/83.3684/90.0109,39.37/20.865/34.3506/28.5649/No F-Track Level/No F-Track Level,40.37/37.07,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"XLE, Long, 2025-11-06 (Price: 88.27)",No Exit Yet,"2.24%, 4 days","95.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 90.25), 2.24% above",4 days,Upmove Bounce Back,23.66% (Price: 88.5518),1.92% above,"2025-04-09 (Price: 74.49), 2025-09-26 (Price: 92.91)",45.63%/1.16%/20.67%,"3.48%, 17.74%",365 days/50 days/159 days,2027-04-18/2026-01-17/2026-06-24,20.35%,23.85%,-3.5%,0.35,0.89,89.8942/106.5154/99.32/98.445/108.2743/117.7423,87.19/45.695/74.9996/54.4348/No F-Track Level/No F-Track Level,88.45/86.85,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BABA, Long, 2025-11-06 (Price: 167.61)",No Exit Yet,"-5.79%, 4 days","100.0%, Past 5 years, 17","Daily, was CONFIRMED on 2025-11-06",Already confirmed,"2025-11-12 (Price: 157.91), 5.79% below",4 days,Upmove Bounce Back,23.66% (Price: 166.0265),4.89% below,"2025-01-13 (Price: 80.06), 2025-10-02 (Price: 192.67)",74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-11-25/2026-01-10/2027-05-14,14.96%,-10.23%,25.19%,0.53,-0.05,164.9953/238.0397/235.18/No Horizontal Resistance/395.5515/453.696,164.3/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level,166.99/132.57,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"XLU, Long, 2025-11-05 (Price: 88.85)",No Exit Yet,"1.2%, 5 days","96.43%, Past 5 years, 28","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-12 (Price: 89.92), 1.2% above",5 days,Upmove Bounce Back,23.66% (Price: 88.3874),1.73% above,"2025-04-09 (Price: 71.02), 2025-10-16 (Price: 93.77)",29.85%/2.59%/12.82%,"0.48%, 28.07%",922 days/31 days/344 days,2029-07-02/2025-12-19/2027-03-18,5.61%,6.79%,-1.18%,0.72,0.24,91.3023/100.2406/102.5/No Horizontal Resistance/98.9717/130.4908,88.83/59.2533/87.4085/70.8508/No F-Track Level/No F-Track Level,88.2/82.62,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
