"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-5.0%, 29 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 258.28), 5.0% below",29 days,Upmove Bounce Back,38.2% (Price: 169.2862),52.57% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.37,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),255.04
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-10.92%, 29 days","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 32.55), 10.92% below",29 days,Upmove Bounce Back,38.2% (Price: 34.562),5.82% below,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/40.717/47.4928/No EMA 200 Target,26.75/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.21,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),36.7
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"-1.93%, 29 days","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 3144.3999), 1.93% below",29 days,Upmove Bounce Back,50% (Price: 2809.1),11.94% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3216.54,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),3137.8999
"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",No Exit Yet,"2.52%, 29 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 38.7), 2.52% above",29 days,Upmove Bounce Back,23.66% (Price: 34.9549),10.71% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-19/2026-06-22/2030-09-16,4.68%,9.29%,-4.61%,0.75,0.49,47.0516/45.7945/49.28/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.89,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),37.5
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-7.81%, 29 days","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 11.33), 7.81% below",29 days,Upmove Bounce Back,50% (Price: 10.74),5.49% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets),10.7
"DBC, Long, 2025-12-24 (Price: 22.63)",2026-01-28 (Price: 24.94),"10.21%, 1.2 month","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2026-01-29 (Price: 25.3), 11.8% above",1.2 month,Upmove Bounce Back,38.2% (Price: 22.7333),11.29% above,"2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/60.6441/65.878/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.32,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),22.67
"TSLA, Long, 2025-11-30 (Price: 430.17)",2026-01-18 (Price: 437.5),"1.7%, 1.6 month","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-29 (Price: 416.56), 3.16% below",2 months,Upmove Bounce Back,23.66% (Price: 375.7432),10.86% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-01-21/2026-01-21/2026-06-22,12.11%,30.11%,-18.0%,0.69,1.16,622.2409/508.8481/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/376.33,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),402.17
"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-29 (Price: 319.77) (Today),"11.92%, 2.5 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-29 (Price: 319.77), 11.92% above",2.5 months,Upmove Bounce Back,50% (Price: 256.035),24.89% above,"2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/275.33,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),292.12
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-29 (Price: 1455.16) (Today),"37.38%, 3 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-29 (Price: 1455.16), 37.38% above",3 months,Upmove Bounce Back,38.2% (Price: 692.3064),110.19% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/904.18,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),965.61
"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-01-29 (Price: 91.3) (Today),"16.86%, 5.3 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-01-29 (Price: 91.3), 16.86% above",5.3 months,Upmove Bounce Back,23.66% (Price: 74.9138),21.87% above,"1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.68/84.3925/95.0177/123.2166/79.63,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),76.84
"SJ.TO, Long, 2025-07-06 (Price: 78.82)",2026-01-29 (Price: 91.3) (Today),"15.83%, 6.9 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-07-06",Already confirmed,"2026-01-29 (Price: 91.3), 15.83% above",6.9 months,Upmove Bounce Back,23.66% (Price: 74.9167),21.87% above,"2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-10-16/2025-08-27/2027-05-14,8.85%,12.31%,-3.46%,1.52,0.64,87.6794/91.3918/137.36/84.9567/95.0177/123.2166/79.63,65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),78.12
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-29 (Price: 433.5) (Today),"-12.85%, 7.1 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 433.5), 12.85% below",7.1 months,Upmove Bounce Back,50% (Price: 340.89),27.17% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/485.73,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),457.14
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-31 (Price: 80.63),"-0.02%, 6.1 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 81.03), 0.47% above",7.1 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.84% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03 (Max),3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/80.22,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),79.13
"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-29 (Price: 263.37) (Today),"22.05%, 7.1 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 263.37), 22.05% above",7.1 months,Upmove Bounce Back,88.6% (Price: 171.1673),53.87% above,"2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/230.91,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),205.32
"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-29 (Price: 105.65) (Today),"20.11%, 7.1 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 105.65), 20.11% above",7.1 months,Upmove Bounce Back,38.2% (Price: 78.775),34.12% above,"2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/92.26,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),87.83
"WMT, Long, 2025-06-30 (Price: 97.78)",2026-01-29 (Price: 117.41) (Today),"20.08%, 7.1 months","76.92%, Past 53 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 117.41), 20.08% above",7.1 months,Upmove Bounce Back,23.66% (Price: 81.1796),44.63% above,"1996-02-29 (Price: 3.3542), 2025-02-28 (Price: 105.3)",31.01%/7.63%/22.28%,"13.36%, 28.82%",3.7 years/7.1 months/1.5 year,2030-10-11/2026-05-04/2027-08-21,6.18%,11.88%,-5.7%,0.95,0.61,118.6365/119.5654/158.95/No Horizontal Resistance/98.8222/108.7906/102.91,40.53/42.9289/85.5556/72.7913/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),98.84
"BPCL.NS, Long, 2025-05-31 (Price: 318.4)",2025-12-31 (Price: 384.0),"20.6%, 7.1 months","100.0%, Past 30 years, 4","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-01-29 (Price: 366.95), 15.25% above",8.1 months,Upmove Bounce Back,61.8% (Price: 232.6394),57.73% above,"2022-10-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",30.51%/20.62%/27.17%,"-0.0%, 29.42%",1.8 year/3 months/1.1 year,2027-12-25/2025-10-08/2026-12-25,9.39%,8.87%,0.52%,1.53,0.44,327.2834/404.9093/457.58/343.7375/372.4081/393.108/336.41,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),310.55
"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-29 (Price: 43.33) (Today),"9.9%, 10.1 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-01-29 (Price: 43.33), 9.9% above",10.1 months,Upmove Bounce Back,23.66% (Price: 36.9765),17.18% above,"2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.42,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),39.57
"SFTBY, Short, 2025-12-31 (Price: 14.175)",No Exit Yet,"-0.53%, 29 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 14.25), 0.53% above",29 days,Upmove Break Below,50.0% (Price: 13.3475),6.76% above,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/12.24,No support/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets),15.6175
"KWEB, Short, 2025-12-31 (Price: 34.05)",No Exit Yet,"-6.58%, 29 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 36.29), 6.58% above",29 days,Upmove Break Below,38.2% (Price: 35.4633),2.33% above,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-05-14/2026-02-12/2026-03-10,5.83%,5.4%,0.43%,0.25,0.12,31.1762/31.6222/21.64/24.5062/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,85.71%/7/0 days (Across ALL Assets),38.89%/18/0 days (Across ALL Assets),37.73
"NFLX, Short, 2025-12-31 (Price: 93.76)",2026-01-29 (Price: 83.16) (Today),"11.31%, 29 days","100.0%, Past 23 years, 6","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 83.16), 11.31% below",29 days,Upmove Break Below,23.66% (Price: 106.2331),21.72% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,2026-05-14/2026-05-10/2026-05-10,11.77%,5.5%,6.27%,1.3,0.88,184.1259/66.1196/23.05/34.8663/86.4764/77.567/No EMA 200 Target,No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets),117.549
