"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NA.TO, Long, 2026-02-23 (Price: 178.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 43 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 172.8 prior to 2026-03-31,"2026-02-23 (Price: 178.45), 0.0% below",0 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),54/10/0 days,3.38% above/2.1% above/0.0% below,1995-12-31 (Price: 6.0)/2026-02-23 (Price: 156.19),41.25%/20.33%/29.84%,"0%, 21.01%",3.6 years/1.8 year/2.5 years,2031-04-15/2028-09-18/2029-09-18,7.2%,8.31%,-1.11%,3.17,0.49,227.613/231.6995/281.92/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,54.39/82.9367/162.0277/152.3147/162.9478/152.229/153.02,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),172.8
"EWJ, Long, 2026-02-23 (Price: 91.39)",No Exit Yet,"0.0%, 0 days","71.43%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.3619 prior to 2026-02-27,"2026-02-23 (Price: 91.39), 0.0% below",0 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),23/25/0 days,6.61% above/6.16% above/0.0% below,2001-05-31 (Price: 46.88)/2026-02-23 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-07-28/2026-09-28/2028-09-18,4.29%,2.12%,2.17%,0.28,-0.01,92.4867/100.3188/118.1/No Horizontal Resistance/88.5172/96.0119/No EMA 200 Target,67.1/53.915/83.8122/78.3516/83.245/76.4635/79.82,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),85.33
"TSM, Long, 2026-02-22 (Price: 370.54)",No Exit Yet,"-0.13%, 1 day","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-23 (Price: 370.04), 0.13% below",1 day,"2, 2016-04-03 (Price: 26.62)",2026-02-22 (Price: 370.54),2026-02-20 (Price: 370.54),1/3/1 days,0.13% below/0.13% below/0.13% below,2016-04-03 (Price: 26.62)/2026-02-22 (Price: 364.3362),40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-15/2026-04-03/2026-07-28,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/334.306/350.4755/No EMA 200 Target,275.06/83.575/272.4436/230.123/No F-Track Level/No F-Track Level/268.3,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),361.865
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",No Exit Yet,"-0.27%, 1 day","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-23 (Price: 150.78), 0.27% below",1 day,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),8/1/1 days,2.98% above/0.27% below/0.27% below,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-31/2026-04-15/2026-09-27,8.06%,6.5%,1.56%,1.1,0.37,160.6091/161.4104/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),146.74
"CNQ.TO, Long, 2026-02-22 (Price: 58.0)",No Exit Yet,"0.03%, 1 day","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-23 (Price: 58.02), 0.03% above",1 day,"2, 2016-02-07 (Price: 15.0588)",2026-02-08 (Price: 53.4),2026-02-18 (Price: 57.09),15/5/1 days,8.65% above/1.63% above/0.03% above,2016-02-07 (Price: 15.0588)/2026-02-22 (Price: 52.5341),19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2026-07-24/2026-04-03/2026-05-11,-1.83%,3.94%,-5.77%,0.27,0.24,58.87/62.1064/83.76/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.99/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/45.08,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),55.48
"BTI, Long, 2026-02-20 (Price: 62.08)",No Exit Yet,"0.03%, 3 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-23 (Price: 62.1), 0.03% above",3 days,"0, 2025-11-28 (Price: 58.7)",2026-02-19 (Price: 60.99),2026-02-20 (Price: 62.08),4/3/3 days,1.82% above/0.03% above/0.03% above,2025-11-28 (Price: 58.7)/2026-02-20 (Price: 60.4422),9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-20/2026-02-25/2026-03-06,11.13%,4.24%,6.89%,0.97,0.2,67.7231/63.7624/64.11/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,58.87/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),61.93
"ENZL, Long, 2026-02-20 (Price: 45.8355)",No Exit Yet,"0.21%, 3 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-23 (Price: 45.9335), 0.21% above",3 days,"10, 2020-12-02 (Price: 67.2)",2026-02-20 (Price: 45.8355),2026-02-20 (Price: 45.8355),3/3/3 days,0.21% above/0.21% above/0.21% above,2020-12-02 (Price: 67.2)/2026-02-20 (Price: 45.5521),5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-13/2026-02-28/2026-03-19,-4.35%,-2.2%,-2.15%,0.15,-0.21,46.1609/46.6514/58.65/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.72,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),45.29
"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"1.31%, 4 days","76.47%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 24.75), 1.31% above",4 days,"6, 2025-05-13 (Price: 21.62)",2026-02-17 (Price: 23.59),2026-02-19 (Price: 24.43),6/4/4 days,4.92% above/1.31% above/1.31% above,2025-05-13 (Price: 21.62)/2026-02-19 (Price: 23.9265),5.33%/0.43%/2.56%,"7.94%, 13.15%",3.3 months/6 days/25 days,2026-07-12/2026-02-27/2026-03-27,5.47%,5.95%,-0.48%,0.25,0.32,25.1189/25.0554/26.12/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),24.29
"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.67%, 4 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 83.3133), 0.67% above",4 days,"0, 2025-06-18 (Price: 76.48)",2026-02-18 (Price: 81.9958),2026-02-19 (Price: 82.76),5/4/4 days,1.61% above/0.67% above/0.67% above,2025-06-18 (Price: 76.48)/2026-02-19 (Price: 81.7253),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-08/2026-02-27/2026-04-03,9.0%,11.01%,-2.01%,1.78,0.74,87.1132/84.6387/86.53/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/No F-Track Level/No F-Track Level/76.71,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),82.05
"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",No Exit Yet,"-0.63%, 4 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 11.01), 0.63% below",4 days,"4, 2025-11-13 (Price: 12.85)",2026-02-18 (Price: 11.02),2026-02-19 (Price: 11.08),5/4/4 days,0.09% below/0.63% below/0.63% below,2025-11-13 (Price: 12.85)/2026-02-19 (Price: 10.8629),9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-07-12/2026-02-27/2026-04-07,15.16%,8.14%,7.02%,0.86,0.43,11.5819/11.5354/12.14/12.825/18.927/29.733/11.54,10.74/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),10.99
"CNQ.TO, Long, 2026-02-19 (Price: 58.23)",No Exit Yet,"-0.36%, 4 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-23 (Price: 58.02), 0.36% below",4 days,"2, 2020-02-05 (Price: 19.3242)",2026-02-17 (Price: 55.38),2026-02-19 (Price: 58.23),6/4/4 days,4.77% above/0.36% below/0.36% below,2020-02-05 (Price: 19.3242)/2026-02-19 (Price: 54.7134),7.83%/0.32%/3.94%,"11.63%, 29.81%",1.5 month/4 days/11 days,2026-04-25/2026-02-24/2026-03-06,17.54%,12.66%,4.88%,0.1,0.6,62.2246/60.5243/81.57/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,42.38/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/44.98,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),57.83
"JETS, Long, 2026-02-18 (Price: 30.3)",No Exit Yet,"-5.91%, 5 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-23 (Price: 28.51), 5.91% below",5 days,"2, 2025-12-17 (Price: 29.14)",2026-02-18 (Price: 30.3),2026-02-18 (Price: 30.3),5/5/5 days,5.91% below/5.91% below/5.91% below,2025-12-17 (Price: 29.14)/2026-02-18 (Price: 29.4275),8.17%/0.83%/3.32%,"14.2%, 35.94%",2.2 months/7 days/24 days,2026-05-24/2026-02-28/2026-03-24,-6.1%,-0.44%,-5.66%,0.14,0.08,30.2939/31.306/31.0/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,29.33/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),29.9
"MAR, Long, 2026-02-18 (Price: 356.0)",No Exit Yet,"-3.76%, 5 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-23 (Price: 342.62), 3.76% below",5 days,"2, 2020-01-17 (Price: 150.63)",2026-02-13 (Price: 353.89),2026-02-18 (Price: 356.0),10/5/5 days,3.18% below/3.76% below/3.76% below,2020-01-17 (Price: 150.63)/2026-02-18 (Price: 352.2917),7.63%/1.53%/4.31%,"0%, 12.09%",2.9 months/6 days/1.3 month,2026-06-24/2026-02-26/2026-04-15,21.38%,9.79%,11.59%,1.88,0.48,387.2924/371.3436/479.22/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,312.07/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/282.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),355.53
"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",No Exit Yet,"-0.53%, 5 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-23 (Price: 5.61), 0.53% below",5 days,"6, 2025-10-09 (Price: 6.05)",2026-02-17 (Price: 5.6),2026-02-18 (Price: 5.64),6/5/5 days,0.18% above/0.53% below/0.53% below,2025-10-09 (Price: 6.05)/2026-02-18 (Price: 5.5593),6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,2027-02-13/2026-02-28/2026-06-24,14.44%,0.14%,14.3%,0.3,0.02,5.8453/5.8165/5.89/6.825/7.4565/8.4564/5.73,5.58/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),5.6
"TLT, Long, 2026-02-15 (Price: 89.7)",No Exit Yet,"0.04%, 8 days","75.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-23 (Price: 89.74), 0.04% above",8 days,"8, 2019-09-01 (Price: 148.9)",2026-02-08 (Price: 87.54),2026-02-13 (Price: 89.7),15/10/8 days,2.51% above/0.04% above/0.04% above,2019-09-01 (Price: 148.9)/2026-02-15 (Price: 86.9364),15.02%/2.35%/5.26%,"39.18%, 46.07%",6.5 months/28 days/1.7 month,2026-11-24/2026-03-27/2026-04-29,-6.38%,-0.11%,-6.26%,-0.23,-0.26,89.9601/94.4182/125.22/153.2067/188.2386/214.0466/No EMA 200 Target,87.03/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.9,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),87.2
"PFE, Long, 2026-02-15 (Price: 27.58)",No Exit Yet,"-1.89%, 8 days","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-23 (Price: 27.06), 1.89% below",8 days,"2, 2023-07-30 (Price: 37.8)",2026-02-08 (Price: 27.22),2026-02-10 (Price: 27.61),15/13/8 days,0.59% below/1.99% below/1.89% below,2023-07-30 (Price: 37.8)/2026-02-15 (Price: 25.8936),20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-11-02/2026-03-27/2026-10-03,2.79%,1.76%,1.03%,0.12,0.02,29.2072/29.8995/33.71/55.39/66.4672/73.1352/No EMA 200 Target,23.76/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.84,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),27.18
"MAR, Long, 2026-02-15 (Price: 353.89)",No Exit Yet,"-3.18%, 8 days","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-23 (Price: 342.62), 3.18% below",8 days,"4, 2016-03-20 (Price: 73.89)",2026-02-01 (Price: 315.3),2026-02-10 (Price: 359.35),22/13/8 days,8.66% above/4.66% below/3.18% below,2016-03-20 (Price: 73.89)/2026-02-15 (Price: 313.7038),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-06-25/2026-03-27/2026-08-10,11.35%,10.48%,0.87%,0.65,0.53,405.8057/384.2892/521.89/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/281.31,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),331.25
