Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"IBIT, Long, 2025-11-24 (Price: 50.57)",Daily,No Exit Yet,No Price Target,2025-11-26 (Min),3.01%/3.06%,"1.94%, 4 days","2025-11-28 (Price: 51.55), 1.94% above",54.2515 (Avg % Gain of Historic Winning trades)/53.1 (Exit Rule)/70.855 (Horizontal)/74.3812 (F-Stack 1)/88.2877 (F-Stack 2)/58.77 (Moving Avg)/54.7066 (Backtested Best)/53.1288 (Backtested Worst),2026-01-02 (Max)/2025-12-21 (Avg),No Recent Minima/41.99/45.1961/234.9241/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.0%, Past 1 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,8.18%/5.06%/7.28%,"13.32%, 14.42%",27 days/2 days/19 days,56.12%,58.43%,-2.31%,0.25,1.54,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-11-24 (Price: 9.72)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),1.73%/2.46%,"-0.93%, 4 days","2025-11-28 (Price: 9.63), 0.93% below",9.7968 (Historic Rise or Fall to Pivot)/10.0233 (Avg % Gain of Historic Winning trades)/10.69 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.4548 (Backtested Best)/9.8668 (Backtested Worst),2026-03-16 (Max)/2025-12-01 (Min)/2025-12-31 (Avg),9.3/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/9.13,"70.27%, Past 4 years, 37",No Information,No Information,No Information,No Information,No Information,0.31% above/0.93% below/0.93% below,7.56%/1.51%/3.12%,"7.04%, 16.17%",2.6 months/5 days/26 days,5.05%,4.18%,0.87%,0.27,0.12,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",Daily,2025-11-27 (Price: 91285.375),91145.26 (Exit Rule)/91179.9802 (Backtested Worst),No Date Target,3.13%/13.53%,"4.86%, 4 days","2025-11-28 (Price: 91023.9219), 4.86% above",93870.9354 (Avg % Gain of Historic Winning trades)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109863.56 (Moving Avg)/103341.3618 (Backtested Best),2026-01-05 (Max)/2025-12-04 (Avg),No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,"84.21%, Past 6 years, 57",No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,54.01%,49.41%,4.61%,0.19,0.92,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",Weekly,No Exit Yet,1.3229 (Backtested Worst),No Date Target,0.51%/3.69%,"1.13%, 4 days","2025-11-28 (Price: 1.3233), 1.13% above",1.3721 (Avg % Gain of Historic Winning trades)/1.41 (Exit Rule)/1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.33 (Moving Avg)/1.4565 (Backtested Best),2028-10-28 (Max)/2026-07-25 (Min)/2027-09-13 (Avg),1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"100.0%, Past 20 years, 26",No Information,No Information,No Information,"38.2% (Price: 1.3144), 0.68% above, Upmove Bounce Back","2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",No Information,11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.1 years/5.6 months/1.3 year,2.57%,-1.36%,3.93%,0.24,-0.57,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2025-11-21 (Price: 36.56)",Daily,2025-11-28 (Price: 37.84) (Today),37.8213 (Avg % Gain of Historic Winning trades),2025-11-26 (Min),3.12%/6.31%,"3.5%, 5 days","2025-11-28 (Price: 37.84), 3.5% above",39.02 (Exit Rule)/72.5033 (Horizontal)/40.28 (Moving Avg)/40.227 (Backtested Best),2026-04-29 (Max)/2026-01-04 (Avg),33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,8.24% above/3.5% above/3.5% above,10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,28.2%,-6.94%,35.14%,1.34,-0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2025-11-18 (Price: 220.49)",Daily,No Exit Yet,No Price Target,2025-12-02 (Min),48.59%/55.07%,"-8.41%, 10 days","2025-11-28 (Price: 201.95), 8.41% below",313.1619 (Avg % Gain of Historic Winning trades)/378.7 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/767.6139 (Backtested Best),2028-07-15 (Max)/2025-12-02 (Min)/2026-07-26 (Avg),217.57/82.7925/208.7793/167.1709/No F-Track Level/No F-Track Level/211.09,"100.0%, Past 5 years, 42",No Information,No Information,No Information,"50% (Price: 213.88), 5.58% below, Upmove Bounce Back","2023-03-13 (Price: 82.04), 2025-09-10 (Price: 345.72)",No Information,248.14%/1.62%/42.03%,"-0.0%, 41.08%",1.9 year/10 days/5.8 months,19.17%,35.11%,-15.94%,0.45,1.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-18 (Price: 401.25)",Daily,No Exit Yet,431.6648 (Backtested Worst),No Date Target,13.94%/18.07%,"7.21%, 10 days","2025-11-28 (Price: 430.17), 7.21% above",507.9023 (Avg % Gain of Historic Winning trades)/557.14 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/681.5632 (Backtested Best),2028-02-21 (Max)/2025-12-24 (Min)/2026-09-02 (Avg),320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/340.42,"100.0%, Past 5 years, 34",No Information,No Information,No Information,"38.2% (Price: 374.8188), 14.77% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",No Information,69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year/25 days/6.6 months,21.17%,25.99%,-4.83%,0.4,0.79,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-13 (Price: 85.97)",Daily,No Exit Yet,87.0188 (Backtested Worst),No Date Target,0.73%/2.67%,"1.3%, 15 days","2025-11-28 (Price: 87.09), 1.3% above",87.7238 (Historic Rise or Fall to Pivot)/89.4174 (Avg % Gain of Historic Winning trades)/90.16 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/96.295 (Backtested Best),2026-05-04 (Max)/2025-12-13 (Avg),78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.93,"80.56%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,2.13% above/1.3% above/1.3% above,12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,8.72%,13.33%,-4.61%,0.22,0.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Exit Yet,No Price Target,2025-12-02 (Max),4.98%/5.66%,"-2.17%, 16 days","2025-11-28 (Price: 189.55), 2.17% below",201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/244.61 (Moving Avg)/203.0888 (Backtested Best),2025-12-02 (Max),190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No Moving Avg Support,"80.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days/1 day/5 days,6.54%,8.52%,-1.98%,0.2,0.33,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Exit Yet,No Price Target,2025-12-01 (Avg),0.88%/1.19%,"-0.05%, 17 days","2025-11-28 (Price: 54.71), 0.05% below",55.3586 (Historic Rise or Fall to Pivot)/55.7198 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Best)/55.1889 (Backtested Worst),2025-12-17 (Max)/2025-12-01 (Avg),53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.74,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,1.79% above/0.05% below/0.05% below,3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,6.14%,7.37%,-1.22%,0.22,0.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2025-11-06 (Price: 69.75)",Daily,2025-11-21 (Price: 72.02),76.8505 (Historic Rise or Fall to Pivot),No Date Target,11.87%/12.03%,"9.43%, 22 days","2025-11-28 (Price: 76.33), 9.43% above",85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2),2026-01-05 (Max),68.8/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.29%/1.99%/3.16%,"7.87%, 8.49%",1.4 month/1 day/7 days,10.18%,9.13%,1.05%,0.58,0.34,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-05 (Price: 82.96)",Daily,2025-11-27 (Price: 86.36),No Price Target,No Date Target,6.7%/7.06%,"4.98%, 23 days","2025-11-28 (Price: 87.09), 4.98% above",93.24 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/92.9235 (Backtested Best),2026-04-26 (Max)/2025-12-05 (Avg),78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.59,"80.56%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,4.98% above/4.98% above/4.98% above,12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,8.72%,13.33%,-4.61%,0.22,0.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,No Exit Yet,No Price Target,2025-11-27 (Avg),3.59%/5.06%,"0.63%, 28 days","2025-11-28 (Price: 313.08), 0.63% above",324.3115 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/344.2232 (Backtested Best),2026-02-10 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,"97.62%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,1.18% above/0.63% above/0.63% above,10.64%/1.12%/4.24%,"2.79%, 16.83%",2.4 months/4 days/19 days,52.95%,15.43%,37.52%,1.31,0.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,87.1889 (Backtested Worst),No Date Target,1.91%/9.1%,"9.4%, 28 days","2025-11-28 (Price: 87.09), 9.4% above",88.7492 (Historic Rise or Fall to Pivot)/1000.833 (Avg % Gain of Historic Winning trades)/138.22 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/5934.9255 (Backtested Best),2040-07-27 (Max)/2026-06-09 (Min)/2030-10-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.72,"100.0%, Past 31 years, 16",No Information,No Information,No Information,"23.66% (Price: 74.8871), 16.3% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,7355.0%/9.52%/1157.17%,"-0.0%, 70.23%",10.3 years/5.1 months/3.5 years,13.79%,17.66%,-3.88%,0.26,0.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2),No Date Target,14.23%/25.67%,"13.59%, 28 days","2025-11-28 (Price: 320.12), 13.59% above",365.6614 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Best),2027-06-19 (Max)/2026-03-04 (Min)/2026-08-15 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"94.12%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,31.44% above/27.18% above/13.59% above,63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,22.75%,24.26%,-1.52%,1.49,0.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"EFN.TO, Long, 2025-10-26 (Price: 37.71)",Weekly,No Exit Yet,No Price Target,2025-11-29 (Min),3.21%/6.94%,"-1.27%, 1.1 month","2025-11-28 (Price: 37.23), 1.27% below",39.8142 (Historic Rise or Fall to Pivot)/41.1265 (Avg % Gain of Historic Winning trades)/47.64 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/47.5146 (Backtested Best)/38.4265 (Backtested Worst),2026-04-30 (Max)/2025-11-29 (Min)/2026-01-13 (Avg),36.01/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/32.61,"88.89%, Past 10 years, 27",No Information,No Information,No Information,No Information,No Information,1.36% above/0.51% below/1.27% below,26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,4.38%,15.83%,-11.45%,0.07,0.55,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2025-11-29 (Min),5.57%/7.16%,"0.35%, 1.1 month","2025-11-28 (Price: 619.25), 0.35% above",663.5676 (Historic Rise or Fall to Pivot)/653.7557 (Avg % Gain of Historic Winning trades)/676.16 (Exit Rule)/836.2536 (F-Stack 2)/691.7074 (Backtested Best),2026-05-08 (Max)/2025-11-29 (Min)/2026-01-02 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"95.83%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,2.54% above/1.42% above/0.35% above,12.09%/1.74%/5.94%,"10.15%, 35.46%",4.5 months/24 days/1.6 month,18.57%,17.61%,0.96%,1.19,0.82,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
