Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",Daily,No Exit Yet,323.4911 (Historic Rise or Fall to Pivot),2026-02-04 (Min),1.92%/5.54%,"2.98%, 9 days","2026-02-05 (Price: 323.48), 2.98% above",341.41 (Function Specific Target)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/329.6794 (Backtested Max),2026-07-15 (Max)/2026-03-24 (Avg),302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"85.0%, Past 4 years, 20",312.32,No Information,No Information,No Information,No Information,No Information,3.36% above/2.98% above/2.98% above,4.95%/0.71%/2.34%,"0.45%, 11.38%",3.9 months/6 days/1.3 month,11.02%,4.98%,6.04%,0.86,0.24,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"MCD, Long, 2025-06-11 (Price: 301.72)",Daily,No Exit Yet,322.13 (Function Specific Target)/322.0 (Horizontal),No Date Target,0.87%/4.76%,"7.21%, 8 months","2026-02-05 (Price: 323.48), 7.21% above",326.3102 (Avg % Gain of Historic Winning trades)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/338.8919 (Backtested Max),2028-02-26 (Max)/2026-07-28 (Avg),300.43/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",300.2,No Information,No Information,No Information,No Information,No Information,No Information,12.32%/5.48%/8.15%,"-0.0%, 18.2%",1.9 year/2.5 months/9.5 months,9.57%,6.12%,3.45%,1.42,0.35,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-01-09 (Price: 33.1)",Daily,2026-02-05 (Price: 33.99),No Price Target,No Date Target,0.62%/2.66%,"2.98%, 28 days","2026-02-06 (Price: 34.085), 2.98% above",35.6752 (Historic Rise or Fall to Pivot)/34.2949 (Avg % Gain of Historic Winning trades)/34.99 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/36.17 (EMA 200)/35.4071 (Backtested Max),2026-04-23 (Max)/2026-02-11 (Avg),31.89/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 16",33.1,No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,15.13%,-1.6%,16.73%,2.09,-0.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"HDB, Long, 2026-01-25 (Price: 32.06)",Weekly,No Exit Yet,34.0926 (Backtested Min),No Date Target,6.12%/15.54%,"6.32%, 12 days","2026-02-06 (Price: 34.085), 6.32% above",52.6906 (Avg % Gain of Historic Winning trades)/40.92 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/36.17 (EMA 200)/101.9893 (Backtested Max),2035-03-16 (Max)/2027-08-21 (Min)/2029-08-20 (Avg),29.16/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",32.18,No Information,No Information,No Information,No Information,No Information,No Information,218.12%/6.34%/64.35%,"0%, 32.59%",6.4 years/1.1 year/2.5 years,16.45%,7.23%,9.22%,0.72,0.37,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-01-30 (Price: 162.25)",Daily,No Exit Yet,169.1294 (Historic Rise or Fall to Pivot),No Date Target,5.97%/6.96%,"3.82%, 7 days","2026-02-06 (Price: 168.45), 3.82% above",180.1786 (Avg % Gain of Historic Winning trades)/204.77 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/186.9931 (Backtested Max)/178.5075 (Backtested Min),2029-01-29 (Max)/2026-04-26 (Min)/2027-01-08 (Avg),161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/150.05,"100.0%, Past 5 years, 9",163.43,No Information,No Information,No Information,"23.66% (Price: 160.7722), 4.78% above, Upmove Bounce Back","2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,24.66%,12.6%,12.06%,7.0,0.93,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,2026-02-06 (Price: 168.45) (Today),No Price Target,No Date Target,0.46%/1.05%,"1.51%, 15 days","2026-02-06 (Price: 168.45), 1.51% above",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/150.05,"91.67%, Past 4 years, 12",167.19,No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),3.69%/6.74%,"3.1%, 1.9 month","2026-02-05 (Price: 9.65), 3.1% above",10.0058 (Avg % Gain of Historic Winning trades)/10.3 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.486 (Backtested Max),2030-01-31 (Max)/2027-04-02 (Avg),9.28/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",9.3,No Information,No Information,No Information,"38.2% (Price: 9.3041), 3.72% above, Upmove Bounce Back","2025-03-20 (Price: 8.34), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",Monthly,2026-02-06 (Price: 9.65) (Today),No Price Target,No Date Target,13.47%/14.37%,"5.35%, 8.4 months","2026-02-06 (Price: 9.65), 5.35% above",11.2979 (Avg % Gain of Historic Winning trades)/10.95 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/12.1049 (Backtested Max)/11.0369 (Backtested Min),2040-05-27 (Max)/2028-12-24 (Avg),7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 26 years, 9",8.9,No Information,No Information,No Information,"50% (Price: 8.31), 16.13% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,6.07%,3.39%,2.68%,1.19,0.12,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-12-15 (Price: 222.94)",Daily,No Exit Yet,238.256 (Historic Rise or Fall to Pivot),No Date Target,3.24%/3.28%,"6.55%, 1.8 month","2026-02-06 (Price: 237.55), 6.55% above",247.5303 (Avg % Gain of Historic Winning trades)/245.25 (Function Specific Target)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/249.9157 (Backtested Max)/245.3455 (Backtested Min),2028-12-14 (Max)/2026-07-02 (Avg),221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/216.84,"85.71%, Past 5 years, 14",222.88,No Information,No Information,No Information,"50% (Price: 223.09), 6.48% above, Upmove Bounce Back","2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",No Information,12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,27.71%,0.9%,26.81%,1.63,0.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-11-16 (Price: 217.11)",Weekly,No Exit Yet,237.1058 (Historic Rise or Fall to Pivot),2026-02-06 (Min),5.4%/6.44%,"9.41%, 2.7 months","2026-02-06 (Price: 237.55), 9.41% above",256.2766 (Avg % Gain of Historic Winning trades)/252.85 (Function Specific Target)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/267.7835 (Backtested Max)/250.3713 (Backtested Min),2027-11-14 (Max)/2026-08-12 (Avg),209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.84,"91.67%, Past 20 years, 12",214.22,No Information,No Information,No Information,"88.6% (Price: 205.401), 15.65% above, Upmove Bounce Back","2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",No Information,23.34%/15.32%/18.04%,"1.41%, 35.96%",1.4 year/1.9 month/6.2 months,10.74%,18.6%,-7.86%,1.09,0.92,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-06 (Price: 99.07) (Today),101.1286 (Historic Rise or Fall to Pivot),No Date Target,2.79%/14.41%,"24.44%, 3.3 months","2026-02-06 (Price: 99.07), 24.44% above",101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 32.29% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-06 (Price: 99.07) (Today),99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades),No Date Target,12.8%/24.37%,"26.22%, 7.4 months","2026-02-06 (Price: 99.07), 26.22% above",135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 60.42% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"MSFT, Long, 2026-01-26 (Price: 470.28)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),22.85%/23.09%,"-16.29%, 10 days","2026-02-05 (Price: 393.67), 16.29% below",483.636 (Historic Rise or Fall to Pivot)/485.1879 (Avg % Gain of Historic Winning trades)/494.69 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/484.55 (EMA 200)/520.0356 (Backtested Max),2026-07-14 (Max)/2026-03-14 (Avg),444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.88%, Past 4 years, 32",465.31,No Information,No Information,No Information,No Information,No Information,16.29% below/16.29% below/16.29% below,10.58%/1.84%/3.17%,"2.87%, 26.99%",3.9 months/6 days/1.1 month,11.8%,8.95%,2.85%,1.45,0.46,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2026-02-03 (Price: 78932.3281)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),19.26%/19.62%,"-14.01%, 3 days","2026-02-06 (Price: 67871.5859), 14.01% below",81189.7927 (Historic Rise or Fall to Pivot)/83636.6949 (Avg % Gain of Historic Winning trades)/82413.24 (Function Specific Target)/124582.2656 (Horizontal)/136097.3501 (F-Stack 1)/176633.5152 (F-Stack 2)/103218.92 (EMA 200)/88167.4105 (Backtested Max)/80945.1025 (Backtested Min),2026-04-26 (Max)/2026-02-17 (Avg),76974.45/18304.4229/72214.6916/57447.2152/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",78677.4453,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,6.02%,14.76%,-8.74%,0.14,0.5,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",Daily,No Exit Yet,No Price Target,2026-02-06 (Min),9.51%/25.7%,"-0.32%, 10 days","2026-02-05 (Price: 670.21), 0.32% below",733.9482 (Historic Rise or Fall to Pivot)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2),2026-08-09 (Max)/2026-02-06 (Min)/2026-03-23 (Avg),604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 19",665.13,No Information,No Information,No Information,No Information,No Information,1.74% above/0.32% below/0.32% below,7.24%/0.93%/3.13%,"-0.0%, 60.2%",4.5 months/8 days/1.3 month,14.7%,14.3%,0.4%,1.29,0.66,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,4.52%/19.61%,"21.37%, 10.7 months","2026-02-06 (Price: 684.52), 21.37% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",562.79,No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),34.65%/41.59%,"-25.19%, 10 days","2026-02-05 (Price: 136.48), 25.19% below",194.3533 (Historic Rise or Fall to Pivot)/193.2404 (Avg % Gain of Historic Winning trades)/216.06 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/218.9 (EMA 200)/207.2883 (Backtested Max)/183.7718 (Backtested Min),2026-06-14 (Max)/2026-03-19 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 19",179.1,No Information,No Information,No Information,No Information,No Information,22.96% below/25.19% below/25.19% below,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.18%,7.52%,1.01,0.53,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
