"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"-1.09%, 26 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 6765.8799), 1.09% below",26 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),56/25/25 days,1.16% above/1.09% below/1.09% below,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),17.02%/3.9%/10.39%,"7.48%, 24.77%",1.8 year/2.9 months/6.4 months,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661/No Moving Avg Target,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6111.52,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.1309)",No Exit Yet,"-3.25%, 26 days","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 25018.3594), 3.25% below",26 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.1309),56/25/25 days,1.37% above/3.25% below/3.25% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/14.42%,"-0.0%, 13.1%",1.0 year/3.6 months/6.8 months,2027-04-18/2026-04-03/2026-08-21,16.42%,9.59%,6.84%,1.86,0.37,29242.9602/29586.8734/34741.24/No Horizontal Resistance/25025.4383/33965.62/No Moving Avg Target,19278.45/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22067.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"4.01%, 26 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 95.68), 4.01% above",26 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-31 (Price: 91.99),86/25/25 days,11.55% above/4.01% above/4.01% above,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),24.83%/3.08%/11.43%,"30.99%, 38.87%",2.0 year/4.3 months/9.4 months,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509/No Moving Avg Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^DJI, Long, 2025-09-28 (Price: 46247.2891)",2025-11-16 (Price: 47147.4805),"1.95%, 1.6 month","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-11-25 (Price: 47112.4492), 1.87% above",2.0 month,"2, 2025-04-13 (Price: 40212.7109)",2025-09-14 (Price: 45834.2188),2025-09-28 (Price: 46247.2891),72/58/58 days,2.79% above/1.87% above/1.87% above,2025-04-13 (Price: 44362.2969)/2025-09-28 (Price: 45409.3593),6.98%/0.22%/3.8%,"3.06%, 34.78%",8.3 months/19 days/3.4 months,2026-09-23/2025-10-25/2026-02-21,6.99%,9.91%,-2.92%,1.11,0.44,47394.2219/48004.6861/49868.04/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43246.39,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"GOOG, Long, 2025-09-14 (Price: 241.38)",2025-11-16 (Price: 276.98),"14.75%, 2.1 months","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-25 (Price: 323.64), 34.08% above",2.4 months,"8, 2023-11-12 (Price: 134.06)",2025-09-07 (Price: 235.17),2025-09-14 (Price: 241.38),79/72/72 days,37.62% above/34.08% above/34.08% above,2023-11-12 (Price: 164.7561)/2025-09-14 (Price: 229.6932),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-03-19/2025-10-18/2025-11-21,35.83%,21.1%,14.73%,1.74,0.79,266.3387/261.1249/305.77/No Horizontal Resistance/219.0619/240.3589/No Moving Avg Target,147.74/84.6567/203.7099/185.0665/No F-Track Level/No F-Track Level/182.46,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"^DJI, Long, 2025-09-14 (Price: 45834.2188)",2025-11-16 (Price: 47147.4805),"2.87%, 2.1 months","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-25 (Price: 47112.4492), 2.79% above",2.4 months,"2, 2025-03-30 (Price: 41583.8984)",2025-09-14 (Price: 45834.2188),2025-09-14 (Price: 45834.2188),72/72/72 days,2.79% above/2.79% above/2.79% above,2025-03-30 (Price: 44275.0417)/2025-09-14 (Price: 45322.1041),6.98%/0.22%/3.8%,"3.06%, 34.78%",8.3 months/19 days/3.4 months,2026-09-09/2025-10-11/2026-02-07,6.99%,9.91%,-2.92%,1.11,0.44,46970.9074/47575.9191/48384.41/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43178.04,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"SLV, Long, 2025-07-31 (Price: 33.32)",2025-11-26 (Price: 46.67),"40.07%, 3.9 months","72.22%, Past 20 years, 18","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-25 (Price: 46.67), 40.07% above",3.9 months,"2, 2024-07-31 (Price: 26.39)",2025-06-30 (Price: 32.81),2025-07-31 (Price: 33.32),148/117/117 days,42.24% above/40.07% above/40.07% above,2024-07-31 (Price: 32.034)/2025-07-31 (Price: 31.098),30.37%/2.87%/19.11%,"54.87%, 60.6%",1.4 year/2.9 months/7.7 months,2027-08-26/2025-12-04/2026-06-30,3.89%,5.98%,-2.09%,0.2,0.22,36.0589/39.6875/37.48/No Horizontal Resistance/47.5817/54.635/No Moving Avg Target,26.33/18.99/31.6598/28.4154/No F-Track Level/No F-Track Level/29.96,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"GOOG, Long, 2025-05-31 (Price: 172.85)",2025-10-31 (Price: 281.82),"63.04%, 5.1 months","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-25 (Price: 323.64), 87.24% above",6.0 months,"10, 2020-05-31 (Price: 71.446)",2025-05-31 (Price: 172.85),2025-05-31 (Price: 172.85),178/178/178 days,87.24% above/87.24% above/87.24% above,2020-05-31 (Price: 149.423)/2025-05-31 (Price: 157.2888),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-01-17/2025-10-02/2026-03-15,22.75%,24.26%,-1.52%,1.49,0.85,188.7349/224.2729/233.69/No Horizontal Resistance/219.0619/240.3589/No Moving Avg Target,156.23/85.8978/138.1748/130.09/No F-Track Level/No F-Track Level/172.82,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"EURUSD=X, Long, 2025-05-31 (Price: 1.1378)",2025-10-31 (Price: 1.1572),"1.71%, 5.1 months","75.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-26 (Price: 1.1594), 1.9% above",6.0 months,"2, 2023-11-30 (Price: 1.0974)",2025-05-31 (Price: 1.1378),2025-05-31 (Price: 1.1378),179/179/179 days,1.9% above/1.9% above/1.9% above,2023-11-30 (Price: 1.1131)/2025-05-31 (Price: 1.1277),8.26%/0.88%/4.48%,"18.25%, 23.39%",9.5 months/3.6 months/5.9 months,2026-07-16/2025-11-04/2026-02-12,0.65%,-0.39%,1.04%,0.09,-0.5,1.141/1.1888/1.16/1.2218/1.6296/1.7649/No Moving Avg Target,1.04/1.0207/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.08,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"UBER, Long, 2025-05-31 (Price: 84.16)",2025-10-31 (Price: 96.5),"14.66%, 5.1 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-11-25 (Price: 83.69), 0.56% below",6.0 months,"2, 2024-05-31 (Price: 64.56)",2025-04-30 (Price: 81.01),2025-05-31 (Price: 84.16),209/178/178 days,3.31% above/0.56% below/0.56% below,2024-05-31 (Price: 93.125)/2025-05-31 (Price: 78.425),38.27%/4.86%/19.26%,"-0.0%, 18.79%",5.1 months/3.6 months/4.1 months,2026-01-07/2025-11-04/2025-11-25,36.82%,14.17%,22.65%,0.8,0.47,102.1366/100.3692/95.92/No Horizontal Resistance/84.8096/88.7885/No Moving Avg Target,60.32/28.6593/75.9736/63.3753/No F-Track Level/No F-Track Level/73.7,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"ASHR, Long, 2024-10-06 (Price: 32.82)",2025-11-26 (Price: 32.25),"-1.74%, 1.2 year","75.76%, Past 10 years, 33","Weekly, is CONFIRMED on 2024-10-04",Already confirmed,"2025-11-25 (Price: 32.25), 1.74% below",1.2 year,"0, 2020-06-14 (Price: 28.35)",2024-09-29 (Price: 27.33),2024-10-06 (Price: 32.82),422/415/415 days,18.0% above/1.74% below/1.74% below,2020-06-14 (Price: 50.8785)/2024-10-06 (Price: 23.0131),24.71%/0.16%/10.96%,"38.84%, 52.68%",7.3 months/19 days/3.2 months,2025-08-19/2024-11-02/2025-02-20,2.29%,2.49%,-0.19%,0.16,0.06,34.0475/36.4171/35.5/39.9467/60.2967/80.3432/No Moving Avg Target,22.46/23.852/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/23.97,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BNS.TO, Long, 2024-09-30 (Price: 73.69)",2025-10-31 (Price: 91.99),"24.83%, 1.1 year","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-11-25 (Price: 95.68), 29.84% above",1.2 year,"0, 2019-09-30 (Price: 75.25)",2024-08-31 (Price: 67.27),2024-09-30 (Price: 73.69),451/421/421 days,42.23% above/29.84% above/29.84% above,2019-09-30 (Price: 123.536)/2024-09-30 (Price: 64.496),24.83%/3.08%/11.43%,"30.99%, 38.87%",2.0 year/4.3 months/9.4 months,2027-08-07/2025-04-04/2025-11-12,4.31%,6.33%,-2.02%,0.35,0.21,75.6575/82.1128/74.63/81.0275/92.969/100.7509/No Moving Avg Target,56.15/54.1533/69.3218/61.3348/No F-Track Level/No F-Track Level/65.1,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SFTBY, Long, 2024-03-31 (Price: 29.71)",2025-10-31 (Price: 87.91),"195.89%, 1.6 year","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-11-25 (Price: 50.04), 68.43% above",1.7 year,"0, 2019-03-31 (Price: 24.325)",2024-01-31 (Price: 21.6),2024-03-28 (Price: 29.71),664/607/604 days,131.67% above/68.43% above/68.43% above,2019-03-31 (Price: 68.9948)/2024-03-31 (Price: 19.4431),195.86%/14.0%/54.91%,"49.17%, 64.04%",1.2 year/8.7 months/1.1 year,2025-12-19/2025-04-11/2025-10-24,16.52%,15.45%,1.07%,0.27,0.51,32.8563/46.0238/32.94/33.06/52.6237/57.2421/No Moving Avg Target,16.86/16.82/28.6536/144.0247/No F-Track Level/No F-Track Level/23.29,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
