Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,No Price Target,2026-01-30 (Min),4.07%/5.13%,"14.68%, 3 months","2026-01-30 (Price: 91.3), 14.68% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/113.3487 (Backtested Max)/95.9858 (Backtested Min),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 21.92% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2024-11-10 (Price: 72.37)",Weekly,No Exit Yet,93.66 (Function Specific Target),No Date Target,4.07%/20.56%,"26.16%, 1.2 year","2026-01-30 (Price: 91.3), 26.16% above",110.0675 (Avg % Gain of Historic Winning trades)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/155.6679 (Backtested Max),2027-01-01 (Max)/2026-03-16 (Avg),62.46/38.7075/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",86.7,No Information,No Information,No Information,No Information,No Information,No Information,115.1%/12.67%/52.09%,"3.15%, 49.7%",1.5 year/5.1 months/11.3 months,11.24%,11.85%,-0.61%,0.58,0.66,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-05 (Price: 9.39)",Daily,No Exit Yet,No Price Target,2026-01-30 (Min),1.52%/7.36%,"-0.43%, 1.9 month","2026-01-30 (Price: 9.35), 0.43% below",10.0379 (Avg % Gain of Historic Winning trades)/10.1 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.5196 (Backtested Max)/9.4924 (Backtested Min),2030-01-25 (Max)/2027-03-27 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",9.5,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.01% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-04 (Price: 9.5)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),2.37%/2.71%,"-1.58%, 1.9 month","2026-01-30 (Price: 9.35), 1.58% below",9.5713 (Historic Rise or Fall to Pivot)/10.1555 (Avg % Gain of Historic Winning trades)/10.21 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6429 (Backtested Max)/9.6035 (Backtested Min),2030-01-24 (Max)/2027-03-26 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",9.45,No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.01% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),1.62%/1.79%,"-0.11%, 11 days","2026-01-30 (Price: 9.35), 0.11% below",9.5172 (Historic Rise or Fall to Pivot)/9.6595 (Avg % Gain of Historic Winning trades)/9.58 (Function Specific Target)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max)/9.5013 (Backtested Min),2026-06-28 (Max)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",9.34,No Information,No Information,No Information,No Information,No Information,0.11% below/0.11% below/0.11% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2026-02-02 (Avg),5.78%/8.73%,"0.77%, 3.2 months","2026-01-30 (Price: 621.87), 0.77% above",700.9022 (Historic Rise or Fall to Pivot)/657.8286 (Avg % Gain of Historic Winning trades)/676.16 (Function Specific Target)/836.2536 (F-Stack 2)/691.584 (Backtested Max),2026-04-26 (Max)/2026-02-02 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.24%, Past 10 years, 17",607.14,No Information,No Information,No Information,No Information,No Information,2.97% above/0.77% above/0.77% above,12.07%/1.74%/6.6%,"10.15%, 35.46%",4.2 months/1.2 month/2.3 months,8.62%,11.98%,-3.36%,0.65,0.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-30 (Price: 621.87) (Today),No Price Target,No Date Target,2.98%/4.39%,"9.02%, 5.1 months","2026-01-30 (Price: 621.87), 9.02% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",558.83,No Information,No Information,No Information,No Information,No Information,9.02% above/9.02% above/9.02% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,315.3665 (Historic Rise or Fall to Pivot),No Date Target,2.02%/3.72%,"1.98%, 22 days","2026-01-30 (Price: 315.0), 1.98% above",329.9147 (Avg % Gain of Historic Winning trades)/326.73 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.38,"93.75%, Past 5 years, 16",303.44,No Information,No Information,No Information,"61.8% (Price: 303.4045), 3.82% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),2.02%/3.33%,"1.21%, 1.8 month","2026-01-30 (Price: 315.0), 1.21% above",333.7008 (Historic Rise or Fall to Pivot)/325.7333 (Avg % Gain of Historic Winning trades)/325.49 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-06-24 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 17",309.48,No Information,No Information,No Information,No Information,No Information,1.21% above/1.21% above/1.21% above,10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,9.08%,6.77%,2.31%,1.49,0.4,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2025-08-10 (Price: 57.24)",Weekly,No Exit Yet,61.0579 (Historic Rise or Fall to Pivot),No Date Target,2.65%/10.71%,"6.01%, 5.8 months","2026-01-30 (Price: 60.68), 6.01% above",62.2886 (Avg % Gain of Historic Winning trades)/68.82 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/67.1769 (Backtested Max),2026-11-17 (Max),35.9/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/41.89,"95.45%, Past 10 years, 22",55.02,No Information,No Information,No Information,No Information,No Information,11.65% above/6.01% above/6.01% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,-1.73%,1.97%,-3.7%,0.5,0.04,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Exit Yet,60.3994 (Avg % Gain of Historic Winning trades),No Date Target,25.13%/35.51%,"15.85%, 4.3 months","2026-01-30 (Price: 60.68), 15.85% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.93 (Backtested Max),2026-08-28 (Max)/2026-03-29 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/52.26,"87.5%, Past 5 years, 8",52.64,No Information,No Information,No Information,No Information,No Information,No Information,44.96%/1.83%/15.31%,"6.64%, 12.43%",7.8 months/1.2 month/4.3 months,22.59%,5.81%,16.78%,0.7,0.3,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",Weekly,No Exit Yet,50.4454 (Avg % Gain of Historic Winning trades),No Date Target,1.74%/10.83%,"7.47%, 2.3 months","2026-01-30 (Price: 50.63), 7.47% above",63.28 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/56.1127 (Backtested Max),2026-04-24 (Max)/2026-02-09 (Avg),41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,"95.45%, Past 10 years, 22",47.0,No Information,No Information,No Information,No Information,No Information,14.03% above/7.47% above/7.47% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,50.5707 (Historic Rise or Fall to Pivot)/51.51 (Horizontal),No Date Target,30.03%/35.6%,"21.5%, 8.1 months","2026-01-30 (Price: 50.63), 21.5% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/7.3 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2026-01-25 (Price: 200.26)",Weekly,No Exit Yet,178.0989 (F-Stack 1),No Date Target,8.59%/17.22%,"-10.42%, 5 days","2026-01-30 (Price: 179.39), 10.42% below",213.0366 (Historic Rise or Fall to Pivot)/222.6691 (Avg % Gain of Historic Winning trades)/250.6 (Function Specific Target)/194.7923 (F-Stack 2)/254.5104 (Backtested Max)/210.273 (Backtested Min),2026-08-04 (Max)/2026-03-18 (Min)/2026-05-17 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,"86.67%, Past 10 years, 30",191.85,No Information,No Information,No Information,No Information,No Information,4.72% below/10.42% below/10.42% below,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-09-30 (Price: 155.74)",Monthly,No Exit Yet,178.0989 (F-Stack 2),No Date Target,3.93%/7.57%,"15.19%, 4.1 months","2026-01-30 (Price: 179.39), 15.19% above",192.9619 (Historic Rise or Fall to Pivot)/213.9089 (Avg % Gain of Historic Winning trades)/209.37 (Function Specific Target)/240.2289 (Backtested Max)/186.4364 (Backtested Min),2027-08-08 (Max)/2026-05-05 (Min)/2026-08-17 (Avg),55.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/113.78,"73.33%, Past 20 years, 15",140.91,No Information,No Information,No Information,No Information,No Information,41.56% above/15.19% above/15.19% above,54.25%/19.71%/37.35%,"32.86%, 60.15%",1.3 year/5 months/7.4 months,7.22%,13.05%,-5.83%,0.62,0.59,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-30 (Price: 43.25) (Today),No Price Target,No Date Target,4.4%/10.64%,"9.7%, 10.2 months","2026-01-30 (Price: 43.25), 9.7% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 16.97% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.53%,"16.17%, 3.9 years","2026-01-30 (Price: 43.25), 16.17% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",35.775,No Information,No Information,No Information,No Information,No Information,16.17% above/16.17% above/16.17% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
